"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
1901 25 20 20 19 20 30 52 76 55 38 28 26
1902 25 20 20 19 20 29 52 76 55 38 28 26
1903 25 20 21 18 19 28 51 76 54 37 27 24
1904 24 20 19 18 19 28 51 78 53 37 27 25
1905 25 20 19 18 20 30 56 77 54 37 29 24
1906 26 19 19 18 20 29 53 74 49 35 27 28
1907 36 23 20 15 20 30 52 75 56 37 22 22
1908 22 19 24 15 21 27 49 73 50 36 23 25
1909 21 16 18 18 22 28 47 72 49 37 27 27
1910 29 17 18 18 21 29 55 75 58 36 26 24
1911 28 28 21 20 24 25 54 77 58 40 23 27
1912 22 19 25 16 23 26 53 88 48 36 24 23
1913 22 20 20 16 23 24 49 72 49 42 32 24
1914 23 19 24 21 23 28 51 72 49 35 27 39
1915 22 21 17 19 20 32 58 72 68 34 46 31
1916 34 26 17 26 37 31 45 80 58 56 22 27
1917 18 18 17 15 16 51 50 93 52 35 19 16
1918 25 32 34 20 33 27 52 81 60 33 18 21
1919 18 14 15 13 24 32 72 73 58 55 35 34
1920 22 20 21 17 20 24 51 79 51 45 34 25
1921 46 20 42 12 27 26 43 97 44 39 16 52
1922 45 45 7 27 15 42 117 95 58 63 39 36
1923 46 17 35 14 24 30 29 62 91 34 20 31
1924 30 13 35 18 20 40 86 141 93 56 31 22
1925 12 10 39 12 19 28 72 102 118 80 48 33
1926 14 9 12 19 20 17 40 67 76 52 17 16
1927 20 8 10 10 15 25 54 67 40 36 17 30
1928 22 23 8 7 11 34 81 87 95 28 28 21
1929 50 33 22 18 22 38 53 90 83 30 24 14
1930 32 12 35 12 13 34 87 118 60 42 25 29
1931 9 17 8 16 20 30 63 79 56 45 41 41
1932 54 48 16 8 14 36 52 101 78 40 10 20
1933 45 26 23 12 35 29 17 49 34 18 22 12
1934 12 10 11 10 7 14 35 42 32 39 9 34
1935 31 31 39 24 8 12 28 50 42 54 36 7
1936 16 31 33 8 11 31 52 72 45 45 25 30
1937 49 25 7 20 12 17 34 72 46 19 27 25
1938 24 20 25 10 21 20 50 137 82 38 40 18
1939 14 21 7 14 9 18 54 71 49 27 9 15
1940 22 7 7 11 19 21 62 75 76 37 29 22
1941 17 17 12 10 29 17 52 61 57 50 36 22
1942 27 34 14 18 31 33 62 94 91 48 24 9
1943 14 44 40 5 26 23 54 97 46 33 23 23
1944 17 39 33 13 37 30 54 121 62 51 16 29
1945 17 34 23 9 26 26 48 116 55 60 32 12
1946 21 14 20 14 24 36 51 120 49 77 23 26
1947 44 18 20 6 16 30 56 69 44 23 32 21
1948 36 13 45 32 14 23 71 80 58 35 23 30
1949 38 27 38 10 21 28 29 107 59 40 31 27
1950 43 16 13 18 23 54 46 81 80 40 36 23
1951 16 47 30 21 22 30 66 150 62 43 40 41
1952 23 31 32 21 28 31 72 99 32 38 25 13
1953 9 27 9 7 18 39 39 103 52 20 22 17
1954 27 15 45 9 10 27 66 124 97 20 25 20
1955 29 28 30 17 20 45 57 114 81 29 17 27
1956 25 41 21 12 15 23 46 108 63 31 15 8
1957 74 26 20 9 22 24 26 84 68 53 26 16
1958 16 9 28 19 24 48 40 90 80 47 33 14
1959 9 53 10 18 19 18 65 85 52 36 22 18
1960 40 20 3 22 24 29 68 87 85 47 22 27
1961 15 8 14 32 13 33 71 71 90 41 23 22
1962 24 30 22 14 32 24 48 72 61 29 8 16
1963 62 13 48 35 28 35 74 152 35 49 8 17
1964 14 33 14 22 27 22 19 55 51 43 22 18
1965 21 18 38 30 23 22 50 111 87 20 42 35
1966 8 26 11 13 15 23 60 66 39 39 38 17
1967 23 12 34 35 13 36 79 61 18 17 51 41
