"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
1901 30 24 25 23 29 52 72 85 66 54 38 41
1902 30 27 26 22 31 50 70 87 67 52 39 38
1903 29 32 30 20 25 43 70 85 56 41 31 29
1904 23 27 20 18 24 38 67 97 50 43 29 35
1905 33 27 17 18 33 51 98 91 49 47 49 27
1906 41 26 21 21 33 46 81 79 44 41 40 33
1907 60 26 22 13 26 51 73 78 107 75 28 31
1908 25 23 30 17 38 36 59 67 70 42 37 37
1909 25 15 19 27 40 50 65 82 50 42 29 38
1910 42 19 23 25 30 48 62 80 63 45 31 36
1911 37 44 22 27 46 40 61 79 63 47 32 50
1912 27 31 35 18 48 58 68 93 62 52 31 33
1913 30 30 30 14 45 30 69 87 57 54 44 33
1914 27 26 31 28 32 50 77 68 53 43 34 68
1915 27 35 41 20 22 52 55 106 101 42 42 27
1916 45 30 14 24 50 56 61 96 65 72 39 50
1917 34 40 20 13 27 53 100 100 68 44 31 16
1918 28 39 38 32 34 43 64 111 92 50 38 44
1919 25 14 14 17 39 48 100 82 74 64 47 54
1920 27 48 26 10 19 41 67 104 49 48 39 30
1921 48 28 46 19 37 39 61 100 59 66 15 53
1922 50 35 13 33 26 45 165 92 60 81 51 23
1923 41 30 37 20 33 53 57 54 118 52 44 23
1924 41 26 39 29 30 47 113 127 100 78 37 28
1925 18 20 32 14 32 44 70 87 140 100 64 30
1926 36 17 22 32 41 32 83 69 93 76 30 41
1927 33 29 26 17 25 51 70 97 65 47 17 41
1928 33 49 24 13 26 58 110 101 124 43 52 46
1929 61 63 34 27 47 50 95 89 97 59 50 23
1930 33 17 50 18 26 48 91 154 86 50 48 45
1931 29 26 14 15 32 46 82 92 76 68 72 57
1932 55 56 17 8 23 57 78 150 85 59 16 23
1933 47 24 24 17 41 56 42 87 53 37 50 10
1934 22 19 16 25 29 29 69 92 53 60 12 60
1935 42 49 43 27 30 29 68 87 69 92 54 22
1936 30 31 33 9 34 41 80 101 59 101 73 47
1937 68 26 13 25 26 55 82 110 69 48 37 23
