"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
1901 21 16 16 16 15 24 44 63 44 33 24 22
1902 21 16 16 16 15 24 44 63 44 33 24 22
1903 21 17 17 15 14 23 44 63 42 31 22 20
1904 20 16 15 15 14 23 44 65 42 31 22 22
1905 21 16 15 16 15 24 49 64 42 32 25 21
1906 22 15 15 15 16 24 45 62 40 31 23 23
1907 29 18 16 13 15 25 45 62 45 32 20 20
1908 19 16 18 13 16 22 42 60 41 31 20 22
1909 19 14 14 16 16 23 41 60 40 32 23 23
1910 24 14 15 15 16 24 46 62 45 31 22 21
1911 24 22 16 17 18 21 45 64 45 33 20 24
1912 19 16 19 14 17 23 44 70 40 31 20 20
1913 19 16 16 14 17 21 42 60 40 35 26 21
1914 20 15 18 18 17 23 44 60 40 30 23 32
1915 19 17 14 16 15 26 47 61 51 30 32 24
1916 27 19 14 19 22 25 41 65 46 42 22 25
1917 19 17 14 14 13 34 46 69 43 30 19 17
1918 20 23 24 18 21 24 44 63 46 29 18 20
1919 17 13 13 13 17 26 55 61 46 41 27 27
1920 19 17 17 15 15 21 44 63 41 39 27 25
1921 38 18 35 9 23 21 36 69 38 35 11 41
1922 33 33 7 19 9 35 100 68 46 59 33 32
1923 32 16 31 14 25 23 28 44 66 35 21 29
1924 29 10 23 13 16 31 66 106 59 40 34 23
1925 13 10 32 10 12 24 63 81 92 68 49 35
1926 14 10 9 16 13 16 33 51 55 53 13 13
1927 15 8 8 7 11 20 47 52 28 27 13 24
1928 18 17 7 7 7 25 58 63 62 23 28 21
1929 43 26 17 17 15 36 43 74 60 31 16 12
1930 26 9 28 9 9 29 76 101 44 34 22 26
1931 9 14 6 12 13 24 58 61 40 33 36 29
1932 42 35 12 7 9 31 40 74 60 31 9 16
1933 28 21 15 9 31 28 16 34 28 16 17 12
1934 9 7 8 6 5 10 32 37 26 31 8 30
1935 25 23 29 22 7 12 23 43 39 46 25 6
1936 12 13 18 7 8 28 43 52 32 35 21 22
1937 47 18 5 15 8 11 22 51 29 16 26 26
1938 19 17 20 6 13 14 46 103 64 33 32 16
1939 9 16 5 8 6 17 43 47 32 24 8 16
1940 21 6 5 9 15 18 50 58 56 34 18 19
1941 18 11 8 8 19 12 45 51 40 42 27 21
1942 22 23 9 12 23 28 56 75 69 40 19 9
1943 12 29 26 5 19 21 44 73 39 27 23 20
1944 16 37 25 11 25 27 46 87 58 44 10 27
1945 15 21 16 8 20 26 40 96 40 49 21 10
1946 13 9 15 10 19 30 41 106 43 62 19 21
1947 32 14 21 6 9 22 42 56 34 19 24 17
1948 33 11 31 30 11 17 61 63 43 30 19 24
1949 30 16 24 8 18 23 24 83 43 28 25 19
1950 37 16 9 15 18 44 36 66 62 32 34 23
1951 11 32 15 17 10 21 57 124 47 37 34 34
1952 17 16 19 16 18 26 59 84 22 31 20 11
1953 6 20 6 6 14 37 32 77 40 21 18 14
1954 28 12 32 8 9 27 61 103 69 16 21 16
1955 19 17 21 12 14 42 39 93 63 26 13 29
1956 20 24 16 8 10 22 39 93 46 24 14 9
1957 62 22 14 7 15 25 25 68 58 49 20 17
1958 15 6 22 19 17 40 31 70 64 45 32 15
1959 7 42 7 15 15 15 63 65 42 39 17 18
1960 35 18 3 22 18 26 56 71 66 43 14 22
1961 14 7 12 25 9 27 58 62 67 34 18 18
1962 23 28 19 15 24 20 44 59 52 27 7 15
1963 48 13 39 35 21 24 71 133 24 49 9 17
1964 12 31 8 19 23 20 16 45 38 42 19 16
1965 18 10 31 30 20 20 45 96 68 22 41 37
1966 7 16 10 13 11 21 52 50 33 31 33 17
1967 17 11 29 30 13 25 70 49 15 16 45 44
1968 30 17 11 12 21 26 30 34 22 21 18 21
1969 12 12 9 7 16 20 31 59 9 25 16 13
1970 7 13 14 11 11 13 41 49 18 34 38 28
1971 13 15 8 5 19 14 63 35 33 40 19 36
1972 22 7 8 13 10 24 19 55 49 69 20 22
1973 44 14 14 15 14 28 40 97 47 42 33 11
1974 19 9 9 5 6 23 45 53 37 18 26 8
1975 20 23 11 16 8 33 44 52 44 32 13 12
1976 14 18 20 6 14 24 35 28 37 30 28 10
1977 16 14 19 15 18 18 16 41 84 35 8 27
1978 9 10 7 14 7 40 32 40 54 20 32 33
1979 11 2 12 23 6 36 39 65 36 28 54 21
1980 26 21 15 9 12 45 50 56 29 29 11 11
1981 28 24 13 15 9 25 78 53 24 32 20 15
1982 30 25 27 22 18 28 53 58 70 37 24 18
1983 7 6 5 25 10 16 34 84 49 37 22 14
1984 21 8 8 15 15 17 56 89 25 18 13 32
1985 21 12 30 8 22 32 23 62 72 53 28 23
1986 16 14 4 6 9 20 43 69 83 29 19 23
1987 22 14 7 4 14 23 53 46 65 27 17 35
1988 15 14 15 6 24 17 28 85 28 24 11 36
1989 19 44 10 31 24 25 75 92 50 34 16 23
1990 26 21 21 11 15 29 60 90 63 45 38 39
1991 27 13 36 12 17 14 39 28 32 43 10 14
1992 11 21 20 7 13 28 31 71 31 27 42 44
1993 55 16 21 5 13 30 26 68 89 43 47 21
1994 19 10 26 10 18 21 56 120 28 34 33 28
1995 15 13 11 21 25 32 37 46 31 31 12 12
1996 15 43 11 7 21 23 46 53 38 22 24 15
1997 17 17 4 14 14 21 31 95 52 42 26 23
1998 8 19 29 14 23 24 33 104 54 33 17 28
1999 24 11 11 16 8 26 54 55 48 13 13 14
2000 46 15 10 5 14 28 73 83 55 26 30 17
2001 36 26 6 29 8 18 59 89 28 30 14 12
2002 29 14 8 38 14 26 37 48 78 31 14 20
2003 10 28 18 17 21 24 69 70 44 55 43 25
2004 9 13 11 13 33 39 49 57 53 34 25 36
2005 23 29 17 12 30 23 41 73 73 31 19 28
2006 9 31 28 15 11 33 49 51 44 54 21 18
2007 34 5 8 11 16 25 37 44 53 22 31 19
2008 33 21 17 32 12 40 68 35 27 32 27 23
2009 39 34 32 21 19 22 34 89 34 34 22 27
