"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
1901 35 28 28 25 31 40 68 103 79 52 39 33
1902 35 29 28 25 31 40 68 103 79 52 39 33
1903 35 30 29 25 30 39 68 103 77 50 38 31
1904 34 29 28 24 30 38 68 105 77 51 38 33
1905 35 29 27 25 32 40 73 104 77 51 41 32
1906 37 28 28 25 32 40 71 101 70 47 38 35
1907 52 33 28 20 31 41 69 102 83 51 31 29
1908 31 28 34 20 34 36 64 97 73 48 32 32
1909 29 23 25 24 36 37 61 97 69 49 38 35
1910 42 24 27 24 33 39 72 102 82 48 36 31
1911 41 43 29 27 39 33 70 104 82 53 32 36
1912 31 28 36 21 37 36 70 121 69 48 34 29
1913 31 28 29 21 38 32 64 97 70 57 45 31
1914 33 28 34 29 35 37 67 96 69 47 37 53
1915 30 31 26 26 31 44 77 99 101 44 73 42
1916 49 40 24 40 65 43 57 110 81 82 28 37
1917 20 24 25 20 24 78 63 138 72 47 22 18
1918 35 52 50 26 56 34 69 122 91 45 22 24
1919 21 18 21 15 43 44 105 97 84 85 51 46
1920 30 29 30 23 30 33 67 110 72 60 49 30
1921 65 26 58 18 38 36 56 146 58 51 24 71
1922 70 69 9 40 26 55 154 142 83 78 54 45
1923 75 24 46 17 29 44 35 93 137 38 23 37
1924 36 19 58 28 30 57 124 206 153 86 32 25
1925 12 11 54 16 34 37 92 141 169 109 57 36
1926 17 10 18 26 36 21 54 94 116 59 28 24
1927 31 10 16 14 24 35 71 98 62 52 25 43
1928 33 35 11 8 18 51 123 132 156 37 32 25
1929 68 53 33 22 36 45 74 119 127 34 38 18
1930 47 18 51 18 20 44 112 158 92 58 33 40
1931 10 26 13 22 34 42 80 113 85 68 55 62
1932 82 77 24 11 24 49 74 154 114 60 12 28
1933 78 38 39 17 49 36 24 77 49 23 32 14
1934 17 15 15 16 12 23 46 58 48 56 10 45
1935 46 50 59 33 12 16 38 69 55 74 58 7
1936 24 64 60 11 17 38 71 109 69 65 35 46
1937 66 40 11 30 19 28 54 108 74 25 32 27
1938 38 30 36 18 36 30 62 202 120 51 57 22
1939 24 32 11 24 16 24 75 112 79 38 11 17
1940 28 10 11 17 30 30 85 110 114 48 49 30
1941 18 29 19 14 51 28 69 82 89 66 55 26
1942 42 56 22 29 47 46 77 134 135 68 33 9
1943 20 74 64 7 41 29 73 141 64 46 27 31
1944 21 50 48 17 59 38 71 182 79 68 27 35
1945 21 59 35 12 38 31 64 160 86 85 51 15
1946 37 25 30 22 35 47 71 152 66 112 34 35
1947 70 27 22 8 28 45 82 96 66 32 47 28
1948 47 19 72 38 21 33 93 114 87 48 34 40
1949 57 46 62 14 31 39 40 151 86 61 44 41
1950 58 19 21 26 35 74 64 108 116 56 44 26
1951 25 78 57 28 43 48 82 200 93 57 55 54
1952 36 60 55 30 46 42 96 133 49 54 36 18
1953 16 42 15 9 27 46 53 154 76 22 32 24
1954 31 23 70 12 13 30 82 164 146 27 34 28
1955 47 52 46 26 33 57 87 156 119 38 25 29
1956 37 73 33 18 26 28 59 140 96 45 19 8
1957 106 38 32 13 35 25 33 114 94 66 40 17
1958 20 13 39 22 40 65 56 127 114 56 40 15
1959 12 78 14 25 29 24 78 120 72 37 33 20
1960 56 25 3 26 37 39 93 121 125 58 37 37
1961 19 12 19 47 21 43 97 94 136 58 35 30
1962 31 39 30 17 50 32 61 97 84 36 11 20
1963 94 15 68 42 42 53 89 197 53 57 9 20
1964 20 43 25 29 40 26 27 78 73 52 30 24
1965 29 33 54 34 33 28 63 142 127 20 51 39
1966 10 44 13 14 26 29 77 99 56 57 52 20
1967 34 17 47 48 16 55 102 87 26 20 70 47
1968 40 24 14 19 41 38 49 65 34 35 22 27
1969 22 29 20 8 21 30 61 106 23 39 21 18
1970 11 23 28 21 27 22 80 97 36 65 54 47
1971 16 23 7 9 34 27 96 80 83 70 26 65
1972 41 7 16 25 24 40 34 86 83 91 26 27
1973 60 27 28 13 34 33 56 144 73 67 49 15
1974 24 15 30 11 12 28 83 100 70 44 38 13
1975 34 35 18 33 17 51 62 79 93 57 17 20
1976 25 31 33 11 26 33 51 46 59 35 35 17
1977 25 27 41 26 35 34 35 70 138 58 18 42
1978 15 13 9 30 22 74 55 85 82 45 61 58
1979 32 5 23 42 13 66 63 106 62 45 101 33
1980 50 41 40 14 31 79 94 89 48 43 17 13
1981 46 58 28 22 16 42 98 89 40 53 47 22
1982 70 39 56 31 37 49 90 98 143 63 48 25
1983 11 9 7 59 23 27 60 112 76 67 35 27
1984 29 10 11 19 27 34 70 125 45 24 26 65
1985 42 21 63 9 48 48 35 121 140 88 56 35
1986 32 27 3 14 23 31 71 127 143 45 47 30
1987 46 25 14 7 36 39 71 78 93 49 35 50
1988 24 28 27 13 61 35 38 132 45 34 21 54
1989 44 83 15 39 55 46 96 138 107 61 34 33
1990 53 49 43 17 38 38 96 128 112 76 78 67
1991 34 21 86 18 29 31 59 57 63 67 21 25
1992 17 36 35 6 28 48 51 127 62 41 66 71
1993 98 29 34 11 27 42 32 117 158 73 87 34
1994 35 27 47 23 30 45 94 189 56 54 71 41
1995 24 34 12 34 52 46 56 97 64 48 13 17
1996 25 87 25 10 34 44 81 97 60 36 52 22
1997 26 31 7 19 36 32 44 134 83 46 50 31
1998 20 15 47 26 65 39 61 163 106 58 31 31
1999 34 16 15 30 19 67 89 83 101 24 23 18
2000 68 38 22 10 24 46 119 145 108 42 67 34
2001 48 63 20 59 17 28 102 163 47 66 10 18
2002 71 38 18 55 32 41 64 67 133 57 30 25
2003 17 65 27 37 52 55 101 135 58 63 99 41
2004 10 25 19 20 72 61 76 89 106 72 57 51
2005 31 54 23 13 64 41 57 120 165 66 37 44
2006 17 53 51 37 35 52 67 109 97 115 36 24
2007 59 13 15 18 33 53 72 85 144 48 51 35
2008 84 36 46 40 27 65 102 52 75 50 38 43
2009 77 70 60 38 30 40 75 115 63 67 39 28
