"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
1901 34 27 29 26 30 53 81 98 79 60 41 43
1902 35 30 29 26 31 51 79 99 80 59 42 41
1903 34 34 33 24 26 46 79 97 70 49 35 33
1904 28 30 23 22 26 41 76 107 64 50 33 37
1905 37 30 21 22 33 53 102 102 63 54 51 31
1906 45 29 25 25 33 48 89 91 58 48 43 37
1907 63 30 26 17 28 53 81 91 117 78 32 34
1908 30 26 34 20 37 40 73 84 81 50 41 39
1909 29 19 23 31 38 53 75 94 63 50 33 41
1910 46 22 26 28 31 51 74 93 78 52 35 39
1911 41 47 27 30 43 43 73 92 76 55 36 50
1912 32 33 39 22 46 58 78 106 74 58 33 36
1913 34 32 34 18 43 35 79 100 69 60 46 36
1914 31 29 36 32 33 54 86 85 67 51 37 68
1915 31 38 43 24 24 54 69 116 113 50 46 32
1916 51 34 18 29 48 56 71 106 79 78 42 50
1917 37 42 24 18 29 57 104 108 77 51 33 22
1918 33 44 46 35 36 45 74 117 97 54 38 44
1919 28 17 18 19 39 51 104 92 86 72 49 54
1920 29 48 31 16 22 46 77 109 64 57 41 36
1921 58 30 56 21 40 43 68 110 70 73 17 60
1922 55 45 15 35 25 52 179 103 76 94 54 34
1923 47 34 46 23 42 54 58 64 122 61 45 33
1924 47 26 41 29 32 51 117 146 107 77 48 35
1925 21 21 42 18 30 49 89 108 161 111 74 44
1926 34 19 25 35 37 35 83 79 105 90 29 37
1927 33 27 26 17 24 50 80 98 64 49 19 43
1928 34 47 24 14 23 54 110 110 126 45 54 45
1929 66 63 35 30 43 60 99 101 108 65 48 25
1930 39 18 54 20 23 55 112 171 95 53 50 50
1931 25 28 16 17 29 49 104 101 80 65 71 53
1932 63 60 21 10 21 58 78 148 101 64 17 28
1933 48 30 25 18 52 59 43 82 59 37 46 16
1934 21 18 17 24 26 31 70 97 63 64 13 62
1935 48 50 49 37 27 31 66 90 84 95 56 20
1936 30 31 33 11 29 45 88 100 67 98 66 46
1937 82 30 14 27 24 48 74 104 68 46 42 31
1938 35 38 34 17 33 48 86 142 113 60 59 36
1939 26 28 19 19 24 48 94 108 75 56 28 36
1940 51 13 18 17 36 44 76 96 106 67 33 47
1941 43 32 21 25 41 46 93 69 75 63 41 33
1942 35 37 19 21 31 58 83 127 121 66 26 13
1943 26 49 37 10 34 43 85 123 83 47 41 51
1944 31 58 42 12 45 55 75 150 105 66 24 46
1945 24 43 35 17 32 64 91 160 95 89 38 16
1946 28 25 36 17 44 50 70 133 74 109 37 40
1947 58 25 35 13 22 48 81 96 93 35 50 36
1948 56 24 43 33 17 34 105 110 81 54 36 36
1949 65 30 39 13 29 65 67 110 67 50 42 38
1950 63 15 14 24 32 73 87 84 90 45 47 36
1951 25 50 18 29 18 63 76 156 94 52 51 48
1952 38 23 31 23 27 62 102 117 62 73 54 26
1953 15 41 12 13 35 76 54 153 77 41 22 29
1954 43 21 48 12 25 50 108 124 116 36 40 35
1955 36 44 43 23 34 74 77 158 101 44 25 54
1956 29 52 26 15 26 68 74 137 86 47 48 15
1957 95 42 22 11 23 34 56 88 116 72 45 27
1958 31 10 31 24 31 54 67 104 92 64 44 21
1959 9 55 16 26 29 29 125 108 62 49 35 31
1960 55 28 8 28 33 49 112 110 130 58 26 36
1961 24 16 17 41 24 65 112 102 136 61 38 38
1962 46 39 33 22 39 64 76 94 83 42 17 28
1963 72 29 63 48 27 56 106 161 42 73 12 37
1964 17 52 21 40 38 53 52 82 60 62 43 31
1965 25 19 48 36 34 49 86 131 127 44 53 54
1966 13 36 22 18 30 46 78 103 71 52 56 27
1967 28 24 55 45 34 65 128 102 54 25 78 64
1968 48 39 16 21 53 61 51 59 42 34 28 29
1969 21 21 21 9 28 27 78 87 18 47 34 32
1970 13 30 32 27 24 45 70 86 51 72 51 54
1971 22 34 14 16 34 34 108 85 72 82 35 68
1972 38 13 23 24 24 53 46 79 95 90 29 29
1973 56 17 27 22 34 59 64 134 63 58 46 18
1974 18 26 19 14 12 52 75 82 57 54 49 29
1975 43 31 19 34 23 63 96 79 94 52 22 31
1976 33 30 45 15 36 41 65 49 64 50 68 29
1977 36 28 34 39 42 49 32 61 139 61 14 34
1978 18 28 12 16 21 78 58 61 75 54 48 67
1979 26 7 37 36 14 66 82 88 63 60 97 39
1980 55 35 25 20 29 79 97 92 61 48 25 16
1981 47 45 29 18 22 58 130 109 50 70 43 28
1982 34 32 45 30 27 65 92 81 135 63 40 32
1983 18 14 7 40 23 39 66 131 83 65 34 19
1984 46 23 15 20 32 42 102 129 40 33 23 66
1985 48 31 53 16 33 63 51 98 141 73 48 43
1986 34 22 12 13 21 36 95 111 114 72 40 49
1987 51 25 11 11 32 49 94 67 109 60 51 53
1988 26 32 31 21 54 50 58 121 53 58 25 57
1989 43 57 15 35 53 60 102 128 104 78 42 51
1990 50 48 42 16 28 61 122 131 125 62 58 79
1991 43 23 63 19 28 32 80 68 62 62 32 38
1992 32 37 35 15 32 59 78 101 61 44 70 59
1993 85 28 25 12 27 59 41 116 154 69 77 37
1994 38 19 45 19 33 58 86 134 55 60 69 54
1995 26 29 19 30 48 63 79 84 65 43 16 16
1996 29 73 22 12 28 52 68 92 60 39 33 24
1997 26 31 6 17 28 33 50 127 75 55 41 39
1998 16 20 33 29 42 53 84 138 87 43 24 33
1999 36 14 18 23 24 53 90 91 80 40 20 43
2000 58 21 16 10 25 44 106 113 101 44 49 25
2001 41 50 18 34 17 27 119 106 44 55 14 16
2002 52 18 15 51 21 46 80 99 114 65 24 29
2003 16 57 27 17 36 47 143 105 62 69 69 42
2004 16 25 18 22 51 52 65 60 107 53 49 55
2005 40 38 30 17 44 46 83 91 128 42 33 42
2006 14 42 36 24 19 60 85 114 64 79 18 38
2007 50 7 11 15 29 49 93 70 102 37 45 31
2008 49 26 26 44 20 69 124 62 57 50 35 35
2009 61 47 51 22 25 44 52 107 59 52 37 34
