"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
1901 18 15 16 15 14 25 44 65 46 31 22 21
1902 18 15 16 15 14 25 44 65 46 31 22 21
1903 18 15 16 14 14 25 44 65 45 30 22 20
1904 18 15 15 14 14 25 44 66 45 30 22 21
1905 18 15 15 14 15 25 45 65 45 30 22 21
1906 18 14 15 14 15 25 46 64 39 28 19 26
1907 28 19 16 12 17 26 44 65 42 25 17 18
1908 16 15 20 11 13 23 43 65 37 29 18 20
1909 16 12 13 14 13 24 38 59 38 31 22 23
1910 20 13 14 14 17 27 50 64 52 29 21 19
1911 21 21 18 15 15 21 49 69 49 35 17 19
1912 17 13 21 13 15 20 46 80 37 27 18 18
1913 15 14 14 12 13 20 41 61 37 35 26 19
1914 16 14 21 17 19 24 42 65 39 30 20 36
1915 16 16 12 16 16 28 55 57 57 27 40 29
1916 26 21 14 22 28 26 38 69 50 48 14 18
1917 11 11 14 11 11 52 39 82 44 28 13 12
1918 19 24 31 16 28 22 44 62 46 24 13 17
1919 13 11 11 9 15 29 62 64 48 46 28 32
1920 16 15 15 15 16 19 44 68 43 38 29 18
1921 36 14 35 9 20 22 37 87 35 31 14 48
1922 37 35 5 23 10 37 101 89 51 48 32 30
1923 37 12 28 10 15 26 24 56 80 24 13 25
1924 20 9 29 15 13 38 77 125 86 48 20 16
1925 8 6 32 10 14 25 63 91 102 63 34 22
1926 9 6 9 14 13 13 34 61 67 37 14 13
1927 14 5 7 8 11 23 47 57 35 31 14 27
1928 17 17 5 4 7 31 74 74 84 22 20 16
1929 39 20 18 14 15 29 46 81 72 19 19 11
1930 26 10 29 9 10 30 74 95 49 36 17 21
1931 7 13 7 14 17 25 46 71 49 39 32 38
1932 40 34 13 7 10 27 46 82 66 31 8 19
1933 36 19 19 9 23 20 12 42 27 14 17 11
1934 10 8 10 8 5 11 29 32 26 31 8 28
1935 23 23 33 17 5 8 23 38 30 43 32 6
1936 13 23 29 6 7 27 47 64 42 35 18 27
1937 29 20 6 18 9 15 31 66 44 17 20 18
1938 18 15 21 9 15 18 40 122 66 31 32 14
1939 10 15 6 14 7 14 47 63 43 18 5 11
1940 13 5 5 9 14 17 56 64 65 28 27 15
1941 11 12 9 7 19 15 41 52 50 41 29 18
1942 16 26 13 18 25 27 54 80 77 37 21 8
1943 10 33 37 4 23 18 47 90 36 28 18 18
1944 12 27 28 12 29 25 47 110 47 42 14 25
1945 12 26 20 8 20 19 43 96 46 49 27 11
1946 18 12 15 12 18 32 47 106 38 59 19 24
1947 36 14 12 5 12 28 50 60 37 20 25 18
1948 25 10 38 26 12 22 61 68 52 27 17 27
1949 30 22 34 9 16 23 24 95 54 35 25 26
1950 33 12 13 15 15 45 44 73 67 36 31 19
1951 13 36 27 18 20 25 62 137 51 35 31 35
1952 16 24 27 17 23 25 64 84 29 31 18 10
1953 4 19 7 6 15 31 36 87 41 15 17 14
1954 19 9 38 7 6 21 56 112 86 16 20 17
1955 21 19 24 14 14 35 55 99 67 23 14 19
1956 19 32 17 10 10 17 42 94 55 25 10 5
1957 52 18 17 8 19 20 19 75 51 44 18 12
1958 12 8 23 16 17 43 36 81 68 36 24 11
1959 8 38 9 15 15 17 50 79 46 27 18 13
1960 28 15 2 16 19 24 57 73 70 36 18 23
1961 11 5 11 27 9 30 64 56 73 33 18 19
1962 16 20 17 10 25 20 38 63 50 21 6 13
1963 47 9 37 21 22 34 59 126 31 35 7 13
1964 12 22 14 18 19 16 16 45 47 33 16 16
1965 16 15 30 21 16 16 43 96 71 15 30 24
1966 6 21 8 9 8 18 51 52 29 33 29 13
1967 17 9 23 28 9 30 65 50 14 14 37 28
1968 22 13 8 10 21 23 34 41 17 23 13 17
1969 11 11 10 5 11 20 38 64 12 22 10 11
1970 5 11 13 9 14 12 50 54 20 36 33 29
1971 9 9 5 4 15 14 60 42 46 41 14 37
1972 20 5 10 13 10 24 23 54 48 60 15 18
1973 35 15 15 9 14 22 36 94 45 42 31 10
1974 14 7 15 5 5 15 56 63 41 21 21 7
1975 14 21 10 17 7 30 42 55 50 32 10 11
1976 11 14 18 6 11 20 30 30 33 23 18 8
1977 13 12 20 13 16 21 20 40 82 30 9 29
1978 7 8 5 18 9 47 36 54 50 23 34 32
1979 15 2 12 25 6 44 42 69 40 24 55 21
1980 25 22 20 9 13 53 59 57 27 25 10 9
1981 24 25 14 14 8 25 64 51 22 31 25 15
1982 34 24 30 18 18 27 56 62 79 39 29 16
1983 6 5 4 33 10 16 39 74 44 38 21 19
1984 15 4 6 12 13 20 46 87 29 17 13 42
1985 21 10 35 6 25 32 23 74 83 54 26 22
1986 15 15 2 7 10 18 47 82 87 24 25 20
1987 20 14 8 3 15 24 49 50 54 30 15 32
1988 12 15 16 7 26 23 21 88 25 19 10 35
1989 22 41 10 26 27 28 67 89 55 33 19 21
1990 27 22 22 11 19 24 58 87 64 46 44 39
1991 20 11 43 10 13 20 41 34 39 40 11 15
1992 9 19 21 4 14 27 29 80 39 26 36 46
1993 48 17 23 5 13 27 22 73 90 44 49 21
1994 17 13 28 12 12 25 58 130 32 30 37 25
1995 15 19 8 21 25 29 35 53 35 31 9 13
1996 13 41 14 4 21 24 55 62 33 23 30 14
1997 16 16 4 13 19 20 31 88 45 28 31 20
1998 10 9 29 16 29 25 37 107 61 32 16 21
1999 20 10 9 18 7 40 62 50 58 12 14 9
2000 39 18 11 4 10 27 78 94 64 23 36 24
2001 26 29 10 33 8 20 66 107 28 34 7 11
2002 33 20 10 33 17 25 38 37 76 30 16 17
2003 9 30 16 22 24 34 61 82 32 39 53 26
2004 6 12 12 10 38 37 49 62 51 43 29 30
2005 17 30 15 8 29 25 34 79 93 41 20 27
2006 7 29 30 19 16 32 43 57 56 65 22 15
2007 32 6 8 11 14 30 43 54 79 26 29 22
2008 42 19 25 24 13 42 67 31 40 28 22 27
2009 38 34 34 22 15 25 49 78 35 39 22 18
