"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
1901 -22.2 -24.3 -19 -12.1 -0.4 8.6 11.8 9.3 3.2 -7.8 -16.6 -21.3
1902 -21.8 -22.6 -20.3 -12.2 0 8.8 12.4 9.6 3 -8.1 -16.8 -23.9
1903 -23.2 -24 -19.5 -12.3 -0.3 8.6 11.8 9.8 3.4 -8.8 -17.3 -20.9
1904 -23.9 -26.4 -21.3 -11.4 0.3 10 13.3 8 2.9 -9.2 -16.8 -21.5
1905 -19.6 -20.4 -17.4 -9.5 0.9 9.1 11.2 9.1 1.5 -9 -14 -23.7
1906 -28.6 -21.7 -16.9 -12.1 -0.1 8.5 11.8 9.4 3.3 -7.7 -17.2 -23.6
1907 -19.3 -28.7 -20.2 -10.6 0.3 8.1 11.3 9.7 3 -9.5 -17.9 -22.1
1908 -23 -21.4 -19.9 -12.9 0 8.6 12.1 8.6 1.2 -9.3 -17 -18.9
1909 -25 -25.4 -22.4 -12.3 -0.4 7.5 12.2 9.3 1.8 -9.4 -18.2 -23.7
1910 -25.3 -24.9 -20.2 -15.6 -1 7 10.4 8.9 3.8 -8.6 -16 -24.2
1911 -24.4 -21.6 -22.4 -13.2 -0.9 8.6 11.7 9.4 4.1 -5.1 -16.3 -23.2
1912 -18.5 -20.9 -15.7 -8.7 1.5 7.8 12.2 9.3 3.3 -7.6 -14.9 -22.8
1913 -25.5 -19.4 -17 -11.5 0.6 10.7 11.8 8.4 1.7 -8.3 -16.3 -22.3
1914 -22.6 -21.2 -19.9 -11.6 -0.3 9.3 11.8 10 1.4 -5.9 -16.1 -14.5
1915 -20.8 -25.3 -16.5 -9.7 0.9 9.2 12 9.2 3.5 -10.2 -17 -22.6
1916 -20.3 -23.8 -22.9 -10.4 -1.1 8.2 11.9 9.4 3.5 -6.1 -17.2 -26.6
1917 -28.3 -19.6 -17.7 -11.1 -0.6 8.2 11 9.9 2.8 -8.2 -22 -26.2
1918 -23.3 -24.5 -22.4 -14.1 -1.7 6.9 12.4 9.1 3.8 -8.9 -20.6 -23.4
1919 -25.2 -21.4 -18.4 -11.7 0.2 6.3 11.6 9.4 3.3 -8 -16.6 -21.3
1920 -25.4 -20.3 -22.2 -15.4 -2.3 8.4 10.5 8.8 2.2 -9.1 -16.5 -22.6
1921 -25.1 -25.7 -17.9 -12.2 -0.6 8.2 11.9 10.6 1.9 -8.2 -12.7 -19.9
1922 -19.4 -21.6 -20.7 -10.6 -3.3 6.8 9.7 8.1 1.8 -7.2 -17.9 -19
1923 -25 -20 -19.5 -11 0.4 8.7 12.4 12 3.3 -4.6 -13.9 -26.3
1924 -24.4 -26.4 -15 -18.2 -1.5 8.1 10.4 8.5 2 -11.6 -14.1 -20
1925 -28 -27.9 -18.8 -10.3 0.5 9.6 12.3 11.1 4.6 -3.3 -15.7 -22.8
1926 -18 -24.9 -15.2 -7.3 -0.2 10.1 12.4 10.6 5.7 -4.9 -11.1 -23.9
1927 -19.6 -23.4 -23.3 -15.3 0 9.4 13.1 9.4 1 -9.9 -19.2 -21.3
1928 -18.8 -18.2 -23.5 -10 0 9.4 11.6 8.7 2.2 -7.4 -13.8 -20.8
1929 -16.6 -19.1 -24.3 -11.1 0.1 9.1 10.7 8.4 5.6 -7.9 -13.3 -21
1930 -14.2 -30.1 -23.5 -12.6 -0.5 9 11.7 9.3 2.4 -7.4 -20.3 -19.9
1931 -22.2 -22.6 -18.6 -11.2 -0.7 8 10.1 8.6 2 -9.8 -15 -22
1932 -26.8 -28.7 -15.8 -8.9 -0.2 8.3 11.4 7.8 2.2 -6.5 -20.5 -19.2
1933 -28.2 -24.2 -19.9 -9.6 -1.3 6.7 11.1 9 1.8 -9.5 -17 -25.5
1934 -32 -19 -20.1 -10 -1.2 8.3 10.5 8.8 3.8 -5.9 -16.2 -17.6
1935 -21.5 -20.5 -16 -9.9 -2.1 8.2 12.2 9.1 3.2 -6.5 -17.2 -25.3
1936 -21.6 -25.3 -21.1 -8.9 0.9 11.4 11.4 10.3 2.9 -7.1 -15.3 -23.5
1937 -14.1 -24.9 -22.3 -13.3 -1.2 9.2 12.2 8.7 4.3 -4.9 -12.7 -20.6
1938 -26.6 -25.4 -19.3 -7.9 0.6 9.1 11.6 9.5 3.5 -3.5 -12.8 -20.5
1939 -26.8 -21.5 -22.4 -7.9 -1.9 8.9 11.9 8.8 3 -7.8 -21.7 -20.4
1940 -19.3 -22.6 -18.2 -5 2.4 9.3 12.3 10.1 4.3 -5.7 -12.9 -20.1
1941 -24 -17.9 -18.8 -8.4 0.1 9.3 10.1 10.5 3.8 -7.7 -17.4 -20
1942 -16.2 -17.3 -20.6 -8 0.5 9.1 12.2 9.9 5.3 -6.8 -18.7 -28.1
1943 -27.5 -21 -18.5 -11.1 1.5 9.7 11.5 8.6 2.5 -5.7 -12.8 -20.9
1944 -23.1 -18.5 -20.1 -12.4 -0.4 9 12.1 8.3 2.2 -6 -17.2 -19.9
1945 -17.3 -21.2 -21.8 -11.4 -2.8 6.7 11.4 7.4 3 -7.7 -21.1 -21.7
1946 -19.9 -23.9 -24.3 -13.6 -0.3 8.8 12.5 8 2.1 -5.2 -17.1 -27.3
1947 -29.4 -20.6 -21.4 -10.4 0.8 8.6 12.2 8.2 1.9 -8.2 -13.2 -19.1
1948 -23 -22.9 -20.5 -9.8 -1.8 8.2 10.8 7.7 0.7 -9 -20.2 -25.8
1949 -21.5 -25.2 -14.3 -15.7 -2.8 5.9 11.2 9.7 5.1 -5.2 -11.5 -22.8
1950 -17.7 -28.5 -16.2 -9.8 -0.5 7.8 12.9 10.7 4 -5.4 -13 -20.9
1951 -28.6 -24.4 -23.2 -8.4 1.1 9.5 12 10.1 3.5 -6.9 -11.8 -21.5
1952 -24.4 -24.4 -19.8 -13.8 -3.4 7.8 11.6 9.1 2.3 -5.9 -10.7 -21
1953 -25.5 -23.7 -21.8 -8.7 1.5 9.3 11.9 8.7 3.3 -8.8 -15.4 -22.6
1954 -25.3 -28.9 -17.1 -10.4 1.2 8.7 10.9 10.6 3.6 -5.2 -13.8 -27.9
1955 -19.6 -28.9 -20.2 -13.4 -1 6.9 11.6 7.9 2.5 -9.8 -21.2 -23.5
1956 -26.3 -27.6 -20.1 -11.1 1.1 7.8 11.8 8.3 3 -10.8 -22.9 -26.9
1957 -16.7 -24.8 -18.5 -7 0.9 10.5 11.8 11 2.8 -5.4 -13.7 -27.5
1958 -23.4 -21.6 -15.5 -8.8 -0.9 9.9 12.8 10.2 3.6 -9.1 -15.9 -20.9
1959 -23.5 -17.4 -26.7 -13.6 0.6 8.8 9.6 9.5 2.7 -8.1 -16 -27.9
1960 -24 -19.3 -18.6 -15 1.5 7.6 11.8 8.7 1.2 -8.4 -18.3 -16.2
1961 -18.7 -27.9 -23.6 -13.4 1.5 8.1 10.7 8.9 4 -9.1 -16.6 -27.6
1962 -20.6 -17.1 -18.6 -11.5 -1.6 8.5 12.9 10.6 2.1 -6.9 -15.5 -21.9
1963 -16.9 -21.5 -21 -10.5 1.7 7.7 10.9 8.4 3.8 -9.6 -21.5 -17.2
1964 -24.5 -28.4 -24.5 -14.8 -3 8.1 11.5 9.2 3.1 -6.9 -16.5 -28.3
1965 -24.9 -28.9 -13.6 -9.9 -2.8 7.6 10.6 8.2 3.9 -11.6 -11.6 -23.9
1966 -23.6 -23.7 -25.4 -13.1 -2.6 8.5 11.2 8.8 3.9 -7.9 -13.7 -24.1
1967 -21.2 -22.8 -15.4 -7.9 0.4 9.2 11.2 9.2 2.9 -8.7 -15.6 -20.3
1968 -20.5 -27.2 -18.2 -12.6 0 8.1 13.6 11.1 2.5 -8 -16.7 -24.4
1969 -21.9 -23.5 -18.2 -8.8 2.3 9.7 10.7 6.5 4.3 -4.9 -19.9 -17.5
1970 -26.3 -20.1 -17.9 -11.9 0.3 8.5 11.2 8.7 0.5 -12.7 -14.3 -22.5
1971 -28.3 -28.9 -23.9 -13.6 -1.7 9.6 12.2 8.3 3.1 -8.5 -16.8 -20.8
1972 -24.2 -25.8 -25.6 -14.5 -0.3 8.1 13.7 11 2.9 -5.2 -15.1 -19.3
1973 -25.4 -21.1 -22.4 -11.4 0.1 8.2 11 8.9 4.1 -7.7 -15.4 -19.7
1974 -22.2 -30.7 -20.4 -11.7 0.4 7.3 11.7 11.2 5.3 -10.7 -19.6 -29.2
1975 -27.2 -23.6 -17.7 -13.2 -0.4 7.5 11.5 9.1 1 -10 -21.7 -26
1976 -24.4 -29.3 -20.4 -12.7 -0.8 7.7 11.2 10.5 4.2 -8.1 -13.9 -23.5
1977 -15.2 -19.3 -24.7 -15.2 -0.7 8.9 13 12.8 4.9 -6.6 -19.1 -21
1978 -15.2 -20.5 -17.9 -8.7 0.9 7.9 12.9 10.5 4.9 -10 -12 -19.1
1979 -15.2 -27.4 -17.8 -9.1 1.6 8.7 12.5 11.8 4.5 -5.1 -10.2 -25.8
1980 -23.8 -18.5 -15.9 -10.1 1.3 8.9 11.7 8.5 1.6 -6.3 -15.4 -26.6
1981 -13 -21.1 -13.6 -9.4 2.8 9.5 11.3 8.8 2 -7.3 -15.6 -21.3
1982 -21.1 -19.6 -17.8 -13.1 -1.2 9.4 12.2 9.9 3.7 -10.9 -16.9 -19.2
