"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
1901 -21.6 -22.6 -15 -9.1 1.6 9.6 11.6 8.6 2.8 -7.9 -16.7 -19.4
1902 -20.4 -19.3 -18.4 -9.1 2.1 10 12.3 9 2.3 -8.2 -17.5 -24.1
1903 -23.1 -21.4 -16.5 -9.5 1.7 9.6 11.4 9.4 2.7 -9.9 -18.1 -18.4
1904 -23.1 -25.3 -18.5 -7.3 2.6 10.6 12.9 7.4 1.8 -9.4 -17.2 -19.3
1905 -18.6 -17.2 -13.2 -5.4 3.4 10.3 11.2 8.7 0.7 -9.5 -13.1 -22
1906 -28.8 -18.9 -13.1 -8.4 2.4 9.5 11.5 8.7 2.8 -7.8 -17 -23.3
1907 -18.7 -27.1 -17.4 -6.8 3.2 8.8 11.2 9.4 2.5 -10 -17.4 -19.9
1908 -20.6 -19.5 -16.8 -8.9 2.1 9.6 11.9 8.3 0.9 -10.5 -16.3 -17.3
1909 -25.5 -23.9 -17.8 -9.6 1.9 8.7 12 8.6 0.9 -10.3 -19.5 -22.1
1910 -23.4 -23.2 -16.7 -10.9 1.9 8.3 10.7 8.3 3.2 -9.3 -16.4 -22.8
1911 -24.6 -18.5 -18.6 -10.4 1.5 9.3 11.7 9 3.5 -5.4 -17.1 -21
1912 -17.2 -17 -12.1 -5.5 3.7 8.1 11.6 8.7 2.9 -7.6 -15 -21
1913 -25.3 -16.8 -14.5 -8.1 2.7 11.2 11.5 7.8 1.2 -9.3 -16.3 -20.5
1914 -21.4 -18.2 -16.3 -7.9 2.6 10.3 12.2 9.6 1.1 -6.1 -15.7 -13.5
1915 -18.2 -22.2 -12.6 -5.2 3.7 10.6 12.7 9.1 3.3 -10.9 -16.5 -20.8
1916 -19.8 -21.7 -19.7 -6.1 1.4 9.3 11.6 9 3 -6.5 -16.8 -24.7
1917 -26.2 -17.4 -14.2 -7.4 1.6 9 10.5 9.6 2.5 -8.7 -22 -26.1
1918 -21.3 -21.8 -19.8 -10.4 0.4 8 12.4 8.4 3.7 -9.1 -19.4 -21.5
1919 -23.3 -18.9 -16.5 -7.5 2.5 7.2 11.7 9.3 3.1 -8.5 -17.4 -20.3
1920 -24 -16 -18.8 -11.6 -0.1 9.4 10.6 8.3 1.7 -10 -16 -20.6
1921 -24.4 -22.9 -14.8 -8.4 1.5 9.6 11.6 10 1.2 -8.5 -14.3 -17.7
1922 -17.7 -20 -18.3 -7.5 -0.4 7.9 9.9 7.7 1.2 -6.7 -16.7 -18.6
1923 -22.9 -17 -16.5 -7.5 2.5 9.7 12.4 11.5 3 -4.3 -13.3 -24.5
1924 -21 -23 -11.2 -13.6 1.6 9.3 10.2 8.2 1.7 -11.7 -13.5 -19.9
1925 -27.4 -24.9 -15.7 -7.3 2.9 9.9 11.4 10 3.9 -4 -14.6 -20.8
1926 -13.6 -21.2 -10.8 -4.5 2.7 11 12.1 9.9 4.8 -5.6 -11.5 -21.7
1927 -18.5 -19.7 -18.9 -12.1 2.1 10.2 12.7 9 0.8 -10.5 -20.9 -21.1
1928 -16.9 -15.6 -19.8 -7.5 2.3 9.9 11.5 8.3 1.7 -8.3 -13.1 -17.5
1929 -15 -16.1 -20.4 -8.6 2.1 9.9 10.6 8 5.3 -7.6 -12.3 -20.8
1930 -16.2 -27.8 -19 -9.1 2 9.5 11.6 9.1 2 -8.3 -19.3 -16.9
1931 -18.1 -17.6 -15.7 -8.2 1 8.9 10.1 8.1 2 -9.7 -15 -21.1
1932 -25.2 -27.2 -13.1 -5.7 2 8.8 11.2 7.6 1.7 -6.8 -20.7 -19.2
1933 -26.9 -22 -17 -6.5 1.6 7.6 10.8 8.4 1.6 -10.3 -15.6 -26.9
1934 -29.7 -15.8 -16.6 -6.5 1.4 9.1 10.4 8.7 3.3 -6.2 -16 -16.7
1935 -21.1 -17 -15.2 -7.1 0.2 8.8 11.9 7.9 2.2 -8.2 -17.1 -23.7
1936 -19.7 -24.1 -17.1 -6.8 3 12.2 11.6 10 2.3 -6.6 -14.4 -22.9
1937 -12.8 -23.3 -18.3 -9.8 0.6 10.1 11.8 8.1 4 -5.2 -13 -20.3
1938 -24.4 -23.5 -15.7 -4.9 2.5 9.3 11 9 4 -3.5 -13.4 -18.7
1939 -23.2 -19.5 -18.8 -5.6 1 9.9 11.9 8.2 2.1 -9.5 -20.2 -17.2
1940 -16.7 -18.9 -14.6 -1.8 4.1 10.3 12.3 9.7 3.7 -6.3 -14.1 -17.9
1941 -21.7 -14.8 -14.2 -4.4 2.4 10.4 10.5 10.3 3 -8.6 -18.1 -19.9
1942 -15 -14.3 -16.8 -5.2 3.8 10.3 12.2 9.8 5.1 -7 -19.2 -27.4
1943 -26.1 -17.5 -15.4 -7.4 3.3 10.7 11.6 8.1 2.5 -6.1 -11.8 -17.3
1944 -19.9 -15.2 -16.7 -9.3 2.4 10 12.2 8.2 2 -6.3 -16.1 -17.8
1945 -15 -17.8 -17.3 -9.1 -0.2 8 11.3 7.9 2.6 -8 -21 -19.8
1946 -18.3 -20.4 -20.4 -9.4 2.3 10.5 12.6 7.8 2 -5.4 -18.3 -26.5
