"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
1901 -20.4 -19.9 -10 -3.7 5.6 12.6 14.2 11.3 6 -4.2 -14.3 -17.2
1902 -18.9 -15.5 -14.5 -3.8 6.2 13.2 15.1 11.8 5.4 -4.5 -15.3 -23.3
1903 -22.4 -18.3 -12.1 -4.3 5.7 12.6 14 12.2 5.9 -6.7 -16.1 -16
1904 -22.2 -23.1 -14.4 -1.5 6.8 13.7 15.8 9.9 4.8 -5.9 -15 -17.2
1905 -16.9 -13.2 -7.9 0.7 7.8 13.4 13.9 11.4 3.5 -6.1 -9.9 -20.1
1906 -29 -15.4 -7.9 -2.9 6.6 12.5 14.1 11.4 6.1 -4.1 -14.6 -22
1907 -17.3 -24.9 -13.2 -1 7.7 11.4 13.9 12.3 5.8 -6.8 -14.8 -17.6
1908 -18.6 -16.5 -12.3 -3.4 6.1 12.6 14.5 11 4.1 -7.4 -13.3 -14.9
1909 -24.9 -21.3 -13 -4.5 6 11.7 14.6 11.3 3.8 -7.2 -17.8 -20.2
1910 -21.9 -20.5 -12 -5.2 6.2 11.3 13.4 11 6.5 -5.9 -14 -21
1911 -23.9 -14.9 -14.1 -5.4 5.6 12.1 14.5 11.9 6.7 -1.5 -14.9 -18.8
1912 -15.3 -13.1 -7 0.2 7.9 10.7 14.2 11.4 6.2 -3.8 -12.3 -19
1913 -24.6 -13.1 -10.1 -2.6 6.9 14.3 14.1 10.4 4.2 -6 -13.8 -18.4
1914 -20 -14.6 -11.7 -2.3 6.9 13.4 15.1 12.5 4.2 -2.2 -13 -10.8
1915 -15.9 -18.8 -7.4 1 8.3 14 15.9 12 6.7 -7.7 -13.9 -18.7
1916 -18.4 -18.9 -15.5 -0.1 5.6 12.3 14.3 11.8 6.3 -2.7 -14.3 -22.8
1917 -24.8 -14.4 -9.5 -1.8 5.7 11.8 13 12.4 5.8 -5.2 -20 -25.1
1918 -19.6 -18.8 -15.9 -5 4.4 11.1 15.3 11 7.3 -5.5 -16.9 -19.4
1919 -21.9 -15.4 -12.5 -1.7 6.7 10.1 14.6 12.4 6.6 -4.8 -15.4 -18.5
1920 -22.9 -11.5 -14.3 -6.3 3.9 12.2 13.2 10.9 4.9 -6.6 -13.1 -18.4
1921 -23.4 -19.8 -10.2 -2.9 5.5 12.8 14.1 12.7 4.2 -5 -12.2 -15.2
