"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
1901 -19.8 -21.5 -15.7 -9.3 1.5 9.3 12.1 9.6 4.1 -6.2 -14.2 -19
1902 -19.4 -19.6 -16.9 -9.3 2.1 9.4 12.7 9.9 3.8 -6.7 -14.5 -21.9
1903 -20.9 -21.3 -16 -9.4 1.6 9.4 12.1 10.3 4.5 -7.3 -14.9 -18.5
1904 -21.5 -23.7 -18.1 -8.6 2.2 10.5 13.3 8.3 3.7 -7.7 -14.4 -19.2
1905 -17.2 -17.6 -14.1 -6.6 2.7 9.8 11.6 9.4 2.3 -7.6 -11.7 -21.4
1906 -26.1 -18.8 -13.7 -9.3 1.8 9.1 12.1 9.6 4.2 -6.2 -14.8 -21.1
1907 -16.9 -26.1 -17.4 -7.9 2 8.7 11.5 9.9 3.8 -8.1 -15.9 -20
1908 -21 -18.2 -16.7 -10.3 1.9 9.2 11.9 8.7 1.7 -8 -15 -16.6
1909 -22.8 -22.6 -19.7 -9.3 1.4 7.9 12.3 9.6 2.6 -7.9 -15.6 -21.6
1910 -23.3 -22.2 -17.1 -13.1 0.7 7.2 10.3 9.1 4.7 -7.2 -13.4 -22.2
1911 -21.9 -19.1 -19.5 -10.4 0.8 9.1 11.7 9.7 5 -3.6 -13.8 -21.4
1912 -16 -18 -12.3 -5.6 3.5 8.4 12.5 9.5 4.1 -6.3 -12.6 -20.7
1913 -23.3 -16.5 -13.5 -8.6 2.5 11.4 12 8.6 2.5 -6.7 -13.9 -20.1
1914 -20.4 -18.3 -16.7 -8.4 1.7 10 12.2 10.3 2.1 -4.4 -13.8 -12.1
1915 -18.6 -22.9 -13 -7 2.7 9.9 12.3 9.4 4.5 -8.7 -14.7 -20.4
1916 -17.6 -20.8 -19.8 -7.8 0.4 8.6 12.1 9.6 4.5 -4.4 -14.9 -24.7
1917 -26.3 -16.4 -14.4 -8.3 1.2 8.7 11.1 10 3.4 -6.8 -20 -23.6
1918 -21.1 -21.8 -19.2 -11.3 0.2 7.5 12.7 9.3 4.5 -7.5 -19.1 -21.4
1919 -23.7 -18.3 -14.8 -9 2 6.9 11.7 9.9 4.3 -6.4 -14.2 -19.2
1920 -23.4 -17.2 -18.9 -12.9 -0.5 9 10.5 8.8 2.8 -7.5 -14.3 -20.9
1921 -22.8 -23.2 -14.5 -9.5 1.2 8.8 11.8 10.8 2.5 -7 -10.2 -17.7
1922 -17.4 -18.7 -17.7 -7.8 -1.3 7.4 9.9 8.3 3 -5.5 -15.9 -16.7
1923 -22.2 -17.1 -15.7 -8.1 2.1 9.3 12.4 12.1 4.4 -3.4 -11.7 -23.7
1924 -22.1 -23.4 -11.7 -15.4 0.4 9.2 10.6 8.8 3.2 -9.9 -11.5 -17.4
1925 -25.1 -24.3 -15 -7.3 2.3 10.3 12.5 11.4 5.4 -1.7 -13.2 -20.7
1926 -15.3 -22.1 -11.4 -4.1 1.8 11 12.6 11 6.6 -3.8 -9 -22
1927 -16.5 -20.4 -20.6 -12.6 1.5 9.8 12.9 9.6 1.7 -8.5 -17.5 -18.7
1928 -16.8 -15.3 -20.5 -7.2 2 9.9 11.4 8.8 2.9 -6.2 -12.1 -18.5
1929 -13.2 -15.9 -21.5 -8.6 1.9 10 11 8.4 6.4 -7.1 -10.4 -19
1930 -11.6 -27.8 -20.4 -9.7 1 9.3 11.3 9.5 2.8 -6 -18.5 -17.6
1931 -19.6 -19.7 -15.8 -9.1 1.2 8.7 10.4 9.1 3 -8 -12.5 -19.6
1932 -24.5 -25.9 -12.6 -6 1.4 8.9 11.4 8.2 2.9 -5 -18.8 -16.9
1933 -25.9 -21.1 -17.2 -6.6 0.4 7.3 11.3 9.3 2.8 -7.9 -14.5 -23.4
1934 -29.9 -15.7 -16.4 -6.5 0.9 9 10.5 9.1 4.8 -4.6 -14 -15.5
1935 -19.3 -17.9 -12.4 -6.8 0.3 9.4 12.6 9.6 4.2 -5 -14.4 -23.2
1936 -18.9 -21.2 -18 -5.8 3.4 12.2 11.5 10.3 3.9 -5.1 -13.1 -21.3
1937 -11.1 -22.4 -19.7 -10.3 0.6 9.8 12.5 9.1 5.1 -3.6 -10.9 -18.9
1938 -24.6 -22.8 -16 -4.2 2.5 9.6 11.6 9.6 4.2 -2.5 -10.8 -18.1
1939 -25 -17.9 -19.7 -5.8 -0.5 9.6 12.1 8.9 3.6 -6.9 -20.1 -19.4
1940 -16.8 -19.1 -15.3 -1.7 4.5 10.5 12.3 10.3 4.8 -4.8 -10.9 -18.2
1941 -22.1 -14.8 -15.2 -5.1 1.9 10.2 10.5 10.9 4.7 -5.9 -15.1 -17.8
1942 -13.6 -14.2 -17.3 -4.8 2.5 9.8 12.2 10.2 6.3 -5.7 -16.6 -27
1943 -25.3 -18 -15.1 -8.3 3 10.5 11.7 8.8 3.1 -4.4 -10.8 -19.2
1944 -21.1 -15.3 -17.3 -9.5 1.5 9.7 12.4 8.8 3.2 -4.8 -15.1 -17.4
1945 -14.2 -17.7 -18.9 -8.7 -0.9 7.7 11.7 8.1 4 -6.3 -18.8 -20
1946 -17.1 -21.6 -22 -10.4 1.5 9.5 12.7 8.2 3.2 -3.6 -15.2 -24.8
1947 -27.4 -17.3 -18.9 -7.2 3 9.6 12.2 8.7 2.6 -7 -11.1 -17.2
1948 -20.5 -20.8 -17.4 -7.2 0.4 9.2 10.7 7.9 1.7 -7.4 -18.2 -23.2
1949 -19.2 -22.6 -11.4 -12.7 -1 6.6 11.5 9.7 5.8 -4.2 -9.3 -20.8
1950 -15.6 -26 -12.7 -7.1 1.1 8.3 13.1 11.1 4.7 -4.2 -11.9 -19
1951 -25.9 -20.9 -20.8 -5.5 3.3 10.3 11.8 10 4.2 -5.9 -10.2 -19.4
1952 -22.2 -21.4 -16.6 -11.1 -1.6 8.5 11.7 9.4 3.1 -4.4 -8.5 -19.5
1953 -23.2 -20.7 -19.3 -5.9 3.5 10.1 12.5 9.2 4.1 -7.3 -13.2 -19.9
1954 -23.6 -26.9 -14.3 -7.8 3.6 9.6 11 10.2 4.1 -3.9 -11.4 -26.4
1955 -16.6 -25.8 -16.7 -11.1 1 7.3 11.8 8.4 3.5 -8.4 -18.3 -21.2
1956 -24.7 -24.7 -17.6 -8.8 2.9 8.6 12 9.1 3.6 -9.4 -20.8 -25.7
1957 -14.4 -21.5 -15 -4.3 3.1 11.7 12 11.2 3.8 -3.9 -10.5 -25.5
1958 -21.1 -18.2 -11.8 -5.5 1 10.6 12.9 10.1 4 -8.1 -13.9 -18.9
1959 -21.1 -14.4 -23.9 -11 2.6 9.5 9.7 9.9 3.5 -6.9 -13 -25.9
1960 -20.5 -16.7 -16.2 -12.7 3.4 8.2 12.2 9.1 2.2 -6.8 -15.5 -13.5
1961 -16.1 -25.2 -20.7 -10.2 3.4 8.5 10.7 9.2 4.6 -8.1 -14.3 -25.9
1962 -19.6 -14.4 -15.5 -8.7 0.2 9 13.3 10.6 2.8 -5.7 -13.7 -20.4
1963 -13.9 -18.5 -17.4 -8.6 3.2 8.1 11.1 8.5 4.9 -8.3 -20 -15.1
1964 -21.8 -25.3 -21.3 -11.6 -1.6 9 11.8 9.6 4.2 -5.4 -14.5 -26.1
1965 -22.4 -26.2 -10 -7.2 -1.3 8.2 10.6 8.3 5 -10.2 -10.1 -22.2
1966 -20.9 -20.2 -22.9 -10.1 -1.1 9 11.3 9.1 4.7 -7.1 -11.8 -22.3
