"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
1901 -24.4 -26.7 -21.4 -14.1 -1.6 8.5 11.8 9 2.3 -9.6 -18.9 -23.5
1902 -23.9 -24.9 -23 -14.3 -1.4 8.7 12.3 9.2 2.1 -9.8 -19.1 -26.1
1903 -25.3 -26.3 -22.3 -14.5 -1.5 8.4 11.7 9.4 2.3 -10.6 -19.6 -23.1
1904 -26.1 -28.8 -23.7 -13.4 -0.8 9.9 13.5 7.7 1.9 -11 -19.2 -23.7
1905 -21.6 -22.6 -19.8 -11.4 -0.3 9 11.2 8.9 0.6 -10.7 -16.1 -26
1906 -30.9 -24 -19.2 -14.1 -1.3 8.4 11.8 9.1 2.4 -9.6 -19.4 -26.2
1907 -21.3 -30.8 -22.2 -12.4 -0.7 7.9 11.4 9.6 2.1 -11.2 -19.8 -24.1
1908 -24.7 -24.1 -22.4 -14.7 -1.2 8.5 12.4 8.5 0.7 -11.1 -18.9 -21.1
1909 -27.1 -27.8 -24.4 -14.5 -1.5 7.6 12.2 8.9 0.8 -11.3 -20.8 -25.7
1910 -27.1 -27.2 -22.6 -17.3 -2 7.2 10.7 8.7 2.8 -10.4 -18.4 -26.2
1911 -26.8 -23.5 -24.6 -15.4 -1.9 8.5 11.9 9.2 3.1 -6.8 -18.8 -25.1
1912 -20.6 -23 -18.2 -10.9 0.2 7.5 12.2 9 2.4 -9.2 -17.2 -24.9
1913 -27.7 -21.8 -19.8 -13.6 -0.6 10.4 11.9 8.1 0.8 -10.3 -18.6 -24.5
1914 -24.5 -23.6 -22.4 -13.9 -1.5 9.2 11.8 9.7 0.6 -7.7 -18.2 -16.6
1915 -22.6 -27.1 -19.1 -11.6 -0.2 9.1 12.2 9.1 2.5 -12 -19.3 -24.8
1916 -22.6 -26.4 -25.3 -12.1 -2 8.3 12 9.3 2.6 -8.1 -19.3 -28.5
1917 -30.2 -22.1 -20.3 -13.1 -1.7 8.1 11.1 9.9 2.1 -9.9 -24.1 -28.9
1918 -25.3 -26.7 -24.9 -16.2 -3 6.8 12.5 8.9 3 -10.5 -22.3 -25.4
1919 -26.6 -23.8 -21.3 -13.6 -0.9 6.2 11.8 9.1 2.3 -9.7 -19 -23.4
1920 -27.1 -22.5 -24.7 -17.1 -3.4 8.4 10.7 8.7 1.5 -11 -18.6 -24.3
1921 -27.1 -27.7 -20.5 -14 -1.8 8.1 12.3 10.4 1.1 -9.7 -15.1 -21.8
1922 -21.1 -24 -23 -12.7 -4.6 6.7 9.8 8 0.6 -9.1 -19.8 -21.3
1923 -27.4 -22.3 -22.5 -13.1 -0.7 8.7 12.6 11.9 2.2 -5.9 -16 -28.7
1924 -26.3 -28.9 -17.5 -20 -2.6 7.7 10.4 8.2 0.7 -13.5 -16.4 -22.5
