"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
1901 -20.6 -22.9 -18.1 -11.5 -0.2 7.9 11.4 9.6 4.3 -5.7 -14.6 -19.4
1902 -20.3 -21.5 -19 -11.5 0.2 7.9 12 9.8 4.1 -6.1 -14.8 -21.6
1903 -21.4 -22.7 -18.3 -11.6 -0.1 8 11.4 10.1 4.5 -6.5 -15.1 -19
1904 -22.3 -24.8 -20.2 -10.9 0.3 9.1 12.7 8.3 4 -7.2 -14.8 -19.5
1905 -18.3 -19.4 -16.7 -9.1 0.8 8.2 10.7 9.3 2.7 -6.9 -12.3 -21.7
1906 -26.7 -20.7 -16.2 -11.6 -0.1 7.8 11.5 9.6 4.3 -5.7 -15.2 -21.2
1907 -18 -27.2 -19.4 -10.3 0.1 7.4 10.9 9.8 3.9 -7.4 -16.2 -20.3
1908 -21.9 -19.7 -18.9 -12.5 0.2 7.9 11.5 8.7 2 -7.2 -15.6 -17.1
1909 -23.4 -24 -21.8 -11.4 -0.3 6.7 11.7 9.5 2.9 -7.1 -15.8 -21.7
1910 -24.2 -23.5 -19.3 -15.3 -1.1 6 9.8 9 4.8 -6.4 -13.8 -22.3
1911 -22.6 -20.7 -21.6 -12.4 -0.9 7.9 11.1 9.6 5.2 -3.1 -14.1 -21.5
1912 -17.2 -19.9 -14.8 -8 1.7 7.3 11.9 9.5 4.2 -5.7 -13.1 -20.9
1913 -23.8 -18.3 -15.6 -10.8 0.7 10 11.5 8.6 2.8 -6 -14.3 -20.4
1914 -21.2 -20 -18.8 -10.7 -0.2 8.5 11.5 10.2 2.4 -3.9 -14.2 -12.7
1915 -19.7 -24.4 -15.5 -9.5 0.7 8.3 11.4 9.3 4.5 -8 -15.1 -20.6
1916 -18.6 -22.3 -21.9 -10.3 -1.3 7.3 11.4 9.5 4.5 -4 -15.3 -24.7
1917 -26.9 -18.2 -16.7 -10.7 -0.5 7.4 10.6 10 3.7 -6.1 -19.9 -23.5
1918 -22.1 -23.3 -21.1 -13.4 -1.5 6.2 11.9 9.3 4.6 -6.9 -19 -21.6
1919 -24.1 -20.3 -17 -11.4 0.1 5.7 11 9.5 4.2 -6 -14.5 -19.5
1920 -24.1 -19.6 -21.1 -15 -2.2 7.7 10 8.9 3 -6.9 -14.9 -21.2
1921 -23.5 -24.7 -16.8 -11.7 -0.6 7.3 11.3 10.8 2.9 -6.3 -10.8 -18.3
1922 -18.4 -20.3 -19.6 -10 -3.2 6.1 9.2 8.2 3 -5.2 -16.3 -17
1923 -23.5 -18.8 -18.1 -10.4 0.4 8 11.8 12 4.4 -3 -12.2 -24.1
1924 -23.2 -25 -14.3 -17.8 -1.5 7.5 9.9 8.7 3.2 -9.3 -12.2 -17.7
1925 -25.9 -26.4 -17.4 -9.6 0.5 9 12 11.4 5.6 -1.3 -13.6 -20.7
1926 -16.9 -23.8 -14 -6.5 -0.1 9.5 12 10.9 6.7 -3 -9.4 -22.2
1927 -17.8 -22.2 -22.7 -14.8 -0.2 8.5 12.5 9.6 1.9 -7.8 -17.3 -19
1928 -17.8 -17 -22.6 -9.5 0 8.6 10.8 8.8 3.1 -5.5 -12.6 -19.3
1929 -14.8 -17.9 -23.3 -10.6 0.1 8.6 10.3 8.5 6.4 -6.3 -11.4 -19
1930 -12.4 -28.6 -22.5 -11.9 -0.7 8.1 11 9.4 3.2 -5.3 -18.6 -18.3
1931 -21 -21.9 -17.8 -11 -0.5 7.4 9.8 9 3.1 -7.5 -13 -19.7
1932 -25.2 -27.1 -14.8 -8.3 -0.4 7.6 10.9 8.1 3.1 -4.5 -18.7 -17.2
1933 -26.6 -22.8 -19.1 -9.1 -1.4 5.9 10.7 9.2 2.8 -7.3 -15.3 -23
1934 -30.5 -17.7 -18.8 -9.1 -1 7.6 9.9 8.9 4.8 -4 -14.3 -15.7
1935 -20 -19.6 -14.3 -9.2 -1.7 7.9 11.9 9.6 4.4 -4.2 -15.1 -23.2
1936 -20.3 -23.1 -20.4 -8 1.3 10.7 10.9 10.3 4.1 -5.1 -13.5 -21.4
1937 -12.5 -23.3 -21.4 -12.4 -1 8.5 11.9 9 5.3 -3 -11.1 -18.7
1938 -25.3 -24 -18.4 -6.8 0.8 8.4 11.1 9.5 4.2 -2 -11.2 -18.5
1939 -25.8 -19.8 -21.7 -7.7 -2.2 8.2 11.4 8.9 3.9 -5.9 -20.1 -19.6
1940 -18.3 -21.5 -17.7 -4.4 2.6 8.8 11.7 10.2 5.1 -4 -11.1 -18.5
1941 -22.9 -16.8 -17.9 -7.8 0.2 8.7 9.8 10.7 4.9 -5.4 -15.3 -17.9
1942 -14.8 -15.9 -19.6 -7.1 0.4 8.4 11.6 10 6.2 -5 -16.6 -26.4
1943 -25.8 -19.9 -17.5 -10.6 1.4 8.9 11 8.8 3.3 -3.9 -11.2 -19.7
1944 -22.1 -17.4 -19.4 -11.7 -0.4 8.3 11.6 8.6 3.4 -4.2 -15.5 -18
1945 -15.8 -19.9 -21.1 -10.6 -2.7 6 10.9 7.7 4.1 -5.8 -19 -20.2
1946 -18.3 -23.1 -23.8 -12.9 -0.3 8 12 8.2 3.3 -3.1 -15.1 -24.8
1947 -27.8 -19.2 -21.1 -9.5 1 8.2 11.6 8.5 2.9 -6.2 -11.7 -17.8
1948 -22 -21.6 -19.3 -8.9 -1.5 7.6 10.4 8 1.8 -7 -18.2 -23.5
1949 -20.2 -23.8 -13.6 -14.9 -2.8 5.3 10.8 9.9 6 -3.1 -9.9 -20.6
1950 -16 -26.9 -15.3 -9.1 -0.6 7.1 12.3 10.9 5 -3.3 -10.8 -19
1951 -27.1 -22.5 -22.2 -7.7 1.3 9 11.5 10.2 4.5 -4.7 -10.2 -19.2
1952 -22.8 -23.3 -18.6 -13.3 -3.2 7.1 11.2 9.4 3.4 -3.9 -9.1 -19.6
1953 -23.8 -22.6 -21.2 -8.2 1.7 8.6 11.6 9 4.4 -6.8 -13.6 -21
1954 -24.1 -27.7 -16.1 -9.6 1.4 8.2 10.5 10.6 4.6 -3.3 -12.2 -25.7
1955 -18.2 -27.3 -19.3 -12.8 -0.9 6.1 11.1 8.2 3.6 -7.8 -18.6 -21.2
1956 -24.9 -26.2 -19.5 -10.9 1.2 7.3 11.4 8.7 4.1 -8.4 -20.9 -24.8
1957 -15.3 -23.3 -17.7 -6.3 1.2 10 11.4 11.1 3.9 -3.4 -11.9 -25.6
1958 -22.7 -20.2 -14.3 -8 -0.9 9.1 12.4 10.3 4.5 -6.7 -13.9 -19.2
1959 -21.8 -16 -25.6 -13.2 0.8 7.9 9.2 9.8 3.8 -6.1 -14.1 -26.6
1960 -22.7 -18.2 -17.6 -14.9 1.6 6.9 11.5 8.8 2.2 -6.4 -16.2 -14.5
1961 -17.6 -26.9 -22.6 -12.7 1.6 7.2 10.2 9.1 4.9 -7 -14.3 -25.7
1962 -19.8 -15.7 -17.3 -10.9 -1.5 7.6 12.6 10.6 3.1 -5.1 -13.9 -20.4
1963 -15.2 -20.2 -19.6 -10.2 1.7 7 10.4 8.4 4.8 -7.8 -19.7 -15.6
1964 -22.9 -27.7 -23.5 -14.2 -3 7.4 11.1 9.4 4.2 -5.1 -15 -25.9
1965 -23.8 -27.8 -12.9 -9.3 -2.9 6.8 10 8.4 4.8 -9.2 -9.8 -22
1966 -21.7 -21.9 -24.6 -12.5 -2.8 7.6 10.7 9 4.8 -6.1 -11.6 -22
1967 -19.3 -21.3 -14.2 -7.3 0.6 8.6 10.7 9.5 3.8 -6.7 -13.7 -18.3
1968 -18.5 -26 -17.6 -12.1 0 7.3 13.1 11.1 3.5 -5.8 -14.8 -22.4
1969 -19.5 -22 -17.2 -8.5 2.5 8.8 10.3 6.9 5.3 -3.1 -18.1 -16.4
1970 -25.5 -18.9 -17.1 -11.6 0.3 7.9 10.6 8.8 1.7 -10.4 -12.1 -20.5
1971 -26.4 -27.9 -23.1 -13.3 -1.9 8.6 11.6 8.4 4 -6.2 -14.8 -18.8
1972 -22.4 -24.3 -24.7 -14.1 -0.4 7.3 13.2 11.2 3.9 -3.1 -13.2 -17.5
1973 -23.9 -19.8 -21.8 -11.1 0 7.3 10.4 8.9 5 -5.6 -13 -18.3
1974 -20.5 -29.2 -19.1 -11.1 0.5 6.6 11.2 11.3 6.1 -8.7 -17.7 -27.4
1975 -25.6 -22.7 -17.1 -12.7 -0.5 6.7 11 9.3 1.9 -7.9 -19.7 -23.7
1976 -23.2 -28.4 -20 -12.9 -1 6.9 10.7 10.5 5 -6 -12.7 -21.7
1977 -14 -18.1 -23.9 -14.9 -0.9 8.2 12.5 12.9 5.9 -4.7 -17 -18.6
1978 -13.9 -19.3 -17.2 -8.1 1.1 7.1 12.2 10.7 5.7 -7.9 -10.2 -16.8
1979 -13.5 -25.6 -16.7 -8.3 1.7 7.9 11.9 11.7 5.3 -3.3 -8.8 -23.7
