"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,44,29,53,13,39,26,56,127,50,59,26,40
2007,38,37,13,18,37,60,65,133,68,71,35,66
2008,31,40,25,17,24,50,70,77,72,72,34,62
2009,19,17,30,22,31,50,91,116,75,57,54,52
2010,32,23,20,11,14,58,105,88,52,63,45,54
2011,27,36,9,22,35,43,80,101,88,71,45,32
2012,31,25,25,19,44,30,107,132,94,58,41,24
2013,23,29,32,17,39,68,134,130,72,60,50,58
2014,46,29,23,23,27,61,92,87,103,47,23,40
2015,35,52,15,34,23,69,85,118,74,55,69,28
2016,22,51,31,34,35,39,67,85,79,71,67,20
2017,25,37,18,15,22,46,84,54,92,88,57,54
2018,33,36,27,14,46,71,83,76,66,37,53,47
2019,17,38,16,29,57,75,78,109,72,44,70,48
2020,30,37,38,25,45,55,88,89,69,82,37,33
2021,18,31,27,15,46,74,87,133,96,61,27,17
2022,31,40,25,17,39,30,72,86,63,87,56,27
2023,32,31,25,39,35,64,69,130,86,67,26,44
2024,47,32,23,12,39,45,45,60,64,18,48,58
2025,64,34,31,31,37,45,99,99,43,41,37,24
2026,35,26,22,19,20,57,54,91,59,74,69,25
2027,28,26,25,24,41,50,64,105,45,36,40,51
2028,32,26,23,26,18,46,85,91,89,55,12,14
2029,28,45,36,20,30,41,93,101,42,56,47,55
2030,24,42,43,43,36,60,58,141,59,87,33,53
2031,19,44,32,29,19,43,99,119,59,72,41,32
2032,58,45,44,35,36,71,88,151,60,28,44,30
2033,26,42,25,14,33,77,103,57,84,57,15,68
2034,17,48,25,19,37,31,68,103,77,52,19,39
2035,29,34,39,27,44,86,82,112,78,71,33,57
2036,37,39,26,15,44,43,82,113,83,72,22,40
2037,57,19,34,25,28,33,56,108,80,46,69,45
2038,37,21,39,21,42,53,84,70,32,39,59,65
2039,48,35,20,15,64,32,69,98,72,65,56,27
2040,26,38,20,18,15,60,76,128,89,40,49,55
2041,16,34,39,27,52,20,59,64,45,64,53,37
2042,43,30,19,36,31,72,88,97,61,41,36,48
2043,32,44,48,30,48,59,30,56,87,85,30,23
2044,20,37,22,25,32,40,106,121,62,82,77,42
2045,50,12,35,27,31,50,110,141,81,42,46,39
2046,52,24,36,36,40,60,60,126,77,50,61,40
2047,45,53,42,36,30,54,80,138,63,45,19,46
2048,31,32,26,21,53,80,94,113,64,65,42,21
2049,54,24,28,33,23,39,64,133,63,59,29,41
2050,30,29,30,16,57,60,91,134,48,67,32,36
2051,48,48,53,26,12,38,41,107,66,62,30,38
2052,55,49,40,33,55,35,48,103,99,81,38,38
2053,41,27,31,13,42,92,85,56,81,59,32,34
2054,28,17,44,36,42,56,75,118,55,69,27,38
2055,11,38,21,26,31,83,96,123,68,58,37,31
2056,13,28,31,21,43,47,76,66,82,44,31,46
2057,31,25,19,22,24,85,112,96,52,58,38,34
2058,35,59,57,33,35,60,88,118,74,59,13,24
2059,38,51,36,35,65,86,85,156,68,55,43,53
2060,34,17,31,21,55,84,99,140,90,54,44,47
2061,19,20,27,18,31,76,70,124,83,46,55,51
2062,34,9,26,28,51,81,91,137,89,59,46,27
2063,33,45,54,26,43,55,81,107,117,48,49,54
2064,25,47,28,17,50,81,83,78,98,46,56,28
2065,15,49,20,34,33,61,58,81,68,79,59,38
2066,40,21,19,31,24,28,65,109,118,50,63,44
2067,36,50,40,8,32,77,79,148,126,59,30,47
2068,52,27,39,24,47,47,87,81,72,94,38,67
2069,31,28,34,15,49,67,73,79,76,73,65,80
2070,35,30,37,19,33,86,96,111,75,54,34,51
2071,22,52,8,30,21,71,88,96,76,98,37,42
2072,34,12,38,36,27,86,68,106,81,46,20,58
2073,33,21,28,37,35,43,74,73,74,60,29,60
2074,20,8,33,27,15,94,66,109,111,61,55,49
2075,41,31,22,18,35,53,70,75,88,60,81,71
2076,28,27,52,32,60,28,34,126,48,59,71,55
2077,32,14,26,20,39,51,92,94,74,58,64,68
2078,42,15,51,27,30,32,92,97,88,56,27,27
2079,23,63,19,18,60,90,84,140,90,49,51,78
2080,26,33,31,38,25,66,65,98,78,53,29,24
2081,35,42,28,39,18,61,84,68,89,89,46,28
2082,60,42,41,29,73,79,92,90,78,82,69,22
2083,32,20,37,31,47,56,90,106,97,36,39,43
2084,24,37,14,20,24,49,110,109,97,34,67,51
2085,16,22,44,16,48,77,105,120,92,61,35,37
2086,37,42,29,15,57,93,37,105,57,65,20,38
2087,24,39,26,23,14,40,97,88,46,59,39,65
2088,29,23,39,16,47,106,67,145,114,56,54,27
2089,13,39,16,34,39,60,64,79,45,58,51,11
2090,42,33,26,23,39,55,67,108,114,45,68,55
2091,42,40,35,49,39,83,95,119,88,92,22,68
2092,15,39,49,48,32,71,70,110,63,26,30,56
2093,35,30,51,36,50,91,60,85,78,62,32,30
2094,32,39,37,19,32,64,55,80,80,73,49,56
2095,22,34,27,25,11,47,62,130,97,80,28,46
2096,36,33,28,44,26,44,32,119,82,51,41,31
2097,33,35,14,36,23,81,96,119,67,71,61,22
2098,39,14,24,26,24,57,83,82,82,64,53,25
2099,22,36,57,5,28,57,85,106,85,47,46,31
2100,54,41,24,19,42,121,102,128,41,46,35,33
