"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-26.6,-14.4,-19.1,-15,-0.9,11.2,10.6,9.8,3.9,-4.9,-19.2,-22.2
2007,-11.6,-18.2,-12.6,-13,0.3,8.4,10.6,10.1,6.1,0.5,-14.8,-15
2008,-25.3,-14.1,-13.1,-12.4,1.2,11.2,13.3,12.7,4.4,0.6,-7.9,-12.8
2009,-8.4,-13.9,-12.8,-8.2,-0.4,11.1,12.2,11.8,5.1,-2,-9.5,-16.6
2010,-15.9,-22.2,-22.5,-6.5,3.5,11.8,11.3,10.3,6.9,-1.9,-7.2,-13
2011,-17,-13.9,-12.1,-10.1,0.4,12,15.2,11,6.9,-2.3,-9.9,-23.9
2012,-13.5,-17.8,-14.7,-14.2,-0.3,11.3,10.5,8.1,3.2,-4.2,-12,-26.1
2013,-21.8,-16,-14.2,-14.2,2,8.5,10.3,9.1,6.1,-4.5,-8.8,-12.3
2014,-14.7,-14,-15,-13.1,3.3,10,11.2,9.6,4.8,-4,-14.1,-18.6
2015,-24.5,-15.9,-18.4,-10.9,1.3,7.1,12.1,8.4,2.5,-6.2,-13.5,-27.2
2016,-22.5,-20.2,-9.5,-9.7,3.2,10.5,15,12.5,6.7,-1.7,-8.3,-20.3
2017,-14.5,-15.6,-10.3,-8.4,5,13.3,14.5,13,7,-1.9,-8.9,-15.9
2018,-21.1,-11.1,-13,-9,1.1,9.4,11.4,11,5,-7.1,-10.4,-25.1
2019,-28.3,-21.9,-20.2,-8.6,-1.4,6,10.2,8.8,4.2,-5.9,-10,-21.3
2020,-19.5,-16.5,-16.3,-10.2,1,9.5,14.4,9.9,5.7,-1.5,-9.6,-20.1
2021,-20.8,-23.8,-12.6,-9.4,-2.4,6.1,10.8,9.3,3.8,-4.4,-15.3,-18
2022,-24.4,-19.4,-15.1,-3.8,1,12.1,13.3,10.9,6.9,-0.4,-6.7,-10.3
2023,-14.4,-9.1,-8.5,-4.1,2.2,10.5,12.8,9.8,5.8,-2.6,-9.6,-15.4
2024,-9.1,-13.4,-14.5,-10.5,-0.6,10.4,14.6,12.6,6.3,-5.5,-8.5,-11.1
2025,-13,-23,-23.6,-11.2,-1.1,9.8,12.6,11.2,4.8,-2.2,-12.9,-22
2026,-18.5,-19.2,-15.6,-8.7,0.4,10.1,13.1,12.5,7.7,0.1,-3.2,-14.5
2027,-10.9,-17.7,-14.7,-6.4,3.4,10.3,12.9,9.7,6.8,-1.3,-10.2,-9.4
2028,-24.8,-16.6,-13.5,-6.3,3.4,12.2,13.9,11.5,6.8,-1.2,-10.8,-19.3
2029,-16.4,-14,-17.8,-6.5,0.2,10.8,12.5,10,5.9,-1.5,-7.6,-13.6
2030,-21.6,-10.7,-8.4,-6.6,2.4,11.3,14.7,12.6,7.7,-0.3,-7.1,-12.1
2031,-20.9,-17.5,-11.8,-5.7,4.7,13.3,13.9,11.4,4.3,-4,-10.1,-18.6
2032,-12.9,-16,-15.4,-13.2,-2.6,5.4,9.4,9.3,4.5,-7,-13.2,-22
2033,-19.2,-25.4,-11.3,-9.2,5.3,9.9,12.7,11.9,5.7,-3.9,-11.8,-13
2034,-22.7,-16.8,-11.9,-7.3,0.2,12,14.5,10.4,5.6,-3.5,-12,-22.9
2035,-20.4,-12,-9.4,-12.4,-1.3,6.5,12.2,10.1,5.6,-3.1,-10,-15.4
2036,-19.4,-13.9,-18.1,-10.9,1.3,9.7,10.5,11.6,4.9,-1,-10.4,-14.1
2037,-19.7,-13.5,-8.4,-9.9,2.1,12.5,13,11.6,6.1,-3.6,-5.6,-13.3
2038,-18,-15,-10.3,-6.9,3.8,10.5,14.3,12.6,6.2,-1.7,-5.4,-10
2039,-15.6,-12.8,-11.2,-10.4,2.5,12.5,15.8,12.3,6,0.1,-7.4,-20.9
2040,-15.9,-12.1,-12.3,-10.3,5,12.4,13.8,11.7,5.7,-4.5,-8.8,-17.7
2041,-23.2,-16.4,-14.6,-13.6,-1.1,9.5,13.8,12,4.9,-0.3,-4.1,-20.1
2042,-16.7,-17.4,-12.7,-7.6,3.2,8.5,12.6,11.3,5.4,-3.8,-11.7,-20.6
2043,-22,-17.3,-13.5,-7.9,0.2,7,15.5,12.4,7.4,0.1,-9.6,-16.9
2044,-13.9,-9.4,-10.5,-5.7,5.3,13.1,13.4,12.2,5.4,-0.1,-6.1,-15.9
2045,-16.4,-19.2,-17.2,-9.6,1.2,10.7,12.2,10,4.9,-1.7,-7.8,-11.4
2046,-13.6,-11.6,-7.2,-3.2,5.7,11.5,16.6,12.7,8.2,-1.2,-4.1,-10.4
2047,-12.5,-10.8,-16.5,-7.7,1.1,12.7,12.7,12.8,7.3,-1.1,-9.4,-17.7
2048,-25.6,-11.7,-15.6,-13.6,0.2,6.4,11.5,9.5,4.4,-4.9,-8.9,-16.4
2049,-16.2,-15.5,-19.6,-10,3.1,11.5,12.7,11.4,7.5,-1.8,-7.5,-20.1
2050,-18.6,-24.8,-22.1,-7.5,0.6,9.5,13,11.3,3.9,-3.1,-12.6,-12.1
2051,-13.9,-18.2,-14.2,-5.6,2.7,11.9,15.2,10.9,4.8,-1.4,-5.7,-10.2
2052,-11.4,-11.5,-13.7,-5.5,2.5,10.5,15.9,10.2,8.7,-1.9,-12.2,-19.2
2053,-16,-12.2,-16.3,-4.6,0.4,7,13.9,13,4.8,-4.4,-10.2,-22.1
2054,-23.7,-20.2,-13.1,-4.7,3,11.1,14.6,11.1,6.3,0.1,-7.9,-17.6
2055,-25.6,-15.9,-18.1,-10.2,1.8,9.1,10.5,9.1,4.8,-1.2,-9.7,-14
2056,-18,-22.4,-16.7,-4.2,4.7,12.2,13.8,13.3,6.4,-2.4,-7.1,-8.2
2057,-13.6,-18.7,-16.1,-7.4,5.8,11,11.5,11.3,6.3,-1.4,-10.4,-19.3
2058,-15.5,-10.9,-13.8,-8.9,1.9,8.3,11.7,10.3,5.5,-4,-16.9,-20.9
2059,-22.7,-13.2,-19.7,-9.2,0.8,7.4,11.6,10,7.5,-3.8,-8.6,-15.8
2060,-15,-20.8,-7.6,-9.2,1.3,7.6,11.8,9.8,6.3,-2.9,-7.9,-9.5
2061,-15.7,-19,-11.4,-7.8,5,10.5,13.8,12.5,7.1,-4.6,-11.6,-16.9
2062,-16.2,-23,-15.8,-7.1,3.5,10.5,11.5,10.6,7.4,-3.3,-9.3,-21.3
2063,-22.9,-11.4,-14.6,-7.5,0.9,8,14.4,11.4,4.1,-2.5,-9.7,-16.1
2064,-15.3,-10.5,-15.8,-4.9,2.5,10.1,11.5,11.1,4.6,-3.7,-7.4,-16.8
2065,-21.4,-16.8,-20.3,-5,3.1,9.4,15.8,13.2,6.7,-1.1,-4.7,-10.5
