"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,19,16,14,10,23,42,53,80,43,38,28,31
2007,23,11,24,20,20,40,86,85,77,40,16,42
2008,37,29,19,21,30,29,46,87,84,55,25,38
2009,37,18,13,18,19,29,63,94,53,27,41,25
2010,12,10,12,9,12,36,54,70,50,32,33,15
2011,30,19,16,18,15,35,65,92,59,33,28,31
2012,17,14,39,40,30,38,63,60,68,48,13,31
2013,18,24,20,14,21,34,54,45,74,31,46,18
2014,29,14,35,11,32,34,94,122,53,35,47,28
2015,16,27,12,11,26,44,71,105,55,39,29,17
2016,18,14,19,29,21,40,90,96,70,46,31,28
2017,22,29,26,24,24,33,79,134,56,46,27,24
2018,23,20,15,10,19,34,79,53,50,36,27,32
2019,25,23,20,20,18,36,80,68,63,34,18,38
2020,34,24,35,21,18,36,67,96,48,43,25,36
2021,18,12,20,17,15,33,76,52,49,43,39,28
2022,20,13,22,15,19,30,67,76,45,39,35,32
2023,27,21,18,10,24,29,51,78,67,35,29,32
2024,40,24,16,13,25,37,91,90,84,41,49,42
2025,25,23,23,17,26,52,58,63,86,35,25,37
2026,25,19,22,15,24,38,69,116,60,34,49,29
2027,25,26,16,24,22,29,76,121,90,50,34,35
2028,29,27,14,18,24,35,65,119,55,40,47,37
2029,22,16,22,23,30,38,70,144,87,54,41,66
2030,55,13,28,25,21,47,48,53,55,54,41,27
2031,37,18,22,25,27,37,39,91,47,80,51,34
2032,36,17,12,17,21,36,66,81,59,55,43,40
2033,27,23,18,25,20,43,51,61,38,38,42,29
2034,24,39,19,12,26,32,64,100,85,43,25,32
2035,21,7,18,38,48,57,69,137,61,53,49,46
2036,16,25,22,12,28,36,50,105,50,45,32,26
2037,18,24,26,23,35,31,49,52,98,55,49,36
2038,39,41,31,23,10,37,70,100,81,48,30,27
2039,32,31,31,16,19,49,77,90,83,59,41,47
2040,34,34,29,29,29,31,75,41,46,60,61,38
2041,20,9,23,17,22,41,66,108,66,42,25,44
2042,35,21,33,14,20,48,62,88,56,38,28,33
2043,35,30,23,19,17,36,72,68,81,30,57,45
2044,32,23,20,16,27,22,72,73,65,39,34,27
2045,15,24,16,19,17,41,74,84,43,54,51,39
2046,31,17,14,23,21,28,84,87,70,48,40,32
2047,35,46,26,21,29,36,59,122,105,71,42,35
2048,38,37,19,23,29,48,93,88,47,40,61,36
2049,61,17,14,17,29,29,59,94,80,41,43,55
2050,24,31,11,10,25,52,91,159,110,42,36,36
2051,28,37,25,10,23,31,81,70,34,45,36,42
2052,24,20,20,17,21,56,74,76,74,67,71,27
2053,33,12,35,27,19,44,77,95,76,65,56,30
2054,23,24,25,21,33,45,80,110,72,63,36,39
2055,50,26,19,9,26,43,103,95,82,41,41,34
2056,22,50,27,14,30,38,77,68,80,57,58,34
2057,25,24,36,23,36,48,70,153,97,42,40,46
2058,27,22,21,25,22,43,53,102,84,46,26,34
2059,27,45,28,14,25,34,55,94,77,66,41,44
2060,40,23,26,17,28,49,69,94,68,46,34,37
2061,28,18,33,27,27,30,72,70,56,36,45,44
2062,38,25,29,20,32,40,65,153,57,88,45,53
2063,38,12,17,14,26,51,39,100,56,79,39,47
2064,25,22,23,11,21,59,86,96,118,68,40,41
2065,50,39,37,22,26,36,69,106,57,50,23,44
2066,37,23,17,19,35,38,59,60,121,29,43,41
2067,28,12,17,10,10,32,78,124,78,61,25,41
2068,15,20,34,15,30,51,82,114,82,53,61,29
2069,40,25,29,18,44,36,88,141,80,37,43,50
2070,41,15,19,14,22,41,57,86,44,46,51,41
2071,30,40,26,16,28,62,110,104,84,50,47,43
2072,63,47,36,24,37,42,98,126,76,96,55,26
2073,23,28,23,17,31,44,98,113,72,62,63,33
2074,30,17,22,20,29,41,85,72,60,18,24,35
2075,38,33,37,26,26,57,106,90,76,48,66,51
2076,18,22,35,12,24,30,71,66,54,63,22,30
2077,44,30,57,18,32,42,86,110,69,44,55,40
2078,30,22,27,9,14,40,94,104,60,31,47,34
2079,28,19,46,13,18,49,110,133,48,37,34,64
2080,50,18,30,23,22,41,72,101,36,66,47,28
2081,32,30,50,55,26,32,61,129,66,85,79,48
2082,22,31,28,22,23,57,106,114,35,68,38,38
2083,18,19,19,12,23,33,48,82,49,46,68,47
2084,23,22,26,20,27,27,67,45,55,56,52,45
2085,25,19,28,20,26,32,82,86,60,41,38,35
2086,35,19,21,31,30,42,115,99,72,41,51,39
2087,13,22,30,22,22,52,71,86,69,39,28,47
2088,29,35,18,16,39,44,74,95,64,36,63,39
2089,29,22,42,30,28,36,95,84,67,70,45,33
2090,39,23,15,31,25,45,78,96,84,56,42,48
2091,25,32,28,25,22,33,93,116,47,51,76,42
2092,19,24,21,22,32,47,73,69,55,51,47,32
2093,23,26,19,30,32,45,59,70,72,26,58,48
2094,21,35,35,21,37,36,96,74,93,69,22,55
2095,29,34,24,33,20,35,88,110,87,69,45,26
2096,15,15,23,13,28,47,73,109,57,58,51,47
2097,45,13,33,29,31,51,74,116,84,38,28,52
2098,35,21,29,19,34,42,93,99,64,61,49,29
2099,39,13,14,14,23,57,74,78,118,93,45,70
2100,63,32,37,20,28,58,86,89,40,49,40,22
