"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,18,14,14,8,16,37,46,71,34,33,22,27
2007,21,10,21,14,14,33,79,69,59,39,13,36
2008,31,23,16,18,23,26,39,65,61,47,26,29
2009,30,12,10,15,16,24,57,83,44,22,29,20
2010,10,6,10,9,9,34,46,55,39,27,31,14
2011,23,15,14,16,12,32,58,72,45,29,26,31
2012,14,9,30,37,21,34,60,48,53,43,10,30
2013,16,19,16,11,15,27,42,41,56,27,39,16
2014,23,11,30,10,25,29,92,101,38,27,43,25
2015,12,23,12,8,19,40,56,96,46,38,27,13
2016,17,11,13,24,14,33,83,86,59,45,31,25
2017,20,24,23,21,20,29,70,120,42,45,19,19
2018,17,15,12,6,14,30,73,47,42,37,26,29
2019,22,17,17,16,13,27,69,54,52,32,14,33
2020,28,22,31,17,12,32,63,92,39,36,19,30
2021,14,9,19,13,12,27,65,49,38,36,32,26
2022,15,8,20,14,14,23,57,72,40,38,32,24
2023,22,15,14,8,18,26,48,74,52,31,24,28
2024,35,20,10,11,20,31,84,74,64,40,44,37
2025,21,19,18,15,18,46,46,53,74,35,23,39
2026,23,16,15,14,21,34,66,104,57,27,41,25
2027,20,19,14,25,17,24,63,101,76,46,32,31
2028,22,24,13,15,18,27,59,115,41,36,41,36
2029,13,13,16,23,24,33,63,127,69,48,35,56
2030,43,14,21,20,17,40,42,38,47,44,36,23
2031,32,15,17,19,22,37,34,78,37,69,40,30
2032,28,12,9,14,19,29,65,70,47,54,47,41
2033,21,17,14,20,15,38,46,60,29,36,40,25
2034,19,32,16,8,21,30,58,93,72,35,24,32
2035,15,5,14,36,35,51,65,122,43,40,54,38
2036,14,20,19,10,21,30,42,79,35,44,29,22
2037,15,21,21,19,32,28,40,57,78,55,42,38
2038,37,33,28,19,7,31,66,81,65,38,28,22
2039,26,25,28,14,13,44,70,77,71,45,33,44
2040,30,31,23,24,23,31,70,41,36,57,49,33
2041,17,6,21,12,18,33,56,80,50,36,26,42
2042,30,18,29,12,15,46,53,79,42,34,23,28
2043,31,25,21,15,13,33,62,54,61,29,57,39
2044,31,20,15,12,19,21,70,62,50,37,30,28
2045,13,20,14,17,12,37,66,69,32,45,47,38
2046,25,16,11,19,18,24,74,75,55,42,37,28
2047,24,41,19,18,21,31,56,99,83,63,38,32
2048,32,32,15,20,26,41,90,75,32,35,54,31
2049,50,15,10,13,20,23,54,77,61,40,41,45
2050,20,24,7,9,20,48,83,138,93,39,27,30
2051,24,26,20,8,19,29,71,59,25,35,30,33
2052,17,19,15,18,17,51,68,56,60,56,63,25
2053,32,14,30,25,12,43,69,92,58,54,48,26
2054,18,18,18,19,25,40,78,96,59,60,34,35
2055,44,25,16,6,19,34,105,72,59,43,44,30
2056,19,45,22,11,24,30,73,59,66,52,55,29
2057,19,18,31,19,30,45,70,133,72,39,39,40
2058,23,19,15,19,19,42,46,92,69,43,29,32
2059,22,39,25,12,21,29,50,94,66,58,35,44
2060,37,19,22,15,22,44,61,75,54,42,31,37
2061,24,16,28,23,25,23,68,55,43,34,41,40
2062,39,18,20,16,22,39,57,130,42,76,44,45
2063,39,10,14,12,21,44,39,76,40,74,33,48
2064,18,20,15,10,15,53,73,87,98,64,37,36
2065,39,33,29,21,17,35,58,93,46,50,19,45
2066,35,21,13,16,26,31,54,48,96,26,41,36
2067,28,12,13,6,7,30,71,96,62,57,22,38
2068,12,17,27,12,27,50,77,100,63,47,51,27
2069,40,21,23,13,38,33,74,122,69,30,39,43
2070,36,11,14,11,19,35,57,82,40,43,48,33
2071,27,33,23,14,21,60,99,94,71,47,45,42
2072,55,42,34,22,26,38,91,118,65,84,48,21
2073,20,21,19,14,25,40,89,93,63,54,57,30
2074,26,13,18,17,24,31,80,55,51,19,23,26
2075,34,24,29,22,20,50,104,76,61,47,55,47
2076,17,19,24,10,20,26,66,55,41,58,24,31
2077,40,25,42,15,25,38,77,94,52,35,52,39
2078,25,17,24,8,10,35,83,86,46,33,40,32
2079,20,13,42,12,12,46,106,112,33,35,29,59
2080,44,15,23,24,18,40,67,97,27,62,47,25
2081,25,25,44,55,16,29,58,107,51,79,67,49
2082,23,27,28,21,17,53,98,96,26,61,32,38
2083,16,14,12,12,21,32,43,69,39,47,65,45
2084,23,19,22,14,23,24,60,31,44,59,44,41
2085,20,18,23,17,19,28,77,73,52,34,32,29
2086,29,11,15,27,25,36,109,82,53,40,49,37
2087,13,18,26,20,16,46,61,78,58,31,27,45
2088,33,28,14,15,29,39,70,98,49,37,62,33
2089,26,20,32,24,27,35,93,79,47,67,40,28
2090,31,19,12,23,24,44,69,83,74,53,41,39
2091,25,25,18,21,18,30,90,109,42,49,67,38
2092,11,21,17,17,28,44,71,56,42,51,41,32
2093,19,26,14,27,23,41,59,56,55,25,55,40
2094,21,28,28,20,28,35,85,64,69,59,17,48
2095,28,30,22,25,15,34,71,112,66,63,42,25
2096,11,12,19,10,23,44,64,106,44,59,51,45
2097,38,8,25,26,26,47,77,99,68,31,26,50
2098,31,17,21,15,29,36,90,96,52,48,36,26
2099,33,12,9,13,20,53,72,67,97,82,41,62
2100,52,28,29,17,15,50,78,72,37,41,35,19
