"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-14.8,-14.1,-9.8,2,8.5,12.9,15.9,13.8,10,-2,-8.3,-11.2
2007,-13.1,-16.9,-5,1.9,8.9,15,15.2,14.2,6,-3.5,-17.3,-10.7
2008,-11.3,-11.1,-5.8,1.4,7.6,13.7,16.6,13.9,9.4,-1.7,-17.1,-11.4
2009,-17.7,-11,-6.4,1.6,9.7,16,16.7,12.1,5.7,-2.4,-8.3,-17.9
2010,-23.6,-16,-10.4,0.2,6.9,14.1,16.7,13.4,7.7,-1,-8,-18.3
2011,-12.3,-10.9,-5.5,2.9,9.8,15.8,16.6,12.9,8.7,-7,-17.5,-16.4
2012,-19.1,-15.4,-6.6,0.5,6.5,12.7,14.8,12.8,8.3,-5.8,-17.3,-14.8
2013,-18.6,-14,-3.9,1.9,9,14.9,16.7,13.3,7.8,-0.9,-10.8,-22.7
2014,-16.2,-15.6,-2.1,1.3,7.7,14.6,16,15.8,8.1,-4.3,-6.4,-19.4
2015,-25,-19.9,-13.2,-0.8,7.3,13.2,15.8,12.3,4.8,-4.2,-13.8,-20.3
2016,-20.5,-15.6,-5.8,3,9.3,15.9,13.8,12.5,6.1,-0.9,-10.2,-15.6
2017,-18.4,-11.6,-12.7,-1.2,6.5,12.8,15.4,13.2,6.4,-5.6,-11.5,-17.2
2018,-15.4,-12.8,-9.2,1.3,9.8,16.6,14.4,13.7,8.3,-5.4,-14.4,-14.1
2019,-24.2,-10.5,-7.4,2.5,10.2,14.8,15.7,14.8,8.1,-4.3,-15.9,-10.3
2020,-14.4,-11.3,-10.6,-0.9,9.2,13.3,16.3,12.8,5.5,-2.3,-11.3,-15.1
2021,-19.9,-19.6,-8.2,1.3,11,16.4,16.8,13.9,7.3,0.5,-6.5,-13.9
2022,-16.4,-12.9,-4.9,0.6,8,14.7,17.3,14,9.1,-4.3,-8.8,-10.1
2023,-12.6,-9.7,-9.4,-3.7,9.3,15.6,16.8,15,9.7,-5.7,-9.7,-10.5
2024,-14.8,-11.4,-5.7,0.7,11.3,17.4,15.2,12.6,8.9,-2.9,-9.2,-12.2
2025,-16.5,-10.3,-6,3.1,12.1,14.8,16.9,14.5,8.4,-1.7,-15.5,-18
2026,-23.9,-11.3,-11.3,-1.4,11.2,16.2,16.7,14.2,5.8,-2.8,-9.1,-11.5
2027,-11.2,-8.6,-5.1,2.1,9.7,16.4,18.1,14.9,9.2,-2.3,-10.9,-15.6
2028,-15.7,-7.7,-10.1,4.2,12.3,17.6,17.5,13.5,8,-2.3,-7.3,-15.5
2029,-16.1,-15,-11.4,2.9,9.5,15.6,17.3,13.4,9.3,-2.5,-10,-10.2
2030,-9.7,-17.6,-6,-1.4,7.7,15.4,15.8,13.7,7.7,-1.3,-6.5,-15.5
2031,-10.4,-9,-4.4,3.1,10.7,16.6,17.6,14.8,7.9,2,-3.2,-9.7
2032,-12.3,-11.8,-8.3,-0.2,9.8,15.8,17.6,13.8,11,-1.8,-11.5,-18.5
2033,-14.9,-9.9,-8.3,3.4,10.6,15.5,18.1,14.4,10.4,-1.5,-7.5,-17.5
2034,-14.4,-6.9,-5.7,4.8,9,17.5,17.5,15.2,8.4,-1.2,-13.6,-15.9
2035,-20.4,-20.5,-14.5,1.1,7.9,13,15.5,14.6,9,-1.5,-10.1,-8.3
2036,-21.5,-14.3,-10.9,1.5,8.8,17.2,18.5,14.4,10.4,-1.6,-8,-13.1
2037,-15.2,-14.1,-5.2,4.9,11.1,17.9,18.4,13.5,8.4,-1.9,-6.3,-17.1
2038,-11,-18,-9,0.1,8.5,15.7,16.2,14.1,9.7,-1.4,-10.2,-12.7
2039,-15.5,-10.2,-9.5,3.1,9.4,15,15.7,15.9,9.9,1.9,-5.5,-7.2
2040,-9.6,-5.8,-4,2.5,11.7,16.7,18.4,16.9,9.9,-2.1,-4.6,-12.1
2041,-13.9,-13.3,-7.2,2.8,13.1,18.1,18.7,13.9,8.1,-1.9,-12.1,-13.2
2042,-10.7,-15.5,-10.6,1.3,10.5,15.9,17.9,14.2,9.7,-0.4,-6.6,-11.8
2043,-11,-9.8,-5.2,1.9,11.4,19.1,19.3,15.3,8,-0.9,-5,-9.2
2044,-11.6,-13.6,-4.2,5.1,10.3,18,19,15.9,13.3,3.6,-10,-19.4
2045,-20.2,-12.7,-10.3,4.3,12.2,18.1,19,15.1,9.3,-1,-3.5,-10.3
2046,-9.9,-8.1,-4,6.4,11.6,18,18.7,16.2,8.4,0.7,-9.2,-14.7
2047,-13.4,-6.9,-2.3,2.1,11.4,16.9,17.7,14.1,11.4,1.8,-8.8,-10.8
2048,-16.4,-8,-6,3.9,10.3,17.2,18,14,9.7,-2.9,-8.1,-11.3
2049,-9.4,-11.7,-5.9,4,11,17.3,18.7,17.2,9.4,-1.1,-10.5,-9.5
2050,-9.2,-7.8,-6.6,-1.1,8.5,16.5,16.9,13.7,9.2,-1.8,-8.7,-8.5
2051,-14.7,-7.5,-5.5,0.5,11.4,18.2,18.8,16.3,10.4,1.3,-6.6,-7.2
2052,-11.9,-8.5,-8.5,4.3,11.1,16.6,16.9,16.1,11,1.1,-6.5,-19.1
2053,-15.8,-20.3,-5.4,3.6,12.6,16.2,18.5,14.9,11.4,0.7,-7.9,-11.9
2054,-12,-8.8,-2.7,5,12.3,18.8,17.5,14.3,11.7,-0.2,-7.2,-8.3
2055,-7.7,-4.9,-1.2,3.7,12.2,18.3,18,16.1,12.3,-1.7,-8.8,-12.9
2056,-15.6,-8.6,-5.4,2.7,12.3,17.2,17.5,14,11.5,0.3,-4.6,-10.3
2057,-11.1,-5.2,-0.6,6.8,11.8,17.1,17.8,14.9,8.5,-1,-10.9,-10.4
2058,-20.5,-18,-3.6,0.1,8,17.6,18.9,14.7,9.6,-2.3,-10,-17.1
2059,-16.7,-8.1,-4,1.6,12,17.9,20,17,10.7,2.3,-7.2,-9.2
2060,-9,-12.4,-1.7,6.4,14.8,18.2,18.3,16.4,12,-1.3,-8.3,-11.4
2061,-9.7,-10.1,-7.5,5.5,12,17.8,17.3,15.4,8.7,0.9,-3.6,-4.1
2062,-7.9,-4.3,-0.9,6.1,13,18.9,18.2,16.1,8.1,2.1,-8.3,-7.9
2063,-11.5,-13.6,-0.7,2.4,12.7,17.3,18.2,17.7,11.9,3.3,-7.2,-9.7
2064,-15.7,-10.5,-4.1,3.8,13.1,17,17.1,14.7,9.9,1.1,-5.2,-5.6
2065,-7.1,-11,-5.1,0.4,9,19.2,18.2,15.9,12,0.4,-8.6,-9.6
2066,-9.2,-10.5,-8.1,6.7,10.7,19.3,19.6,17.4,13.2,-2.5,-9.5,-15.4
2067,-16.9,-15.2,-7.7,-1.7,6.2,17.8,18.3,14.6,7.8,1,-5.6,-13.4
2068,-14.2,-9.2,-1,6,12.7,18.4,20,15.5,9.1,3,-3.6,-10.6
2069,-11.2,-6.2,-4,4.4,10.6,18.7,19.4,14.3,9.2,-1.4,-7.5,-14
2070,-14.6,-13.2,-5.2,6.3,12.7,19.1,19.5,17.7,11.3,1.3,-6.1,-7.3
2071,-12.5,-2.4,-2.6,1.9,11.8,16,16.6,16.4,10.4,-0.1,-3.9,-11.4
2072,-5.2,-3.8,-4.3,2.6,11.9,17.9,19.3,15.3,11.1,-0.5,-7,-11.8
2073,-10.7,-5.5,-6.7,4.3,13.1,19.9,20.2,17.4,10,2.5,-2.1,-10.9
2074,-9.1,-8.2,-2.8,5.3,12.9,17.2,19,15.1,12.3,-3.3,-10.3,-8.7
2075,-8.3,-5.1,-1.5,3.5,13.4,16.9,19.5,16.5,9.3,-1.3,-3.8,-13.6
2076,-17.6,-7.7,-1.3,3.8,11.6,17.6,18.2,18,8.7,1.4,-9.5,-8.2
2077,-6.4,-7,-2.1,3.7,14.5,17.2,19.5,17.8,11.7,1.4,-5.6,-11.7
2078,-15.7,-9.2,-7.4,-0.9,9.9,18.3,18.2,14.7,8.8,-3.7,-7.9,-11.5
2079,-10.6,-8.7,-4.8,4.1,12.3,18.1,18.6,14.6,9.6,0.5,-4,-6.4
2080,-8.1,-12.2,-0.3,7.4,15.3,19.6,20.2,16.6,9.5,1.9,-4.6,-10.9
2081,-7.9,-12.5,-8.5,1.5,9.1,19.4,19,14.6,8.6,1.5,-2.9,-10
2082,-19.9,-10.4,-6.6,4.7,11.6,18.4,17.8,16.4,10.2,0,-7.1,-13.9
2083,-13.9,-7.2,-5.7,2.8,13.9,17.8,20.5,17.5,10.4,0.2,-3.2,-10.9
2084,-13.8,-10.4,-5.7,5.5,11.8,19.6,18.9,17,13.2,-0.9,-6.8,-9.2
2085,-10.6,-11.3,-4,7.3,14.3,18.4,18.5,17.6,10.8,-0.5,-6.5,-12.1
2086,-10.7,-4.2,-3.1,6,14.4,19.4,18.4,17.1,10.4,-0.7,-4.9,-8.7
2087,-16.6,-9.2,-2.1,6.3,13.3,17.7,18.1,14.8,11.1,0.9,-7.5,-10.5
2088,-18.4,-11.8,-11.9,3.7,12.5,15.9,18.4,14,11,-1,-9,-8.9
2089,-12.9,-12.5,-7.9,3.8,11.6,19.4,19.2,15.8,10.3,2.2,-4.6,-5.9
2090,-7.3,-8.4,-9.1,5,12.1,18.8,19.6,14.9,9.7,0.9,-4.6,-8.3
2091,-14.3,-6.3,-6.2,6,11.1,18.4,19.2,14.6,10.3,1.3,-4.3,-7.3
2092,-11.2,-6.9,-6.2,6.6,14.5,19.3,20,14,10.7,1.2,-4.9,-13.5
2093,-13.3,-13.7,-2.9,1.2,11.4,20.2,19.5,16.7,8.7,-0.2,-3.2,-8.7
2094,-12.2,-3.9,-0.4,3.6,9,18.2,20,16.3,10,-0.8,-9.2,-7.5
2095,-15.2,-8.5,-4.9,3.6,10.9,19.2,18.4,16.2,12.3,2,-5.6,-9.7
2096,-13.8,-9.3,0.3,7,13.6,19.7,19,14.6,10.5,2,-4.6,-9.3
2097,-7.6,-8.1,-0.6,4.5,13.8,19.1,19.3,15.4,10.7,2.9,-7.2,-7.5
2098,-9.9,-10.5,-2.9,7.1,13.8,18.9,19.9,16.7,10,2.5,-4.6,-8.4
2099,-10,-10.3,-2.1,5.2,13.4,17.3,18.3,15.9,11.5,5,-5.2,-9.3
2100,-7.7,-7.9,-6.5,0.7,11.1,16.9,17.9,15.6,10.1,-1.1,-4.7,-13.2
