"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-20.2,-25,-19.1,-8.8,0.9,10.3,13.7,11.5,5.7,-6.2,-11,-17.7
2007,-19,-27.7,-18.5,-7.7,1.8,10.4,12.5,12.1,3.5,-6.8,-20.3,-16.3
2008,-18,-21.2,-16.4,-7.8,-2.8,8.8,14.5,12.2,6.1,-4.4,-16.1,-16.3
2009,-21.7,-18.8,-18.5,-12.4,0.5,11.2,14.6,7.9,1.4,-8.5,-13.3,-20.3
2010,-28.8,-23.7,-21.8,-12.3,-1.7,9.7,13.6,10.8,4.1,-4.8,-12.6,-22.5
2011,-17.7,-21.4,-16.4,-7.9,0.6,10.9,13,10.8,5.9,-10.6,-19.5,-22.8
2012,-23.8,-23.7,-18.4,-10.7,-2.5,8.5,13,10,6,-10.1,-22.3,-23
2013,-21.3,-20.2,-12,-7.2,0.9,10.6,15,11.1,5,-3.8,-13.2,-24.9
2014,-26.1,-25.1,-13.5,-13.2,0.5,10.7,12.1,13.4,5.6,-7.9,-8.8,-17.7
2015,-28.9,-25.7,-22,-10,1.7,8.4,13.4,9.5,2.1,-7,-13.2,-24.3
2016,-24.3,-21,-16.4,-7,0.9,11.3,10.2,10.4,4.3,-4.2,-14.9,-20.2
2017,-26.7,-19.8,-19.4,-13.1,-1.6,7.9,12.6,9.9,3.2,-9.4,-13.7,-23.4
2018,-19,-18.1,-18.8,-8.9,2.1,13,11.3,12,5.7,-5.8,-14.7,-17.9
2019,-26.1,-16.5,-20.1,-8.8,2.1,10.9,13.5,13.2,6,-8.1,-18.2,-15.2
2020,-21.5,-19.6,-16,-9.9,3.6,10.4,14.6,10.4,4.5,-6.4,-14.7,-15.9
2021,-19.2,-25.3,-18.2,-7.2,4.5,12.4,14.3,11.4,3.9,-2.2,-8.6,-15.1
2022,-16.8,-17.3,-14.7,-12,1.5,11.2,15.4,11.7,6.3,-5.5,-9.6,-14
2023,-16.2,-18.8,-17.4,-14,1.9,11.9,14.4,12.1,7.6,-5.4,-10.8,-13.8
2024,-19,-19.4,-19,-9.9,4.2,12.6,11.8,10.1,6.6,-5.3,-9.2,-14.1
2025,-18.4,-17.5,-14.7,-9.2,3.3,10.4,15.2,13.1,5.3,-4.9,-16.3,-17.2
2026,-25.8,-20.4,-19.5,-10.9,3.9,10.2,14,11.9,3.8,-5.4,-12.7,-15.7
2027,-13.2,-13.4,-12.1,-8.3,1.9,11.6,15.3,12.8,6.2,-4.9,-11.9,-20.1
2028,-17.7,-15.5,-18.2,-6.4,4.8,12.4,13.9,10.1,5.6,-3.9,-8.4,-13.2
2029,-19.2,-21.1,-18.5,-4.8,2.1,12.9,16.1,12.1,7.4,-3.7,-9.2,-11.5
2030,-10.3,-20.1,-17.1,-11.1,0.9,10.9,12.5,12.1,4.7,-3.3,-6.9,-19.7
2031,-16.2,-14.2,-16,-6.8,3.8,12.1,15.2,12.4,5.8,-1.1,-3.8,-13.8
2032,-15.8,-20,-17.6,-12,3,12.2,15,11.5,7.7,-2.5,-9.6,-19.5
2033,-16.5,-15.3,-17,-5.9,2.2,11.5,16.1,11.8,7,-4.4,-9.9,-18.3
2034,-16.6,-14.7,-17.8,-5.2,2.7,14.5,16.5,13.6,5.5,-2.8,-12.2,-14.6
2035,-24.2,-28.6,-23.3,-5.4,0.7,8.8,12.4,12.4,6.3,-3.2,-10,-9.9
2036,-23.8,-20.8,-18.4,-10.3,1.4,12.7,16.3,11.5,7.7,-4.3,-10.5,-15.4
2037,-19.3,-22.9,-17.9,-5.3,4.8,14.1,16.4,10.8,5.5,-3.9,-6.8,-16
2038,-12,-22.1,-16.9,-10.2,2.2,12.8,14,12.2,7.5,-4.4,-10.1,-17.8
2039,-17,-14.6,-15.3,-6.8,3,11.6,13.4,14.6,8.2,0.5,-7.2,-10.4
2040,-14,-14.5,-14.6,-9.1,2.9,12.5,15.6,13.2,5.9,-3.6,-6.3,-12.7
2041,-14.9,-18.3,-18,-9.6,5.5,14.3,16.1,11,5.7,-4.6,-11.4,-12.2
2042,-9.9,-22.9,-17.9,-6.6,3.6,13,17.1,12.8,7.6,-3.4,-8.3,-12.2
2043,-12.9,-15.3,-13.2,-7.6,5.6,15.2,17.3,13.7,7.1,-2.9,-4.9,-11.5
2044,-15,-17.1,-15,-5.9,2.3,13.4,16.4,13.6,10.8,-0.2,-10.1,-16.8
2045,-17.8,-15.5,-19.1,-5.6,4.2,14.2,16.7,14.1,6.9,-3.5,-6.5,-12.4
2046,-12.2,-15.6,-15,-4.3,3.3,15.1,16.8,14.2,5.6,-2.1,-8.6,-14.3
2047,-14.9,-14.8,-9.6,-6.9,4.8,14.6,16.8,13.2,9.2,-0.1,-10,-12.4
2048,-16.7,-12.4,-13.6,-5,4.2,13.2,15.6,11.5,7.2,-4.2,-8.1,-13.5
2049,-11.7,-16.8,-19,-5.8,3.4,13.4,16.3,15.8,7.6,-3.2,-10,-9.9
2050,-11.5,-12.3,-12.7,-12.3,2.6,13.1,14,11.3,6.7,-4.2,-8.6,-10.3
2051,-18.1,-12.8,-13.6,-9.9,4.9,13.9,17.7,14.8,8.2,-2.2,-7.3,-9.2
2052,-16.3,-16,-16.4,-4.6,4.2,13.6,14.7,14.8,9,-0.9,-7,-18.1
2053,-14.9,-20.1,-12.3,-6.3,5.7,11.4,15.2,12.7,7.6,-2.5,-8.3,-14.1
2054,-14.7,-17,-9.6,-4.6,5.2,14.4,15.3,10.7,8.8,-1.7,-7.7,-10.2
2055,-11.4,-14,-9.6,-8.1,5.3,14.8,15.8,14,9.9,-3,-7.6,-13.7
2056,-17.5,-15.7,-18.3,-5.2,5,13.3,15,12.5,9.1,-1.7,-4.5,-10.5
2057,-11.5,-10.8,-10.4,-2.2,4.4,12.7,15,12,6.1,-2.3,-10.3,-10.8
2058,-18.3,-23.8,-14.1,-10.8,1.2,12.5,16,12.1,7.5,-4.4,-7.5,-16.4
2059,-13.5,-14.7,-11.6,-10.3,4.7,13.9,18.5,14.8,8.6,-0.4,-7.7,-11.3
2060,-13.2,-17.6,-11.8,-7.1,8,15.4,16,14.2,10.3,-2.3,-7.3,-10.3
2061,-9.5,-14.7,-16.6,-2.9,3.9,14.9,15.2,13.6,7.4,-2.3,-6.5,-6.6
2062,-12.2,-7.7,-7.9,-2.5,6.3,14.9,16.4,14.5,6.1,1,-8,-7.7
2063,-10.9,-19.5,-8.1,-6.6,5.4,13.5,15.8,15.9,9.3,0.1,-8.6,-9.9
