"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-16.5,-18.7,-13.9,-3.7,4.2,10.4,13.5,11.1,6.4,-5.4,-10,-13.6
2007,-14.7,-20.9,-10.9,-3.2,4.7,11.6,12.7,11.7,3.2,-6.7,-19.1,-12.6
2008,-13.5,-15.3,-10.5,-3.6,2.3,10.3,14.2,11.6,6.2,-4.4,-17.5,-13.1
2009,-18.9,-14.2,-11.6,-5.5,4.7,12.7,14.4,8.5,2.2,-6.4,-11.2,-18.6
2010,-25.3,-19.3,-15.6,-6.2,1.9,10.9,14,10.6,4.5,-4.3,-10.3,-19.7
2011,-14.5,-15.3,-10.3,-2.6,4.8,12.3,13.5,10.3,5.7,-10.2,-19.2,-18.5
2012,-20.6,-18.9,-11.7,-4.8,1.8,9.6,12.4,9.8,5.6,-9.3,-19.9,-17.7
2013,-19.3,-16.5,-7.4,-3,4.6,11.8,14.3,10.6,5,-3.7,-12.6,-23.4
2014,-19.9,-19.4,-6.9,-5.7,3.8,11.7,13,13.2,5.2,-7.6,-8.1,-18.6
2015,-26.2,-22.5,-17,-5.8,3.9,10.2,13.4,9.5,1.8,-6.9,-14.3,-21.9
2016,-21.4,-17.8,-10.9,-2,4.7,12.7,11,10,3.5,-3.9,-12.4,-17.4
2017,-21.2,-15,-15.8,-6.9,2,9.6,12.7,10,3.3,-8.7,-13,-19.7
2018,-16.8,-15.1,-13.8,-4.2,5.5,14,11.8,11.1,5.4,-7.2,-15.1,-15.5
2019,-24.5,-13.1,-12.8,-3.1,5.5,11.9,13.4,12.5,5.6,-7.6,-17.5,-12
2020,-16.7,-14.3,-13.4,-5.7,5.6,10.8,14.2,10.2,3.3,-5.9,-13.9,-15.3
2021,-19.1,-22.2,-12.5,-3.5,7.2,13.4,14.4,11,3.9,-2.1,-8.1,-14.3
2022,-16.1,-14.8,-9.2,-5.6,4.1,12,14.9,11.3,6.3,-6.5,-10,-11.5
2023,-13.7,-13.6,-13.3,-9.2,5.1,12.6,14.2,12.2,7.2,-7.4,-10.8,-11.6
2024,-16,-14.6,-11.6,-4.8,7.2,14.2,12.3,9.8,6.3,-5.5,-10.1,-12.7
2025,-16.9,-13.3,-10.1,-3.1,7.3,12,14.7,12,5.3,-4.7,-16.4,-17.5
2026,-24.4,-14.9,-15,-6.3,7.1,12.6,14.3,11.7,3.3,-5.7,-11.3,-13.2
2027,-11.5,-10.7,-8.4,-3.3,5.4,13,15.3,12.3,6.3,-5.1,-11.9,-17.2
2028,-16,-10.8,-13.7,-1.3,8,14.3,14.5,10.4,5.1,-4.7,-8.6,-14.4
2029,-17.1,-17.5,-14.8,-1.2,5.3,13.4,15.3,11.1,6.8,-4.7,-10.5,-10.7
2030,-9.7,-18.8,-11,-6.5,3.8,12.3,12.9,11.2,4.6,-3.8,-7.4,-17.2
2031,-12.2,-11,-9.7,-1.9,6.8,13.7,15,12.1,5.2,-1,-4.3,-11.3
2032,-13.5,-15.5,-12.4,-6.1,5.9,13.3,15.2,11,7.9,-3.8,-11.6,-18.8
2033,-15.2,-11.8,-12,-1.4,5.9,12.8,15.9,11.6,7.4,-4.4,-9,-17.7
2034,-14.7,-10.1,-11,-0.5,5.4,15.3,15.7,12.8,5.4,-3.5,-13.7,-15.3
2035,-21.9,-23.7,-18.3,-2.4,4,10.5,12.8,12,6.1,-3.9,-10.7,-8.6
2036,-22.1,-16.9,-14.2,-4.3,4.8,14.3,16.2,11.4,7.5,-4.4,-9.9,-13.8
2037,-16.3,-17.3,-10.6,-0.2,7.5,15.5,16.3,10.6,5.3,-4.3,-7.2,-16.2
2038,-10.7,-19.8,-12.5,-5,4.7,13.5,13.9,11.6,7.1,-4.5,-10.8,-14.8
2039,-15.8,-11.9,-12.4,-1.8,5.7,12.9,13.5,13.7,7.5,-0.2,-7,-8.3
2040,-10.8,-9.4,-8.7,-3.1,6.9,14.1,15.8,13.5,6.4,-4.4,-6.1,-12.2
2041,-14,-15.2,-11.8,-3.4,8.9,15.6,16.1,10.9,5.3,-4.8,-12.6,-12.7
2042,-10,-18.4,-13.7,-3,6.7,14,16.2,11.8,7.1,-3.4,-7.9,-11.8
2043,-11.4,-11.9,-8.8,-3.1,7.9,16.5,16.9,12.8,5.9,-3.4,-5.7,-10
2044,-12.6,-15,-9,-0.4,6,15.3,16.5,13,10.5,0.4,-10.9,-18
2045,-18.8,-13.9,-14.1,-0.6,7.8,15.7,16.7,12.9,6.5,-3.8,-5.4,-10.9
2046,-10.5,-10.8,-8.7,1.1,7.1,15.8,16.6,13.5,5.4,-2.2,-9.8,-14.6
2047,-14,-9.9,-5.6,-2.7,7.5,15.1,15.7,12,8.7,-0.6,-10,-11.4
2048,-16.3,-9.8,-9.4,-0.8,6.8,14.7,15.7,11.1,6.8,-5.2,-9,-12.2
2049,-9.7,-13.9,-11.8,-1.2,6.9,14.8,16.3,14.9,6.8,-3.6,-11.2,-9.5
2050,-9.5,-9.4,-9.6,-7,5.1,14.2,14.3,11,6.4,-4.5,-9.5,-9
2051,-15.6,-9.5,-9.2,-5,7.8,15.5,16.9,13.8,7.5,-1.8,-7.5,-7.8
2052,-13.3,-11.6,-12.1,-0.6,7.2,14.6,14.7,13.8,8.4,-1.4,-7.4,-18.8
2053,-15.1,-20.1,-8.3,-1.4,8.9,13.6,15.9,12.3,8,-2.2,-8.9,-12.7
2054,-12.6,-12.2,-6,0.1,8.2,16.2,15.2,11,8.8,-2.6,-8.2,-8.8
2055,-8.7,-8.5,-5,-2.4,8.3,16,15.6,13.5,9.6,-3.9,-8.9,-13.1
2056,-15.9,-11.1,-10.5,-1.8,8.3,14.8,15.1,11.6,8.8,-2.3,-5.3,-10.3
2057,-10.8,-7.3,-4.8,2.2,7.9,14.6,15.3,11.9,5.7,-3.1,-11.3,-10.2
2058,-19.4,-20.5,-8.1,-5.4,4.2,14.7,16.3,11.9,7,-4.8,-9.6,-16.6
2059,-15,-10.7,-7.3,-4.5,8.4,15.5,17.9,14.3,8,-0.5,-8.1,-9.7
2060,-10.2,-14.4,-5.9,-0.3,11.1,16.3,15.9,13.7,9.6,-3.4,-8.6,-10.7
2061,-9.1,-12,-11.8,1,7.7,15.8,14.9,12.7,6.2,-2.2,-5.4,-4.9
2062,-9.2,-5.6,-4.2,1.5,9.2,16.3,15.9,13.7,5.4,0.1,-8.9,-7.6
2063,-10.9,-16.3,-4,-2.4,8.5,14.9,15.6,15,9,0.2,-8.6,-9.6
2064,-15.9,-12.4,-8.3,-1.2,9.1,14.7,14.9,11.9,7.3,-1.3,-6.6,-6.3
2065,-8,-12,-8.3,-4.6,5.1,16.9,16,13.4,9.3,-1.9,-9.1,-8.9
2066,-10.2,-12.9,-12.2,0.4,6.3,16.4,16.6,14.9,10.1,-4.7,-10.2,-15.4
2067,-16.4,-16.7,-10.6,-6.7,1.9,14.9,15.9,11.3,5.1,-1.4,-6.7,-13.1
2068,-14.3,-10.9,-4.3,2,8.9,16.2,17.5,13.2,7.1,0,-4.6,-10.8
2069,-11.5,-8.6,-7.7,-1.3,7,16.1,17.2,11.6,6.2,-3.7,-8.4,-14.2
2070,-13.9,-15.7,-9.6,1.7,8.5,16.9,17.3,14.9,8.6,-1.4,-7.6,-7.5
2071,-12.2,-4.8,-5.1,-2.5,8.3,14,14.5,13.5,7.5,-2.7,-5.2,-11
2072,-5.7,-6.3,-6.5,-2,8.4,15.6,17.6,13.1,8.6,-3,-8,-11.1
2073,-10.7,-7.6,-9.2,-0.3,9.5,17.2,18.3,14.8,7.3,-0.2,-3.4,-10.9
2074,-9.3,-10.5,-7.2,0.9,9,15.2,17,12.3,9.4,-5.2,-10.6,-9.8
2075,-8.5,-7.2,-6,-1.3,9.1,15.3,17.1,14,6.6,-3.7,-4.7,-13
2076,-16.8,-9.2,-4.2,-0.8,7,14.7,15.9,15.2,6.1,-1.1,-10,-8.7
2077,-7.6,-8.7,-4.8,-1.2,10.8,14.2,17.2,15.6,8.6,-1.6,-6.7,-10.7
2078,-14.5,-11,-11.3,-5.6,5,15.7,15.9,11.6,6.3,-6,-9.3,-11.9
2079,-10.1,-10.8,-6.8,0.2,8.5,16,16.6,11.6,6.9,-1.5,-5.3,-6
2080,-8.5,-14.4,-3.3,2.3,11.3,16.8,18.1,14.5,7,-0.4,-5.8,-10.8
2081,-8.3,-14.5,-10.8,-3.1,5,16.7,16.7,11.7,5.7,-1.3,-4.4,-10
2082,-18,-11.7,-8.6,-0.6,7.7,16.1,15.3,14.2,6.5,-3.2,-8.4,-13.5
2083,-13.5,-8.4,-9.2,-1.6,10.3,15.3,18,15.6,7.9,-2.2,-4.9,-10.2
2084,-13.6,-10.9,-9.6,0.8,7.9,16.9,16.3,14.9,10,-3.5,-8,-10.2
2085,-9.4,-13.6,-7.1,2.7,10.3,15.7,16.1,15.7,7.9,-3.1,-7.6,-12
2086,-11.5,-6,-6.5,1,9.9,17.3,15.9,14.3,7.4,-2.9,-6.2,-8.7
2087,-16,-12.4,-5.8,1.5,9.1,15.4,15.6,12.1,8.6,-1.9,-8.6,-10.3
2088,-15.9,-12.4,-14.7,-1.3,9.2,13.4,16.2,11.5,8,-3,-9.3,-9.5
2089,-13.1,-14.3,-12,-1.3,7.4,16.6,17.1,13.4,7.1,-0.4,-5.8,-7.3
2090,-7.4,-10,-12.6,0.3,8.1,16.1,17.2,12.6,7.2,-1.2,-5.5,-7.5
2091,-13.9,-8.7,-10,1.5,7.3,15.4,16.6,11.8,7.3,-1.1,-5.3,-8.4
2092,-11.2,-9,-10.5,1.6,10.4,17,17.6,11.7,8,-1.1,-6.1,-12.3
2093,-12.8,-13.8,-5.8,-3.4,7.3,17.9,16.9,14,5.9,-3,-5,-9.3
2094,-11.7,-6.2,-4.1,-1.5,5.5,15.3,17.8,13.8,7.4,-2.8,-9.7,-7.6
2095,-13.9,-9.5,-7.5,-0.9,7,16.5,16.2,13.6,9.8,-0.4,-6.6,-10.9
2096,-13.2,-11.4,-3,2.3,9,17.3,16.3,11.5,7.1,-1,-5.7,-9
2097,-7.7,-9.4,-5,0,9.9,17.1,16.7,12.8,7.9,-0.4,-7.7,-8.2
2098,-10.9,-12,-6.7,2.4,9.8,16.4,17.6,14.2,6.6,-0.4,-5.8,-9.4
2099,-10.2,-11.9,-5.6,0.6,8.4,14.6,15.6,13.3,8.4,1.9,-7.3,-8.9
2100,-8.5,-8.9,-10,-4.5,6.9,15.2,15.5,13.2,7.2,-3.7,-5.8,-13.1
