"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-17.2,-21,-15.9,-6.4,1.8,8.6,12.8,11.9,7.4,-2.6,-7.8,-13.8
2007,-15.4,-24.4,-15,-5.5,2.5,9.2,11.6,12.2,5.5,-2.9,-15.9,-12.2
2008,-14.5,-16.9,-13.2,-5.4,-1.6,8,13.5,11.7,7.7,-1.4,-12.4,-12.2
2009,-18.1,-15.2,-15.1,-9,1.3,10.1,13.5,9.1,3.5,-4.7,-8.6,-16.3
2010,-25.3,-19.7,-17.5,-9.8,-0.1,8.9,13.2,11.4,5.7,-1.6,-9.6,-18.3
2011,-14.3,-17.9,-13,-5.4,2,10.1,12.9,11,7.7,-6.4,-14.4,-19.1
2012,-20.4,-19.5,-14.4,-8.8,-1.4,7.7,12.3,10.7,7.4,-5.6,-18.2,-19.4
2013,-18.4,-16.9,-9.5,-5,2,10,14.2,12.1,6.6,-0.7,-9.2,-20.1
2014,-21.9,-21.8,-11.3,-10.5,1.1,9.1,11.7,13.2,7.5,-4.1,-5.3,-14.1
2015,-24.9,-22.5,-19.3,-7.5,1.7,7.7,12.4,9.8,4.1,-3.7,-10.4,-18.5
2016,-20.4,-18.3,-12.7,-5,1.9,9.9,9.8,10.5,6.4,-0.9,-11.8,-15.5
2017,-23.5,-16.4,-16.2,-11.2,-0.6,7.2,12,10.9,5,-5.5,-9.4,-17.7
2018,-14.8,-14.9,-15.4,-6.2,3.2,11.2,11.2,12.6,7.8,-2.7,-11.5,-14.1
2019,-21.5,-12.8,-17.2,-7.1,2.8,9.5,12.8,13.2,7,-4.3,-13.3,-11.2
2020,-17.8,-16.2,-13.1,-7.7,3.9,9.2,14.1,11,5.8,-2.4,-10.1,-12.6
2021,-16,-21,-15.1,-4.7,5,11,13.4,12.4,6.2,0.9,-5.1,-11.2
2022,-13.9,-13.1,-11.7,-9.8,2,9.8,14.5,12.3,7.6,-2,-5.6,-10.1
