"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,22,22,15,16,12,19,57,56,50,65,30,34
2007,26,16,26,17,17,28,35,70,84,40,54,24
2008,51,23,20,16,22,17,41,73,32,50,29,27
2009,14,17,10,16,22,25,46,53,66,54,23,36
2010,31,17,42,27,13,28,51,48,71,62,36,23
2011,22,22,16,33,26,50,34,54,61,61,22,24
2012,27,21,27,22,20,26,79,59,64,41,17,28
2013,43,13,15,17,22,39,48,70,47,32,27,28
2014,24,14,32,11,31,29,33,81,43,34,27,23
2015,25,11,23,12,18,35,61,112,66,57,39,28
2016,31,31,12,32,18,27,39,84,59,62,25,26
2017,43,20,14,17,18,58,36,67,32,47,22,20
2018,18,13,13,11,21,26,56,66,43,32,31,32
2019,10,18,30,18,22,19,38,72,40,48,27,44
2020,25,15,25,13,17,30,55,101,48,71,29,15
2021,27,25,11,25,20,39,42,100,36,27,21,23
2022,22,14,17,15,14,32,60,124,58,35,36,33
2023,21,22,22,25,17,29,68,69,37,39,23,26
2024,15,29,16,24,36,35,64,102,55,38,57,25
2025,40,20,19,22,28,39,61,104,54,36,18,22
2026,38,9,17,18,18,21,48,129,34,39,32,16
2027,22,19,19,20,19,35,36,50,58,35,44,31
2028,22,26,11,18,17,27,50,102,45,54,19,28
2029,39,18,18,17,26,53,67,101,107,48,54,37
2030,19,23,21,18,15,21,89,70,57,31,27,14
2031,21,31,32,20,11,36,58,132,56,31,20,23
2032,22,29,14,13,34,58,63,112,78,48,25,20
2033,23,18,22,22,18,23,93,52,48,33,30,21
2034,41,13,16,17,19,32,36,87,43,41,36,23
2035,26,17,17,25,30,31,81,104,28,88,53,16
2036,18,29,16,29,16,46,43,52,68,32,36,30
2037,26,13,33,20,23,18,62,85,92,41,25,42
2038,30,22,20,25,21,49,81,111,38,67,45,27
2039,32,17,16,15,20,25,57,98,50,32,24,18
2040,31,31,25,22,17,34,80,75,38,35,24,22
2041,29,15,19,12,14,17,67,80,66,41,29,23
2042,39,23,23,19,21,35,43,116,36,24,32,43
2043,29,24,28,16,17,28,76,132,39,54,70,16
2044,30,23,17,15,25,32,61,91,35,60,37,13
2045,37,16,24,15,30,40,46,69,67,23,22,29
2046,55,15,16,17,26,31,76,51,28,52,35,20
2047,18,21,20,18,19,28,40,83,42,46,56,54
2048,21,15,27,14,16,23,52,116,74,48,22,39
2049,31,17,25,18,15,23,28,81,64,23,24,36
2050,12,14,26,13,28,24,58,143,40,66,32,24
2051,28,22,17,20,13,30,59,64,58,55,39,25
2052,38,43,18,17,19,34,53,74,73,23,20,18
2053,36,23,22,11,16,34,51,71,70,49,57,27
2054,30,23,25,14,24,33,54,72,76,45,45,40
2055,30,17,21,20,21,26,39,84,73,48,40,29
2056,43,29,22,15,22,32,74,108,79,22,39,34
2057,34,42,42,11,16,37,68,66,52,65,16,40
2058,23,20,28,12,20,32,59,60,54,52,24,32
2059,13,21,21,12,13,41,39,78,58,44,23,46
2060,35,23,15,17,11,34,38,102,70,45,28,29
2061,26,42,24,26,17,43,47,107,38,65,24,23
2062,19,20,24,17,17,29,43,73,61,25,23,34
2063,17,18,26,11,30,32,52,124,41,35,43,57
2064,53,24,9,14,15,25,48,118,47,58,27,24
2065,39,18,23,21,15,40,54,92,43,40,33,30
2066,35,12,20,12,24,56,71,81,44,58,42,24
2067,40,22,22,16,15,19,75,92,34,52,36,34
2068,41,21,21,21,16,61,47,66,55,48,34,28
2069,23,18,10,25,18,27,62,63,50,45,40,22
2070,22,16,31,10,16,34,66,71,78,70,42,28
2071,40,25,16,13,17,33,65,130,49,30,51,38
2072,26,24,15,16,16,30,38,71,45,59,39,40
2073,54,14,17,16,22,42,66,103,48,50,27,21
2074,19,18,20,18,30,13,66,58,77,51,22,19
2075,32,34,35,12,18,13,57,95,41,53,47,22
2076,27,22,17,30,23,27,54,74,96,47,40,21
2077,30,18,12,27,20,33,45,95,41,36,27,55
2078,38,23,14,28,23,40,58,75,51,25,20,20
2079,28,18,22,22,20,37,77,78,68,53,33,41
2080,29,12,21,20,29,21,51,63,70,67,42,18
2081,25,25,21,22,19,14,35,84,51,44,29,50
2082,36,25,12,26,24,33,93,53,33,45,30,54
2083,28,18,13,40,28,21,49,81,33,49,34,39
2084,39,34,27,27,18,38,80,97,76,64,40,56
2085,61,15,21,10,29,29,56,69,64,34,33,18
2086,21,18,14,17,21,26,76,49,51,39,51,39
2087,48,19,15,39,24,39,80,64,36,42,32,38
2088,52,22,30,22,27,29,74,68,87,21,42,29
2089,36,23,23,26,31,29,73,81,47,46,39,16
2090,38,24,19,20,30,28,83,66,34,35,39,45
2091,38,21,18,18,14,32,49,60,67,39,28,37
2092,39,17,23,38,30,41,75,71,68,67,47,22
2093,30,16,17,21,14,38,32,117,64,40,49,34
2094,26,22,10,11,8,15,83,70,36,47,29,29
2095,25,23,25,27,21,23,99,71,64,83,39,30
2096,32,11,18,20,17,26,70,76,49,26,35,26
2097,65,21,20,23,21,22,46,65,79,38,24,22
2098,46,16,12,17,17,39,58,63,56,77,21,31
2099,33,30,27,7,12,21,54,79,54,28,51,27
2100,21,23,23,22,14,32,53,134,40,34,42,33
