"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,17,17,13,13,12,13,48,40,35,50,27,28
2007,20,14,21,14,13,19,29,67,68,35,52,26
2008,38,17,14,15,15,15,30,65,23,38,27,26
2009,13,14,9,16,17,24,37,46,55,50,22,32
2010,23,15,33,26,9,22,37,32,58,57,31,20
2011,19,17,13,28,21,43,27,36,49,49,20,24
2012,23,17,21,19,13,22,78,54,51,40,15,25
2013,33,13,11,13,14,43,41,54,42,30,21,27
2014,20,10,23,11,20,22,25,63,34,30,26,20
2015,21,10,18,11,14,28,51,99,54,42,34,25
2016,27,25,12,27,10,21,32,81,46,49,27,27
2017,37,17,12,15,15,48,30,56,24,40,21,16
2018,15,10,10,10,16,19,52,48,30,27,25,26
2019,9,14,24,16,17,14,36,47,32,41,22,38
2020,23,13,19,11,13,24,50,93,39,63,26,15
2021,22,22,9,22,15,37,40,84,29,21,19,22
2022,19,10,16,13,11,24,53,103,54,29,27,28
2023,16,19,19,20,13,26,59,62,25,27,21,23
2024,12,25,13,19,21,29,58,96,45,31,46,25
2025,33,16,16,19,19,35,52,91,44,30,18,22
2026,32,8,16,15,13,18,43,112,28,35,32,18
2027,19,15,17,18,13,29,35,51,45,31,42,27
2028,18,21,9,16,11,19,38,81,36,45,18,24
2029,32,16,12,16,18,46,55,89,84,41,43,31
2030,17,18,19,17,12,14,76,53,39,26,23,12
2031,19,22,25,17,11,27,49,100,53,28,17,21
2032,17,24,12,11,25,55,53,97,65,46,24,21
2033,21,13,17,18,12,20,84,45,42,30,27,19
2034,34,11,12,15,14,25,34,71,33,35,31,18
2035,23,15,13,23,22,25,70,83,24,72,38,15
2036,15,24,13,26,12,42,37,45,51,26,31,30
2037,22,10,23,17,16,14,58,69,64,33,23,34
2038,21,16,18,22,15,39,67,95,29,54,42,23
2039,28,13,13,14,12,19,41,83,48,27,22,16
2040,24,23,21,17,14,25,59,71,31,34,23,20
2041,23,14,17,11,11,12,60,64,57,33,31,21
2042,28,18,18,14,15,30,38,93,31,19,24,36
2043,22,19,24,14,11,20,63,111,34,44,56,14
2044,23,22,15,12,21,24,52,62,26,46,33,12
2045,29,15,17,12,21,35,35,62,54,22,18,24
2046,42,12,14,15,18,26,67,36,26,40,27,21
2047,14,19,16,18,15,21,38,67,33,41,43,46
2048,16,13,20,13,12,17,39,95,51,47,18,33
2049,27,14,21,15,9,21,25,60,52,21,19,30
2050,11,13,24,10,18,20,47,131,40,54,29,23
2051,25,20,15,18,10,23,48,56,49,46,32,24
2052,33,35,14,15,18,28,45,55,57,19,19,16
2053,27,20,17,10,13,28,41,62,61,45,46,23
2054,22,20,23,12,17,27,51,70,65,41,35,34
2055,21,14,16,22,17,21,31,79,57,41,33,26
2056,32,22,19,14,16,25,60,81,66,21,35,32
2057,28,32,35,10,12,31,55,48,35,49,15,35
2058,18,18,25,10,11,28,49,53,42,43,19,29
2059,13,20,17,11,11,29,36,77,47,35,20,39
2060,28,21,12,16,10,28,30,88,54,41,24,28
2061,22,28,21,23,13,37,39,85,33,48,19,19
2062,15,16,20,14,12,24,36,60,48,25,20,29
2063,18,16,23,9,22,23,45,99,41,32,34,51
2064,39,23,8,15,12,19,45,101,40,44,22,21
2065,32,14,16,18,11,32,42,89,35,36,25,27
2066,27,13,16,11,14,52,66,61,37,44,29,21
2067,33,18,19,15,12,16,65,82,25,51,33,34
2068,29,18,17,20,12,57,38,49,51,41,30,28
2069,17,16,9,20,13,23,54,57,40,43,37,21
2070,19,12,24,10,14,31,66,54,57,58,31,23
2071,27,20,16,13,11,29,67,105,39,25,44,33
2072,19,16,14,16,12,18,32,45,36,46,29,33
2073,41,12,13,15,15,36,54,93,37,42,23,22
2074,17,16,19,17,22,13,63,49,60,46,22,18
2075,27,25,28,11,12,11,49,75,34,43,40,18
2076,25,20,15,25,16,26,43,50,74,34,31,18
2077,26,17,12,21,16,33,34,87,31,28,24,46
2078,28,19,11,22,18,36,58,69,40,21,15,19
2079,22,15,18,19,14,30,66,64,44,50,23,37
2080,24,11,17,19,20,17,42,54,59,50,35,19
2081,17,22,16,19,14,11,30,77,43,36,24,41
2082,33,18,9,20,17,25,92,46,25,43,28,45
2083,23,18,12,35,19,15,38,56,28,39,30,35
2084,30,26,24,22,14,29,64,76,60,54,35,43
2085,49,14,16,9,19,24,49,54,51,30,28,20
2086,19,15,14,17,13,24,69,46,41,31,46,37
2087,40,16,12,32,15,33,70,54,25,45,34,37
2088,45,15,24,19,19,23,61,58,67,20,36,25
2089,26,18,21,21,19,24,66,65,41,46,28,16
2090,32,18,16,20,23,23,79,52,23,32,29,36
2091,29,15,15,15,13,25,45,54,53,31,19,31
2092,32,15,16,33,28,33,66,52,50,56,40,19
2093,25,10,11,18,10,30,23,100,47,35,46,30
2094,23,16,10,8,7,14,72,64,33,41,26,30
2095,19,19,21,21,15,18,92,57,55,77,29,26
2096,29,10,15,17,12,19,52,77,36,20,30,24
2097,48,15,16,18,18,16,32,57,53,29,23,21
2098,35,13,10,15,13,34,49,54,45,64,17,29
2099,29,23,21,8,8,14,44,59,43,24,40,23
2100,17,21,18,19,10,25,50,108,31,27,33,29
