"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,32,34,22,22,14,30,77,82,75,94,40,45
2007,40,20,38,23,27,42,49,87,116,51,66,26
2008,78,38,31,20,37,23,58,93,48,75,36,34
2009,18,26,13,20,32,31,62,71,94,66,27,49
2010,49,23,62,33,22,42,76,78,96,80,48,31
2011,30,34,22,43,38,67,47,84,89,85,31,28
2012,40,29,40,29,33,35,93,73,91,48,22,36
2013,66,16,22,25,39,42,64,99,63,40,41,34
2014,35,22,49,14,55,44,50,114,63,46,35,29
2015,36,15,33,14,25,47,81,143,92,88,54,35
2016,44,47,14,45,33,38,52,99,85,91,26,28
2017,62,30,19,23,27,77,45,90,49,64,28,27
2018,27,20,19,16,32,38,67,97,66,42,45,45
2019,14,28,43,24,33,28,46,110,58,63,40,58
2020,34,21,39,19,26,41,68,125,68,91,36,18
2021,38,36,13,32,30,48,52,133,50,38,29,27
2022,29,22,22,22,22,48,75,170,75,50,54,44
2023,33,32,29,38,27,40,87,87,57,60,31,35
2024,21,41,23,34,63,48,82,122,77,53,80,29
2025,58,31,27,28,48,50,81,133,78,49,20,26
2026,53,13,21,26,30,27,60,172,46,52,38,15
2027,29,27,25,26,34,48,40,56,85,45,53,40
2028,32,40,16,24,28,41,70,143,64,74,25,37
2029,56,24,30,23,43,69,91,132,151,64,79,51
2030,26,35,28,22,23,34,119,102,90,41,36,17
2031,26,49,45,27,14,52,75,188,70,40,27,30
2032,34,42,20,17,55,68,82,146,105,58,33,23
2033,31,29,33,30,32,32,113,72,64,43,39,25
2034,60,17,24,21,31,45,42,121,66,57,50,32
2035,35,23,23,31,48,44,108,142,35,123,84,20
2036,28,43,23,38,25,57,55,66,101,47,49,33
2037,38,20,54,29,37,27,75,118,144,58,33,58
2038,50,34,28,34,37,68,110,146,54,95,55,38
2039,45,27,22,20,37,36,84,129,62,46,33,23
2040,46,48,36,30,24,51,117,92,52,41,29,26
2041,43,21,27,15,20,24,86,111,86,60,30,30
2042,63,35,34,28,32,46,53,165,47,35,47,61
2043,45,35,37,21,29,41,103,177,53,74,101,20
2044,46,27,22,22,34,44,83,144,51,89,51,17
2045,57,22,37,22,49,52,66,88,97,28,29,41
2046,82,24,22,23,44,44,98,79,38,76,53,22
2047,27,29,29,22,29,41,48,114,61,58,84,72
2048,34,22,42,18,24,36,77,158,110,55,31,52
2049,45,25,36,24,27,30,36,119,90,29,33,48
2050,16,18,35,19,48,33,82,178,47,93,40,28
2051,38,29,22,26,21,44,80,83,80,74,54,31
2052,53,62,26,22,24,48,70,109,107,33,26,23
2053,55,33,31,16,24,48,72,96,96,63,82,35
2054,47,32,33,18,40,46,69,84,101,59,66,54
2055,49,24,29,22,30,35,55,101,107,66,58,39
2056,68,44,29,20,36,44,100,154,111,25,54,42
2057,50,64,59,15,25,54,93,98,84,97,19,52
2058,35,26,36,17,37,42,77,77,81,71,37,40
2059,14,27,32,16,16,64,46,90,81,62,33,62
2060,53,31,20,22,15,48,54,134,102,57,39,35
2061,35,70,31,36,27,58,64,151,50,99,35,30
2062,29,29,34,24,29,42,58,102,89,28,32,44
2063,17,26,35,14,50,50,70,174,50,45,62,71
2064,83,33,13,15,23,36,59,155,65,85,38,33
2065,59,26,37,30,23,56,76,105,62,55,50,39
2066,53,13,28,15,44,69,86,117,60,84,67,33
2067,58,32,29,21,22,28,99,117,50,63,46,38
2068,66,29,29,26,25,75,62,98,70,67,47,32
2069,35,23,15,34,28,36,79,80,72,57,49,26
2070,29,26,46,11,24,40,71,106,119,99,63,38
2071,67,38,19,17,30,45,68,182,70,40,71,50
2072,42,39,19,19,26,49,52,117,66,86,62,54
2073,83,20,27,19,36,58,91,132,71,70,35,24
2074,25,23,25,24,49,16,77,77,113,69,26,22
2075,45,52,51,16,31,16,74,135,54,72,66,29
2076,35,28,22,42,39,33,70,114,143,71,59,27
2077,42,21,15,40,29,37,63,117,60,53,36,74
2078,58,34,22,40,35,52,68,92,72,33,30,24
2079,40,24,30,30,32,52,100,106,108,65,53,52
2080,41,16,30,24,48,28,65,86,95,99,58,21
2081,43,34,30,31,28,22,45,101,72,61,43,67
2082,47,39,17,38,38,49,105,69,48,56,37,73
2083,38,22,17,53,48,32,67,124,42,71,44,50
2084,60,51,35,39,28,55,109,137,107,85,55,80
2085,90,19,32,12,49,42,73,95,91,45,46,20
2086,28,27,17,19,38,32,91,54,72,57,67,47
2087,70,25,22,53,41,50,104,84,54,46,34,46
2088,73,35,43,29,44,39,97,91,129,27,57,39
2089,57,35,29,38,56,40,93,113,64,54,62,19
2090,53,38,25,24,48,40,97,96,55,45,59,62
2091,57,33,25,27,19,45,61,77,97,55,47,51
2092,58,24,37,51,39,56,92,107,102,92,67,29
2093,44,26,28,28,22,53,45,153,98,53,60,43
2094,36,38,13,16,10,19,107,88,47,64,39,32
2095,38,32,36,39,34,33,124,98,87,102,59,38
2096,42,15,26,29,29,39,101,81,73,38,48,31
2097,102,33,28,34,30,32,68,83,123,57,29,27
2098,69,23,16,22,26,50,77,83,80,109,28,39
2099,46,45,38,8,21,34,73,119,77,36,77,37
2100,32,31,35,29,23,47,68,186,58,47,61,44
