"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,27,30,23,23,19,48,95,108,54,53,64,28
2007,45,21,27,36,43,60,67,66,59,47,28,50
2008,43,39,18,27,55,56,50,123,87,57,27,20
2009,35,27,28,24,28,78,87,73,82,45,34,29
2010,18,18,50,25,44,57,67,101,86,105,21,35
2011,50,34,16,22,36,52,66,93,40,48,22,26
2012,45,39,28,19,25,39,84,40,53,55,41,14
2013,40,22,19,13,28,58,59,73,75,66,46,42
2014,37,35,33,28,59,56,84,90,58,56,50,49
2015,42,26,22,23,46,60,52,132,44,73,48,43
2016,29,27,21,19,22,86,87,77,83,51,30,36
2017,46,26,37,26,37,53,124,56,61,73,55,47
2018,48,33,29,12,22,52,53,109,42,38,32,59
2019,20,34,31,24,20,56,64,113,109,65,49,30
2020,24,36,13,28,34,67,89,73,109,79,32,44
2021,46,44,25,20,43,40,70,62,74,56,51,37
2022,32,15,29,25,40,43,75,101,84,38,46,39
2023,37,16,23,40,32,43,81,76,118,76,23,39
2024,55,36,30,20,39,64,98,91,74,66,48,49
2025,7,30,33,26,33,45,47,111,45,69,20,56
2026,29,38,25,27,53,39,80,153,93,27,18,36
2027,26,41,34,32,53,62,72,131,97,58,67,58
2028,58,37,25,25,22,66,95,74,66,70,61,57
2029,37,53,26,29,43,50,73,59,93,56,51,36
2030,17,38,34,23,19,79,69,75,115,58,32,37
2031,31,28,56,38,24,52,67,89,67,29,21,42
2032,28,29,23,19,19,80,87,98,77,28,84,51
2033,30,42,29,29,33,44,80,68,118,82,30,54
2034,30,28,22,19,22,57,112,168,109,55,64,33
2035,27,22,17,22,41,73,91,79,53,64,41,41
2036,25,59,32,26,73,38,79,83,78,42,48,25
2037,39,33,31,21,38,59,81,92,72,42,61,29
2038,39,22,33,23,31,56,96,108,73,64,51,41
2039,33,29,42,19,31,66,72,73,89,62,28,42
2040,20,34,33,30,26,62,69,53,66,82,35,56
2041,31,41,25,25,32,53,84,77,74,75,58,33
2042,35,33,38,33,35,72,71,100,64,84,28,28
2043,26,34,14,17,45,80,80,117,77,69,35,44
2044,49,35,34,26,27,51,136,145,115,37,47,41
2045,39,45,22,25,19,52,84,107,74,17,54,50
2046,32,37,23,9,45,67,56,119,135,87,52,66
2047,53,29,21,10,31,58,66,99,73,51,59,48
2048,22,36,32,21,53,61,94,100,72,52,45,30
2049,37,34,22,24,40,61,70,65,47,54,48,52
2050,19,37,32,25,37,37,80,112,65,67,36,44
2051,17,33,43,17,16,69,55,118,91,64,56,52
2052,22,25,31,8,20,56,59,72,94,63,57,19
2053,49,21,19,16,25,75,48,94,80,75,54,45
2054,40,33,41,19,65,62,77,139,59,42,57,58
2055,38,32,20,38,49,85,65,110,84,69,58,32
2056,24,27,27,30,32,48,63,113,92,40,41,29
2057,8,16,20,35,47,58,69,91,84,42,36,53
2058,30,49,48,17,19,63,63,90,47,63,45,21
2059,33,29,36,12,47,58,95,115,95,30,59,37
2060,50,24,28,14,56,50,100,136,108,65,49,36
2061,50,46,46,30,26,55,72,138,67,79,52,47
2062,36,16,32,32,30,64,68,72,69,48,40,29
2063,34,27,27,20,39,80,77,136,133,136,97,27
2064,38,16,34,25,26,58,67,90,96,68,49,33
2065,38,56,28,24,52,51,68,94,103,19,44,34
2066,31,19,25,29,40,44,88,88,75,68,43,38
2067,38,44,29,34,66,88,60,70,60,93,45,54
2068,39,31,31,34,23,63,72,84,139,126,42,57
2069,47,25,23,20,14,54,74,130,80,50,36,75
2070,52,25,12,15,44,61,64,90,49,54,57,28
2071,38,37,27,33,36,51,50,191,36,106,34,66
2072,25,27,19,27,53,51,59,92,89,69,40,46
2073,29,43,33,28,34,78,67,135,118,125,52,74
2074,41,32,44,21,30,80,87,112,42,42,59,27
2075,46,42,39,13,34,56,91,133,41,43,33,48
2076,31,24,19,35,55,65,98,60,72,72,45,24
2077,25,38,31,32,29,73,58,98,82,115,59,57
2078,33,36,36,22,62,56,119,166,98,54,44,35
2079,34,19,45,20,40,62,56,81,89,60,63,21
2080,36,37,30,34,16,64,89,114,78,40,79,59
2081,11,11,13,46,44,74,104,94,113,67,43,34
2082,39,20,14,31,31,47,87,120,72,63,64,41
2083,27,48,32,27,57,45,87,108,49,88,47,33
2084,28,32,36,37,42,54,96,105,96,53,57,35
2085,44,56,25,18,32,44,99,136,93,42,34,68
2086,65,37,23,30,50,65,54,115,102,75,60,63
2087,35,37,35,19,18,93,83,115,76,85,50,61
2088,45,47,29,32,38,48,75,120,68,61,53,34
2089,41,37,34,31,35,79,93,99,94,104,48,25
2090,51,40,37,19,30,56,94,107,64,59,55,37
2091,46,34,28,17,42,50,91,79,63,64,44,31
2092,26,21,24,14,24,56,83,123,136,67,34,36
2093,24,23,25,22,46,57,58,83,50,51,48,31
2094,32,16,34,37,35,56,133,106,132,86,51,44
2095,63,50,43,30,37,83,139,195,111,61,48,36
2096,48,12,22,13,42,77,74,51,128,96,47,44
2097,32,32,32,35,32,69,44,126,79,59,74,44
2098,36,44,20,30,35,64,67,163,73,87,51,30
2099,26,23,20,12,24,52,91,151,85,33,47,47
2100,35,30,43,17,25,84,66,96,83,98,80,42
