"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-15,-15.7,-8,-2.2,7,13.7,12.4,12.5,7.7,0.4,-5.6,-24.9
2007,-21.4,-21.5,-10.1,-0.4,4.1,12.8,15.5,14.7,5.4,-6.7,-14.5,-23.3
2008,-22.6,-16.8,-8.4,-5.2,3.6,10.2,15.8,12.1,8.9,-5.5,-14,-21.9
2009,-20.9,-15.2,-7.5,-1.5,9.2,14.7,16.4,13.7,7.2,-1.3,-14.5,-16.6
2010,-25,-19.9,-6.3,-2.7,5.3,14.1,15.7,11.9,7.2,-3.9,-16.4,-19.7
2011,-15.2,-21.1,-16,-4.4,5,11.7,16,10.3,2.7,-8.1,-18.9,-20
2012,-19.7,-19.5,-9.2,0.1,7.5,15.2,17.7,13.9,5.6,-2.4,-12.3,-21.3
2013,-23.6,-13.2,-10.6,1.3,9.9,15,15.1,13.8,8.7,-6,-13.3,-11.7
2014,-13.2,-14.6,-8.4,-2.9,6.2,15.4,15,13.7,5.8,0.2,-7.2,-11.9
2015,-16.1,-11.8,-7.2,0.8,4.7,11,16.6,13.3,9.9,-0.5,-10,-22
2016,-22.5,-14.7,-4.8,3.2,9.6,14.8,13.8,12.5,8.9,-7.2,-16,-18
2017,-20,-19.7,-13.3,-4.2,4.8,12.3,12.7,13.6,7.3,-1.1,-7.9,-15.2
2018,-14.4,-10.3,-8.9,-1.6,9.1,14.7,18.1,14,6.2,-3.4,-13.6,-18.3
2019,-23.9,-12.7,-4.9,0.8,7.8,17.1,17.8,14.2,7.1,-3.4,-9.5,-12.7
2020,-15.3,-7.4,-12.7,-0.1,7.6,15,17.4,12.1,6.6,-0.3,-14.4,-15.3
2021,-20.9,-12.5,-8.4,1.7,5.7,12.7,16.4,12.7,5.5,-6.7,-11.6,-24.4
2022,-17.3,-15.7,-11.9,-2.9,4.9,12.7,14.4,12.2,7.2,-7.5,-15.9,-21.3
2023,-15,-13.1,-12.5,-0.8,5.8,12.8,15,15.6,7.2,-3.5,-16.7,-23
2024,-15.1,-13.9,-6.3,-0.4,6.3,15.8,16.7,14.8,4.4,-2.3,-8.3,-14.8
2025,-26.2,-12.1,-7.8,-1.3,7.6,16.4,15.8,14.5,7.3,-3,-17.6,-12.9
2026,-18.4,-10.4,-7.6,-1,6.4,15.9,16,10.1,7.8,-2.5,-15.1,-20.2
2027,-20.6,-11.6,-10.6,-2.7,3.3,14.6,17.9,12.7,9.8,0.7,-10.7,-14.8
2028,-13.3,-16.2,-11.5,-4.5,9.1,12.9,15.8,15.2,5.1,-0.6,-10.2,-17
2029,-21,-9.9,-7.4,0,4,11.7,16.4,16.3,8.7,-3.5,-12.1,-20.7
2030,-22,-9.9,-9.5,0.7,9.7,16.9,15.8,14.1,9.6,-3.5,-15,-16.1
2031,-19.8,-19.9,-5,-1.1,6.8,14.8,17.2,14.5,5.6,-6.7,-15.9,-17.5
2032,-18.6,-10.5,-8.8,3.1,9.4,16.3,16.6,14.1,9.9,-3.6,-8.1,-15
2033,-17.4,-14.4,-12.2,-3.5,7.1,15.1,18.3,17.9,9.3,-0.8,-7.6,-10.1
2034,-14.5,-15.3,-10,-0.5,8.1,15.6,17.1,11.5,6.8,-3.7,-5.6,-12.5
2035,-15.4,-8.8,-14.1,-2.1,8.8,14,15.6,13.8,6.6,-3,-10.1,-18.1
2036,-20.1,-12.1,-9.8,-2.6,4.3,13.1,14.4,11.4,8.6,-6.1,-15.9,-14.3
2037,-20.7,-9.6,-3.5,5.2,10.3,14.5,16.4,13.3,8.2,-5.4,-10.9,-20.4
2038,-17.5,-15.2,-6.4,-1,9.5,13.8,16.3,12.7,6.5,-4.5,-9.5,-10.7
2039,-18.5,-8.8,-8.2,-5,9.1,15,18.4,15.8,9.6,-0.7,-11,-15.7
2040,-16,-11.7,-6.9,1.9,9.8,14,14.5,15,7.8,-0.8,-9.6,-12.3
2041,-17.2,-15.4,-14.3,3.7,9.7,14.4,15.3,12.3,7.8,-1.9,-10.1,-15.5
2042,-17.1,-7.9,-8,2.2,8.6,14.7,18.2,15.6,10.8,0.7,-15.9,-18.5
2043,-17.2,-9.4,-9.2,1.6,9,15.2,16.8,9.7,7.7,-4,-12.5,-19.5
2044,-13.3,-10.8,-5.9,0.6,5.5,15.7,13.1,10.1,7.5,-7.7,-14.4,-14.8
2045,-10.8,-8.6,-7.5,-2.7,10.3,16.6,16.9,13.2,11.1,-6.1,-7.7,-11.7
2046,-17.2,-9,-5.3,-3.3,5,10.2,16.6,14.1,8.3,-2.1,-7.9,-13.3
2047,-9.6,-8.4,-1.2,-0.5,12.4,16.3,17.8,15.3,9,-2.1,-8.4,-8.2
2048,-14.3,-8.3,-5.6,1,7.9,15.8,17.1,15.3,6.6,-1.3,-12,-17.1
2049,-14.8,-9.8,-8.5,-1.7,8,16.6,18.9,16.8,9.3,2.6,-3.9,-10
2050,-17.4,-6.8,-3,3.6,13,16.1,19.5,16.4,8.5,-0.2,-13.8,-12.5
2051,-22.9,-11.7,-2.7,0.3,12.6,13.4,16.7,13.8,9.5,0.1,-10.5,-14.7
2052,-20.3,-16.6,-8.8,2.3,13.8,16.2,16.4,14.4,10.7,-1,-5.1,-17.4
2053,-18,-13.3,-14.1,4.9,12,14.7,17.9,17.9,10.1,-3.1,-7.9,-16.6
2054,-17.6,-8.9,-7.8,0.3,4,12.7,17.4,14.5,7.1,-4.8,-13,-18.2
2055,-13.5,-10.1,-3.1,4.4,7.9,13.5,19.2,16.1,10.4,-0.8,-4.5,-13.9
2056,-20.9,-13.7,-7.1,-0.1,7.3,15.6,17.1,14.1,7.7,-0.1,-8.8,-19.1
2057,-26.3,-22,-11.2,-3.7,5.2,12.7,16.5,12.8,6.6,-2.6,-5.9,-14.2
2058,-22.5,-10.6,-3.7,-2.3,10.4,16.3,17,17.5,5.8,-0.6,-15.2,-21.1
2059,-18.3,-9.5,-8.4,-4.4,8.1,14.1,15.1,11.8,9.5,-6.7,-3.8,-13.2
2060,-18.3,-9.6,-4.5,2.7,6.9,15.1,14.9,12.5,7.1,-4.1,-14.1,-19.2
2061,-13.8,-8.5,-9.1,0.3,9.4,16.2,18.5,14.8,10.4,-0.3,-6.6,-15.9
2062,-18.4,-13,-5.7,4,11.1,15.5,18.6,15,6.8,-2.5,-10,-14.7
2063,-16.1,-9.5,-6.6,5.9,11.7,16.9,20.1,14.5,9.1,-0.7,-4.6,-16.1
2064,-19.5,-19,-7.7,1.8,10,15.5,17.6,14.1,9,1.4,-8.9,-13.5
2065,-12.6,-7.7,-1.7,3.3,7.4,16.3,16.3,13.8,11.8,-5.7,-10.5,-14.1
2066,-20.4,-8.9,-9.7,-0.2,7.9,16,18.9,15.1,10.1,-2.5,-6.6,-16.5
2067,-12.9,-7.2,-7.4,1.2,6.8,10.7,18,16,5.6,0.9,-5.6,-11.6
2068,-12.6,-18.5,-11.2,3.6,11.5,16.4,17.3,13,10.2,3.1,-4.9,-7.7
2069,-17.7,-11.8,-1.8,0.6,13.1,17.9,19.3,13.7,8.8,-0.8,-9.9,-9.1
2070,-10.8,-13.8,-5.7,3.1,7,17.1,19.6,14.4,9.2,1.5,-8,-19.9
2071,-16,-8.7,-10.1,2.2,6.4,17,18.3,13.9,8.7,2.7,-11.2,-10.6
2072,-19.1,-18.2,-6.6,-2.4,5,14.7,18.5,14.3,10.9,-4.3,-9.1,-13
2073,-21.6,-12.8,-12.7,-1.3,6.2,11.8,17.6,13.8,11.2,0.8,-5.9,-8.3
