"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-14.9,-19.3,-11.7,-10.1,1.8,9.4,10.5,10.4,6.7,-2.2,-9.2,-26.4
2007,-24.2,-26.1,-16.2,-8.9,-1.3,7.5,12.1,11.1,3.7,-6.1,-14.9,-23.9
2008,-26.2,-19.8,-11.5,-11.7,-1.7,6.7,11.9,10.4,7,-5.6,-8.7,-18.2
2009,-23.3,-21.5,-16.2,-9.6,2.1,9.4,13.5,11.1,6.3,-1.7,-12,-14.8
2010,-26.3,-24.8,-14.3,-9.1,-0.7,8.7,11,10.6,5.6,-5.4,-11.8,-19.2
2011,-19,-26,-23.1,-12.5,-0.8,6.7,11.4,7.7,2.4,-8,-19.7,-19.9
2012,-19.5,-26.7,-15,-7.4,1.1,9.5,13.1,10.9,3.4,-2.9,-14.4,-21.2
2013,-25.1,-16,-15.4,-7.9,1.8,9.8,12.3,12.5,7.6,-5.5,-12.9,-12.5
2014,-15,-22.2,-16.9,-11.4,-0.9,9.2,13.9,12.9,6,-1.8,-8,-12.9
2015,-14.9,-18.3,-12.2,-9.1,-1.3,5.9,11.2,11.7,8,-2.5,-10.8,-23.9
2016,-23.6,-18.6,-12.1,-5.3,1.7,10.3,11.8,10.2,7.7,-5,-12.9,-17.1
2017,-21.5,-24.1,-23.3,-12.5,-1.6,8,10.6,10.1,5.3,-0.9,-8,-15.1
2018,-17.2,-14.9,-18.4,-9.2,1.9,8.7,14.8,13.2,5.8,-3.1,-10.9,-19.8
2019,-22.6,-16.5,-12.2,-6.1,1.9,10.6,14.7,11.7,5.2,-4,-9.5,-13.4
2020,-17.9,-11.6,-14.5,-6.2,1.2,8.7,14,11.2,6.1,-0.5,-11.6,-12.7
2021,-22.6,-19,-16.7,-7.8,-1.8,6.4,11.8,10.3,4.7,-7.8,-11.3,-25
2022,-17.4,-16.7,-15.9,-10.8,-0.7,8.2,12.6,11.9,6.7,-5.4,-12.9,-22.5
2023,-17.7,-17.4,-19.1,-10.2,0.1,8.4,11.6,11.3,5.7,-4.5,-12.8,-23.4
2024,-18.9,-20.4,-12.5,-9,-0.5,10.1,13.6,12.8,4.3,-4.5,-9.6,-15.6
2025,-26.3,-17.3,-18,-10.8,0.7,9,11.2,10.4,5.9,-4.5,-17.9,-16
2026,-18.6,-15.5,-15.3,-11,-0.4,9.5,12.4,8.9,5.8,-1.8,-12.2,-17.3
2027,-18.7,-14.7,-17.1,-8.2,-3.1,9.3,14,11.9,8.2,-0.1,-13.1,-15.7
2028,-19.1,-24.3,-19.7,-14.2,0.7,7.5,12.2,11.8,4.8,-1.8,-7.9,-17.5
2029,-22.9,-16.4,-12.9,-10,-2.6,6.7,13.9,13.4,7.7,-3.8,-10.8,-22
2030,-21.3,-18.1,-17.5,-8.1,1.4,10.8,12.8,10.8,7.5,-1.5,-12.7,-17.7
2031,-17.9,-24.5,-12.8,-9.4,1,9.3,13.1,11.8,5.1,-4.5,-12.5,-18.2
2032,-16.1,-15.8,-14.4,-5.4,2.7,11.7,14.7,13.7,9,-1.5,-6.9,-14.7
2033,-18.7,-20.6,-15.9,-9.3,0.6,10,14.8,15.1,8.5,-0.4,-6.8,-11.9
2034,-15.7,-18,-14.3,-9.7,0.9,10.9,15.2,11.7,6.4,-3.9,-5,-11.9
2035,-15.9,-12.6,-20.5,-11.4,1.1,9.7,13.1,13.3,6,-2,-7.1,-18.1
2036,-22.4,-23.5,-15.8,-9.4,-2.4,8,10.4,9.4,6.4,-5.3,-12.9,-13.6
2037,-25.8,-15.8,-12.4,-6.1,3,9.7,14.8,12.1,6.8,-5.1,-7.8,-20
2038,-18,-19.3,-13.9,-10.6,2.1,7.7,12.9,10.5,4.4,-4.8,-9.8,-11.8
2039,-18.4,-12.7,-18,-12.9,2.4,9.9,15.3,13.7,7.3,-2.6,-10.5,-15.1
2040,-16.2,-18.3,-14.5,-5.2,2.8,9.4,12.8,12.9,7.9,-0.9,-7.5,-15.1
2041,-17,-22.5,-20.2,-5.5,3.6,9.4,14,10.9,6.3,-3.5,-8,-14.9
2042,-18.6,-14.3,-15.9,-8.8,1.6,9.2,14.2,14.5,9.3,-1,-15,-15.5
2043,-16.5,-13.5,-12.5,-6,2.6,10.4,14.7,10.4,6.5,-3.1,-9.5,-17.2
2044,-14.9,-18,-12.4,-7.8,-1.8,9.5,9.8,8.9,4.7,-8.6,-15.9,-17.5
2045,-12.9,-13.8,-14.1,-11,3.3,10.2,13.6,11.8,9,-4.4,-8.3,-11.7
2046,-17.1,-16.3,-11.2,-11.2,-0.5,5.6,12.3,11.8,5.9,-2.4,-8.7,-13.4
2047,-10.7,-12.1,-7.1,-7.5,5.4,10.9,15.9,14,8.4,-1.3,-4.9,-8.4
2048,-12.1,-13.5,-12.4,-5.9,1.1,10.4,15.7,14.2,6.3,-0.3,-9.4,-14.8
2049,-16.2,-15.4,-15.4,-10.5,1.2,10.9,15.6,15.1,10.2,1.6,-3.1,-11.4
2050,-15.2,-11.7,-10.1,-5.2,5,11,17.4,15.8,8.9,-0.7,-9.8,-11.4
2051,-16.9,-16,-9.9,-6.6,5.6,10.4,15.4,13.1,9.2,0.4,-9,-13.5
2052,-20.6,-19,-14.8,-5.9,6.5,10.6,13.8,12.5,8.9,-1.1,-4.6,-13.7
2053,-21.6,-19.2,-20.7,-4.2,3.7,9.9,15.5,16.2,9.1,-2.5,-6.3,-19.9
2054,-20.1,-15,-14.7,-8.8,-1.7,9,14.4,13.5,6.6,-3,-11.3,-17.7
2055,-18.8,-15.7,-9.1,-5.4,0.7,8,15.6,14.7,9.4,-0.6,-4,-12.1
2056,-19.8,-16.9,-11.5,-7.3,0.4,9.6,13.9,13.2,7.4,0.1,-4.8,-15.3
2057,-26,-25.6,-14.6,-11,-1.4,7.9,12.8,11.7,5.8,-1.2,-4.4,-15.8
2058,-22.4,-15.7,-11.8,-12.4,2.3,10.6,12.8,14.2,5.1,-0.6,-14.1,-21.1
2059,-18.7,-10.7,-15.6,-11.4,2.4,9.6,14.1,11,7.9,-4,-3.8,-13.3
2060,-20.1,-10.9,-10.3,-3.6,1.5,10.5,13.1,12.1,6.5,-3.1,-12.2,-16.9
2061,-13.3,-12.9,-15.3,-8.7,2.4,10.4,15.5,13.7,8.8,0.4,-5.6,-13.7
2062,-18.8,-15.7,-14.4,-4.9,2.8,9.7,15.6,12.9,6.9,-2.8,-8.2,-14.8
2063,-16,-16.4,-12.2,-2.8,3.8,12.5,18,14.5,8.5,0.2,-3.9,-9.8
2064,-19.3,-21.6,-15.5,-5.4,2.7,10.6,15.6,13.7,8.1,1.1,-6.7,-12.1
2065,-12.1,-15.4,-7.4,-5.2,0.1,10.1,14.5,13,10.7,-1.9,-6.3,-12.4
2066,-20.6,-14.4,-20,-11.8,0.4,10.6,15.2,13.7,9.1,-2,-6.1,-14.9
2067,-16.3,-14.5,-13,-8,1,5.6,13.3,13.5,6,-1,-5.1,-14.2
2068,-16.9,-23.3,-16.7,-5.5,4,10,14.8,12.3,9.1,2.2,-4.1,-7.3
2069,-13.6,-14,-8.6,-6.6,5.6,11.9,17.8,13.5,8,-0.5,-6.7,-9.3
2070,-12.9,-15.7,-10.1,-4.6,0,12.1,17.1,13.6,9.2,1.1,-6.4,-16.8
2071,-12.2,-13.5,-16.4,-6.7,0.8,11.1,14.9,12.4,7.8,1.7,-10,-9.7
2072,-13.1,-21.7,-10.5,-10.7,-0.8,9.5,15.4,13.2,10,-4.3,-10.6,-10.7
2073,-20.8,-16.9,-18.4,-9,-0.3,7,13.7,12.2,8.9,-1.4,-4.8,-10.8
2074,-14.7,-12.3,-10.1,-5.2,4.7,12.1,15.4,14.4,7.5,0.5,-5.7,-15.2
2075,-22,-13.9,-15.7,-12,0,10,15.5,13.9,8.8,-0.6,-6,-14.5
2076,-11.5,-13.3,-12.5,-2.7,1.7,10.1,16.4,15.1,9.4,0.7,-4,-12.2
2077,-16.7,-12.2,-9.9,-10.8,2.2,11.8,16.6,15.9,9.9,1.6,-5,-11
2078,-10.3,-16.9,-8.4,-6.3,-1,8.2,12.6,11.5,7.2,0.2,-5.9,-16.2
2079,-15.4,-19.4,-13.2,-5.3,2.8,11.9,16.4,14.7,10.1,-1.4,-1.8,-13.4
2080,-17.4,-18.5,-14.6,-10,4.2,11.5,17.1,14.5,7.5,-1.3,-6.5,-10.5
2081,-19.9,-16.7,-14.7,-6,2.5,9.4,14.5,13.1,8.1,-0.3,-7.4,-17.1
2082,-17.3,-16.4,-13.9,-8.6,3.9,9.7,15,13.7,7.4,1.3,-2.9,-14.8
2083,-13.6,-12.5,-14,-7.3,1.8,9.2,16.5,14.9,10.5,-1,-11.1,-10.9
2084,-11.4,-15.8,-18.6,-4.8,2.2,10.8,13.1,13.5,6.5,-2.9,-6.4,-11.7
2085,-7.5,-11.5,-15.6,-5.1,2.3,10.4,17.1,13.9,7.9,0.7,-7.9,-13.5
2086,-15.1,-13.8,-10.4,-6.7,2.3,10.5,15.3,12.8,8.6,-0.1,-5.2,-11.7
2087,-13.4,-18.4,-17,-3.5,3.1,13.2,16.5,15.9,9.9,0.6,-4,-9.4
2088,-11.5,-15.2,-11.9,-9.6,1.4,11.7,16.7,14.8,8.3,-0.2,-4.7,-9.1
2089,-15.8,-14.7,-13.3,-5.1,4,11.2,16.1,15.2,9.1,3.3,-6.1,-10.2
2090,-21.2,-19.2,-18.4,-10.3,2,11.7,16.2,14,10,1.4,-5.6,-12.5
2091,-19.1,-17.3,-13.3,-5.7,3.8,10.3,16.8,14.5,6.6,-0.9,-7.7,-9.5
2092,-14.8,-14.9,-18.2,-8.9,3.6,7.6,14.8,13.8,7.9,2.8,-4.4,-12.1
2093,-15.6,-15.4,-13.8,-4.8,2.7,10.8,16.8,16.1,11.5,2.2,-3.2,-11
2094,-15.8,-20.5,-8.9,-5.6,2,11,15.6,13.4,10.2,0.2,-3.3,-9.2
2095,-14.3,-7.9,-15.4,-10,2,7.6,12.2,11.1,6.6,-1.6,-9.6,-8.6
2096,-13.8,-19.6,-12.7,-5.1,1,9.8,16.4,15.3,9.3,0.1,-5.5,-13
2097,-12,-9.7,-16,-5.1,3.7,12.3,16.6,15.1,8.9,-1,-4.2,-11.7
2098,-12.1,-12.8,-10.7,-6,-0.2,7.9,14.7,12.2,5.5,-3.8,-6,-15.9
2099,-21.9,-15.5,-8.5,-5.1,1.9,10.8,15.6,12,6.9,-3.2,-7.3,-9.6
2100,-14.5,-10.1,-9.5,-1.5,3.7,11.4,16.8,13.8,9.4,-0.9,-8,-10.9
