"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,25,21,20,34,19,26,32,90,46,42,26,18
2007,21,8,12,17,25,35,68,90,70,30,30,25
2008,35,27,20,25,20,41,40,83,42,30,36,36
2009,31,9,27,27,52,37,71,75,50,43,39,26
2010,33,20,42,25,35,32,22,38,54,36,30,24
2011,28,48,32,7,23,40,45,108,49,39,34,50
2012,28,23,15,12,23,23,46,68,43,50,34,20
2013,16,19,22,31,17,30,47,63,75,41,36,26
2014,22,30,10,30,9,17,48,97,70,68,73,30
2015,19,6,23,29,30,63,63,89,39,63,31,49
2016,22,21,15,17,20,37,62,99,54,33,23,22
2017,30,26,12,26,22,41,38,58,16,49,25,32
2018,47,37,39,14,41,45,77,85,62,47,38,49
2019,26,24,26,18,44,40,41,43,75,33,26,40
2020,25,17,13,10,14,19,75,51,61,50,37,21
2021,25,14,41,14,31,30,37,112,59,58,35,29
2022,19,19,16,11,28,25,78,88,52,43,18,19
2023,35,28,22,24,26,32,56,70,81,48,36,48
2024,15,23,29,27,45,40,65,102,65,37,37,44
2025,12,15,17,25,30,18,31,105,56,49,31,30
2026,33,16,18,16,29,40,59,62,40,51,32,34
2027,32,28,24,24,16,33,84,27,70,20,33,46
2028,26,29,20,24,31,17,44,95,88,36,20,23
2029,26,20,13,18,34,44,41,135,84,47,43,24
2030,16,25,27,18,18,28,65,75,63,31,36,32
2031,16,12,7,21,32,17,43,93,51,53,22,30
2032,23,34,21,18,34,24,50,50,47,35,33,47
2033,24,34,22,27,21,34,39,43,47,31,18,29
2034,14,10,24,15,13,34,56,72,52,45,15,11
2035,47,22,27,19,28,12,31,103,48,55,38,35
2036,34,14,19,9,20,12,61,56,42,46,28,33
2037,28,48,30,15,16,26,52,103,62,61,33,46
2038,19,16,46,28,14,36,57,79,49,56,28,27
2039,33,23,27,16,25,31,56,111,78,45,50,51
2040,24,23,15,20,32,26,53,115,59,36,33,14
2041,17,28,42,21,25,30,70,85,50,60,43,27
2042,33,20,9,29,26,28,28,73,63,36,28,17
2043,28,19,15,16,35,21,66,62,61,41,35,36
2044,34,30,23,24,18,30,42,89,44,47,41,41
2045,29,27,34,18,34,18,69,77,69,42,16,36
2046,19,18,29,11,22,29,69,96,62,50,24,37
2047,28,28,30,15,22,31,73,79,92,53,42,29
2048,16,25,25,8,13,24,73,108,39,43,34,30
2049,29,17,34,22,11,47,51,102,73,47,43,26
2050,34,24,18,25,29,37,64,63,60,25,35,22
2051,22,26,20,9,10,22,50,101,63,42,40,29
2052,40,24,23,29,31,42,49,85,50,39,39,22
2053,22,26,14,21,24,43,50,101,83,47,40,34
2054,22,22,11,19,32,23,54,98,64,25,33,48
2055,31,17,16,23,14,42,69,62,61,36,33,17
2056,13,25,24,29,30,43,69,84,71,36,33,38
2057,30,22,29,17,19,38,66,120,73,44,36,33
2058,10,14,20,16,20,37,53,123,55,49,41,40
2059,21,35,34,37,28,30,57,98,57,57,33,35
2060,21,12,25,31,26,44,56,81,25,66,23,24
2061,40,21,30,18,15,36,96,91,71,45,47,39
2062,24,25,11,30,31,44,37,75,80,32,10,38
2063,50,29,15,27,16,35,74,63,78,22,46,43
2064,27,14,34,35,14,12,49,105,61,32,46,27
2065,19,41,17,25,30,30,75,95,33,36,41,21
2066,21,15,19,35,15,22,70,91,55,70,34,40
2067,35,26,24,21,29,35,54,108,62,29,38,17
2068,33,43,27,19,23,25,49,125,90,44,46,18
2069,14,28,21,26,24,20,61,123,59,72,45,43
2070,18,15,22,15,19,42,64,110,86,50,20,23
2071,36,32,14,13,21,29,22,57,61,55,37,26
2072,26,20,34,21,40,28,55,91,77,46,27,29
2073,35,20,34,20,7,25,78,85,29,57,34,18
2074,14,18,18,13,24,27,32,67,67,63,31,15
2075,40,20,20,5,21,19,82,80,37,55,34,18
2076,26,25,20,34,28,34,78,106,56,43,40,35
2077,28,25,27,22,32,19,81,83,71,55,39,23
2078,12,16,16,12,19,38,88,102,49,66,34,14
2079,18,19,15,19,15,23,37,81,47,34,35,41
2080,21,18,36,24,25,33,58,97,101,36,18,26
2081,28,40,44,20,19,25,56,100,73,45,28,28
2082,24,25,13,18,13,45,46,89,51,46,27,24
2083,23,25,9,26,16,44,43,99,68,59,45,22
2084,18,36,27,31,17,57,43,103,67,40,33,27
2085,21,10,22,16,11,53,56,75,75,44,43,44
2086,29,38,19,24,14,22,66,59,62,58,42,71
2087,19,22,23,19,12,24,59,71,96,53,56,59
2088,28,30,46,23,31,37,67,63,73,69,30,18
2089,31,34,24,28,26,25,65,85,46,41,43,54
2090,30,34,21,9,32,27,44,110,58,31,29,17
2091,33,17,35,30,17,33,45,76,62,30,22,38
2092,24,23,21,24,14,28,64,112,76,44,23,19
2093,22,9,31,23,25,15,52,111,68,48,47,35
2094,16,12,25,14,20,39,51,112,69,41,52,31
2095,18,30,26,20,35,27,55,30,40,49,60,19
2096,27,18,18,22,32,36,62,127,49,53,45,17
2097,32,15,32,21,27,51,53,78,78,39,27,18
2098,24,22,14,28,37,43,77,65,33,55,35,45
2099,26,22,17,13,28,31,65,85,90,67,31,22
2100,26,22,38,29,11,37,102,77,87,51,47,33
