"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,21,15,16,30,13,22,25,79,35,33,22,18
2007,16,6,11,13,16,29,57,68,60,26,26,22
2008,29,19,14,20,15,38,35,67,34,25,27,29
2009,22,8,21,24,41,37,64,56,39,34,32,19
2010,26,18,30,25,24,26,23,27,42,31,23,19
2011,24,36,22,7,19,35,40,95,31,34,26,42
2012,22,21,12,11,16,17,34,56,35,49,33,19
2013,13,15,18,28,14,28,39,53,64,35,33,24
2014,16,24,7,27,7,16,43,80,53,62,67,30
2015,17,5,15,21,23,56,52,70,28,53,26,41
2016,19,17,11,12,14,30,59,86,44,30,22,21
2017,23,25,11,23,18,34,39,53,13,44,23,31
2018,38,29,29,13,31,39,69,70,50,38,33,41
2019,21,21,21,18,39,36,34,34,63,28,23,36
2020,21,16,10,11,11,20,64,39,48,41,32,21
2021,21,11,33,10,18,24,32,96,46,50,27,27
2022,16,17,14,11,17,21,77,79,39,39,17,21
2023,29,20,18,20,19,28,44,52,72,40,31,44
2024,14,20,22,29,40,37,50,90,60,37,26,39
2025,10,11,14,23,22,14,27,86,51,44,23,24
2026,25,15,14,10,22,31,47,46,40,43,31,31
2027,27,19,19,23,9,28,83,26,50,16,27,41
2028,22,22,13,19,24,18,37,69,74,36,19,21
2029,23,15,8,14,24,34,35,104,74,44,34,19
2030,13,17,19,14,14,22,67,62,54,28,34,29
2031,14,11,6,18,25,16,40,89,38,49,19,23
2032,21,29,14,15,21,17,46,54,40,29,31,39
2033,20,28,17,20,17,36,38,39,34,25,17,24
2034,11,9,19,13,11,29,49,57,40,38,12,13
2035,41,18,21,14,21,8,27,75,38,45,34,27
2036,25,11,11,7,15,11,55,46,35,40,22,29
2037,24,39,22,15,13,22,41,82,46,48,28,42
2038,18,15,36,26,14,27,54,64,38,49,26,22
2039,29,19,20,16,18,25,51,89,58,37,41,38
2040,18,15,11,14,24,20,48,96,52,35,28,13
2041,15,21,32,16,20,29,63,63,41,48,35,28
2042,30,17,8,24,20,23,25,64,53,32,27,17
2043,25,15,13,15,27,18,59,54,49,29,31,30
2044,28,26,17,19,14,30,29,75,34,37,35,34
2045,22,21,27,14,26,17,61,74,53,36,12,30
2046,15,17,23,9,18,24,54,88,45,45,20,33
2047,24,23,23,13,18,24,58,73,78,49,36,26
2048,13,21,20,7,8,23,64,90,31,36,28,25
2049,23,13,26,21,10,50,43,81,67,40,33,25
2050,31,19,13,21,19,31,58,41,47,22,30,20
2051,20,22,17,8,7,21,48,86,57,34,38,31
2052,35,18,16,25,25,32,47,75,38,31,33,20
2053,18,21,11,20,17,39,45,82,70,38,32,28
2054,19,18,10,12,24,23,45,83,51,21,32,39
2055,28,11,12,21,11,35,65,44,50,31,25,15
2056,12,18,20,24,25,38,62,68,56,34,24,37
2057,18,17,20,14,13,31,65,97,61,35,27,29
2058,9,11,15,14,13,33,44,102,43,39,37,34
2059,16,26,30,33,21,25,48,81,45,47,29,30
2060,17,11,19,25,18,38,48,69,22,59,17,18
2061,32,15,23,18,12,34,92,81,62,41,37,34
2062,22,20,8,28,33,41,32,64,65,26,9,33
2063,41,25,11,20,8,29,69,51,66,16,42,43
2064,21,12,24,29,10,11,44,81,50,26,37,25
2065,14,37,13,19,27,28,72,85,26,34,34,21
2066,19,14,16,28,13,18,56,79,49,60,28,36
2067,27,25,16,17,21,27,42,106,50,28,32,15
2068,26,33,23,17,20,19,37,113,71,37,38,16
2069,11,26,15,24,17,17,51,102,50,69,36,41
2070,16,12,18,15,12,40,58,97,72,40,20,21
2071,27,23,11,14,12,27,17,40,47,46,29,26
2072,21,13,27,18,32,23,48,71,61,39,22,27
2073,28,17,23,18,6,19,73,66,24,47,33,14
2074,11,13,14,11,20,22,26,56,51,54,25,13
2075,30,13,13,5,14,15,74,67,30,42,32,17
2076,22,18,18,34,19,33,73,95,52,33,38,32
2077,25,22,24,18,21,15,77,58,59,48,29,21
2078,10,12,14,11,14,33,85,93,42,53,25,12
2079,15,16,11,18,9,21,29,59,34,29,24,33
2080,18,13,28,23,22,30,46,75,81,30,19,29
2081,25,34,32,18,14,22,49,82,71,38,24,26
2082,23,17,12,14,10,41,45,81,35,41,25,23
2083,21,18,7,21,15,41,38,97,63,44,39,26
2084,16,28,24,30,18,51,36,88,56,34,29,23
2085,21,7,17,11,9,44,49,69,67,43,35,39
2086,23,28,18,23,13,17,67,44,51,52,44,70
2087,19,19,20,20,10,18,52,55,72,45,48,51
2088,27,29,38,18,24,28,57,47,60,57,27,15
2089,29,27,16,22,20,21,57,68,38,33,33,46
2090,22,25,17,10,25,21,36,90,48,27,26,15
2091,27,13,27,29,10,32,39,66,49,24,22,37
2092,19,16,13,22,12,23,56,86,62,33,18,17
2093,21,7,25,15,20,15,46,85,53,45,35,36
2094,15,8,18,9,15,34,48,97,63,34,42,26
2095,14,24,22,19,29,21,46,32,34,41,55,18
2096,22,13,15,18,20,28,57,108,36,47,37,17
2097,22,13,25,20,21,49,43,65,60,41,20,21
2098,19,15,12,26,26,33,73,58,24,43,27,38
2099,25,18,11,12,21,27,61,76,70,58,31,21
2100,19,19,30,24,6,31,96,63,68,38,41,31
