"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,36,34,27,46,31,35,45,116,66,62,35,20
2007,35,13,16,25,44,48,88,130,94,40,41,32
2008,53,44,32,37,30,48,52,115,58,42,55,49
2009,50,13,41,35,79,43,87,110,72,63,56,38
2010,46,28,65,30,59,45,22,60,77,49,47,34
2011,39,74,51,7,33,51,56,139,80,52,52,68
2012,40,30,22,15,39,33,65,93,61,58,41,25
2013,25,28,30,40,25,37,64,84,104,54,48,34
2014,33,41,15,38,12,22,59,130,100,88,89,35
2015,24,7,38,45,47,83,84,122,60,87,43,69
2016,30,31,23,26,32,49,73,131,80,43,26,26
2017,48,30,16,34,32,57,40,75,23,60,32,38
2018,68,55,60,18,64,58,97,115,87,67,52,67
2019,39,35,38,22,59,50,54,60,101,44,35,51
2020,34,22,18,10,22,20,101,77,88,72,48,25
2021,36,21,59,23,56,43,48,149,84,78,53,35
2022,27,25,21,13,51,31,84,113,78,56,21,21
2023,51,43,31,34,41,44,77,101,105,67,49,61
2024,20,31,42,30,60,49,96,130,84,44,57,56
2025,17,22,24,32,49,27,41,145,73,63,47,41
2026,49,19,26,27,45,56,79,91,46,70,40,43
2027,45,44,35,29,30,45,94,31,109,27,48,59
2028,36,44,35,34,47,18,57,140,123,43,24,28
2029,37,31,20,27,55,60,50,193,109,55,62,34
2030,22,39,47,29,27,37,71,104,85,41,45,41
2031,22,16,11,28,51,23,51,109,73,65,29,46
2032,30,48,34,24,61,36,60,50,64,49,40,63
2033,36,49,35,41,33,38,44,55,73,43,21,39
2034,22,13,37,21,18,44,75,102,75,61,23,10
2035,64,33,38,28,46,17,42,153,69,77,50,52
2036,54,22,33,14,31,15,74,79,58,61,41,42
2037,41,71,46,16,24,36,72,149,93,88,46,60
2038,24,21,68,36,18,54,66,105,73,74,35,38
2039,45,34,43,20,39,43,69,155,115,62,70,72
2040,38,40,22,32,51,35,65,157,76,42,48,17
2041,22,44,63,31,38,35,91,126,70,86,61,29
2042,44,29,12,40,41,37,36,94,87,48,34,20
2043,38,28,21,19,54,24,86,82,85,64,46,48
2044,50,40,34,34,25,32,62,115,65,68,58,57
2045,47,42,47,25,52,21,86,93,97,57,25,47
2046,29,24,44,15,34,42,96,117,90,65,34,46
2047,38,40,45,21,32,43,103,96,126,67,58,35
2048,22,36,36,10,24,29,93,147,56,60,48,41
2049,43,28,52,28,15,50,67,148,96,63,62,31
2050,46,34,29,35,48,50,79,100,86,33,47,28
2051,29,36,29,11,15,28,59,134,82,59,49,30
2052,54,39,37,40,44,59,59,111,75,56,54,27
2053,33,38,21,25,39,54,62,140,113,63,60,46
2054,30,32,13,32,51,26,73,130,92,35,40,66
2055,41,29,26,30,21,56,87,91,88,48,50,20
2056,18,40,32,40,43,54,88,114,100,45,49,45
2057,52,34,46,23,30,50,75,163,100,65,54,40
2058,12,22,30,23,36,47,69,166,78,71,52,53
2059,33,54,46,50,43,41,78,132,81,80,45,46
2060,29,15,38,45,42,58,76,106,32,86,35,34
2061,59,33,43,21,23,45,113,122,98,58,68,50
2062,31,37,18,39,34,55,47,101,113,44,14,50
2063,74,39,24,41,31,49,90,87,107,33,60,50
2064,42,19,54,50,23,13,64,152,86,46,67,32
2065,30,52,25,36,39,36,91,119,46,44,57,25
2066,30,18,26,51,20,33,97,123,72,92,50,50
2067,53,33,42,29,46,49,79,123,87,34,53,21
2068,49,65,37,26,32,37,68,162,132,61,66,24
2069,22,35,32,34,39,28,80,162,82,86,65,52
2070,22,22,32,17,32,49,78,142,118,69,21,29
2071,57,51,21,13,37,35,33,86,86,75,56,30
2072,37,36,48,28,59,37,74,127,111,64,40,34
2073,53,29,54,28,11,37,93,120,36,80,42,25
2074,20,29,26,17,34,38,47,91,100,86,44,21
2075,61,33,33,6,36,27,104,109,54,80,43,23
2076,36,41,26,40,46,39,94,136,71,62,51,44
2077,38,34,35,30,54,26,94,126,97,70,58,27
2078,16,25,22,17,31,47,99,126,66,93,51,19
2079,27,28,22,24,27,29,50,121,70,45,53,56
2080,31,29,52,31,35,43,79,139,143,49,19,28
2081,38,57,70,27,30,32,73,143,88,61,39,35
2082,31,41,16,27,19,56,55,106,79,58,35,28
2083,30,40,14,38,22,55,53,116,84,89,60,20
2084,27,55,34,36,20,70,56,133,96,54,45,36
2085,24,17,34,25,16,70,73,92,97,50,61,57
2086,42,59,22,29,20,31,73,83,86,73,44,81
2087,21,31,30,21,18,35,75,98,144,74,77,79
2088,34,36,62,34,48,54,86,92,102,96,39,24
2089,40,50,39,42,38,33,82,118,66,57,64,73
2090,48,53,30,9,48,39,60,148,80,39,37,23
2091,48,25,51,35,30,41,55,97,89,41,25,45
2092,35,39,37,32,20,37,83,163,107,64,32,24
2093,29,13,44,39,36,17,62,156,99,58,71,40
2094,21,19,39,22,32,51,62,143,88,58,73,41
2095,27,44,37,25,50,39,74,30,56,67,75,22
2096,41,29,24,32,55,53,75,167,73,68,64,19
2097,54,19,46,25,41,60,72,108,113,42,43,16
2098,36,38,21,37,60,62,93,80,53,78,53,62
2099,32,31,28,17,44,43,79,106,129,89,36,27
2100,42,31,55,41,19,51,121,103,128,79,62,38
