"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,35,33,33,45,28,50,59,105,66,87,37,31
2007,37,15,23,20,40,66,99,95,96,45,43,49
2008,45,42,30,36,37,56,71,118,76,46,55,52
2009,48,16,43,39,75,63,98,98,71,72,54,39
2010,33,25,57,37,51,65,29,51,82,60,43,35
2011,36,80,51,7,34,86,64,146,52,55,54,87
2012,39,32,42,23,36,30,55,89,59,90,40,30
2013,28,28,25,39,24,58,77,91,106,55,44,43
2014,27,26,17,35,18,48,88,127,126,102,83,41
2015,25,6,33,44,48,122,98,107,68,99,42,83
2016,28,27,23,19,36,62,96,129,92,48,29,33
2017,44,27,14,33,32,75,61,77,17,71,36,55
2018,63,49,50,21,63,65,112,103,82,78,53,82
2019,40,43,46,26,68,70,61,53,90,40,41,58
2020,39,21,21,12,25,36,108,72,98,96,66,44
2021,38,21,53,20,38,55,58,135,96,91,60,49
2022,25,22,25,16,39,47,91,106,85,65,24,30
2023,41,31,30,30,43,52,72,93,116,72,58,73
2024,21,36,40,29,68,83,106,119,84,66,51,71
2025,15,23,29,32,48,49,49,129,86,64,52,44
2026,53,23,31,21,44,65,92,88,60,81,50,44
2027,49,36,31,29,33,79,98,45,82,22,53,74
2028,43,40,30,39,38,32,58,123,119,52,24,32
2029,41,30,12,25,51,69,53,158,119,57,56,33
2030,20,39,60,28,30,58,83,110,76,58,61,49
2031,24,25,16,34,57,54,75,95,81,75,36,42
2032,39,56,31,30,44,43,69,67,82,63,44,72
2033,40,55,37,33,37,70,56,65,77,50,22,41
2034,26,20,46,31,27,66,105,99,85,59,24,25
2035,64,41,38,23,43,25,61,132,66,79,49,51
2036,50,22,36,17,40,27,94,74,67,68,35,51
2037,33,76,49,17,27,71,83,140,94,89,55,75
2038,30,38,64,43,23,68,91,107,75,75,35,58
2039,48,38,43,21,37,58,72,136,117,65,64,70
2040,37,26,26,33,53,57,79,148,87,57,52,25
2041,24,41,68,29,44,55,103,112,69,89,64,35
2042,51,30,18,34,43,57,59,100,97,58,43,29
2043,39,28,24,18,60,30,91,84,85,68,51,54
2044,59,44,34,32,26,54,62,124,70,73,65,65
2045,48,49,49,29,56,33,98,105,85,57,22,55
2046,32,34,49,19,42,59,77,110,94,80,30,47
2047,34,40,44,33,35,60,105,104,121,79,53,45
2048,17,41,38,19,17,59,110,115,66,66,52,54
2049,51,34,46,29,19,70,81,153,97,70,71,35
2050,62,30,37,37,44,62,75,80,69,40,42,38
2051,32,48,27,20,20,44,92,125,76,66,54,39
2052,59,42,22,45,59,65,83,121,74,55,57,39
2053,33,38,23,30,36,86,85,122,109,53,75,67
2054,35,36,25,24,47,55,86,119,82,47,53,81
2055,38,23,27,32,28,90,117,96,80,66,47,24
2056,23,41,37,36,46,78,81,114,96,51,39,56
2057,35,30,46,23,35,59,86,134,103,75,47,50
2058,20,29,29,25,39,70,79,149,67,91,61,63
2059,38,61,50,60,48,67,84,108,71,101,52,55
2060,28,23,48,44,48,87,92,100,39,94,40,37
2061,57,38,46,28,30,74,134,128,107,61,63,55
2062,34,31,22,35,45,83,66,81,93,48,16,57
2063,64,46,27,42,24,72,112,78,124,45,77,72
2064,42,21,48,52,21,32,80,138,85,55,62,31
2065,30,49,20,37,41,54,117,131,39,53,57,22
2066,34,22,28,52,27,57,102,118,81,95,57,53
2067,56,32,32,36,41,62,79,131,86,46,66,26
2068,47,59,37,35,35,52,72,149,114,66,65,34
2069,29,32,32,43,38,54,92,150,86,95,65,63
2070,21,20,26,17,25,76,119,140,122,64,30,38
2071,39,44,28,27,34,56,47,110,103,92,54,46
2072,37,32,42,35,60,62,94,118,114,75,62,37
2073,45,32,49,29,14,59,102,111,34,85,66,25
2074,23,32,29,17,39,66,61,84,107,93,45,33
2075,57,26,33,8,31,42,105,119,67,79,56,31
2076,41,39,26,42,39,65,113,130,79,64,48,67
2077,47,43,32,29,46,44,116,105,88,69,57,28
2078,16,25,29,22,30,60,117,108,81,90,60,21
2079,28,35,26,25,23,57,58,124,58,49,39,58
2080,35,33,52,32,40,67,97,110,137,61,24,40
2081,40,48,68,27,41,47,108,115,101,73,44,52
2082,40,42,22,33,22,84,77,109,69,62,53,23
2083,29,41,10,35,24,99,76,139,110,93,64,22
2084,28,44,30,37,29,97,74,114,119,63,62,35
2085,28,15,40,29,19,82,95,98,93,60,88,71
2086,46,50,26,25,26,51,81,53,95,91,45,84
2087,22,35,24,23,26,52,98,82,144,91,83,117
2088,33,36,58,41,53,61,84,75,117,102,47,29
2089,37,49,39,40,37,48,113,98,78,71,64,80
2090,33,54,35,12,38,47,78,128,75,43,36,25
2091,45,31,39,35,22,69,71,103,84,58,33,60
2092,42,35,35,31,31,67,98,142,104,52,37,29
2093,35,21,41,33,49,39,70,125,79,77,52,60
2094,21,17,34,15,36,82,95,157,107,67,74,54
2095,34,48,42,25,52,45,103,38,57,76,80,27
2096,45,27,31,36,59,86,88,161,60,87,70,24
2097,46,27,42,26,36,94,77,112,105,61,38,21
2098,29,31,24,38,62,74,133,89,69,73,47,71
2099,32,27,27,25,41,63,110,114,110,105,52,39
2100,31,38,52,35,21,72,131,102,126,72,60,43
