"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-20.4,-11,-18.9,-7.2,1.1,9.1,14.6,10.5,5.8,-4.4,-17.2,-23.2
2007,-18.5,-15,-21,-5.6,1.5,10.5,13.7,10.9,4.7,-5.6,-12.8,-23.7
2008,-24.5,-27,-26.5,-13.3,-0.3,6.8,13.4,10.4,3.4,-7.6,-15,-25.6
2009,-27.6,-25.8,-22.6,-14.4,-1.2,5.3,11.6,10.5,5.4,-5,-11.8,-18.1
2010,-16.9,-19.4,-18.7,-10.6,-2.8,5.9,15,13,5.7,-6.6,-17.3,-26.8
2011,-31.2,-16.3,-15.6,-10.1,0.7,9.5,14.1,10.4,6.3,-3.8,-12.6,-16.6
2012,-22,-27.3,-20,-13.4,0,11.4,17.1,12.3,1.6,-3,-12.9,-21
2013,-22.1,-16,-14.2,-8.6,2.9,12.8,15.1,12.7,4.1,-5.2,-13.1,-23.9
2014,-25.2,-19.5,-24.1,-14.6,3.2,13.2,12.6,9.3,3,-1.7,-6.2,-22.6
2015,-21.1,-27.8,-14.4,-14.1,-0.3,6,13.2,11.2,3.8,-1.9,-9.2,-14.7
2016,-21.6,-15.9,-10.3,-4.3,2.4,12.5,11.8,11,3.7,-4.6,-9.5,-22.4
2017,-14.4,-15.2,-20,-9,2.1,9.4,15.6,12.7,6.8,-3.4,-8.7,-16.8
2018,-10.5,-18.6,-9.3,-10.3,1.3,8.3,12.1,11.3,3.8,-4.6,-10.9,-17
2019,-24.9,-25,-11.8,-10.7,0.9,7.4,13.4,13.9,3.6,-7.7,-19.2,-25.7
2020,-24.9,-28.2,-23.1,-12.3,1,10.2,15.3,11.2,3.5,-3.8,-8.2,-22
2021,-13.2,-14.9,-9.7,-5.4,4.6,14.1,14.9,9.9,3.6,-4.7,-11,-21.9
2022,-20,-13.1,-17.2,-13.5,1.6,11.4,14.4,10.4,5,-6.1,-18,-20.8
2023,-12.7,-14.3,-20.4,-9.3,-0.5,11.7,10.7,11.1,4.7,-4.2,-10.9,-20.4
2024,-28.3,-20.8,-14.2,-7.9,-0.9,6.8,11.7,10.1,5.1,-5.8,-11.9,-12.6
2025,-26.9,-20,-18.4,-9.8,-0.8,7.3,15.4,11.3,5.3,-1.8,-11.4,-17.4
2026,-10.5,-21.8,-18,-8.2,1.2,9.3,9.8,9.7,3.9,-3.1,-13.9,-20.6
2027,-19.7,-24.4,-11.4,-9.1,2.3,6.9,11,13.3,6.3,-5.9,-11.3,-19.2
2028,-23.4,-17.6,-19.3,-12,0.2,8.2,15.5,11.8,7.2,-5.5,-12.9,-24.7
2029,-19.6,-10.4,-15.4,-8.6,0.4,8.4,13.2,11.1,4.9,-5.2,-16.7,-27
2030,-24.2,-19.6,-25,-4.8,0.9,11.7,13,11.9,3.5,-5.1,-14.6,-21.9
2031,-13.2,-20.7,-18.3,-11.7,0.5,12.6,16.3,11.4,6.9,-3.8,-13.8,-15.7
2032,-17.2,-23.2,-10.9,-10.2,1.9,13.6,14.4,11.8,1.9,-7.1,-12.4,-17.1
2033,-17.6,-16.8,-14.9,-4.6,3,7.7,15.8,12.8,4.2,-5.4,-18.1,-22.8
2034,-16.8,-21.9,-17.5,-11.8,-1.6,7.8,9.4,11.5,4.6,-5.3,-17.9,-27.3
2035,-16.9,-16.1,-15.2,-10.6,-0.4,11.5,16.5,14,5.5,-3.9,-12.2,-14.5
2036,-10.6,-16.3,-11.8,-11.3,3.5,15.1,14.6,13.4,7.1,-4.4,-13.8,-11.6
2037,-19.2,-12.7,-20.1,-14,-0.4,7.8,13.4,8.9,2.9,-3.5,-11.1,-16.9
2038,-21.7,-20.4,-12.6,-12.2,2.1,10.2,10,10.2,4.6,-3.4,-11.9,-12.7
2039,-12.6,-16.4,-15.1,-10.8,3.5,12.6,14.9,9.1,5.6,-4.9,-7.5,-12.1
2040,-14.2,-12.8,-7.1,-9.1,-0.3,9.2,16.7,10,4.9,-4.3,-11.1,-22.5
2041,-22.4,-13.6,-12.7,-12.5,1.9,13.6,12.6,11.9,7.3,-1.1,-6,-19.4
2042,-15.5,-13,-16.8,-7.4,4.5,14.1,15.6,10.8,5.6,-3.1,-9.5,-19.7
2043,-19.2,-15.6,-17.9,-10.3,2.5,13.4,13.6,11.1,4.1,-4.8,-11.3,-16.4
2044,-16.9,-19.6,-16.9,-9.8,-1.5,8.8,14,10.1,4.5,-4.6,-11,-18.6
2045,-19.8,-11.3,-13.3,-9.1,-0.4,10,12.2,12.6,6.7,-5.9,-9.9,-13.3
2046,-16.9,-23.5,-15.4,-8.4,-0.2,12,16,11.1,5,-3.1,-11.3,-16.8
2047,-22.7,-16,-8,-11.2,0.6,11.2,11.5,11.9,7.5,-2.1,-7.1,-13.1
2048,-13.4,-10.7,-12.2,-9.7,4.5,11.1,12.2,13,5.2,-5.4,-9.6,-12.1
2049,-13.3,-24,-12.3,-6.5,3.3,9.9,13.9,10.4,5.2,-4.2,-8.3,-21.4
2050,-16.9,-15.7,-13.8,-9.1,1.1,9.8,16.4,14.7,6.4,-3.7,-8.4,-13.4
2051,-19.2,-19.2,-16.3,-11.7,3.9,15,14.8,10.3,4.3,-3.6,-4.8,-15
2052,-12.4,-21.3,-16.6,-11,-2.1,10.5,14,10.8,6.2,-4.5,-10.3,-20.7
2053,-19.5,-14.7,-20.4,-9.9,3,9.1,12.3,14.1,5.5,-4.4,-9.8,-10.8
2054,-17.2,-20.8,-18.5,-3.4,1.8,12.7,16.6,10.4,4.4,-6.2,-11.5,-16.9
2055,-15.4,-13.8,-7,-5.9,3.3,12.3,13.1,12.1,5.6,-4.7,-11,-22
2056,-26.3,-17,-11.8,-10.8,0,7.7,13.5,13.5,5.4,-3.7,-9.7,-15.9
2057,-9.8,-11.2,-9.6,-11,3.6,13.4,14.8,14.5,5.4,-4.7,-10.8,-19.9
2058,-23.2,-24.9,-15.1,-9.7,4.6,13.9,15.9,11.2,6.3,0.3,-7.5,-18.7
2059,-23.8,-11.6,-9.8,-5.2,3.7,12.8,13.1,13.2,4.7,-1.7,-9.2,-13
2060,-24,-23.2,-17.7,-7.3,-0.6,6.5,13.4,12.6,2.2,-3.6,-10.4,-17.3
2061,-13.5,-24.3,-12.1,-11.4,2.3,12.1,11.3,9.5,5.6,-3.7,-6.3,-13.1
2062,-19.9,-14,-16.8,-9.5,0.5,8.2,16.6,14.8,7,-6.1,-17.3,-16.2
2063,-13.4,-13.5,-10.8,-5.7,5.5,12,13.6,15.9,7.7,-2.3,-7.9,-14.2
2064,-9.8,-19.4,-15.9,-10.6,2.6,14.6,15.1,10.2,5,-3.8,-10.1,-16.1
2065,-18.9,-12.1,-17.7,-7.1,1.7,8.7,13.1,12,5.7,-3,-9.5,-23.2
2066,-23.6,-22.6,-18.3,-9.5,-1,10.9,13.7,11.6,5.4,-2.2,-6,-13.4
2067,-11.5,-14.5,-11,-8.7,3.4,12.3,15.7,10.2,3.5,-5.5,-7.7,-20.9
2068,-13.2,-12.7,-18.8,-12.1,0.6,10.9,15.1,13.2,7.2,-4.4,-6.6,-16.5
2069,-20.1,-15.8,-8.4,-5.6,6,15.1,13.9,11.7,6.2,-1.2,-6.4,-13.5
2070,-19.2,-16.4,-10.7,-7.4,5.3,13.9,11.9,13,5.3,-3,-11.8,-21.1
2071,-9.8,-11.6,-12.5,-12.8,3.4,12.5,18.3,14.4,6.8,0.1,-4.3,-10.9
2072,-13.9,-18.4,-14.1,-7.8,1,12.4,17.2,13,6.6,-3.4,-3.6,-15.3
2073,-10.4,-14.7,-14.5,-2.2,8,16.1,18.5,16.2,9.3,-1.1,-7.9,-11.9
2074,-14,-12.6,-9.9,-7.7,3.8,12.7,17.7,16.1,7,-0.8,-10.4,-15.4
2075,-11.4,-6.4,-5.1,-4.6,6.5,16.5,16,13.6,7.3,-1.5,-7.2,-12.2
2076,-15.3,-17.1,-16.9,-5.9,4.2,13.8,12.2,10.5,3.4,-1.9,-4.5,-10
