"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-22.6,-13.1,-21,-9,-0.3,8.8,14.2,10.4,5.1,-6.2,-19.4,-25.5
2007,-20.8,-16.8,-23.7,-7.1,0.7,10.8,14.2,10.8,4.2,-6.8,-14.2,-25.6
2008,-26.2,-29.1,-29,-15.1,-1,6.7,13.9,10.1,2.6,-9.3,-17.1,-27.7
2009,-30,-28,-25.3,-16.3,-2,4.6,11.7,10.5,5,-6.3,-13.3,-20.7
2010,-19,-21.3,-21.3,-12.4,-3.9,5.7,14.8,12.9,4.8,-8.4,-19.5,-29.3
2011,-33.3,-18.3,-18.5,-12.2,-0.5,9.7,13.9,10.3,5.6,-5,-15.1,-19.3
2012,-24.3,-29.2,-22.6,-15.7,-1.4,11.8,17.8,12.4,0.6,-4.1,-14.2,-23
2013,-24.1,-18,-16.5,-10.4,1.5,13.2,15.4,12.7,3.2,-6.3,-14.3,-25.8
2014,-27.1,-21.3,-26.6,-16.4,2.3,13.6,12.3,8.9,1.9,-3.2,-8.1,-24.7
2015,-22.9,-29.7,-16.8,-15.9,-1.2,5.8,13.9,11.4,3.3,-3,-10.5,-16.8
2016,-24.1,-18.2,-12.7,-6.2,1.2,13,11.6,10.7,2.7,-6,-10.8,-24.3
2017,-16,-17.2,-22,-11,0.8,9.6,15.9,12.4,5.8,-4.7,-10,-18.8
2018,-12.4,-20.9,-11.7,-13,0.4,7.9,12.1,11.1,2.8,-6.3,-12.9,-19.6
2019,-27.1,-27.3,-14.4,-12.5,-0.2,7,13.5,13.8,2.7,-9.1,-21.4,-27.8
2020,-26.9,-30.3,-25.7,-14.4,-0.3,9.9,16,11,2.3,-5.2,-9.6,-24.3
2021,-14.6,-16.8,-11.9,-7.2,4.1,14.6,14.9,9.5,2.8,-5.9,-12.8,-23.6
2022,-21.9,-14.9,-19.4,-15.9,0.5,11.3,14.3,10.1,4.5,-7.7,-19.4,-22.8
2023,-14.7,-16.6,-22.9,-11,-1.4,12.2,10.4,11,4,-5.5,-12.7,-22.9
2024,-30.2,-22.5,-16.6,-9.8,-2,6.3,12.1,10.1,4.4,-7.2,-14.3,-14.7
2025,-29.7,-22.2,-20.3,-11.8,-1.7,6.7,15.8,11.2,4.6,-2.7,-12.9,-19.5
2026,-12.3,-23.9,-20.8,-9.9,0.3,9.7,9.7,9.5,3.1,-4.2,-15.5,-23.2
2027,-21.7,-26.9,-13.6,-11.1,1.5,6.6,10.9,13.2,5.7,-7.3,-13.1,-21.4
2028,-25.7,-20.2,-21.9,-13.9,-0.4,7.4,15.9,12,6.6,-6.6,-14.5,-27.2
2029,-21.2,-12.6,-18.1,-11.1,-0.7,8.6,12.9,11.1,4.2,-6.2,-18.9,-30.1
2030,-26.2,-23.1,-27.6,-6.5,-0.5,11.8,13.2,12.1,2.6,-6.6,-16.7,-24.3
2031,-14.5,-22.3,-21.2,-14.2,-0.4,12.8,17,11.3,6.1,-5.2,-15.1,-17.5
2032,-19.2,-25.8,-13.1,-12.3,1.1,14.2,14.7,11.3,0.7,-8.8,-13.9,-19.3
2033,-20.2,-19.1,-16.8,-6.3,1.9,7,15.7,11.9,3.3,-7.2,-20.1,-25.9
2034,-18.6,-24.3,-20.6,-13.9,-3,7.9,9.2,11.7,3.7,-7,-20,-29.5
2035,-19.1,-17.9,-17.5,-12.6,-1.8,10.8,16.7,14.1,4.7,-5.3,-13.9,-16.9
2036,-12.1,-18.3,-14.3,-13.4,2.5,15.1,14.5,13.4,6.3,-5.6,-15.7,-13.4
2037,-21.3,-14.4,-23.3,-16.1,-1.9,7.3,13.5,8.4,1.9,-4.9,-12.8,-19.1
2038,-23.6,-23,-15.1,-14.6,1,10.1,9.6,9.8,3.4,-4.7,-13.4,-14.4
2039,-14.6,-18.9,-18,-13.2,2.6,13.3,15.3,8.5,5.1,-6.3,-9.2,-14.2
2040,-16.4,-15,-9.4,-12.1,-1.9,9,16.7,9.5,4,-5.7,-12.9,-24.2
2041,-24,-15.9,-15.2,-14.9,0.7,13.9,12.8,11.9,6.7,-2.3,-7.4,-21.2
2042,-16.9,-15,-19.9,-9.3,3.8,14.3,15.7,10.3,4.8,-4.5,-11.3,-21.9
2043,-21.1,-18,-20.7,-12.7,1.7,13.1,13.7,10.6,3.2,-6.5,-12.9,-18.2
2044,-18.8,-21.8,-18.9,-11.9,-2.5,8.1,14.2,9.6,3.7,-6.1,-12.5,-20.8
2045,-22.3,-13.6,-15.6,-11.1,-1.8,9.7,12,12.5,6.2,-7.2,-11.5,-15.1
2046,-19.1,-25.9,-16.9,-10.3,-1.9,12.6,16.7,10.9,4.1,-4.4,-12.9,-18.8
2047,-24.8,-17.9,-9.9,-13.5,-0.8,11.5,11.6,11.8,7.1,-3.1,-8.5,-15.1
2048,-15.3,-12.9,-15,-12,3.1,10.5,11.8,13.1,4.3,-6.7,-11.6,-14.4
