"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-21.5,-8.5,-15.1,-4.6,2.6,10.1,16,10,5.4,-3.7,-17.6,-21.8
2007,-16.5,-12.9,-15.1,-1.8,3.8,11.7,13.3,10.2,4.7,-5.8,-14,-21.5
2008,-22.7,-23.7,-23.1,-10,1.7,8.6,13.5,10.3,2.7,-7.7,-15.6,-23.4
2009,-26.2,-23.8,-19.4,-9.9,1.7,6.7,12.5,10.5,5.3,-4.4,-12.5,-17.5
2010,-18.3,-18.8,-16.1,-7.4,-0.7,6.5,16.2,12.4,5.3,-6.6,-18.3,-27.2
2011,-30.2,-13.4,-11.2,-7.9,2.7,9.6,14.3,9.7,5.6,-4.6,-13.6,-14.7
2012,-21.6,-24.9,-15.6,-8,1.8,11.8,17.7,11.2,0.3,-2.1,-15.9,-20.5
2013,-20.2,-13.1,-11.3,-5.4,4.9,14.7,14.7,13,3.7,-5.7,-15,-23.6
2014,-25.7,-18.4,-20.7,-11.7,5.7,14.3,12.8,8.7,2.4,-1.8,-6.1,-21.9
2015,-21.7,-26.1,-11.5,-11.3,2.4,7.2,12.7,10.1,2.6,-1.4,-11,-13.1
2016,-18.7,-15.5,-7.8,-1.8,4.5,13.2,11.6,10.2,3.4,-4.5,-9.7,-21.6
2017,-13.1,-15.9,-18.3,-6.1,5.1,11.2,16.3,12.1,6.6,-3.7,-10.9,-16.1
2018,-10.5,-18.1,-6.4,-7.6,3.7,9.4,11.4,10.3,3,-4.9,-12.2,-15.1
2019,-23.6,-20.2,-8.1,-7.1,3.7,8.3,13,14,2.9,-9.7,-18.7,-24
2020,-22.4,-26.5,-19.2,-8.9,3.5,12.6,16.9,11.2,3.3,-3,-7.7,-18.4
2021,-13.1,-12.4,-6,-1.9,6.8,14.7,14.6,9,3.3,-5.7,-11.4,-20.7
2022,-20.1,-12.2,-13.9,-9.7,3.9,12.7,15.5,9.9,4.4,-7.9,-20.3,-17.7
2023,-10.6,-12.4,-18,-6.7,2,12.2,10.8,10.6,4.5,-4.9,-11.6,-19
2024,-28,-18,-12,-5.2,1.1,7.7,11.1,9.3,5.3,-4.8,-13,-10.8
2025,-26.3,-17.7,-14.2,-7.4,0.9,7.5,15.3,10.9,5.8,-1.6,-11.2,-16.1
2026,-9.3,-20.1,-14.5,-5.1,3.6,10.1,9.8,9.3,3.7,-3.5,-12.7,-21.2
2027,-18.3,-21.7,-8.6,-7.3,4.5,7.1,11.1,13,5.5,-7.7,-12.3,-17.5
2028,-20.6,-14.1,-16,-7.9,2.1,9.8,16.9,11.1,6.7,-7.2,-14.9,-24.7
2029,-18.3,-8.4,-13.8,-5.8,2.6,9.9,14.6,10.5,4.9,-6.9,-18.1,-27.2
2030,-23.8,-16.1,-19.5,-1.8,3.6,12,13.2,11.5,2.4,-5,-14.9,-18.2
2031,-13.8,-16.9,-14,-8.5,2.9,12.9,17,11.2,6.7,-4.1,-15.3,-16.1
2032,-16.8,-16.7,-8.1,-7,3.6,13.4,14.8,12,1.1,-7.8,-13.3,-16
2033,-15.9,-12.2,-13,-2.4,5,8.5,16.2,12.3,3.6,-5.4,-19.7,-22.8
2034,-15.5,-20.1,-14.1,-7.5,1.1,8.5,9,11,4.9,-5.4,-17.7,-25.8
2035,-15.7,-12.7,-12.6,-8.3,1.8,12.4,16.2,13.4,4.5,-5,-14.6,-14.9
2036,-10.8,-15.6,-8.3,-7.6,5.6,16.5,15,13.4,6.4,-5.4,-15.5,-11.4
2037,-19.7,-8.9,-13.2,-10.4,1.5,7.9,12.7,8.6,2,-3.8,-12.2,-14.9
2038,-20.2,-15.7,-9,-8.2,5,11.6,10.3,9.9,4.5,-4.6,-14,-12.5
