"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,32,28,26,24,35,66,91,98,40,51,31,29
2007,26,39,15,22,41,53,73,99,86,66,21,33
2008,52,32,26,18,55,51,95,79,78,42,57,42
2009,32,29,25,30,44,67,86,112,87,50,34,54
2010,28,19,30,15,32,58,78,66,85,61,21,47
2011,36,29,21,21,52,61,78,93,54,40,69,22
2012,27,16,9,20,33,71,97,71,107,43,65,40
2013,70,22,17,18,29,69,73,69,60,36,33,53
2014,36,27,37,17,25,59,89,137,46,74,55,35
2015,49,30,25,27,39,79,87,79,91,68,33,44
2016,25,17,27,16,32,66,67,89,62,49,37,35
2017,53,32,35,19,25,68,66,94,70,58,39,45
2018,27,62,28,32,29,77,96,102,54,43,38,24
2019,35,22,19,24,40,53,98,38,62,48,46,45
2020,40,32,51,21,43,85,85,81,76,68,40,20
2021,30,20,26,35,45,71,79,107,73,77,65,71
2022,34,39,30,24,33,55,89,129,85,78,75,48
2023,78,28,17,37,46,67,80,77,82,77,47,30
2024,10,29,24,23,28,62,82,110,87,99,61,34
2025,24,45,12,15,33,65,84,129,113,46,69,50
2026,51,23,34,33,31,54,89,107,60,73,28,39
2027,30,39,14,34,36,73,73,136,82,58,63,33
2028,46,21,9,20,39,71,103,124,69,62,42,53
2029,28,20,27,30,47,77,65,90,59,60,50,58
2030,33,23,29,34,54,64,75,98,92,57,41,41
2031,39,20,31,19,36,49,103,83,49,54,34,47
2032,42,50,25,19,41,78,80,85,66,37,46,40
2033,26,47,18,21,35,96,101,101,97,51,55,45
2034,37,23,35,36,33,73,83,74,81,72,71,38
2035,26,21,14,27,41,91,102,115,98,75,38,38
2036,48,49,34,14,29,79,75,109,68,52,47,46
2037,41,32,38,21,37,86,78,103,90,84,57,36
2038,64,25,33,14,35,71,99,125,80,53,51,44
2039,55,20,17,30,34,68,96,106,110,48,55,26
2040,46,26,26,19,40,67,65,88,40,69,62,63
2041,36,42,16,19,33,61,97,88,94,77,42,55
2042,40,32,28,29,33,67,89,85,75,55,72,21
2043,57,18,42,29,39,78,98,83,74,58,26,70
2044,25,28,24,37,33,79,69,92,80,90,37,69
2045,42,22,25,26,34,75,98,141,71,73,43,46
2046,34,24,16,28,49,68,102,93,82,70,32,67
2047,48,18,31,26,47,74,87,85,93,110,34,44
2048,34,42,40,30,41,79,82,120,101,71,49,50
2049,26,39,22,22,21,69,86,113,69,65,28,71
2050,23,40,45,21,30,69,94,74,53,53,64,71
2051,56,39,15,24,34,77,68,131,38,62,71,55
2052,40,33,36,27,43,108,102,104,79,87,59,48
2053,25,38,35,24,35,81,83,137,72,61,36,63
2054,38,18,24,31,31,96,100,142,65,34,53,50
2055,37,38,28,29,52,99,87,116,76,56,38,38
2056,55,44,20,18,37,82,96,103,91,74,49,58
2057,15,45,19,16,36,72,81,93,131,61,30,31
2058,25,17,28,26,40,71,80,98,48,87,43,52
2059,37,32,28,29,42,77,84,52,67,70,42,43
2060,50,54,41,31,43,84,95,143,91,65,75,72
2061,37,34,32,38,45,90,81,92,50,49,46,54
2062,36,12,40,24,34,83,94,87,48,60,56,69
2063,21,30,25,31,37,72,86,123,82,73,78,85
2064,62,32,29,33,46,78,93,106,105,68,35,41
2065,21,13,27,17,69,79,108,140,43,52,38,71
2066,53,36,28,20,33,78,112,117,76,105,65,46
2067,38,30,21,20,45,87,106,121,81,48,53,53
2068,38,50,27,20,39,79,90,119,87,82,45,60
2069,45,31,24,17,43,99,64,148,58,66,38,73
2070,24,35,28,24,50,89,101,152,65,99,46,38
2071,49,64,25,43,46,100,118,132,57,71,36,65
2072,20,39,16,21,43,73,88,113,85,60,58,46
2073,22,61,40,19,43,106,77,142,96,75,52,63
2074,58,42,49,32,35,65,89,120,60,50,56,72
2075,48,26,28,28,42,87,85,162,83,46,29,56
2076,32,38,36,38,54,89,108,141,130,77,38,70
2077,49,28,47,25,58,88,116,162,115,76,65,88
2078,78,28,33,49,41,101,100,125,94,58,80,66
2079,67,48,24,27,41,74,102,91,69,98,65,84
2080,49,31,43,7,50,87,80,96,95,67,26,54
2081,57,34,21,30,43,92,81,93,106,74,52,39
2082,51,25,23,39,49,78,77,116,106,104,60,100
2083,54,48,16,37,45,74,123,126,78,47,86,84
2084,61,32,34,36,35,94,114,73,51,78,59,54
2085,39,38,33,20,36,88,111,104,88,54,77,113
2086,96,33,32,31,50,85,76,140,87,61,59,33
2087,30,19,42,36,56,74,102,149,112,89,45,55
2088,41,25,22,23,38,95,107,125,107,50,52,52
2089,49,27,36,30,51,111,93,103,76,63,34,50
2090,31,46,36,35,32,91,82,116,105,89,64,49
2091,56,22,28,33,37,103,91,75,118,87,51,61
2092,36,46,37,26,52,84,122,119,101,89,60,57
2093,38,16,25,22,53,81,75,168,117,66,68,80
2094,49,27,21,38,46,92,101,111,119,50,59,64
2095,45,52,24,39,42,62,104,125,89,68,84,54
2096,64,56,39,23,48,88,110,124,77,85,37,69
2097,30,45,32,22,39,106,138,104,104,66,37,73
2098,37,51,46,33,42,66,100,151,125,98,75,55
2099,28,20,37,30,46,67,84,114,73,83,62,55
2100,42,39,42,14,39,103,68,118,101,69,43,70
