"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,33,19,33,27,46,48,77,137,51,57,37,28
2007,29,49,25,37,44,32,87,134,116,58,34,33
2008,52,32,27,16,41,36,78,110,105,40,57,44
2009,31,34,31,28,51,45,77,142,110,50,26,57
2010,41,23,43,15,37,43,85,87,112,52,14,35
2011,41,34,39,16,36,38,83,118,57,41,72,23
2012,26,22,7,13,29,52,82,89,144,40,75,53
2013,80,22,25,18,37,43,76,64,84,26,40,57
2014,45,31,59,15,24,53,102,168,77,56,54,34
2015,39,35,29,44,29,56,94,96,105,57,43,38
2016,28,10,39,12,24,51,58,105,67,47,46,37
2017,41,24,53,20,26,52,80,120,95,48,48,39
2018,29,57,38,35,38,66,87,101,71,50,46,19
2019,32,26,11,27,43,49,75,46,54,52,30,46
2020,37,33,58,24,36,62,85,64,84,93,41,20
2021,37,27,31,32,36,57,98,90,76,69,71,60
2022,37,47,30,36,40,48,104,138,130,74,83,51
2023,91,41,29,47,55,55,116,120,105,72,54,23
2024,8,29,31,20,27,42,57,112,53,91,51,30
2025,25,39,15,14,46,57,102,155,119,47,80,52
2026,45,42,29,36,31,40,81,110,70,59,34,37
2027,31,39,21,36,36,53,65,158,117,65,62,32
2028,51,27,13,18,42,53,87,144,48,66,51,42
2029,27,15,34,20,44,58,80,102,52,68,66,67
2030,31,26,31,36,38,52,66,138,89,57,37,47
2031,36,20,18,26,33,33,77,101,61,54,30,35
2032,30,47,41,19,39,51,81,128,81,48,51,47
2033,37,41,29,25,41,49,90,117,123,63,53,36
2034,37,20,41,39,43,61,71,76,126,54,69,33
2035,20,25,16,30,39,49,121,152,123,83,43,29
2036,50,41,39,21,35,62,78,160,71,41,41,32
2037,40,31,43,18,39,69,98,136,100,88,58,50
2038,53,28,42,18,42,31,95,153,88,41,49,38
2039,57,20,32,34,38,54,96,98,125,45,54,26
2040,41,29,28,16,39,44,47,108,59,85,53,55
2041,44,43,22,28,26,49,73,96,130,77,53,39
2042,42,42,32,19,39,55,87,131,84,48,81,24
2043,65,13,52,28,37,59,88,79,80,46,39,62
2044,23,25,29,30,42,39,61,137,111,93,49,58
2045,41,20,36,32,27,43,98,150,51,85,60,51
2046,34,30,18,27,47,49,129,108,73,60,38,63
2047,49,14,45,27,47,47,74,161,123,85,37,36
2048,38,38,61,32,32,41,65,148,166,58,49,49
2049,27,34,35,17,23,58,82,145,103,55,32,79
2050,19,52,91,14,32,46,84,83,76,45,77,68
2051,53,56,19,31,30,55,65,205,45,61,66,63
2052,37,20,38,24,39,65,87,120,81,97,56,45
2053,28,49,52,23,28,63,87,122,71,76,44,66
2054,39,21,19,37,43,57,119,166,108,57,44,38
2055,45,38,26,30,48,50,78,93,81,61,42,37
2056,54,43,33,34,41,58,121,116,127,70,50,65
2057,20,44,23,25,31,52,64,106,140,75,30,28
2058,23,18,36,23,35,43,73,116,62,90,45,51
2059,40,30,32,38,43,47,78,71,75,69,41,44
2060,55,58,50,35,44,38,100,208,93,62,76,65
2061,38,30,30,64,45,57,72,76,80,61,51,76
2062,44,17,53,30,32,53,67,99,71,45,52,60
2063,19,36,27,41,32,41,78,173,99,70,66,94
2064,62,40,32,35,46,50,111,149,114,61,39,57
2065,29,22,34,18,72,56,99,119,48,51,21,62
2066,55,46,35,19,34,49,115,154,96,118,67,42
2067,42,36,31,22,38,62,118,175,102,54,61,45
2068,34,52,30,27,36,53,89,138,92,69,41,58
2069,38,35,26,20,40,65,79,190,77,55,43,64
2070,23,34,34,27,47,63,111,175,59,114,47,41
2071,47,59,30,57,48,53,131,125,83,67,38,64
2072,19,40,15,26,40,56,98,136,90,55,61,43
2073,28,54,42,24,47,74,84,169,132,66,69,58
2074,61,50,67,50,26,29,105,175,86,65,72,82
2075,47,30,36,36,57,50,100,161,109,69,28,43
2076,47,34,32,42,54,48,99,189,164,58,42,54
2077,58,25,42,29,65,60,111,180,135,80,55,78
2078,76,28,47,30,22,70,97,117,120,47,67,70
2079,70,45,33,20,38,71,93,139,62,93,57,63
2080,52,37,65,10,51,60,101,93,113,58,28,52
2081,54,47,31,27,48,67,69,119,135,83,42,44
2082,48,29,32,40,48,49,95,135,129,101,66,95
2083,72,53,20,39,37,59,115,132,89,58,87,69
2084,59,29,43,35,30,58,124,91,64,78,63,38
2085,43,31,56,22,45,59,87,153,95,73,85,119
2086,107,41,42,48,43,74,68,168,108,62,73,39
2087,33,17,59,41,59,50,114,165,152,98,45,40
2088,39,28,25,25,57,54,107,115,144,58,51,32
2089,45,40,36,29,56,58,80,112,117,65,46,46
2090,44,51,45,44,28,55,98,138,112,110,86,43
2091,36,31,34,48,47,55,92,85,142,80,60,68
2092,37,41,59,26,52,53,117,137,116,70,56,42
2093,47,22,36,26,34,60,79,217,128,71,79,104
2094,48,40,22,29,36,53,115,134,165,43,44,42
2095,42,58,28,43,54,51,87,136,116,74,79,56
2096,68,65,56,33,43,61,120,139,98,73,37,67
2097,38,44,36,21,37,57,120,124,140,61,40,79
2098,64,59,59,34,30,37,89,150,168,85,81,45
2099,31,26,38,25,51,56,80,147,106,78,68,68
2100,52,54,59,23,56,61,86,169,122,53,45,81
