"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,34,30,32,24,40,69,103,116,56,52,34,32
2007,29,43,18,34,45,47,95,117,114,66,28,38
2008,58,33,27,19,57,52,100,108,104,46,63,44
2009,33,34,28,31,50,66,94,136,107,62,40,59
2010,34,22,39,16,31,60,91,85,104,68,22,50
2011,39,33,24,22,45,60,94,113,64,44,74,27
2012,30,19,10,23,33,75,103,95,129,50,70,46
2013,78,21,25,21,30,72,96,76,82,35,37,55
2014,43,32,43,18,27,69,115,144,59,84,62,38
2015,53,33,28,37,38,82,94,100,107,74,39,48
2016,28,18,31,18,32,74,81,100,75,56,46,36
2017,54,34,47,21,27,73,82,122,84,64,42,43
2018,30,68,31,37,36,81,108,111,62,46,42,24
2019,35,26,21,27,44,60,98,46,70,58,49,49
2020,43,34,57,25,44,87,101,84,90,85,48,21
2021,35,25,32,39,43,82,91,112,96,83,69,73
2022,37,44,35,29,32,67,113,148,116,84,85,51
2023,81,36,26,49,47,75,100,104,94,79,57,29
2024,11,33,27,26,31,66,92,128,85,106,63,37
2025,25,50,15,16,35,73,107,155,129,49,81,57
2026,49,28,37,38,32,56,102,124,71,78,35,42
2027,33,42,19,35,35,74,89,139,101,66,68,36
2028,48,24,11,23,43,79,112,143,75,70,50,57
2029,31,21,33,32,44,77,83,106,68,75,55,71
2030,36,26,34,36,51,70,87,136,101,65,43,51
2031,39,22,33,23,36,48,117,105,60,65,38,48
2032,44,54,35,21,41,78,103,96,77,47,49,45
2033,32,50,22,24,39,93,119,117,117,64,56,47
2034,38,25,40,40,35,75,94,93,103,79,73,41
2035,28,25,16,31,45,91,137,146,113,78,41,38
2036,52,51,41,17,30,80,102,143,76,57,58,46
2037,45,37,46,22,41,98,109,130,105,100,65,46
2038,62,26,36,17,37,65,112,150,91,59,51,47
2039,58,21,21,35,40,74,108,112,131,64,61,30
2040,50,31,29,20,43,66,66,105,56,82,68,65
2041,35,50,22,24,29,63,95,97,114,85,52,59
2042,43,39,33,31,35,68,103,134,92,63,80,26
2043,62,17,44,33,42,89,112,94,89,60,36,77
2044,24,30,28,39,33,71,80,117,101,102,44,70
2045,46,22,33,31,35,73,114,142,72,84,46,50
2046,39,27,18,34,50,73,132,100,95,83,45,74
2047,51,20,37,30,46,80,89,130,110,115,36,49
2048,37,45,48,37,41,78,83,136,135,79,56,53
2049,30,42,26,23,25,70,99,118,99,73,31,74
2050,23,44,61,25,31,72,114,100,72,58,72,76
2051,59,50,18,31,31,77,73,149,39,71,77,64
2052,42,36,41,30,43,109,106,129,91,104,64,55
2053,31,44,44,29,34,84,108,147,75,74,41,67
2054,46,20,28,35,36,91,138,156,80,51,54,56
2055,41,43,29,32,53,99,100,125,93,68,48,43
2056,59,48,27,27,36,89,125,112,105,83,53,63
2057,16,48,24,22,38,81,95,114,155,75,32,36
2058,26,18,35,28,43,66,95,109,66,102,49,60
2059,38,32,28,35,43,80,98,66,75,81,46,51
2060,58,61,47,36,47,79,109,172,103,78,83,81
2061,39,37,36,55,46,95,87,90,63,62,55,65
2062,42,13,48,26,32,79,107,109,62,70,65,77
2063,23,33,28,36,35,70,92,153,88,80,82,95
2064,70,34,33,38,47,73,122,125,128,83,41,59
2065,26,15,28,20,70,78,125,128,55,62,37,76
2066,58,38,34,23,37,77,132,140,94,124,78,50
2067,43,37,24,22,51,98,129,146,87,58,61,55
2068,38,55,33,26,40,88,114,135,98,93,48,68
2069,47,34,28,21,45,108,83,179,79,77,41,77
2070,28,38,33,31,51,100,120,174,74,113,52,45
2071,52,68,29,53,46,98,140,143,83,78,43,72
2072,22,46,18,26,43,74,107,140,99,71,65,50
2073,25,66,46,22,50,116,103,170,127,83,59,64
2074,68,48,59,41,35,66,114,169,72,64,65,76
2075,52,28,36,33,46,88,108,164,104,65,34,57
2076,40,42,39,43,60,88,126,183,162,81,44,74
2077,58,30,53,30,61,91,135,183,132,89,71,95
2078,81,32,38,49,35,105,121,125,117,64,79,77
2079,75,54,27,28,46,86,129,127,84,108,70,90
2080,57,35,55,12,52,98,107,111,113,83,35,58
2081,62,39,28,30,47,96,100,115,134,83,52,45
2082,56,31,27,45,48,78,101,126,124,113,66,107
2083,71,58,19,40,44,80,140,129,87,55,92,88
2084,67,34,38,41,32,93,137,104,68,93,64,56
2085,44,45,41,24,39,95,125,139,107,72,89,125
2086,107,44,41,39,51,92,94,170,106,71,71,39
2087,33,23,50,46,60,74,130,168,134,103,54,56
2088,47,27,25,28,45,100,129,123,132,62,57,51
2089,52,33,44,36,55,110,98,119,96,71,43,56
2090,37,51,41,40,35,86,114,136,129,118,71,51
2091,58,26,35,41,42,100,122,101,145,101,64,65
2092,44,51,50,30,54,93,142,153,113,96,63,61
2093,42,22,34,30,48,80,100,191,135,80,81,100
2094,59,35,23,39,46,93,122,123,153,55,62,64
2095,49,57,30,46,47,70,128,146,107,76,90,56
2096,70,70,48,28,49,94,139,140,99,101,38,75
2097,41,49,37,23,38,95,144,120,126,79,36,84
2098,53,62,56,34,40,62,112,172,156,114,76,61
2099,34,22,44,34,50,73,94,140,98,89,67,69
2100,53,49,53,16,47,105,76,141,114,76,51,86
