"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,16,11,17,14,21,30,49,86,32,30,19,19
2007,15,23,14,24,23,19,56,82,71,34,23,22
2008,25,15,16,9,21,21,43,80,66,23,34,25
2009,15,18,15,16,27,27,43,96,62,32,21,37
2010,21,12,25,9,17,25,52,59,69,32,9,21
2011,22,19,21,9,13,21,51,77,34,23,37,16
2012,13,10,4,9,16,34,51,65,88,27,38,36
2013,40,10,18,11,18,26,53,42,48,13,24,34
2014,23,17,34,7,13,33,68,108,51,35,33,22
2015,19,18,15,28,12,35,60,68,62,36,26,23
2016,13,7,19,7,10,30,38,69,40,31,28,22
2017,20,13,32,12,15,34,60,71,56,31,25,24
2018,14,29,23,21,20,42,55,68,40,28,25,13
2019,14,15,7,15,19,33,51,33,31,36,18,28
2020,18,14,30,15,19,36,55,36,50,60,25,11
2021,22,14,19,16,15,36,68,53,44,40,41,36
2022,18,25,16,21,17,29,70,87,80,44,48,33
2023,41,24,21,29,27,35,78,80,64,39,35,15
2024,4,15,15,13,15,25,37,69,26,53,27,20
2025,13,21,8,9,21,34,69,106,67,28,49,32
2026,21,23,14,18,13,25,47,70,43,36,21,22
2027,15,21,13,19,15,33,52,95,70,36,34,20
2028,22,13,8,11,22,35,57,89,26,37,31,26
2029,15,8,18,11,20,34,53,57,29,42,35,42
2030,16,13,16,19,15,33,44,100,45,35,21,33
2031,16,11,10,15,17,24,58,70,32,35,19,22
2032,15,26,25,11,18,30,57,88,47,30,26,31
2033,19,21,16,15,19,28,66,83,70,42,27,23
2034,16,11,21,23,20,36,43,58,81,33,35,21
2035,10,13,8,16,21,33,90,92,73,44,22,19
2036,26,20,24,12,16,37,55,102,41,24,27,18
2037,20,17,26,10,20,43,68,94,56,55,34,34
2038,22,13,22,10,21,18,59,101,53,24,26,21
2039,26,8,16,21,21,33,67,76,71,33,31,17
2040,22,14,13,10,18,30,30,66,37,53,29,34
2041,18,23,16,16,11,33,45,57,80,43,31,23
2042,19,20,18,11,18,35,57,99,52,32,47,18
2043,31,6,25,16,19,42,57,53,43,29,26,40
2044,10,12,15,16,21,24,44,91,71,55,29,35
2045,21,9,22,18,13,27,64,80,30,52,32,32
2046,17,15,10,15,24,33,81,69,45,37,28,40
2047,23,9,25,17,21,32,48,115,67,47,21,22
2048,19,20,34,18,15,25,47,95,105,34,29,31
2049,13,18,17,10,12,37,56,87,63,34,18,47
2050,9,25,51,11,17,30,54,60,46,25,44,43
2051,28,30,11,20,13,36,42,125,24,31,37,41
2052,19,11,20,13,20,38,52,75,48,59,30,28
2053,16,24,29,13,13,42,63,72,37,48,24,43
2054,23,11,11,22,22,33,80,107,72,35,23,25
2055,21,20,13,17,21,32,48,61,49,42,26,23
2056,25,21,19,22,18,35,81,78,75,39,27,39
2057,9,23,14,17,16,29,47,66,79,48,17,19
2058,11,9,22,11,17,29,50,70,39,53,26,32
2059,15,12,14,23,20,29,58,48,40,40,23,29
2060,30,30,23,19,22,20,59,130,51,37,40,41
2061,17,17,18,41,22,35,42,43,50,37,29,48
2062,19,8,30,16,13,34,43,61,47,29,29,33
2063,9,17,14,24,15,26,46,115,61,40,33,59
2064,33,17,17,19,22,29,74,105,60,39,23,38
2065,17,9,17,11,31,34,60,65,27,29,11,36
2066,26,22,20,11,18,28,75,105,56,69,39,27
2067,22,21,16,12,22,41,86,117,59,34,38,28
2068,18,30,17,16,17,35,63,97,54,41,21,37
2069,19,15,15,11,19,38,58,121,47,38,22,39
2070,13,16,19,18,24,43,70,107,34,69,26,25
2071,23,29,16,36,22,32,87,70,46,36,21,42
2072,11,21,9,15,18,36,72,86,50,36,41,27
2073,13,26,22,14,25,44,68,110,83,40,38,34
2074,31,23,38,31,13,20,74,109,48,39,42,48
2075,21,13,23,22,26,33,71,100,64,45,16,26
2076,24,18,16,24,29,30,68,121,93,32,26,34
2077,31,12,25,16,29,36,76,116,75,48,30,48
2078,37,15,24,14,10,41,71,68,70,27,36,44
2079,36,23,18,12,18,47,62,91,37,53,31,41
2080,28,18,38,8,24,38,68,66,60,40,19,33
2081,29,23,20,14,26,36,54,73,76,50,20,29
2082,26,19,16,23,23,30,57,83,76,63,37,58
2083,42,31,11,23,19,36,74,77,50,34,46,42
2084,29,14,19,20,14,34,80,73,41,48,33,22
2085,23,19,32,14,19,37,57,112,55,51,49,73
2086,52,27,24,30,19,45,51,105,67,44,43,26
2087,16,11,29,27,29,35,79,111,93,57,27,25
2088,20,13,14,16,27,30,77,62,88,36,30,19
2089,21,21,23,18,26,34,49,78,68,37,29,29
2090,21,24,26,23,14,35,81,92,70,73,45,24
2091,21,15,19,28,22,34,67,62,72,45,38,43
2092,23,22,38,15,27,32,79,85,71,42,28,26
2093,21,13,21,17,14,38,58,137,78,45,49,68
2094,27,23,11,18,18,31,70,88,100,28,23,25
2095,21,28,17,26,26,35,54,78,69,44,44,35
2096,37,38,33,18,22,33,85,78,61,46,18,42
2097,22,21,19,11,17,30,77,79,80,39,21,49
2098,40,32,32,18,13,23,60,97,105,50,43,28
2099,18,11,22,15,23,39,50,91,64,45,37,46
2100,32,31,33,12,27,35,62,118,70,34,30,54
