"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-15.2,-16.8,-9,-6.4,4.8,11.9,13.3,13.1,3.5,-4.7,-11.2,-17.1
2007,-16.3,-11.5,-15.3,-5.2,2.2,11.5,14.1,10.6,6.9,-2.7,-10.1,-12.6
2008,-13.9,-15.5,-11.5,-5.8,1.6,11,14.1,9.2,8.7,-2.8,-8.2,-10.3
2009,-12.4,-15.1,-10,-0.4,3,11.9,14.9,11.2,7.2,-2,-10.2,-10
2010,-16.1,-16.7,-9.8,-4.7,2.6,11.2,12.9,11.4,6.1,-5.5,-16.6,-15.6
2011,-19.8,-19.5,-12.8,-6.1,-0.4,10.4,12.9,10.7,5.6,-2.8,-9.5,-15.4
2012,-15.9,-15.5,-11.8,-9.4,5.2,10.7,13.8,9.6,7.1,-5.6,-8.9,-16.7
2013,-9,-24.2,-14.6,-7.9,3.2,10.3,12.8,11.2,5.4,-3,-12,-14.2
2014,-11.6,-21.3,-8.7,-7.8,4.7,11.9,12.7,10,6.4,-3.4,-10.9,-16.1
2015,-16.5,-13.6,-11.4,-0.7,4.9,12.5,13.3,11.8,5.5,-4.4,-10.2,-12.5
2016,-17.9,-21.6,-13.5,-6.4,2.3,11.4,13.5,10.8,7.7,-4.5,-10.6,-20.8
2017,-21.5,-21,-7.6,-8.7,2.9,9.5,14.7,13.4,6.8,-5.5,-14.2,-14.5
2018,-12.6,-14,-11,-5.3,4.9,11,13.5,10.7,8.2,-4.6,-7.6,-15.3
2019,-14.7,-18.1,-17.5,-1.4,4.6,12.1,16,13.9,5.7,0.9,-8.5,-11.3
2020,-10.2,-12.2,-7.4,-4.3,5.4,11.5,13.6,14.2,7,-0.1,-10.3,-19.7
2021,-12.1,-14.6,-9.1,-2.1,5,10.5,14,10.7,6.2,1.4,-8.5,-12.7
2022,-18.1,-14.4,-11,-1.3,5.8,12.5,12.9,12.4,5.8,-2.8,-6.9,-10.4
2023,-11.9,-15.2,-11.6,-5.7,3.4,8.7,13.4,10.9,7.3,-4.2,-9.9,-20
2024,-22.8,-14.7,-16.9,-4.7,5.5,12,14.4,10.5,6.1,-3.4,-11.2,-14.3
2025,-16.6,-15.1,-10.4,-3.5,5.7,11.7,13.5,8.1,5.6,-4.7,-5.3,-12.9
2026,-18,-17.8,-11.9,-8.6,3.7,11.5,14.5,11,6.6,-1.5,-9.7,-13.6
2027,-18.5,-18,-13.6,-5.4,5.5,12.6,12.3,11.4,7.2,-1.9,-7.9,-15.1
2028,-10.4,-13.4,-12.8,-7,5.1,12.4,13.2,11.3,5.8,-3.9,-8.3,-14.4
2029,-20.6,-17.3,-12.5,-5.9,5.9,11.8,14.3,12.2,5.5,-2.1,-6.4,-9
2030,-13.5,-14.7,-9,-7.1,1.6,10.1,14.2,12.4,5.2,-1.4,-9,-12.2
