"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,43,30,17,26,31,68,62,114,59,35,56,36
2007,62,18,32,19,31,60,101,76,58,44,58,29
2008,39,17,37,27,35,48,81,92,57,64,55,30
2009,40,21,37,18,36,52,64,67,64,17,78,52
2010,29,27,14,22,21,41,72,101,42,56,52,13
2011,54,40,33,22,25,61,78,84,84,60,32,34
2012,39,22,17,24,31,56,94,41,67,41,33,32
2013,33,32,16,21,39,81,70,69,89,97,58,43
2014,40,31,37,29,31,55,85,82,88,57,38,13
2015,28,34,39,29,34,41,64,108,83,40,52,15
2016,26,33,22,19,47,68,64,126,73,54,31,47
2017,33,18,22,25,38,40,66,101,65,56,41,45
2018,29,28,30,28,36,58,79,46,90,29,50,21
2019,44,45,47,22,30,59,73,94,47,55,36,28
2020,19,26,36,22,39,41,69,112,84,35,40,38
2021,22,32,25,16,31,67,110,130,91,63,57,26
2022,72,24,23,23,28,87,104,81,84,48,38,19
2023,21,30,31,32,24,52,97,85,88,65,34,35
2024,45,18,44,24,31,70,101,70,79,86,63,43
2025,29,25,21,31,34,73,81,116,57,44,39,60
2026,33,39,25,18,30,66,93,60,72,47,31,41
2027,37,20,28,15,31,49,81,68,71,52,36,67
2028,47,31,34,22,24,70,73,70,82,54,68,46
2029,37,18,52,22,31,54,88,68,91,46,31,11
2030,29,31,36,25,28,38,97,83,76,32,47,37
2031,38,16,37,20,34,64,70,77,63,46,29,47
2032,21,35,27,22,40,49,89,76,65,42,55,24
2033,43,20,22,24,27,54,73,87,49,47,34,34
2034,35,26,32,23,42,52,76,117,65,106,41,38
2035,43,34,22,21,24,52,97,95,36,27,39,31
2036,50,37,40,33,43,46,72,87,51,72,15,19
2037,53,28,22,29,29,50,68,81,40,52,58,33
2038,30,23,28,25,29,58,96,71,67,31,48,31
2039,43,42,33,29,35,46,81,106,94,47,15,13
2040,36,29,23,31,20,58,102,106,57,42,45,34
2041,34,22,25,10,36,59,72,99,44,38,50,34
2042,39,32,33,25,30,44,88,92,58,74,61,21
2043,25,39,24,21,32,64,88,84,104,19,43,36
2044,19,28,28,24,24,42,64,83,63,49,23,28
2045,35,41,25,40,30,53,59,87,81,79,54,75
2046,23,17,36,29,22,65,91,90,99,60,20,31
2047,27,30,39,24,32,36,81,57,39,72,47,23
2048,50,25,25,15,30,78,88,102,99,62,27,44
2049,46,23,25,22,28,65,109,109,53,55,50,36
2050,22,17,14,24,34,58,87,57,57,34,31,41
2051,47,50,18,24,27,59,81,71,54,58,36,46
2052,38,22,21,14,40,56,62,122,83,47,46,33
2053,48,31,16,42,39,38,118,81,70,63,72,61
2054,37,31,15,27,30,73,85,99,95,85,34,31
2055,67,46,27,33,20,53,118,92,101,57,57,33
2056,42,30,23,11,31,56,77,84,80,45,20,29
2057,18,24,34,14,33,64,61,113,108,39,24,22
2058,32,24,22,27,27,72,83,101,60,72,47,62
2059,34,35,26,19,34,61,83,78,107,51,36,26
2060,39,17,35,32,42,28,83,110,117,35,52,51
2061,35,17,24,33,29,66,95,79,56,30,44,32
2062,67,49,15,22,42,54,101,128,66,68,71,78
2063,35,30,23,23,26,60,73,102,63,72,76,53
2064,58,29,29,13,31,67,57,82,57,80,28,17
2065,37,26,29,28,40,80,86,65,42,63,73,44
2066,64,26,20,31,36,74,64,65,90,86,55,27
2067,54,25,41,19,25,46,129,110,81,46,48,53
2068,26,31,33,25,30,60,82,68,110,50,40,52
2069,55,31,37,32,45,49,89,59,50,80,55,34
2070,41,25,32,32,41,73,73,128,36,48,33,40
2071,20,29,26,20,48,42,68,62,68,66,37,40
2072,37,31,19,27,36,67,51,117,72,45,26,35
2073,49,9,20,26,31,36,78,89,106,56,51,39
2074,37,42,19,40,29,55,97,74,73,64,78,60
2075,32,24,37,28,35,53,94,122,94,47,41,36
2076,55,46,45,26,37,67,67,83,80,39,48,44
2077,40,18,34,40,26,76,90,110,94,121,84,46
2078,13,26,37,30,41,64,69,81,105,42,22,41
2079,36,29,30,31,34,52,87,93,59,75,63,47
2080,56,26,35,19,29,75,52,121,50,49,30,23
2081,39,41,30,34,26,60,75,76,54,76,49,30
2082,39,25,32,22,28,54,83,129,63,94,66,33
2083,36,36,17,37,23,63,82,104,76,47,75,48
2084,51,34,20,37,41,85,115,78,49,57,41,63
2085,45,30,21,23,43,68,82,81,51,88,50,61
2086,29,20,43,43,31,32,72,93,56,79,64,70
2087,28,19,25,13,26,62,72,110,42,110,17,50
2088,26,38,15,14,20,61,84,63,68,41,37,40
2089,30,31,33,35,42,77,89,159,32,77,38,21
2090,36,26,27,26,31,58,61,103,81,49,44,25
2091,27,22,27,30,30,61,87,75,81,93,44,18
2092,74,47,26,26,33,67,74,89,99,56,56,57
2093,41,36,31,24,28,53,82,121,67,46,25,27
2094,36,35,21,30,22,51,94,90,105,49,53,53
2095,28,32,41,19,29,63,109,98,69,53,46,48
2096,57,33,32,28,35,65,93,92,76,77,77,69
2097,48,16,27,22,31,59,83,84,76,66,41,74
2098,48,21,28,15,38,58,50,100,103,77,30,75
2099,44,52,26,33,25,52,73,99,106,44,64,18
2100,48,43,37,19,11,68,102,43,62,63,45,25
