"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,24,23,10,11,14,34,66,64,33,32,27,20
2007,28,10,13,12,10,36,54,69,35,23,28,17
2008,28,9,19,14,18,32,60,67,27,42,27,13
2009,21,15,25,15,13,22,32,72,34,22,32,30
2010,22,17,8,19,13,27,29,70,27,33,22,12
2011,28,29,24,15,11,25,62,78,47,38,17,18
2012,22,11,10,12,12,20,43,33,35,24,25,21
2013,18,19,12,18,25,15,31,50,58,49,22,20
2014,22,17,20,17,21,10,41,70,52,35,30,12
2015,15,19,24,15,16,17,39,111,50,38,27,9
2016,16,17,15,16,19,20,45,97,46,29,13,19
2017,18,10,11,14,24,39,45,92,44,28,24,27
2018,19,18,25,15,18,13,75,39,61,20,30,14
2019,18,19,35,17,12,43,29,96,34,33,17,16
2020,14,17,20,14,12,25,46,65,35,21,21,18
2021,15,28,11,10,9,22,84,128,63,38,22,25
2022,46,20,10,16,14,35,64,61,47,29,18,12
2023,9,15,16,17,11,25,49,71,78,38,23,25
2024,30,11,25,21,18,22,42,61,54,49,34,23
2025,16,13,10,17,15,54,48,75,40,27,19,31
2026,24,26,9,10,15,32,55,51,35,32,11,23
2027,21,13,15,9,16,18,37,83,39,32,13,43
2028,21,16,27,14,13,28,38,92,52,30,28,29
2029,24,9,28,12,10,23,46,34,38,38,17,17
2030,18,21,22,14,18,22,50,56,50,26,25,23
2031,24,12,16,10,14,14,31,46,46,29,17,26
2032,13,24,20,17,15,21,43,53,40,39,36,12
2033,31,17,19,13,9,21,65,69,31,28,20,18
2034,18,23,13,12,22,25,36,75,48,71,36,23
2035,29,22,12,8,15,26,50,68,17,19,29,12
2036,22,19,28,19,15,21,49,56,25,40,17,12
2037,16,10,7,20,6,14,50,72,24,32,26,18
2038,17,18,21,8,11,21,52,62,25,18,25,13
2039,26,21,25,22,13,28,40,74,55,35,14,12
2040,29,17,11,24,14,29,52,97,45,28,26,23
2041,20,12,14,9,13,39,37,52,31,40,22,18
2042,15,19,17,15,13,31,48,92,40,31,40,14
2043,17,22,13,11,14,21,62,58,63,16,23,19
2044,11,9,21,12,10,14,56,68,43,25,14,15
2045,13,30,14,30,11,16,30,96,63,43,26,31
2046,18,16,23,16,11,28,34,75,52,31,9,18
2047,17,15,22,13,13,30,43,61,25,34,21,18
2048,27,13,11,11,15,20,54,68,64,44,22,26
2049,17,15,32,11,13,30,61,100,34,28,28,19
2050,17,10,6,13,10,31,37,60,34,23,13,40
2051,24,28,8,9,10,20,41,87,40,33,26,22
2052,17,7,19,8,15,25,58,91,39,39,31,17
2053,24,19,10,21,25,20,64,69,42,40,43,41
2054,22,17,10,21,22,32,51,85,60,41,18,18
2055,40,27,20,26,9,13,63,59,56,44,31,22
2056,21,24,16,10,26,16,59,64,58,34,19,18
2057,8,12,20,20,22,18,37,105,90,36,16,23
2058,20,10,13,15,13,31,44,84,52,43,40,40
2059,16,23,16,9,16,18,69,50,67,32,18,18
2060,18,13,21,28,18,16,65,94,99,30,40,25
2061,21,11,16,23,23,29,49,63,35,23,30,27
2062,25,23,9,12,11,22,55,130,34,36,43,33
2063,35,19,22,13,14,43,68,80,33,37,33,31
2064,27,17,14,8,13,30,44,79,51,45,18,14
2065,21,15,9,15,14,40,45,42,29,36,37,26
2066,30,17,13,19,11,36,31,42,64,58,42,20
2067,27,12,26,9,19,25,65,77,54,28,19,30
2068,17,18,18,14,9,35,60,64,48,31,23,30
2069,34,21,20,20,20,26,50,59,47,34,22,32
2070,14,14,23,17,15,22,45,113,25,35,28,19
2071,13,14,17,13,25,24,40,42,57,47,19,28
2072,19,12,16,16,18,28,52,73,51,24,13,21
2073,32,7,8,21,17,20,35,61,54,29,31,27
2074,19,17,9,21,18,25,36,55,41,37,46,32
2075,17,15,19,18,11,19,35,106,41,33,24,20
2076,33,22,22,15,15,35,38,56,39,23,26,20
2077,22,10,24,25,19,26,43,76,66,72,43,38
2078,12,13,24,15,18,34,68,63,79,21,12,22
2079,30,12,15,15,13,22,57,78,40,39,30,25
2080,26,12,23,10,12,29,48,136,39,34,13,19
2081,24,25,16,16,12,13,41,68,44,45,22,22
2082,20,14,14,15,17,30,66,73,42,50,33,28
2083,23,19,13,20,16,16,39,79,48,32,42,27
2084,32,22,10,26,17,29,29,61,17,32,21,30
2085,23,24,10,22,15,36,50,87,35,76,24,34
2086,18,13,27,27,22,26,48,75,39,49,29,32
2087,29,12,13,6,11,32,20,92,40,60,13,32
2088,10,19,13,19,9,34,36,63,54,32,26,15
2089,20,11,22,21,16,39,74,100,26,41,24,19
2090,26,16,13,16,13,38,38,67,37,20,21,18
2091,17,15,21,24,15,41,41,52,52,67,24,15
2092,30,28,18,21,15,23,68,63,48,29,31,32
2093,17,16,13,12,18,25,50,123,39,22,16,17
2094,15,24,9,21,13,28,69,69,90,32,19,24
2095,13,14,14,12,19,21,39,106,36,37,28,25
2096,26,15,15,14,22,27,31,75,44,45,53,43
2097,18,11,15,15,11,37,44,76,59,32,24,49
2098,31,17,14,9,28,30,65,91,60,46,19,37
2099,19,26,17,17,6,20,34,110,63,28,36,14
2100,25,17,24,10,9,27,57,50,38,23,20,14
