"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-21.7,-19.3,-19.9,-12.5,-0.6,6.7,11.4,8,3.7,-6.3,-10.9,-15.1
2007,-16.6,-21.2,-21.4,-7.1,0.7,10,13,10.9,2.4,-8.6,-18.1,-20.6
2008,-17.7,-26.9,-13.5,-9.7,0.2,10.5,14.1,11.6,2.5,-6.1,-11.4,-22.3
2009,-16.4,-17.4,-16.3,-15.8,0,7.7,11.6,10.1,3,-6.7,-9.6,-13.3
2010,-18.3,-22.3,-22.6,-11.9,0.1,10.2,12.4,10.3,3.6,-5.7,-13.2,-20.8
2011,-14.2,-16.4,-15.5,-10.9,-1,9.1,12.7,11.5,4.6,-5.3,-10.8,-22.9
2012,-18.2,-23.9,-14.4,-12.1,0.8,8.3,12.8,12.5,3.8,-6.7,-12.5,-17.3
2013,-15.1,-20.3,-15.7,-11.9,-1.3,9,12,10.2,4.7,-2.8,-17.3,-19.8
2014,-16,-21.3,-20.6,-15.8,-1.8,9.6,12.9,10.8,5.2,-6.9,-12.7,-21.2
2015,-26.4,-23.8,-12.8,-10.7,1.8,10.5,14.3,10.7,3.7,-4.8,-13.5,-23.4
2016,-25.2,-25.4,-15.1,-10.6,0.7,8.2,12.1,10.6,4.5,-5.9,-19.5,-22.5
2017,-23.3,-20.7,-15,-10.1,-0.2,8.5,13.1,10.3,4.9,-4.8,-13.6,-18.3
2018,-20.3,-23.1,-16.9,-7.9,0.7,8.6,12.3,11.9,4.3,-7.1,-11.2,-22.1
2019,-26.1,-23,-16.3,-9.5,1.8,9.5,13.3,11.8,4,-5.3,-12.7,-21.9
2020,-22.4,-20.2,-17.1,-8.9,2.8,9.8,11.6,11.7,4.6,-9.6,-14.1,-19.4
2021,-22.8,-15.9,-12.9,-10.8,0.3,8.9,10.7,10,4.2,-5.9,-10.3,-16.2
2022,-15,-20.3,-13.8,-10,2,9.1,12.8,12.7,5,-7.5,-13,-19.9
2023,-25.1,-20.7,-13.4,-13.1,2.8,9.8,14.2,12,4.6,-7.4,-10.1,-19
2024,-16.4,-22.5,-13.6,-9.5,2.5,9,12.3,10.7,4.4,-3.4,-10.6,-19.7
2025,-19.4,-15.6,-15.4,-10.7,2.9,8.3,12.6,9.9,3,-7.6,-16,-14.8
2026,-22.6,-19.7,-20.7,-11,-2,8.7,12.3,9.4,2.4,-7.9,-19.2,-15.7
2027,-15.8,-17.1,-12,-11.9,-2.1,11.4,13.5,11.9,4.9,-7.1,-18.3,-15.6
2028,-19,-17.8,-16.5,-10.1,2.8,10,14.2,12.2,5.3,-3.3,-10,-13.2
2029,-16.7,-22.3,-18.1,-13.8,2.2,8.3,12.1,11.6,2.3,-5.1,-16.7,-20.2
2030,-18.4,-19.8,-16.9,-8.8,0.8,10,12.5,11.5,5.5,-6.6,-14.7,-15.2
2031,-15.7,-17.4,-18.3,-12,-0.7,9.8,13.1,12.3,4.8,-6,-12.5,-18.4
2032,-20.9,-20.6,-15.5,-8.9,0.9,8.9,12.7,10.7,3.4,-7,-12.4,-19.4
2033,-17.2,-16.3,-16,-14.7,0,9.8,10.6,10.6,2.5,-5.5,-10.7,-18.2
2034,-20.6,-25.2,-21,-11.7,-0.1,8.6,13.8,11.3,5.4,-3.4,-10.1,-15.6
2035,-15.3,-14.5,-13.6,-9.7,2.9,10.9,13,11.4,3.4,-5.8,-13.9,-20.1
2036,-17.2,-16.3,-15.5,-8.9,1.1,9.6,12.9,9.3,4.3,-7,-18.3,-20.7
2037,-21.9,-24.4,-21.8,-9.9,-1.3,9.9,14.1,11.8,4.6,-7.8,-13.8,-23.8
2038,-21.6,-20,-12.4,-15.7,1.7,10.7,11.6,11.4,2,-8.4,-14,-22.6
2039,-20,-15.2,-14.8,-8.5,2.3,9.6,14.2,11.6,4.2,-3.6,-14,-21.8
2040,-16.2,-27.6,-21.2,-11.3,-1.9,10.5,11.6,10.3,3.3,-7.7,-11.4,-14.8
2041,-16,-19.8,-12.6,-10.9,-1,9.6,12.9,11.2,4.5,-3.1,-12.1,-17.7
2042,-25.1,-17.7,-15.7,-9.6,1.6,9.1,13.7,13,6,-3,-12.1,-22.3
2043,-17.6,-17.8,-16.3,-14.2,2.3,9.9,12.5,10.5,4.2,-8,-11.3,-17.2
2044,-23.7,-27,-17.2,-13.7,-1.4,10.2,13.9,10,5.1,-6.7,-19.2,-21.1
2045,-21.2,-17.1,-18.1,-10.4,-0.8,9.1,14.4,10,5.9,-4.5,-12.2,-17.2
2046,-17.7,-21,-15.4,-11.7,0.9,8.6,14.1,9.3,3.5,-8,-16.4,-15.2
2047,-21.3,-20.3,-12.8,-10,2.9,11.4,13.4,13,3.9,-4.5,-9.9,-17.5
2048,-15,-21.6,-17.1,-7.1,3.4,9.2,13.2,10.8,6.4,-3,-11,-15.4
2049,-17.4,-18.6,-13,-13,1,9.7,11.9,11.5,5.8,-4.7,-8.4,-21.2
2050,-22.6,-17.7,-17.8,-7.9,2.6,8.5,14.4,12.4,4.3,-5.8,-15.8,-15.2
2051,-16.7,-15.3,-19.2,-15.1,0.5,9.1,12.8,12.1,6,-2.9,-14.8,-17.2
2052,-15.5,-20.2,-16.8,-11.7,0,9.8,13.7,10.6,3.2,-5.8,-15.8,-21.8
2053,-16.8,-14,-13.2,-8,1,12.3,14.5,12.6,6.4,-5.2,-8.9,-16.6
2054,-19.1,-19,-17.5,-6.4,1.4,10.7,13.4,11.3,3.9,-4.6,-12.1,-20.6
2055,-15.2,-14.4,-18.4,-11.3,1.8,9.8,13.7,11.6,4.7,-5.9,-10.4,-16.2
2056,-17.7,-15.8,-15,-12.3,1.7,9.8,14.5,12.7,5.7,-6.2,-17.2,-15.7
2057,-23.4,-25.4,-17.5,-11.8,1.5,9.6,15.2,9.9,4.5,-6.4,-15.2,-21.3
