"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-18,-14,-12,-3,6.8,10.3,13.2,10.5,5.8,-4.4,-8.4,-12.5
2007,-12.6,-15.5,-9.9,1.2,7,13.1,14.8,13.5,5.3,-5.3,-13.8,-15.8
2008,-15.1,-21.2,-7.2,-1.5,6.8,14.3,17.1,13,5.8,-2.1,-10.3,-20.3
2009,-13.1,-12.4,-8.2,-6.8,6.1,12.4,14.8,13.1,6.4,-6.1,-5.9,-9.5
2010,-20.6,-19,-15.6,-1.3,7.3,14.7,16,11.9,6.5,-2.4,-9.2,-20
2011,-11.4,-12.4,-7.1,-1.9,7.3,11.6,13.8,13.1,7.2,-2.2,-8.8,-19.6
2012,-14.6,-16.8,-6,-2.3,6.9,12.8,15,14.7,6.6,-3.9,-12.1,-14.6
2013,-13.4,-14.9,-9.2,-3.7,5.9,12.8,15,11.7,7,-0.1,-13.5,-15.1
2014,-13.5,-14.9,-11,-4.5,5,13.5,15.4,12.8,7.6,-4.5,-13.9,-21.3
2015,-23.9,-18.1,-5.4,-2.1,7.6,15.3,16,13.2,6.6,-3.5,-10.9,-21.9
2016,-22.9,-19.3,-5.7,-1.4,7.4,13.5,15.5,11.9,6.8,-2.4,-16.9,-16.7
2017,-18.8,-13.8,-8.2,-1,5.9,13.3,15.9,12.6,7.2,-1.5,-12.4,-15.2
2018,-17.6,-17.7,-10,-0.5,6.7,12.6,14.4,13.9,6.9,-4.9,-9.6,-19.4
2019,-21.9,-17.4,-9.1,-2,7.3,12,16.2,13.4,5.9,-2,-10.3,-20.4
2020,-20.4,-14.9,-7.5,0.9,8.6,13.4,14.9,13,7.7,-6.2,-11.6,-14.8
2021,-20.4,-10.9,-5.4,-2.2,7.2,12.8,13.2,12.2,7.1,-2.4,-7.1,-16.1
2022,-12.6,-14.9,-7.7,-0.4,8.2,11.9,13.8,13.9,8,-4,-9.4,-17.6
2023,-20.5,-13.5,-5.4,-3.7,8.4,13.5,16.3,13.7,6.3,-5.5,-9.4,-16.8
2024,-13.2,-15.5,-7.4,-0.4,8,12.7,14.6,13.5,6.5,-0.8,-9.6,-17.3
2025,-18,-10.6,-6.4,0.3,8.6,11.4,14.5,12,5.6,-4.3,-13.2,-10.5
2026,-21.1,-14.3,-13,-0.1,6.6,12.7,15,12.6,5.9,-3.5,-16.3,-12
2027,-13.3,-12.8,-4.2,-1.1,5.3,15,15.2,14,7.2,-4.1,-14.3,-11
2028,-16,-12.8,-9.2,-2.1,8.1,13.1,15.3,14,7.5,-0.8,-6.8,-10.8
2029,-15.6,-16.6,-9.3,-2,8,12.8,15.8,13.6,5.7,-3.7,-14.3,-19.6
2030,-15.1,-15,-9.6,0.5,7.6,14.1,14.7,13.8,7,-4.4,-13.5,-12.4
2031,-12.6,-14.7,-9.1,-2.4,6.9,13.6,15.8,13.3,7.3,-4,-11.5,-13.6
2032,-18.5,-15.3,-9.8,-0.9,6.5,13,15.7,12.7,6,-5.2,-9.6,-17.1
2033,-14.7,-12.6,-9.5,-5.3,6.6,13.3,14.3,12.7,5.4,-2.5,-8.3,-13.6
2034,-16.8,-20.7,-12.5,-1,6.9,12.9,15.7,13.1,8,-0.9,-9,-12.2
2035,-14.3,-8.6,-6.5,-0.3,8.7,13.7,16.8,14,6.4,-4.2,-13.7,-16.3
2036,-12.4,-10.3,-8.7,-1.1,6.1,13.6,14.6,12,6.6,-3.3,-16.8,-19
2037,-15.4,-16.8,-12.6,-2.3,5.2,13.7,17.2,13.8,6.9,-6,-10.9,-20.6
2038,-19.4,-16.8,-8.4,-5.9,7.2,15,14.7,14.1,5.2,-5.5,-12,-17.6
2039,-17.1,-9.6,-8.4,-1.3,8,13.8,16.3,14.4,6.7,-1.4,-15.3,-21.3
2040,-14.7,-22.2,-14.4,-2.3,6.6,14.6,14.5,12.4,5.9,-3.8,-8.9,-11.9
2041,-13.1,-13,-4.5,-2.4,7.3,13.1,15.3,12.9,7.3,-1.6,-9.6,-13.7
2042,-22.2,-11.1,-6.7,-0.1,7.6,13.7,16,15,8.4,0.2,-9,-20.5
2043,-16.2,-10.2,-8.3,-3.9,8.9,13.9,15,13.7,6.8,-6.5,-10.8,-14.2
2044,-22.6,-20.4,-9.6,-2.1,7,15.3,17.4,12.8,7.2,-3.4,-16.7,-18.5
2045,-18.2,-12.3,-11.7,-2.6,6,12.4,17.1,12.6,8.1,-1.4,-7.9,-10.5
2046,-19.8,-17.5,-8.5,-2.7,9.1,13.4,16.9,12,6.6,-5.3,-14.9,-11.8
2047,-19.2,-11.8,-4.8,-1.2,8.4,15.8,16.1,14.6,6.4,-1.1,-6.9,-16.4
