"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-24.1,-21.3,-22.4,-14.9,-2.4,6.4,11.8,7.9,2.9,-8,-13,-17.3
2007,-18,-23.9,-24.4,-9,-0.6,10,13.1,10.5,1.5,-10.2,-20.2,-22.8
2008,-20,-29.2,-16.2,-11.8,-0.9,10.4,14.3,11.6,1.3,-7.6,-13.3,-24.2
2009,-18.6,-19.6,-18.2,-18.1,-1.1,7.3,11.6,9.8,2.1,-8.2,-11.2,-15.6
2010,-20.5,-24.6,-24.8,-13.9,-1.4,10.1,12.3,10.2,2.5,-7.3,-15.6,-22.9
2011,-16.4,-18.6,-18,-12.8,-3,8.9,12.9,11.7,3.8,-6.8,-13.1,-25.7
2012,-19.5,-25.6,-16.4,-14.4,0.1,8.2,13,12.4,3,-8.6,-14.7,-19.8
2013,-17.3,-22.1,-18,-14.1,-2.6,8.8,11.8,9.9,3.9,-4.2,-19.5,-22.2
2014,-18.2,-23.6,-22.8,-17.6,-3,9.3,13,10.7,4.4,-8.6,-14.3,-23.3
2015,-28.5,-26.1,-15.3,-12.5,1.1,10.1,14.4,10.6,2.8,-6.5,-15.8,-25.2
2016,-27.2,-28.1,-16.9,-12.6,-0.3,7.6,12.2,10.8,3.8,-7.3,-21.7,-25.1
2017,-26.1,-23,-17.5,-12,-1.3,8.2,13.3,10.6,4.3,-6.1,-15.6,-20.5
2018,-22.7,-25.8,-19,-9.6,-0.2,8.4,12.6,11.7,3.4,-9.1,-13.2,-24.5
2019,-28.4,-25.4,-18.6,-10.9,1,9.7,13.4,11.8,3.3,-6.9,-14.8,-24.2
2020,-24.2,-21.8,-19.4,-11.4,1.7,9.7,11.3,11.8,3.6,-11.5,-16.2,-21.8
2021,-24.6,-18.2,-15,-12.9,-1,8.7,10.9,10.1,3.4,-7.4,-12.3,-18.3
2022,-17.1,-22.2,-16.1,-12.4,0.8,8.9,13,12.8,3.9,-9.2,-15.2,-21.9
2023,-27,-22.6,-15.8,-15.1,2.1,9.9,14.5,12,4.1,-8.8,-11.6,-20.6
2024,-18.3,-25.4,-15.7,-11.2,1.8,8.6,12.2,10.2,3.4,-4.6,-12.2,-21.8
2025,-21.1,-17.9,-18,-13.1,1.9,8.3,12.9,9.6,2,-9.3,-17.7,-17
2026,-24.3,-22.1,-22.8,-13.5,-3.7,8.7,12.6,8.8,1.3,-10,-21.4,-17.7
2027,-18,-19.9,-14.2,-14.3,-3.5,11.7,13.8,11.9,4,-8.8,-20.5,-17.6
2028,-20.8,-19.9,-18.7,-11.8,1.7,9.9,14.6,12.4,4.7,-4.7,-11.8,-15.4
2029,-18.9,-24.3,-20.1,-15.4,1.1,8,12,11.3,1.1,-6.5,-18.6,-22.3
2030,-20.9,-22.4,-19.1,-10.4,-0.4,9.9,12.4,11.4,4.7,-8.1,-16.4,-17.3
2031,-17.8,-19.9,-20.5,-14.7,-2.1,9.6,13,12.3,3.9,-7.4,-14.7,-21.1
2032,-22.8,-22.6,-17.4,-11,-0.3,8.5,12.6,10.3,2.3,-9,-14.9,-21.8
2033,-19.7,-18.7,-18.5,-16.9,-1,9.6,10.5,10.4,1.6,-7.2,-12.8,-20.6
2034,-23.1,-27.7,-23,-14.4,-1.2,8.5,14.1,11.3,4.8,-4.9,-11.9,-17.8
2035,-17.3,-16.8,-15.9,-11.9,1.7,10.8,12.8,11,2.1,-7.3,-15.9,-22
2036,-19,-18.7,-16.7,-10.5,0.3,9.2,13.3,8.9,3.5,-8.6,-20.4,-23.1
2037,-24.2,-27,-24.2,-11.6,-2.8,9.6,13.9,11.7,3.6,-9.7,-16.1,-25.9
2038,-23.4,-22.6,-14.5,-17.7,0.8,10.6,12,11.3,0.9,-10,-15.9,-25.1
2039,-22.3,-17.4,-16.8,-10,1.5,9.6,14.3,11.4,3.4,-4.8,-15.4,-23.1
2040,-18.4,-30.2,-23.3,-12.9,-3.5,10.5,11.6,10.4,2.3,-9.2,-13.3,-16.9
2041,-17.5,-21.7,-15,-13.1,-2.7,9.8,12.9,11,3.6,-4.8,-13.9,-20.4
2042,-27.4,-20,-18.5,-11.6,0.6,8.9,13.7,13.2,5.2,-4.5,-14.4,-25.1
2043,-19.5,-19.8,-18.7,-16.3,1.5,9.7,12.7,10,3.5,-9.9,-13,-19.2
2044,-26.1,-29.4,-19.1,-15.5,-2.9,9.9,14.3,9.5,4.3,-8.6,-21.4,-23.6
2045,-23,-18.7,-19.8,-11.7,-1.8,9.2,14.8,9.9,5.2,-6.2,-14.5,-19.3
