"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,39,8,23,31,53,42,34,82,73,52,47,28
2007,35,39,15,22,21,34,54,134,86,44,24,39
2008,36,30,31,21,60,64,36,80,124,30,47,42
2009,27,35,23,32,40,52,135,121,135,69,38,31
2010,48,33,22,32,59,64,68,115,97,59,64,42
2011,22,33,26,30,32,72,42,80,81,64,27,30
2012,35,26,30,19,28,114,71,153,66,49,48,50
2013,41,19,26,32,15,33,52,97,144,43,38,38
2014,16,23,27,22,22,49,75,56,81,57,51,29
2015,41,25,28,46,83,42,142,219,96,96,44,39
2016,40,17,17,14,48,20,57,125,51,43,24,23
2017,40,25,26,22,25,36,115,99,60,48,39,44
2018,47,32,31,33,27,30,46,43,57,40,50,23
2019,28,27,11,19,27,30,179,134,93,40,46,25
2020,39,28,34,16,12,38,53,110,67,79,30,44
2021,21,31,15,17,23,31,31,76,105,33,27,32
2022,36,14,43,25,34,24,35,134,50,112,31,49
2023,34,26,22,21,13,35,84,174,51,75,33,35
2024,31,29,25,17,34,31,119,64,90,43,31,24
2025,34,30,40,30,65,30,51,102,45,54,40,26
2026,24,17,37,11,49,31,133,168,36,25,43,43
2027,17,35,21,19,26,41,71,81,127,39,43,42
2028,36,31,22,33,42,41,28,169,83,53,33,21
2029,19,29,18,22,53,24,69,134,47,59,42,65
2030,25,49,30,43,41,38,71,224,71,72,26,41
2031,50,25,34,14,24,36,24,62,84,69,49,24
2032,39,24,34,24,23,38,52,85,134,81,45,59
2033,24,34,40,17,54,37,44,102,64,43,53,51
2034,46,41,24,21,55,53,49,59,149,72,58,32
2035,42,38,42,23,47,35,76,73,44,26,37,57
2036,27,36,44,27,23,45,68,89,81,58,64,37
2037,50,37,25,15,38,27,42,101,57,60,30,31
2038,53,30,31,14,26,46,83,90,65,32,27,46
2039,46,41,52,20,70,111,58,122,87,99,68,38
2040,54,50,28,16,26,20,41,57,75,92,28,28
2041,42,17,42,45,71,57,63,158,66,33,49,55
2042,33,22,27,27,15,49,112,137,97,69,42,29
2043,22,23,21,24,62,37,109,137,137,62,31,40
2044,39,21,44,30,39,58,33,55,107,48,29,35
2045,37,29,41,33,46,46,97,79,70,56,50,47
2046,42,18,21,15,39,33,34,128,69,48,36,40
2047,38,35,22,31,35,65,73,76,90,32,58,50
2048,41,57,33,21,62,67,83,83,102,57,55,33
2049,37,13,18,25,55,35,64,84,84,41,64,40
2050,26,21,20,16,17,48,33,120,47,55,22,29
2051,55,34,25,25,24,40,49,37,60,35,35,44
2052,26,31,44,28,20,54,137,151,156,70,44,49
2053,14,29,19,18,55,34,52,168,149,60,39,63
2054,46,45,39,56,65,115,83,163,94,35,31,60
2055,41,38,37,21,74,118,113,119,50,70,39,27
2056,15,40,35,51,42,38,55,55,99,77,62,28
2057,37,31,22,19,34,63,160,103,87,83,42,31
2058,35,39,45,22,51,27,51,96,93,68,82,41
2059,39,29,17,15,30,37,22,81,126,35,38,36
2060,57,22,22,27,24,47,149,144,27,40,45,34
2061,38,24,34,20,25,36,80,82,60,68,46,19
2062,31,22,18,20,25,33,94,91,47,50,42,21
2063,25,22,18,21,43,41,59,139,36,48,31,43
2064,48,23,35,28,36,46,32,85,105,31,54,68
2065,23,31,36,22,27,40,110,216,94,56,45,41
2066,68,23,15,41,26,45,48,132,75,66,48,34
2067,23,29,42,19,77,78,70,111,59,51,26,28
2068,31,23,22,13,19,67,33,87,96,79,42,47
2069,41,30,31,42,88,47,57,60,57,48,76,23
2070,40,53,42,10,24,31,50,117,131,60,55,21
2071,46,19,20,26,34,39,163,57,75,29,75,85
2072,62,19,19,28,39,27,28,127,45,50,37,46
2073,30,27,21,23,71,31,165,178,55,65,54,33
2074,35,31,38,22,39,32,58,102,58,86,34,35
2075,23,59,51,33,46,54,98,93,84,26,19,35
2076,24,28,43,23,30,46,86,192,63,77,42,55
2077,45,34,27,22,44,68,103,212,120,56,44,34
2078,36,33,59,41,19,27,58,162,134,91,55,42
2079,23,28,21,15,15,45,23,90,52,72,41,39
2080,27,21,14,10,48,28,112,133,84,104,63,56
2081,50,28,27,17,69,38,109,106,35,71,48,25
2082,43,34,20,29,41,38,46,122,78,87,73,44
2083,40,21,35,16,50,84,142,114,69,41,44,39
2084,16,34,25,22,26,46,49,145,109,67,43,28
2085,65,27,39,36,11,62,89,111,71,49,65,42
2086,43,35,23,18,27,60,49,214,81,50,44,37
2087,41,40,31,19,28,52,45,45,132,43,48,40
2088,58,21,48,17,28,25,79,141,91,39,33,39
2089,40,32,26,20,47,41,39,103,67,40,74,17
2090,25,22,38,24,17,22,141,163,92,84,48,42
2091,33,29,36,25,32,35,184,102,83,53,32,53
2092,60,25,27,16,10,58,122,213,125,102,33,20
2093,33,29,34,30,81,36,128,177,55,84,60,25
2094,43,44,36,42,57,98,116,208,86,105,47,37
2095,17,55,67,26,38,52,47,136,112,68,35,57
2096,35,23,41,28,34,80,172,183,37,40,35,52
2097,44,16,15,15,64,48,99,113,39,54,54,56
2098,26,43,25,37,19,54,146,129,131,66,49,36
2099,38,26,20,15,22,26,150,208,54,48,33,43
2100,44,51,41,38,69,52,96,188,89,67,57,51
