"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,39,14,17,37,50,47,49,71,82,73,52,41
2007,38,40,18,33,22,49,78,129,104,60,36,41
2008,34,37,32,27,51,69,60,70,112,35,45,41
2009,29,35,17,31,33,67,125,115,109,64,46,47
2010,48,33,28,37,55,64,70,127,106,82,80,54
2011,32,38,25,32,22,86,61,100,89,87,33,41
2012,33,26,30,19,30,122,91,158,84,64,48,55
2013,39,20,23,36,15,57,83,123,120,52,47,52
2014,17,26,37,23,33,59,77,67,70,58,48,43
2015,49,34,29,46,67,61,149,229,101,87,54,48
2016,39,20,29,24,39,56,98,161,60,52,27,27
2017,36,26,30,24,24,53,106,98,93,63,33,52
2018,52,31,27,35,30,45,62,47,80,54,53,33
2019,22,37,13,22,25,47,141,130,103,56,46,32
2020,40,36,41,14,17,70,74,97,60,84,29,46
2021,21,35,14,25,28,51,51,57,83,25,29,48
2022,32,14,46,20,39,57,69,107,55,109,38,62
2023,32,25,27,24,17,70,91,148,60,83,33,39
2024,31,37,22,23,29,51,94,71,95,62,39,35
2025,26,28,38,29,62,46,75,111,54,56,37,37
2026,30,29,34,18,42,45,148,141,49,26,41,54
2027,21,49,26,22,17,62,73,63,108,39,49,51
2028,35,32,27,36,43,73,72,105,88,78,38,25
2029,18,38,22,27,43,58,77,103,65,81,50,72
2030,25,54,36,39,38,65,82,193,75,73,27,49
2031,70,21,37,18,19,69,55,94,92,67,56,26
2032,39,25,40,24,34,72,93,74,122,106,51,65
2033,25,37,44,21,59,46,86,101,65,48,52,64
2034,50,50,20,21,59,60,64,71,131,84,66,40
2035,41,47,38,23,41,62,75,110,53,29,44,62
2036,35,40,38,29,20,59,93,84,85,54,77,53
2037,58,38,19,19,38,53,67,104,51,49,36,43
2038,45,35,26,14,31,71,76,97,68,33,28,55
2039,54,58,42,27,55,119,86,124,76,110,66,44
2040,60,57,25,18,34,41,58,100,69,98,31,44
2041,38,15,43,45,66,65,86,132,82,44,56,68
2042,37,26,36,34,23,90,107,114,117,74,44,31
2043,24,18,19,30,51,65,93,161,137,57,38,57
2044,36,23,48,33,36,58,73,74,93,55,35,43
2045,40,36,51,35,52,63,102,80,60,58,56,51
2046,40,17,32,17,34,60,70,110,68,50,41,54
2047,41,40,21,28,24,89,95,72,87,43,72,51
2048,50,55,28,28,64,64,100,87,111,64,53,41
2049,40,24,14,22,55,47,63,109,95,56,67,55
2050,29,26,19,23,19,78,88,134,43,43,34,40
2051,65,35,29,18,26,56,70,50,90,65,34,66
2052,25,32,38,26,30,58,106,117,149,62,38,56
2053,15,22,27,20,42,48,73,150,133,63,37,76
2054,55,42,42,54,58,87,73,207,76,49,32,67
2055,43,37,29,20,72,107,87,119,69,93,43,29
2056,21,42,34,52,66,61,66,51,98,87,47,37
2057,44,30,23,14,30,75,125,90,75,87,42,30
2058,45,43,48,26,40,67,94,65,94,87,83,53
2059,42,31,29,17,31,65,58,85,129,55,36,52
2060,64,25,22,24,27,69,167,159,40,49,42,38
2061,43,29,37,25,27,78,92,77,57,70,62,26
2062,36,25,25,25,35,67,88,86,68,56,42,29
2063,27,23,27,25,43,60,74,131,42,76,31,45
2064,41,22,31,33,36,57,49,93,109,42,51,80
2065,26,30,36,22,26,61,124,192,108,55,44,55
2066,66,39,18,50,24,61,65,112,74,99,38,39
2067,31,39,40,18,76,97,85,108,56,57,30,32
2068,38,31,26,18,24,72,60,89,86,87,45,58
2069,40,38,32,44,75,72,82,73,62,50,64,19
2070,38,58,47,15,30,56,59,137,114,70,62,30
2071,58,23,24,21,43,72,135,76,70,53,78,88
2072,63,17,13,30,24,65,75,148,55,64,57,56
2073,33,35,31,29,61,42,143,128,66,61,54,37
2074,41,38,39,27,37,68,80,119,70,92,44,43
2075,23,64,50,34,37,91,131,88,105,39,19,47
2076,28,27,41,26,35,48,77,173,77,67,67,57
2077,53,30,35,23,47,90,131,176,100,69,39,54
2078,42,48,58,44,28,59,75,135,102,87,65,50
2079,20,30,21,26,16,63,44,100,58,76,55,53
2080,32,31,20,14,45,67,111,177,85,109,62,48
2081,43,30,30,24,56,43,92,116,49,82,53,32
2082,49,38,20,32,35,65,54,129,84,111,65,50
2083,39,22,33,22,42,96,114,103,73,62,49,47
2084,21,42,37,29,29,49,72,135,93,64,49,34
2085,62,26,36,25,21,86,92,105,88,66,71,53
2086,61,46,34,16,21,80,62,174,103,60,52,49
2087,45,43,40,25,28,77,86,65,127,67,63,48
2088,55,27,43,18,38,61,92,156,95,51,43,45
2089,42,38,30,22,41,76,67,103,74,57,74,25
2090,27,23,41,25,21,50,129,137,92,103,43,48
2091,40,38,42,21,30,71,152,113,84,65,37,71
2092,59,31,37,19,19,65,115,227,126,120,48,33
2093,28,36,38,33,63,47,99,161,84,93,59,24
2094,38,50,33,34,58,98,152,201,89,91,32,44
2095,21,59,63,24,32,68,69,163,101,77,36,69
2096,31,23,37,35,35,91,155,177,51,63,38,60
2097,39,22,22,22,60,51,86,120,57,67,54,77
2098,22,48,26,34,30,95,155,112,128,66,61,52
2099,43,28,32,21,42,65,128,216,70,78,41,39
2100,40,50,41,34,65,62,96,173,97,75,59,62
