"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-13,-24.9,-15.6,-4,1.3,11,13.1,11.1,5.2,-7.9,-13,-22.4
2007,-23.3,-21,-17.8,-4.2,2.9,10.8,14.3,8.6,2.2,-10,-21.9,-22.9
2008,-17.8,-14.3,-20.7,-7.9,0.3,7.1,13.2,12.6,4.4,-8,-12.9,-17.1
2009,-25.6,-15.3,-17.6,-11.9,1.6,8.7,10.9,8.6,4.2,-6.7,-8.3,-16.9
2010,-21.2,-15.1,-18.9,-5.7,2,7.4,13.7,8,2.4,-9.5,-10.1,-21.7
2011,-24.3,-17.5,-14.4,-7,2.7,8,13.5,10,3.2,-5.6,-18,-22.3
2012,-21.3,-20.4,-10,-7.6,5.8,6.9,13.4,8.9,2.9,-6,-12.4,-15.4
2013,-20.8,-20.6,-11.2,-5.5,7.3,12.9,15.2,12.4,5.6,-6,-13.8,-18.1
2014,-23.1,-18.9,-10,-8.5,2.6,10.9,13.8,12.3,5.8,-5,-11.2,-15.4
2015,-12.8,-17,-16.4,-4.8,2.1,9.6,10.8,8.7,6.4,-1.6,-11.1,-16.6
2016,-12.9,-16.6,-13.5,-3.6,5.1,12.8,15.2,9.3,3.9,-9.2,-15.6,-16
2017,-20,-13.7,-11.9,-3.4,4.6,12.3,12.5,10.9,5.9,-10.4,-15.3,-22.7
2018,-19.9,-21,-19,-5.8,1.4,10.4,15.4,13.4,4.1,-8.9,-13.6,-22.6
2019,-22.7,-15.1,-19.5,-4.2,3.2,10.9,9.7,8.7,4.8,-4.1,-10,-13.8
2020,-19.5,-15.6,-11.5,-5.7,6.8,11,15.4,12.2,5.8,-6.1,-13.8,-14
2021,-25.8,-18.7,-18.2,-10.3,3.7,9.9,14.9,13.3,7.6,-7.1,-15.5,-16.4
2022,-23.8,-21.3,-10,-9.1,1.2,11.6,15.4,12.5,2.5,-2.4,-9,-14.3
2023,-26,-21.4,-15.1,-4.7,5.5,11.9,12.3,10.5,5.5,-8.4,-14,-19.3
2024,-17.6,-20.5,-15.2,-9.5,2.7,10.2,12.7,11.9,4,-8.8,-12.8,-25.1
2025,-23.7,-13.7,-11.6,-5.4,0.9,11,13.2,10,2.1,-8.1,-13.1,-16
2026,-17.8,-21.6,-15,-6.8,2.8,11.9,11.5,9.1,4.2,-10.6,-20,-18.9
