"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-20.4,-25.5,-24.1,-12.7,-1.8,10.1,9.6,8,3.8,-9.5,-14.7,-23.8
2007,-22.5,-23.7,-26.3,-16.8,-3.4,6,9,10.3,0.4,-8.6,-15.9,-25.1
2008,-28.4,-26.6,-25.3,-19.4,-1.6,8.4,13.2,8.3,-0.9,-12.3,-21.7,-22.2
2009,-26.7,-29.6,-15,-13.7,-0.6,9.8,10.4,9,2,-5.2,-14.9,-23.4
2010,-22.2,-21.8,-20.2,-10.7,0.4,9.9,13.5,9.8,4.3,-8.2,-20.1,-22.8
2011,-22.2,-18.6,-22.2,-13.5,0.9,8.6,10.4,9.6,1.2,-7.7,-16.3,-17.6
2012,-25.5,-23,-24.7,-13.4,-1.5,8.1,10.7,8.5,1.4,-12.6,-15.8,-23.4
2013,-27.8,-20.3,-19.7,-17.5,0.5,8.2,13.8,10.2,0.7,-8.2,-15.3,-21.2
2014,-28.9,-22.7,-21.1,-7.8,-2.7,7.3,13.4,10.5,1.9,-11.1,-22.2,-26.4
2015,-25.9,-28.9,-22,-9.3,-0.3,9.1,13.1,9.5,2.1,-7.9,-11.1,-22.4
2016,-25.2,-25.8,-26.2,-13.5,-1.6,8.2,9.2,9.2,2.4,-8.9,-14.1,-28.6
2017,-30.1,-21.5,-22.3,-11.6,-0.5,10.2,13.6,10.3,4,-6,-9.1,-20.2
2018,-16.7,-29.2,-22.5,-10.5,-1.2,10.4,9.2,6.7,-0.4,-12.5,-18.3,-18.3
2019,-17.3,-19.6,-22.6,-10.6,2.2,11.4,11.8,9.5,4.3,-6.3,-13.3,-21.6
2020,-17.3,-20.7,-21.7,-16.8,-1.4,10.3,13,11.1,5.6,-7.7,-18.6,-25.9
2021,-19.2,-20.5,-21,-10.6,0.5,9.9,12.4,10.3,3.7,-9.7,-12.6,-26.8
2022,-25.5,-27.5,-19,-11.2,-1.9,8.4,13,8.5,3.8,-9.4,-21,-24.1
2023,-17.9,-28.7,-22.8,-11.3,0.6,8.3,10.1,7.6,4,-7.6,-13.2,-22
2024,-24.1,-23.6,-20.5,-14.5,1.6,8.7,10.9,7.9,1.5,-9.1,-14.4,-16.5
2025,-17.1,-25.4,-25.4,-10.9,-4.2,8.9,13.3,9.9,3.4,-3.7,-18,-15.8
2026,-19,-28.6,-22,-11.8,-0.6,8.5,12.9,8.8,1.7,-12,-15,-17.8
2027,-18.4,-19.3,-20.5,-10.4,2.5,7.8,13.3,10.2,2.1,-7.1,-14.7,-21.2
