"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-15.6,-20.4,-17.2,-8.8,0.9,10.7,10.9,8.3,5.6,-5.7,-10.1,-19.5
2007,-16.2,-17.5,-19.7,-11.9,0.2,7.5,9.3,10.6,2.5,-4.8,-11.3,-19.5
2008,-23.8,-22.5,-18.6,-15.1,1.5,9.5,12.6,8.5,1.2,-8.9,-17,-18.3
2009,-22.5,-26.4,-9.5,-8.3,2.6,10.2,12.1,9.6,3.7,-2.5,-9.9,-19.5
2010,-17.5,-16.2,-13.1,-7,3.5,10.4,13.1,10,5.9,-5.3,-14.3,-17.5
2011,-16.8,-12.9,-17,-7.9,3.6,9.6,11.3,10.1,2.6,-4.7,-12.9,-14.5
2012,-18.8,-19.7,-19.7,-8.3,1.5,9.4,10.3,9.3,2.6,-9.4,-11,-19.1
2013,-23.3,-15.1,-14.3,-11.7,2.7,9.6,13.5,10.5,2.5,-5.6,-12.3,-17.3
2014,-24.5,-17.9,-15.2,-3.8,1.9,9.1,13.6,11.3,3.5,-8.4,-18.1,-23
2015,-22,-23.4,-15.8,-4.5,3.3,11,14.1,10.3,4.1,-4.1,-6.9,-16.6
2016,-20.5,-19.5,-19.7,-6.9,1.7,9.5,10.7,10.4,4.6,-5.4,-9.2,-23.4
2017,-25.7,-15.6,-15.5,-7.4,3.4,11.2,13.3,10.7,5.4,-3.3,-5.4,-15.6
2018,-12.3,-24,-16.5,-6.8,1.9,10.9,9.7,7.8,1.3,-8.7,-12.8,-13.8
2019,-12,-14.3,-18.1,-5.6,4.7,12,12.6,10.1,5.8,-3.7,-9.8,-16.6
2020,-13.1,-15.1,-14.6,-10.3,2.8,10.6,13.6,11.7,6.7,-5.2,-14.1,-21.2
2021,-15,-15.3,-15.6,-5.5,3.5,11.1,12.2,10.7,5.7,-6.5,-8.9,-22.2
2022,-22,-20.6,-12.8,-6.1,1.9,9.4,12.5,9.6,5.4,-6.1,-16.6,-20.1
2023,-13.6,-23.1,-16.1,-7.3,3.1,9.1,11.3,8.7,5.7,-5,-9,-16.9
2024,-19,-19.2,-15,-9.7,4.3,9.7,11.1,8.7,3,-5.8,-10.6,-12.2
2025,-12.6,-19.8,-18.3,-5.2,0.2,10,12.7,10,5.1,-1.3,-13.3,-11.5
