"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-16.5,-19.2,-17.9,-8.4,1.7,10.3,10,7.5,3.9,-7.1,-13,-20.7
2007,-19,-19,-17.6,-9.8,1.3,7.2,9.3,10.3,1.4,-5.9,-14.5,-19.8
2008,-23.8,-20.9,-19.4,-13.6,2.2,10.2,12,7.7,0.1,-10,-19.8,-18.5
2009,-23,-23.6,-10.1,-7.7,2.6,9.9,10.9,8.9,2.5,-4.5,-12,-20.2
2010,-19.8,-17,-12.8,-6.2,3.3,10.5,13,9.3,4.5,-6.6,-16.9,-19.6
2011,-18.3,-14.1,-14.9,-7.9,3.5,9.7,10.8,9.2,1.7,-5.7,-14.8,-13.6
2012,-19.6,-19.5,-17.2,-7.1,2,10.2,10.1,9.4,1.3,-10.9,-12.6,-17.8
2013,-24,-15.5,-13.1,-9.8,3.1,9.1,12.5,9.5,0.2,-7.8,-15.8,-18.3
2014,-22.2,-17.7,-15.4,-3.7,2.6,9.1,12.3,10.1,1.5,-10,-19.7,-22.9
2015,-22.4,-23.5,-16.9,-3.8,3.3,11,13.2,9.5,3.4,-5.4,-9,-17.7
2016,-24,-19.5,-18.4,-7.1,1.8,9.8,10.2,9.5,3.6,-7.1,-12.8,-23.7
2017,-26.6,-16.5,-15.7,-5.9,2.8,11.3,12.3,9.9,4.4,-4.7,-8.1,-16.5
2018,-14.4,-24.2,-16.7,-6.2,2,11.2,9,6.9,0.2,-10.1,-14.5,-14.4
2019,-13.1,-12.7,-17.6,-4.8,5.8,11.8,11.6,9.6,4.4,-4.2,-12.4,-17.8
2020,-15.6,-17.2,-13.1,-8.3,3.1,10.9,13.1,10.3,5.5,-7,-16.9,-19.2
2021,-17.3,-17,-14.3,-5.6,4.4,11,11.4,9.7,4.2,-8.3,-10.1,-22.3
2022,-24.2,-20.5,-12.4,-5.8,2.4,9.4,12.2,8.7,4.3,-7.2,-18.8,-19.8
2023,-15.3,-22.6,-15.5,-7,3,9.3,10.8,8,5.1,-5.9,-11.1,-17.9
2024,-18,-20.6,-14.5,-8.1,4.7,10.1,10.7,7.7,1.9,-7.4,-15.2,-12.9
2025,-13.8,-20.8,-17.9,-4.5,0.2,9.9,12.4,9.1,4,-2.1,-16.7,-12
2026,-16.4,-22.4,-16.5,-7.6,2.5,9.8,12.2,8.6,1.8,-11,-11.9,-14.3
2027,-16.3,-14.9,-14.7,-4.8,4.6,8.7,13,10,2.4,-5.1,-12,-15.7
2028,-17.6,-23,-12.1,-8.3,3.7,8.9,12.8,10.3,4.4,-6.1,-11.6,-13.6
2029,-21.4,-23.4,-14.6,-6.4,1.8,10.1,11.6,10.7,4.8,-8,-16,-14.9
2030,-16.5,-19.1,-14,-3.5,3.5,10.7,12.6,11.7,4.3,-4.8,-18.2,-14.6
2031,-22.2,-22,-12.4,-7,5.5,10.8,11.7,7.7,2.3,-4,-14.9,-15.9
2032,-22.6,-14.4,-12.7,-6.2,4.4,9.5,12.6,9.3,6.5,-7.3,-8.7,-17
2033,-15.7,-20.4,-10.5,-5.7,3,11.9,12.6,9.1,5,-6,-9.5,-20.8
2034,-23.3,-16,-19.1,-7.8,4.8,9.9,11.8,9.3,1.2,-8.5,-16,-21.6
2035,-14.7,-16.8,-16.1,-12.9,1.7,8.5,11.7,9.7,2.1,-5.8,-15.9,-20.1
2036,-25.1,-12.8,-11.9,-8.5,3.3,12.1,13.1,11.4,6.1,-3,-14.4,-12.8
2037,-17.9,-21.4,-12.1,-6,1.9,13.3,13.6,7.7,0.1,-5.8,-14.6,-22.5
2038,-22.2,-18.6,-12.4,-3.3,0.6,9.5,13.9,9.8,1.8,-6,-12.8,-20.8
2039,-21,-22.6,-14.6,-5.7,2,8.9,12,9.7,3.9,-7.4,-18.1,-21.5
2040,-18.3,-18.5,-13.9,-8.1,2.1,9.3,13,7.8,2.6,-8.4,-14.5,-11.9
2041,-13,-16.2,-10.7,-10.1,2.7,10.5,12.3,10.5,2.8,-6.5,-12.2,-22.8
2042,-24.3,-21.8,-16.5,-7.7,-1.3,7.6,13.5,9.8,1.1,-6,-13.7,-13.8
2043,-27,-16.6,-11.7,-5.5,5.4,11.2,13.3,10.1,3.7,-6.2,-16,-15.7
2044,-16.6,-23.1,-11.5,-5.6,3.5,10.4,12.1,10.5,3.2,-5.5,-18.1,-16.8
2045,-20.5,-24.6,-17.1,-4.7,3.7,12.2,10.8,9.4,3,-10.7,-12.6,-14.1
2046,-14.5,-20.4,-15.7,-8.5,1.7,9.8,13.5,9,1.4,-8.6,-15.8,-13.1
2047,-17,-22,-15.3,-5.1,4.6,12.2,10.9,9,1.2,-8.8,-12.5,-17.4
2048,-24.3,-19.4,-13.3,-8.6,1.7,12,13.5,10.8,1.8,-6.4,-10.2,-15.9
2049,-19.8,-14.7,-19.7,-11,1.7,11.9,10.5,8.3,5.2,-8,-16.3,-21
2050,-26.1,-23.4,-12.4,-3.7,0.2,11.8,11.7,9.7,1.7,-6.9,-11.6,-12
2051,-9.8,-15.6,-10.4,-4.2,3.3,10.7,11,7.9,2,-10.7,-12.7,-21.5
2052,-17.6,-16.7,-9.2,-6.2,3.2,11.1,12.5,10.7,4.9,-6.9,-14.1,-17.1
2053,-17.3,-16.1,-10,-3.7,3.9,10.1,11.2,9.9,4.8,-4.9,-11.4,-10.8
2054,-14.3,-15.5,-14.7,-3.8,5.5,10.7,13.4,8.8,3.1,-2.9,-15.5,-13.4
2055,-22.7,-24,-12.7,-3.6,5.4,10.2,12,9.1,4.8,-5.3,-13.8,-19.9
2056,-15,-21.9,-14.3,-5,5.1,11.3,11.8,9.6,5.1,-6.2,-13.4,-12.9
2057,-23,-17.8,-13.5,-10.5,2.6,11.5,12,9.7,5.2,-5.5,-12.6,-20
2058,-14.8,-19.2,-12.8,-9,5.1,11.3,12.1,10,5.4,-4.4,-10.2,-18.4
2059,-21,-17.7,-15.9,-7.8,3.1,10.4,11.5,11.9,1.9,-9.1,-16,-13.6
2060,-13.5,-12.9,-11.2,-3.9,4.8,11.1,13.7,10.5,6.4,-5.9,-8.5,-12.9
2061,-14.5,-10.4,-9.9,-4.9,2.5,10,13.3,10.6,3.5,-6.6,-17.3,-17
2062,-17.3,-17.6,-14.1,-8.8,3.6,10.9,13.4,10,4.1,-7.4,-15,-14.1
2063,-21.1,-13.2,-11.8,-3.2,3.1,11.6,13.4,8.1,4.4,-3.4,-9.9,-16.3
2064,-14.3,-13.3,-19.7,-5.7,5.5,11.8,13.2,9.9,4,-7,-11.7,-12
2065,-19.4,-20,-15.2,-9.2,2.6,9,9.9,9.4,4.1,-7.6,-16.4,-8.5
2066,-21.9,-14.2,-15.4,-3.9,4.3,11.1,12,10.3,3.3,-4.2,-7.9,-12
2067,-15.9,-13.8,-11.1,-6.3,3.1,10.2,14.2,11.4,6.2,-4.6,-10.6,-13.4
2068,-18.2,-19.6,-14.1,-5.2,3.7,9.8,11.7,9.7,6.2,-6.7,-9.5,-19.3
2069,-24.3,-14.2,-11.9,-9.4,1.9,11.7,12.6,10.3,4.3,-4.5,-12.1,-15.7
2070,-15.7,-14.3,-17.7,-2.3,4.6,11.4,12.9,11.2,5.9,-3.5,-11.3,-10.7
2071,-19.4,-19.7,-11,-3.5,6,13.7,12.8,9.9,3.5,-5,-15,-16.4
2072,-12.3,-20,-10.7,-5.1,7.9,11.6,12.4,12.8,6.9,-5.9,-5.3,-12.7
2073,-19.6,-15.2,-11.1,-6.2,3.4,12.2,12.8,10.6,3.5,-2.7,-2.9,-11.6
2074,-15.7,-11.6,-9.4,-2.6,6.3,12.9,15,11,5.2,-5.3,-11.5,-11.5
2075,-18.3,-13.9,-13.4,-5,2.3,12.9,12.8,10.9,6.2,-2.8,-7.7,-14.6
2076,-21.9,-22.3,-10,-4.5,5.2,9.7,10.4,8.3,5.1,-3.6,-10.3,-16.5
2077,-16.3,-17.7,-11.2,-4.5,4.5,11.5,13.2,11.4,3.1,-3.9,-7.1,-12.8
2078,-16.7,-20.1,-16,-11.2,3.3,9.3,12.4,10.5,3.4,-5.4,-10.5,-16.4
2079,-17.9,-15,-12.6,-2.6,5,13.8,11.4,8.1,4.7,-3.7,-7.6,-19.7
2080,-15.9,-13.6,-12.7,-4.8,4.5,10.7,13.2,10.9,4.4,-3.2,-7.1,-12.6
2081,-21.3,-14.4,-10.4,-7.1,3.4,11.1,13.6,9.6,6.7,-1.9,-9.6,-15.3
2082,-13.3,-11.4,-14,-3.3,5.8,9.7,13.8,11.5,4.9,-3.6,-13.4,-16.4
2083,-21.4,-22,-14.8,-4.8,3,11.7,13.4,9.7,5.9,-5,-14.7,-16.8
