"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,13,31,23,31,20,25,60,51,31,46,20,16
2007,26,17,12,8,23,39,33,73,45,35,18,13
2008,20,15,11,9,31,26,37,85,69,31,13,30
2009,12,14,12,19,22,28,45,52,47,48,21,44
2010,18,17,11,7,16,8,48,76,56,35,18,24
2011,22,33,24,12,10,34,50,55,44,36,20,22
2012,9,12,13,14,19,18,35,71,81,52,20,33
2013,9,9,27,12,21,24,54,63,50,54,14,27
2014,12,11,12,31,36,32,38,86,74,37,35,22
2015,10,16,23,11,24,20,50,64,46,36,11,20
2016,28,13,18,13,19,32,42,68,49,19,21,29
2017,9,17,10,8,23,27,49,84,44,36,17,20
2018,11,13,26,25,22,21,59,85,55,30,28,38
2019,23,13,11,12,13,33,82,77,71,29,33,27
2020,18,14,24,8,27,26,49,91,25,33,22,19
2021,15,18,39,9,24,32,38,87,51,48,32,33
2022,10,11,33,16,14,31,62,103,51,53,36,15
2023,16,28,11,13,16,21,50,61,20,33,21,19
2024,11,11,5,10,13,39,38,133,48,30,36,30
2025,18,14,8,13,11,34,35,100,45,50,28,14
2026,23,23,15,16,12,18,39,62,52,38,17,15
2027,15,14,21,14,23,22,57,85,57,25,30,24
2028,12,11,22,21,17,39,47,88,28,31,10,21
2029,33,19,10,15,10,34,59,98,61,44,24,27
2030,23,17,29,17,21,20,57,23,68,36,19,20
2031,18,21,19,18,8,24,58,76,47,61,27,21
2032,12,7,7,14,11,17,57,58,53,53,27,28
2033,23,14,34,15,18,34,46,61,52,44,25,29
2034,16,20,26,20,14,39,50,72,34,45,15,39
2035,25,12,18,20,9,22,47,98,47,55,23,23
2036,29,15,10,11,10,18,77,85,46,24,38,24
2037,17,29,7,17,21,27,53,59,36,16,29,28
2038,14,15,13,13,25,22,47,87,39,23,27,19
2039,11,23,11,8,13,15,58,70,49,26,18,13
2040,19,13,9,14,17,29,34,69,64,35,32,27
2041,14,14,18,13,16,18,34,43,35,41,22,7
2042,6,11,18,28,19,12,20,64,33,35,25,17
2043,4,12,8,14,7,15,35,62,70,24,25,12
2044,24,13,31,17,22,19,50,139,57,19,19,18
2045,16,18,24,12,17,29,47,92,65,34,25,21
2046,16,22,12,27,29,21,73,68,32,30,18,23
2047,16,21,31,19,19,15,53,72,58,32,30,21
2048,21,17,14,17,6,42,68,86,48,30,12,21
2049,23,15,20,6,16,39,68,123,67,53,20,20
2050,28,9,18,23,18,34,19,26,28,46,19,42
2051,22,19,22,18,8,29,73,45,69,36,16,22
2052,16,18,13,18,20,23,40,88,62,26,29,41
2053,14,13,21,8,20,39,74,76,57,26,32,20
2054,18,31,15,18,34,27,63,124,44,55,35,40
2055,20,25,24,31,13,30,81,92,67,66,35,21
2056,13,11,13,12,18,26,63,56,64,30,34,39
2057,11,21,22,15,16,23,42,93,64,49,24,23
2058,19,12,17,14,20,31,50,80,69,59,31,24
2059,37,30,24,18,12,20,46,93,63,55,16,26
2060,18,10,27,8,26,21,47,74,35,50,20,16
2061,33,28,30,31,17,33,64,38,33,46,35,28
2062,24,25,28,24,24,39,51,65,59,64,41,59
2063,30,17,14,12,35,27,31,55,58,25,18,24
2064,20,14,30,7,26,40,54,89,57,53,22,33
2065,28,12,29,15,24,24,57,71,33,47,21,46
2066,30,26,23,15,39,45,68,90,74,23,42,45
2067,36,20,35,21,17,35,32,111,53,19,24,19
2068,19,20,17,20,27,30,64,61,56,35,30,16
2069,14,17,11,15,14,33,81,108,56,40,28,20
2070,18,29,21,18,14,24,43,81,60,55,24,21
2071,17,15,20,26,18,35,55,89,47,35,27,31
2072,23,34,15,15,15,30,51,82,47,47,37,30
2073,18,17,18,27,18,22,40,74,74,49,27,27
2074,27,12,7,24,37,26,58,89,67,55,30,22
2075,27,15,17,23,21,36,55,64,41,29,22,22
2076,17,11,9,18,22,28,65,93,69,44,28,18
2077,14,8,12,18,28,36,67,77,70,62,20,19
2078,24,16,13,16,20,28,56,91,29,34,13,23
2079,13,27,13,10,19,13,71,91,88,44,23,39
2080,46,12,14,21,13,34,58,107,35,20,35,25
2081,23,18,12,8,18,24,46,71,37,45,35,25
2082,15,19,31,32,30,41,59,87,52,38,18,44
2083,18,14,13,21,15,14,67,64,46,40,30,25
2084,11,26,20,27,31,42,61,74,63,67,37,48
2085,47,19,21,8,21,59,67,77,80,43,23,43
2086,24,18,10,13,8,21,48,71,37,42,39,27
2087,22,17,15,14,30,12,55,93,70,49,31,27
2088,11,33,21,18,23,21,76,62,94,29,34,43
2089,19,21,16,21,19,35,67,93,69,41,22,29
2090,21,28,20,25,24,34,65,77,46,53,37,47
2091,36,22,34,28,21,24,75,108,59,39,15,29
2092,24,20,44,22,12,23,44,119,40,53,16,18
2093,12,18,24,10,18,21,63,79,59,25,30,27
2094,26,30,35,29,20,42,76,79,72,48,39,55
2095,13,19,27,29,17,40,61,89,71,35,20,19
2096,16,14,25,33,39,30,64,118,54,35,32,24
2097,18,24,23,25,15,20,75,134,73,43,33,39
2098,11,35,16,13,18,32,71,94,88,35,40,47
2099,28,11,20,14,22,37,39,107,72,54,32,22
2100,42,15,19,17,26,19,49,97,57,32,26,28
