"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-19.3,-8.6,-5.1,-5.3,4.8,11.2,13,10.1,8.2,-3.4,-13.1,-21.8
2007,-19.1,-8.6,-18.1,0.5,5.3,10.3,16.4,11.1,7.6,-4.1,-17.2,-21.4
2008,-11.5,-13.8,-7.8,-0.1,8.8,12.1,14.6,11.9,5.2,-3.8,-16.2,-18.6
2009,-16.5,-10.3,-11.7,1.1,6.2,12.8,17.3,16.2,6.5,-1.2,-16.1,-11.1
2010,-20.8,-9.9,-15.5,-3.7,6.8,17.5,15.9,16.2,9,-0.7,-8.4,-23.5
2011,-18.9,-12.2,-8.9,-1.4,7.5,15.8,16.9,13.2,7.5,-2.2,-11.1,-17.9
2012,-17.2,-10.5,-14.3,-1.1,6.1,17.6,18.8,11.6,7,-1.2,-13.2,-12.3
2013,-25.5,-13.1,-10.3,-1.3,9.2,13.7,14.9,11.9,7,0.3,-15.2,-18.1
2014,-14.2,-14.8,-11,-0.9,7.5,14.1,16.9,12.7,8.1,-1.3,-11.4,-22
2015,-24.9,-12.6,-10,-3.6,4.1,11.5,13.5,9.7,6.4,-5.3,-12.9,-23.9
2016,-23.6,-12.1,-10.9,1.7,4.7,9.9,14.5,14.1,5.7,-8,-15.2,-19.9
2017,-17.8,-7.7,-6.4,-2.4,7.4,13.1,14.5,11,5.8,-2.6,-16.4,-21.6
2018,-23.7,-11.5,-10.6,-0.8,4.4,10,12,12.3,5.8,-2,-10.3,-12
2019,-11.2,-18.3,-10.7,0.6,7.8,13.1,14.1,11.2,7.6,-4.1,-12.7,-18
2020,-15.3,-11.6,-2.2,-4.8,6.7,11.5,15.1,12.9,7.9,0,-4.1,-20.2
2021,-20.8,-4,-3.3,-2.5,7.5,12,13.7,12.4,6.2,-0.4,-11.7,-15.7
2022,-19.3,-15.8,-2.7,0.6,6.5,13.8,15.7,12.2,5.3,-2.3,-13.2,-18.6
2023,-17.7,-11.8,-5.8,-3.8,8.3,11.7,14.9,12.9,5.2,-4.3,-16.2,-15.5
2024,-17.1,-12.1,-5.2,-4.8,9.4,11.6,16.2,14.4,6.3,-3.5,-9.2,-16.7
2025,-8.5,-14.9,-5.9,1.7,8.9,13.2,15.2,13.2,7.5,0.1,-11.5,-17.6
2026,-10.4,-6.4,-9.3,2.6,8.2,17.9,15.7,12.9,7.6,-1.6,-9.8,-18.8
2027,-19.6,-11.1,-5.6,1.3,6.6,14.1,15.8,10.8,6.4,-5.5,-11.4,-20.5
2028,-19,-17.5,-6.6,0.3,7.4,10.8,13.8,13.4,6.9,-2.4,-12.2,-17.5
2029,-13.3,-13,-13.5,-1.8,7.5,11.4,14.7,13,7.3,1.3,-8.1,-8.9
2030,-13.4,-6.3,-6.5,-4.3,6.7,13.4,17,18.3,9,-4.8,-14.2,-11.1
2031,-14.6,-7.2,-8,-2.7,9.8,18.4,15.1,13.7,6.1,2.3,-5.6,-16.3
2032,-18.5,-12.3,-10.8,-4.3,5.9,16.2,12.3,10.2,7,0,-7.9,-15.3
2033,-10,-5.1,-10.6,-0.7,9.5,13.4,16.1,15.4,5.6,-2.1,-10.8,-17.4
2034,-15.8,-10.9,-10.3,0.6,9.2,11.8,17.2,16.5,7.2,1.8,-10.3,-8.3
2035,-21.8,-8.2,-7.5,2.7,12.3,17.5,16.9,13,9.5,1.3,-7.4,-12
2036,-9.8,-5.3,-7.7,-2.4,10.2,18,13.3,12.2,8.8,-1.3,-5.6,-12.5
2037,-13.6,-11.9,-14.6,-3.7,7.6,17.1,17.2,12.6,6.3,-3.8,-7.8,-7.5
2038,-20.3,-9.5,-13.6,3.4,10.1,18.1,14.5,11.6,7.1,1.2,-4.8,-16.9
2039,-21.9,-8.1,-2.7,1.9,10.5,19,15.1,10.3,5.8,-2.3,-3.3,-13.8
2040,-16.2,-10.1,-11.8,-0.7,9,12.3,20,13.6,6.8,-0.4,-5.2,-8.6
2041,-17.4,-6.3,-2.8,5.2,11.1,17.7,18.4,13.6,8.4,-2.7,-12.1,-24.4
2042,-23,-17,-10.9,-2.6,7.2,18,20.8,14,7,1.9,-10.3,-14.6
2043,-23.1,-11.7,-11.3,3,12.5,20.8,19.6,13.7,8.4,-0.5,-9,-21.6
2044,-9.4,-8.5,-0.1,1.7,8.5,20.4,19.8,14.9,8.1,-2.3,-4.5,-12.9
2045,-10.1,-9,-2.5,-2.9,9.7,15.7,18.5,13.5,7,-2.7,-8.2,-20.2
2046,-14.7,-4.6,-7.2,-3,4.7,13,16.5,13.5,6.1,2.5,-10.5,-15.6
2047,-13.8,-12.8,-3.5,-0.7,9.4,14.6,16.4,15.2,10.2,1.4,-9.7,-14.5
2048,-13.9,-12.3,-7.4,4.2,13.4,16.1,15.3,12.5,8.2,0.4,-9.5,-19.7
2049,-9.7,-7.8,-5.6,0.8,9.4,15.3,15.3,14.6,10.1,0.2,-11.1,-14.7
2050,-16.4,-17.2,-7.2,2,9.1,16.2,20,17.7,9.9,-1.3,-13.1,-14.5
2051,-12.2,-7.6,-3.2,-4.5,8.1,13.6,15.1,12.8,7.5,-1.8,-12.3,-19.5
2052,-22.3,-12.5,-11,2.9,10,17.5,16.4,12.8,6.2,-1.6,-8.7,-10.5
2053,-19.6,-11.6,-5.7,4.2,8.1,12.5,13.4,12.6,11.2,0.3,-6.9,-22.8
2054,-18.6,-8.2,-10.8,-2.3,8,14.3,15.7,13.2,6.1,0.5,-9.6,-14.5
2055,-16,-12,-8,-0.9,9.8,13.5,13.9,13,8.7,0.2,-11.7,-11.9
2056,-14.4,-11.3,-8.2,3.6,14,19.6,19.4,16,12.5,0.5,-4,-8.3
2057,-19.2,-9.1,-9.1,-1.5,11.7,16.4,21.2,15.9,8,-0.7,-8.4,-11.9
2058,-10.4,-5.2,-0.1,3.8,13.8,19.8,18,15.7,11.3,3.7,-3.8,-6.6
