"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-17.8,-10.8,-8.7,-9.9,1.3,8.4,11.2,9.1,6.8,-4.7,-11.7,-24.2
2007,-20.2,-13.5,-22,-5.6,0.8,6.3,14.3,9.3,5,-6.3,-17.3,-21.6
2008,-12.3,-15.8,-17.6,-8.3,2.9,10.6,12,9.6,3.3,-4.7,-15.6,-19.7
2009,-17.3,-12.4,-14.3,-4.5,1.5,8,14.1,13.5,5.6,-2.4,-14.6,-12.1
2010,-18.2,-13.1,-19.6,-12.6,1.5,12.1,12.6,13.6,6.5,-2.6,-8.1,-21
2011,-21.1,-14.5,-13.8,-6.1,3.4,12.9,14.4,11.8,5.5,-3.8,-11.5,-15.3
2012,-17.8,-18.8,-16.5,-7,1.1,12.9,16.1,10,5.7,-1.6,-11.5,-11.4
2013,-22.4,-14.6,-17.1,-7.5,4.5,9.4,13.1,9.8,5.5,-1.8,-11.8,-19.4
2014,-15.4,-19.3,-18.3,-6.5,2.3,11.8,14.5,10.8,6.4,-3.6,-8.5,-22.5
2015,-24.6,-17.7,-13.6,-10.7,-0.9,8.3,10.6,7.8,4.4,-7.4,-16.2,-24.6
2016,-21.5,-15.8,-15.2,-4.2,0.3,6.9,12,12.5,4.2,-6.6,-15.3,-22
2017,-18.4,-10.7,-11.6,-9.1,3.1,10.3,13.2,9.2,4.1,-4.7,-14.6,-24.4
2018,-24.1,-11.8,-14.3,-6.1,0,7,9.7,10.6,4,-4.1,-8.8,-15.8
2019,-11.6,-21.7,-16.2,-5.5,3.1,10.1,11.3,9.3,5.8,-4.9,-11.5,-19.8
2020,-11.9,-12.2,-6.5,-8.4,2.1,9.4,13.2,10.8,5.2,-1.9,-4.6,-18.6
2021,-19.8,-7.7,-6.5,-7.6,2.5,9.2,12.3,10.9,4,-2.5,-9.2,-15
2022,-17.5,-18.8,-6.2,-3.7,2.4,10.1,12.5,10.1,4.4,-3,-10.5,-18.2
2023,-15.9,-13.1,-10.4,-11.2,2.6,8,12.7,11.1,3,-4.7,-15.5,-16.2
2024,-18.2,-17.8,-9.9,-10.7,4.4,8.5,13.9,12.1,4.4,-5.3,-6.9,-13.1
2025,-8.3,-20.5,-9.8,-4.6,4,10.8,13.2,11.1,6.1,-2.1,-10.7,-20.9
2026,-10.7,-12.3,-15.1,-3.8,3,13.4,13.8,11.1,5.5,-2.8,-9.5,-19
2027,-19.4,-13.4,-11,-6,2.5,10.5,13.3,8.7,4.9,-5.1,-9.2,-21.5
2028,-17.7,-19.5,-10,-5.1,2.8,8.2,11.4,12.1,4.7,-5,-15.5,-18.5
2029,-13.7,-11.4,-15.6,-6.4,3.3,9.4,12.6,11.2,5.7,-0.9,-8.4,-12
2030,-14.5,-8.6,-11.9,-10.2,1.8,10.8,13.9,16,7.1,-5.6,-15.2,-14.7
2031,-13.5,-10.3,-11.7,-8.1,3.3,13.3,11.7,11.3,4.3,-0.4,-7.3,-17.4
