"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-22,-16.6,-18.7,-7.4,1.3,10.7,11.8,7.6,5.7,-5.2,-13.2,-19.1
2007,-17.4,-22.1,-13.3,-11.2,1.4,8.9,12.5,9.6,6.1,-4.5,-13.4,-15.9
2008,-18.6,-20.7,-14.7,-11.3,0.9,10.1,12.7,11.4,7.2,-3.5,-9.2,-14.4
2009,-22.3,-18.2,-12.8,-4.1,1.3,11.2,13.1,12,5.9,-4.2,-12.3,-18.6
2010,-11.4,-23.9,-16.8,-5.8,3.8,11.8,12.4,11.6,4.5,-6.4,-11.4,-23
2011,-15.3,-17.4,-15.6,-5.7,1.6,9.4,13.7,9.7,3.5,-7.2,-10.8,-16.3
2012,-19.6,-22.7,-14.5,-8.8,2,9.9,12.8,10.9,3.5,-5.4,-11.2,-15.1
2013,-21.7,-24.4,-18.8,-5.7,2.2,11.6,13.8,11.7,8.1,-1.8,-5.4,-11.3
2014,-15.8,-23.2,-22.9,-8.6,3.3,9.2,13.4,11.2,3.3,-4,-11.6,-11.4
2015,-17,-24.3,-16.6,-11.7,0.6,8.1,11.9,9.7,5.7,-2.9,-8.8,-18.8
2016,-16.2,-18.2,-12.1,-5.1,4.5,13.6,16.6,14.1,6.6,-2.9,-8.6,-12
2017,-16.2,-20,-13,-8.2,0.2,11.1,14.2,12.6,6.7,-5,-6.9,-9.8
2018,-15.2,-14.8,-13.4,-5,2.8,12.3,13,9.6,2.2,-6,-9,-12.5
2019,-14,-15.3,-19.6,-11.7,3,12.9,13.3,11.3,7.2,-4.1,-8.9,-11.7
2020,-15.9,-15.9,-14.9,-9.7,-1.1,9.9,14.5,13.6,6.2,-3.8,-10.8,-19.4
2021,-21.9,-21.1,-17.2,-9.6,1,9.9,12.1,9.2,5.6,-7.1,-14.5,-14.5
2022,-17.4,-15.7,-10.5,-10.9,4.2,12.4,13.6,10.5,6.3,-5,-10.4,-17
2023,-17.8,-11.4,-11.9,-11,3.5,11.6,14.6,11.6,7.1,-2.6,-12,-17.4
2024,-20.1,-14.2,-17.6,-9.6,3.5,11.7,14.8,12.8,6.6,-4.3,-12.4,-14.3
2025,-20.4,-18.8,-14.3,-11.1,2.1,11.7,12.7,12.3,6.2,-2.7,-8,-13.9
2026,-15.8,-17.8,-13.5,-4.1,5.5,12.7,15.1,13.8,8.7,-2.5,-2.3,-12.7
2027,-12,-17.1,-15.9,-4.3,1.8,10.7,16.2,14.7,6.8,-3.8,-7.4,-23.3
2028,-21.6,-17.1,-21.6,-7.8,1.4,11.6,13.6,10.8,7.2,-0.2,-12.9,-15.7
2029,-15.4,-16.2,-15.3,-2.8,3.1,11.2,14.7,10.6,4.6,-4,-8.3,-10.7
2030,-16.9,-19.4,-14.3,-4.4,6.2,10.9,16.5,15.1,7.9,-2.7,-8.5,-15.1
2031,-16.1,-17.6,-19,-12.6,1.4,11.4,13.3,12,6.3,-3.5,-11.6,-15.1
2032,-16.6,-16.3,-10.8,-7,1.8,11.7,13.7,14.5,8.2,-2.6,-9.1,-11.4
2033,-12.7,-14.9,-13.8,-3.4,1.3,12.1,16.2,11.5,5.7,-3.4,-9.2,-16.5
2034,-14.1,-23,-16.9,-10.7,-2.1,10.3,12.5,10.5,4.6,-4,-9.7,-14.7
2035,-14,-16,-14.2,-4.9,5.3,12.3,14.6,14.9,8.9,0.4,-4.3,-9.5
2036,-15.7,-13.2,-12.5,-5.2,5.8,11.6,17.1,12,7.9,-1.6,-9.5,-14.7
2037,-16.2,-13,-11.4,-8,2.2,11.7,16.6,13.3,6.3,-2.9,-7.2,-17
2038,-9.1,-14.1,-14.2,-5.8,4.3,12.5,15.2,13.6,8.7,-2.1,-7.8,-9.5
2039,-10,-16.4,-6.4,-6.4,5.3,12.9,14.2,14.4,6.5,-3.1,-8.8,-11.7
2040,-19.9,-13.5,-12.5,-7.4,4.4,14.5,15.8,12.8,7,-2.7,-6.9,-12.7
2041,-11.2,-17.6,-9.1,-5.7,4.6,13.6,15.7,11.6,8.5,-2.2,-6.6,-11.3
2042,-11.3,-15.6,-16.8,-7.4,3.7,12.6,16.6,13.2,7.4,-3.8,-7.1,-13.2
2043,-10.7,-13.4,-15.8,-6.1,3.3,12.9,14.8,11.2,9.2,-2.4,-7.4,-10.2
2044,-10.5,-11.5,-6,-1.4,3.2,14.4,18,13.4,8.5,-0.5,-8.7,-9.6
2045,-12.4,-14.6,-13.1,-5.9,5.8,13.2,16,13.7,7.5,-1.8,-7.4,-8.9
2046,-9.3,-15.1,-8.2,-4,6.4,13.9,16.3,13.6,7.3,0.4,-7.8,-12
2047,-9.2,-11.1,-6.4,-4,4.5,14,15.9,15.1,9.7,-2,-5.6,-8
2048,-9.4,-14.4,-9.1,-3.1,6.6,13.9,17.4,13.9,9,0.7,-6,-8.9
2049,-8.5,-18.3,-11.5,-3.7,4.2,11.8,13.9,11.4,7.5,0.6,-6.3,-13
2050,-9.2,-15.3,-12,-1.4,6.6,14.7,17.9,14.4,7.3,-1,-3.1,-8.6
2051,-8,-14.4,-12.5,-3.6,8.1,15.2,17.1,14.6,9.3,2.8,-7.4,-11.1
2052,-9.4,-17,-11.4,-7.9,3.8,14,15.1,14.7,10.8,-1.9,-5.1,-5.8
2053,-13.4,-8.1,-10.1,-4.1,5.2,13.8,17.8,13.2,8.6,-0.5,-6.9,-6.3
2054,-14.6,-18.3,-11.9,-3.7,6,14.6,15.6,14.2,9.1,-1.8,-6.8,-11.4
2055,-11.7,-11.9,-7.9,-1.7,7.6,16.4,17.2,12.4,9.1,1,-5.4,-7.3
2056,-7.1,-12.6,-8.8,-2.8,6.5,14.9,17.5,14.6,10.7,-1.6,-4.9,-9
2057,-9.5,-12.3,-14,-4.4,3.6,15.5,15.9,15.7,7.3,1.2,-6.4,-10.1
2058,-6.4,-14.5,-9.4,-3.4,6.4,15,17.5,13.9,9.9,-0.1,-5.3,-10.1
2059,-8.1,-9.5,-7.4,-3.3,4.7,14.6,16.8,15.1,8.7,3,-4.4,-8
2060,-12.7,-8.6,-9.9,-3.6,5.6,14.3,18.5,15.1,9,-1,-9.9,-11
2061,-8.5,-11.6,-8,0.6,4.6,15.4,17.8,16,7.8,-0.1,-3.6,-8.5
2062,-9.7,-8.2,-8.7,-0.9,7.4,14.5,17.9,17.9,9.5,-0.8,-3.7,-6.2
2063,-5.3,-9.3,-4.2,-1.2,7.7,16,18.2,15,8.9,-0.9,-5.5,-8.2
2064,-7.3,-7.2,-7.9,-4.5,7,14.9,16.4,14.6,10.9,-0.3,-5.3,-8.5
2065,-9.6,-9.5,-8.5,-2.6,8.2,15.4,18.3,15,10.9,1.4,-3.1,-4.6
2066,-8.1,-7.6,-7,-2.2,6.4,14.3,18.3,14.5,10.7,0.9,-4.9,-5.1
2067,-6.3,-9.8,-7.4,-3.6,9.2,16.2,18.3,17.6,9.3,1,-6,-7.2
2068,-6.8,-9,-10.8,-1.1,8.6,17.1,17.1,15.6,10.9,1.6,-5.4,-8.4
2069,-4.1,-8.4,-11.7,-3.7,5.9,14.9,17.2,14.3,11.7,1.3,-5.9,-10.5
2070,-10.8,-10.6,-8.7,-6.8,7,14.9,17.4,15.4,12,2.2,-3.1,-7.2
2071,-6.3,-8.7,-7.1,-0.6,8.6,14.4,18.2,13.9,8.7,-1.2,-1.4,-6.9
2072,-6.5,-7.7,-7.8,-1.2,7,14.5,19.1,14,9.9,1.3,-4.2,-6.9
2073,-6.7,-15,-3.9,-0.9,6.1,16.6,17.8,16.3,9.9,1.9,-1.7,-7.1
2074,-6.6,-9.9,-8.9,-3,6.3,15.2,18.8,16,11,-1.2,-4.2,-8.8
2075,-7.2,-8.4,-5.7,-0.3,7.4,14.7,17.8,13.1,9.4,1.6,-4.2,-6.7
2076,-8.9,-9,-7.2,-1.3,8.8,15.9,19.5,15,9.3,2.8,-2.3,-6.8
2077,-8.8,-13,-7.7,-2.5,6.4,15.9,18.9,17.5,11.6,3.8,-1.8,-5.9
2078,-5.4,-7.1,-7.1,-2.3,7.3,15.5,17.5,15.7,10,2.1,-2.4,-5.3
2079,-6.3,-7.6,-7.4,2.4,7.7,16.8,19,17.9,11.3,2.7,-2.9,-5.7
2080,-5.9,-8.3,-5.1,0.2,8.9,15.9,20.2,16.5,9.9,4.5,-3.7,-6.1
2081,-6.4,-11,-9.5,-1.7,4.7,16.6,20.5,17.5,10.8,3.1,-1.7,-2.9
2082,-8.2,-7.4,-5.2,-1.1,9.8,17.4,18.9,18.2,11.3,1.8,-3.3,-7.3
2083,-6.5,-7.1,-4,-1.5,7.2,18.7,19.1,16,12.4,2.1,-1.7,-4.3
2084,-4.7,-4,-6.4,0.2,7.5,18.6,19.5,15.9,10.8,2.4,-3.9,-6.8
2085,-9.6,-7.4,-1.7,-1.9,8.2,16.6,18.3,15.5,10.6,1.2,-3.2,-4.7
2086,-3.9,-7.7,-4.8,1.4,9.2,14.4,19.7,16,12,2.2,-1.6,-6.4
2087,-7.8,-4.9,-8.3,-2.2,5.3,17.9,19.9,16.6,13.7,4,-1.3,-5.8
2088,-2.2,-6.4,-6.1,1,7.3,17.3,19.6,15.9,11.5,2.7,-2.6,-3.9
2089,-5.6,-7.5,-2.9,2.3,7.7,17.3,20.2,19.3,12.7,2.9,-2.4,-5
2090,-4.2,-7.1,-7.4,-2.1,7.4,18.1,18.6,16.2,9.8,1.6,-5,-5.9
2091,-6.5,-7,-2.9,-0.9,7.6,16.1,20.8,19.7,11.8,2.6,0.4,-6
2092,-7.5,-5.7,-6.6,-0.2,9.8,18.5,20.1,15.4,12.3,5.4,-3.3,-3.5
2093,-3.7,-6.2,-5,-0.2,9.6,17.7,20.2,19.1,11.5,1.7,-1.3,-5.8
2094,-3.7,-4.2,-4.1,0.5,10,18.7,20.6,18.5,14.8,3.1,-2.1,-7.3
2095,-5.1,-6.1,-5.1,1.8,11.3,17.7,20.9,19.1,11.6,1.7,-2.2,-4.9
2096,-6.9,-4.8,-6.3,-2.2,9.4,16.5,20.5,16.9,13.4,2.5,-1.2,-8.2
2097,-5.2,-2.5,-4.7,-1.7,6.1,16.8,19.8,17.2,11.9,4.2,-0.7,-4.3
2098,-3.7,-6.7,-1.8,-0.7,10.9,20.1,22.6,16.4,12,4.3,-2.9,-5.1
2099,-3,-4.8,-0.4,2.7,11.6,16.8,20.4,16.7,14.4,2.4,0,-4.4
2100,-3.7,-5.5,-2.1,2.4,10.3,19,19.6,18.4,13.9,4.8,1.6,-6.1
