"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,34,34,39,19,33,56,88,111,47,43,65,35
2007,39,31,22,27,35,53,129,128,89,57,32,21
2008,25,30,24,18,31,49,86,145,80,45,33,34
2009,47,26,30,26,26,70,95,115,83,57,41,40
2010,47,25,25,17,26,77,75,100,48,54,31,43
2011,50,18,21,21,32,59,97,101,88,106,60,33
2012,46,51,20,24,27,64,88,80,71,49,32,38
2013,31,36,23,42,22,51,47,112,58,38,35,68
2014,39,28,28,21,32,39,81,72,110,73,35,32
2015,54,17,25,32,36,48,72,89,92,67,52,42
2016,47,25,44,50,44,69,73,79,67,38,56,36
2017,45,37,29,26,21,77,84,95,76,73,36,38
2018,55,30,33,15,26,53,111,106,102,76,46,66
2019,25,39,45,30,21,62,72,98,117,66,53,31
2020,31,26,21,22,25,47,109,131,106,44,59,52
2021,35,39,28,29,34,67,78,111,69,111,92,38
2022,44,22,29,26,31,77,96,98,93,59,50,37
2023,57,24,20,37,20,67,105,107,35,56,47,40
2024,40,46,19,34,35,46,73,89,67,48,56,66
2025,42,41,43,16,20,62,108,83,108,36,56,64
2026,33,35,31,28,36,52,99,100,85,58,68,44
2027,48,35,30,43,35,43,79,131,95,76,61,27
2028,62,42,22,27,28,58,115,111,65,73,39,36
2029,45,19,40,21,38,67,116,41,77,83,67,66
2030,46,35,22,27,24,46,88,69,86,84,61,55
2031,31,34,24,30,37,70,72,107,99,72,38,48
2032,43,15,44,23,24,67,115,98,88,60,49,50
2033,46,53,31,36,29,59,106,117,84,63,37,52
2034,29,20,18,20,36,67,81,114,51,37,33,54
2035,29,27,34,30,21,89,113,62,52,64,42,29
2036,21,44,29,21,27,71,125,89,57,67,65,59
2037,72,32,32,31,34,69,68,72,76,60,32,18
2038,45,27,19,37,22,63,128,138,95,76,30,43
2039,50,14,57,27,40,63,104,101,85,74,82,60
2040,27,29,33,33,46,77,121,135,84,107,78,59
2041,42,33,27,29,45,72,98,143,130,70,78,50
2042,66,31,44,37,33,63,82,134,93,66,35,36
2043,38,32,33,39,32,64,89,75,99,68,68,26
2044,41,32,45,36,20,63,99,80,104,47,41,70
2045,57,34,39,39,49,59,100,176,126,53,36,40
2046,46,33,28,29,49,67,82,96,72,61,47,38
2047,54,62,24,41,33,42,118,134,69,75,75,36
2048,32,16,29,32,41,60,94,101,91,67,51,38
2049,55,38,23,37,32,52,65,104,52,83,78,49
2050,50,33,33,23,34,66,151,131,84,96,61,46
2051,24,36,22,28,33,59,99,107,100,52,58,76
2052,41,32,31,22,23,69,82,92,79,57,53,37
2053,28,18,30,39,37,56,88,136,66,76,38,35
2054,40,25,31,28,31,73,115,114,76,83,46,60
2055,45,39,25,49,43,55,113,112,63,74,56,42
2056,33,34,41,52,54,70,76,65,82,29,47,28
2057,30,32,20,29,35,49,97,114,138,91,57,47
2058,51,22,27,38,23,51,124,81,91,93,51,46
2059,64,40,47,39,29,94,60,87,83,55,69,41
2060,58,45,33,34,47,58,87,92,62,64,51,40
2061,50,29,24,33,32,48,105,132,71,61,57,47
2062,48,43,40,25,27,73,74,97,124,51,43,57
2063,49,54,28,30,41,56,82,120,155,94,65,38
2064,31,30,31,28,28,49,111,71,94,64,46,26
2065,60,21,22,24,36,43,99,66,69,69,71,50
2066,84,48,39,39,41,55,127,83,103,85,93,48
2067,34,25,44,27,26,63,94,98,103,75,61,40
2068,48,14,52,27,31,53,110,54,84,86,32,47
2069,24,23,30,40,59,60,118,86,60,80,38,68
2070,57,35,48,29,39,79,118,86,80,55,42,36
2071,19,27,27,23,32,40,95,102,90,39,19,33
2072,38,41,38,20,46,64,117,125,76,68,56,59
2073,49,43,36,29,63,43,81,113,118,72,73,24
2074,54,25,48,23,32,65,119,80,113,48,35,42
2075,42,33,27,48,54,66,66,113,92,80,43,39
2076,38,52,53,29,39,75,63,121,80,78,49,67
2077,71,53,49,36,21,54,82,142,59,72,71,64
2078,84,28,32,27,33,94,95,96,69,67,26,29
2079,45,24,24,12,31,63,74,117,136,122,68,55
2080,61,42,47,32,44,67,81,83,105,89,53,30
2081,33,18,39,33,31,83,107,118,98,61,47,54
2082,35,41,39,40,56,64,80,94,71,108,54,44
2083,42,31,34,45,35,76,100,131,110,57,54,70
2084,68,41,32,32,32,83,94,66,86,74,71,58
2085,54,45,29,36,51,50,82,113,84,82,69,39
2086,52,62,37,32,27,68,112,125,96,79,63,45
2087,47,31,41,38,53,53,81,104,114,102,45,50
2088,92,41,27,28,40,61,97,79,88,61,87,35
2089,51,45,24,35,47,76,85,81,137,72,76,86
2090,48,36,53,38,22,83,96,55,96,120,38,29
2091,69,33,21,40,43,63,102,103,99,85,63,33
2092,42,47,46,30,21,58,119,97,91,90,45,48
2093,35,34,36,24,40,67,80,116,146,42,70,48
2094,43,33,42,26,33,67,97,107,67,92,44,62
2095,78,22,45,26,48,68,158,143,122,46,41,24
2096,87,46,26,54,32,77,126,66,109,85,86,75
2097,34,24,29,32,25,51,76,60,140,100,98,61
2098,62,42,21,45,34,89,78,114,131,113,85,53
2099,47,16,36,27,28,76,68,144,129,81,107,51
2100,50,39,32,38,44,84,127,92,83,89,84,49
