"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-20.1,-18.6,-15.3,-9.5,1.1,10.4,12.5,9.8,3.8,-4.9,-8.2,-16.1
2007,-16.9,-20.9,-15.6,-10.3,2.2,9.5,10.8,9.6,4.6,-7.4,-15.9,-25.8
2008,-24.5,-15.6,-12.1,-9.4,4,10.1,12.8,9.2,5,-4.6,-15.1,-21.1
2009,-14.7,-14.8,-11.4,-5.1,4.4,9.4,11.8,10.1,5.2,-4.8,-11.3,-19.8
2010,-13.8,-17.7,-17.8,-7.3,2.7,10.6,13.6,11.2,5.9,-4.1,-15.3,-22.8
2011,-17.4,-22,-11.2,-8.9,0.2,8.6,11.8,9.8,4.2,-3.8,-12.4,-17.2
2012,-15.4,-10.9,-16,-6.8,1.3,8.5,12.6,11.3,6.2,-5,-15.5,-15.1
2013,-18.3,-18.8,-16.8,-12,3.2,10.1,14,10.9,2.8,-5.4,-15.1,-16.1
2014,-17.6,-15.7,-16.1,-6.3,3.5,11.3,13.3,12.3,4.7,-3.4,-14.3,-24
2015,-15.6,-14.1,-13.7,-9.6,1.7,10.2,13.2,11.6,2.1,-6.9,-11.1,-21.8
2016,-22,-13.4,-13.6,-9.9,1.7,8.8,12.8,11.8,4.9,-6.6,-10.4,-17.8
2017,-14,-15.3,-12.9,-9.9,5.2,9.8,14.1,11.7,5.4,-4.8,-12.2,-15.6
2018,-11.5,-19.2,-19.9,-13.5,2,8.9,11.2,10.3,4.7,-6.1,-12.4,-17.1
2019,-13.9,-21.1,-12.9,-11.1,2.4,9.4,12.9,9.6,3.9,-8.6,-12,-18.4
2020,-17.5,-14,-11.7,-6.5,4.1,10.8,14.6,11.5,7.4,-3.4,-6.4,-14
2021,-21.3,-14.9,-15,-10.6,1.7,8.7,14,10.4,3.1,-3.1,-9.2,-14.6
2022,-19.4,-12.2,-13.1,-8.7,3.6,10.8,12.7,12.6,4.1,-3.4,-10.1,-16.1
2023,-14.9,-18.7,-15.5,-8.7,5.4,9.9,13.4,11.6,4.3,-7.9,-9.6,-14.8
2024,-20.5,-10.6,-14.6,-6.2,2.3,9.3,13.2,11.6,5.9,-5,-9.5,-18.9
2025,-13.6,-18.7,-15.8,-12,3.3,10.4,12,10.5,5.4,-6.3,-11.7,-10.7
2026,-19.6,-18.8,-15.3,-8.3,1.8,9.4,11.7,11.9,6.4,-6.8,-11.5,-18.3
2027,-14.8,-14.2,-13.4,-9.3,1.1,9.9,13.9,12.2,5.3,-4.4,-10.9,-21.1
2028,-11.5,-11.2,-14.7,-9.1,3.7,11.2,13.3,11.4,4,-2.1,-12,-19.1
2029,-16.2,-19.9,-11.2,-7.2,3.7,10.2,11.8,12.3,3.4,-5.2,-10,-15.6
2030,-15.1,-15.9,-12.3,-7.3,3,11.7,12.7,11.6,5.9,-3.1,-8.9,-13.3
2031,-22,-23.7,-15.5,-6,3.8,9.9,14.3,11,6.8,-4.4,-15.5,-13.5
2032,-16.3,-18.2,-11.1,-12.6,2.1,9.2,12.8,11.2,5.5,-4.6,-13.4,-13.5
2033,-13.2,-15.2,-9.8,-8.5,3.4,11.2,13.8,13.5,7.4,-3.5,-13.6,-15.9
2034,-16.5,-16.4,-16.7,-6.6,4.7,12.5,14.6,10.2,5.1,-3.5,-10.2,-10.2
2035,-15.3,-13.1,-9.5,-6,5.7,10.2,13.8,12.6,6.8,-5.5,-10.3,-16.6
2036,-20.8,-18,-11.8,-9,2.5,9.5,12.3,11.9,5.9,-5.5,-9.5,-13.5
2037,-19.7,-22.1,-14.1,-6.4,3.2,10.3,13.6,12,5.3,-5.9,-17.1,-21.7
2038,-17.7,-19.4,-16.9,-13,0.7,8.9,12.2,10,4.3,-3.2,-11.6,-18.6
