"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-20.4,-17.8,-14.5,-8.7,1.5,11,13.6,9.9,2.2,-8.1,-10.2,-18.2
2007,-18,-20.8,-14.5,-8.9,2.8,9.7,10.6,9.2,2.9,-9.4,-18.7,-26.4
2008,-25.6,-16.2,-12.6,-8.8,4.3,9.9,12.5,8.7,3.4,-6.7,-17.4,-22.5
2009,-16.2,-15.2,-11.2,-4.6,4.2,9.3,11.2,9.4,3.7,-7.1,-15.3,-21.1
2010,-15,-17.8,-17.2,-6.5,3.1,10.9,13.4,10.6,4.7,-5.5,-17.6,-21.7
2011,-16.6,-22.6,-11.8,-8,0.4,8.7,11.9,9.3,2.8,-6.4,-13.7,-17.9
2012,-16.4,-11.2,-15.5,-5.6,1.1,8.4,12.9,10.7,4.9,-6.5,-18,-15.8
2013,-19.7,-18.6,-17.2,-10.2,3.1,10.1,13.4,9.9,1.6,-7.6,-18.1,-16.8
2014,-18.9,-17.7,-14.5,-6.1,4.1,12,13.2,11.2,3.2,-5.1,-16.7,-24.6
2015,-16.4,-14.3,-13.5,-7.9,2.3,10.4,13.4,10.8,0.5,-9.1,-12.7,-22.4
2016,-23,-14,-14.9,-8.3,2.6,9.7,13.1,11.6,2.8,-8,-12.2,-18.8
2017,-15.1,-15.9,-13.8,-9.8,5.4,10.3,14.5,11.1,4.5,-6.5,-15.6,-16.7
2018,-12.8,-19.5,-19,-13.1,2.1,8.8,11.3,10.1,3.6,-7.4,-14.5,-16.7
2019,-16.7,-20.7,-13.2,-10.3,2.2,9.7,12.8,8.8,2.9,-11.3,-15.9,-20.1
2020,-19.5,-14.7,-12,-6.6,5,11.6,14,10.6,6,-5.7,-7.7,-14.9
2021,-23.1,-17.3,-15.7,-10.2,2.1,8.7,13.3,9.7,1.8,-5.1,-12.1,-16.5
2022,-21.5,-14.9,-13,-7.8,4.4,10.7,12.2,11.8,2.2,-5,-11.1,-17.5
2023,-15.8,-18.6,-15.4,-7,5.6,9.9,12.8,10.7,2.5,-10.1,-12.4,-16.5
2024,-20.9,-11.2,-15.3,-5.5,2.7,9.2,12.2,10.8,4.6,-6.7,-13,-20.5
2025,-14.3,-18.8,-14.6,-11.1,3,10.3,12,9.4,3.6,-8.8,-13.9,-11.6
2026,-21.3,-18.7,-14.3,-7.1,2.4,9.6,11.5,11.2,4.8,-8.6,-14.3,-19.2
2027,-15.9,-14.8,-12.1,-7.8,1.5,10.4,13.8,11.9,4,-5.8,-13.1,-22.8
2028,-12.6,-12.5,-14.2,-8.4,4,12,13.1,10.7,2.5,-3.9,-14.9,-19.4
2029,-19.5,-21.1,-10.4,-7.3,4.1,10.7,11.3,11.4,2.3,-8,-13,-17.6
2030,-16.5,-17.6,-14.6,-6.6,3.1,11.3,11.7,10.1,4.4,-4.9,-10.7,-14.3
2031,-21.7,-23.6,-15.6,-5.4,3.6,10.4,13.5,10.3,5.8,-6.9,-17.8,-15.8
2032,-16.7,-19.5,-10.9,-11.7,3,9.5,12.3,10.2,4,-7.6,-16.7,-13.1
2033,-14.1,-13.6,-9.9,-7.8,3.7,11.3,13.1,12.6,6.1,-5.7,-16.3,-16.9
2034,-18.1,-17.8,-17.7,-6.5,5.1,12.8,13.8,9.2,3.1,-5.3,-12.3,-11.7
2035,-18.1,-14.3,-9.4,-6.1,5.2,10,12.9,11.1,4.9,-7.7,-12.5,-17
2036,-22.1,-18.7,-10.5,-8.7,2.3,9.7,11.9,12,4.4,-8,-11.3,-13.2
2037,-17.7,-20.2,-14.9,-5.5,3.3,10.2,13.4,10.7,3.7,-8.8,-18.9,-22.8
2038,-17,-19.9,-16.3,-11.2,2,9.5,12.3,9.6,3,-4.9,-14,-17.9
2039,-19.1,-25.5,-12.5,-10.6,1.6,9.6,11.2,12.6,5.9,-6.8,-11.3,-12
2040,-13.4,-14.7,-8.8,-7.9,4.1,10.1,11,11.5,3.1,-4.9,-16.7,-11
2041,-12.2,-13.7,-10.4,-8.4,1.9,11.4,14.3,11.1,4.9,-5.4,-9.2,-16.2
2042,-17.9,-14,-10.5,-6.9,4.5,11.3,15.4,12.3,2.5,-5.3,-14,-17.6
2043,-17.8,-20.1,-10.8,-6.3,4.6,10.2,14,12.5,5.7,-5,-8.7,-17.4
2044,-12.8,-19.2,-13,-7,5,11.7,13.2,12.8,5.6,-4.7,-11.4,-11.3
2045,-12.8,-15.7,-8.9,-4.7,2.7,11.6,13.9,11.2,4.2,-6.5,-12.5,-16.1
2046,-11.9,-13,-12,-6.9,3.2,10.4,14.4,11.7,4.5,-5.8,-12.1,-19
2047,-14.1,-9.9,-13.5,-10,2.7,11.7,13.4,11.2,2.9,-4.7,-10.4,-19.4
2048,-14.3,-20.5,-11.5,-7.2,5,11.8,13.7,11.9,7.4,-0.9,-8.3,-18.9
2049,-16.2,-16,-14.5,-6.1,5.6,11.8,14.7,10.5,3.7,-7.5,-7,-17.4
2050,-14.7,-14,-10.7,-2.2,5.2,10.5,11.1,11,5.7,-3,-11.6,-17.1
2051,-21.5,-14,-8.9,-5,6.8,12.3,14.9,11.8,6.3,-3.3,-14.1,-11.6
2052,-13.6,-14.2,-8.7,-2,7.7,13.6,14.4,12.4,5.8,-1.3,-7.9,-18.2
2053,-20.5,-20.9,-11.6,-4.9,3.6,12.1,14.3,10.8,4.7,-2.8,-10.6,-21.6
2054,-17,-15,-9.2,-3.5,5.8,11.8,12.9,11.8,4.3,-3.7,-11.7,-12.5
2055,-15.3,-14,-16.7,-4.8,3.3,11.3,14,11.5,5.1,-4.5,-13,-16.2
2056,-16,-20.5,-12.5,-8.1,1.6,9.1,13.5,11,4.4,-7.4,-11,-17.8
2057,-14.6,-9.6,-12.5,-8.1,3.3,12.1,14.9,11.8,3.7,-6.1,-12.9,-15.5
2058,-17,-17.9,-10.1,-10.4,3,10.4,13.4,12.4,4.4,-7,-9.1,-10.6
2059,-11.6,-13.6,-7.7,-6.6,4,10.5,15.6,11.6,5.2,-6.6,-10.5,-14.3
2060,-13.7,-19.8,-15.9,-6.5,4.5,10.2,13.7,12.4,5.4,-5.1,-8.5,-16.1
2061,-13.3,-15.4,-11,-4.5,1.5,12.3,13.5,9.9,3.6,-6.2,-9,-12.2
