"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-21.7,-21.2,-18.3,-12.1,-0.5,8.8,12,9.9,4,-4.3,-8.6,-16.6
2007,-17.2,-22.1,-17.7,-12.8,-0.1,8.1,10.2,9.6,4.9,-6.4,-15.7,-26
2008,-25.3,-17.5,-14.5,-11.5,2,8.9,12.2,9.5,5.2,-4.1,-14.7,-20.7
2009,-15.7,-17.3,-13.8,-7.5,2.4,8.3,11.7,10.2,5.5,-4.3,-11.2,-20.2
2010,-15,-20.8,-20.5,-9.6,0.7,9,12.8,10.7,6,-3.9,-15.7,-22.8
2011,-19.3,-23,-13.3,-10.8,-1.5,7.3,10.9,9.8,4.5,-3.4,-12.9,-17.7
2012,-17.2,-13.8,-17.9,-8.8,-0.7,7.1,12,11.1,6.4,-4.5,-15.8,-15.8
2013,-19.5,-20.7,-18.7,-14.2,1.1,8.6,12.8,10.8,3.2,-4.8,-14.7,-16.4
2014,-19,-17.7,-18.6,-8.7,1.5,9.8,12.9,12.2,4.9,-3,-13.6,-23.5
2015,-16.3,-15.7,-15.6,-11.5,0,8.7,12.7,11.7,2.7,-6.1,-10.7,-21.4
2016,-22.6,-14.6,-14.9,-11.9,0.3,7.9,12.9,12,5.5,-5.8,-10.8,-17.5
2017,-15.2,-17.4,-14.9,-12,3.1,8.8,13.6,11.6,5.5,-4.2,-12,-15.5
2018,-12.4,-20.8,-21.6,-15.4,0.3,7.1,10.8,10.3,4.8,-5.8,-13.2,-17.5
2019,-14.9,-22.6,-15.1,-12.8,0.5,8.4,12.8,9.9,4.2,-7.4,-12.3,-18
2020,-18.1,-15.3,-13.6,-8.5,2.1,9,13.7,11.7,7.7,-2.7,-7.1,-13.9
2021,-21.8,-15.8,-17.1,-12.6,-0.2,7.3,13.4,10.5,3.6,-2.6,-9.8,-14.7
2022,-20.1,-13.7,-15.5,-11,1.7,9,11.9,12.4,4.4,-3,-10.3,-16.2
2023,-15.8,-20.5,-17.8,-11.3,3.1,8.3,13.1,12,4.5,-6.8,-10.1,-15.1
2024,-20.8,-12.1,-16.2,-8.8,0.1,7.6,12.2,11.5,5.9,-4.4,-9.5,-19
