"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,19,18,15,21,18,47,32,45,85,50,28,37
2007,25,8,9,23,24,15,51,52,79,59,36,13
2008,20,17,14,19,7,24,65,60,34,68,24,27
2009,12,31,12,21,25,28,32,99,82,54,20,26
2010,16,17,20,29,30,88,74,98,39,41,35,29
2011,25,14,37,23,25,21,49,55,67,76,54,29
2012,32,23,22,34,25,29,36,69,60,74,19,25
2013,32,24,21,13,11,16,49,91,78,19,46,50
2014,21,34,8,25,46,40,53,58,87,54,40,29
2015,24,21,25,19,11,24,46,23,75,48,48,22
2016,31,36,29,16,39,52,63,75,77,54,23,21
2017,29,17,6,9,13,29,39,125,75,63,30,21
2018,47,15,19,13,11,50,50,77,53,54,30,18
2019,16,22,15,14,20,34,68,89,77,41,60,50
2020,24,24,13,19,27,22,46,33,21,45,37,31
2021,29,13,17,14,22,32,111,111,42,64,38,31
2022,33,8,26,22,11,25,37,48,75,40,40,17
2023,28,28,24,30,21,13,42,78,61,31,39,32
2024,26,26,17,19,44,76,18,40,80,30,31,34
2025,29,15,22,12,36,49,38,87,58,77,40,17
2026,25,25,21,12,13,38,46,72,31,54,20,29
2027,33,15,13,9,14,10,51,79,58,43,22,35
2028,10,22,19,16,29,29,41,83,63,48,28,28
2029,29,32,21,12,26,49,45,151,67,58,45,34
2030,33,21,22,20,14,20,42,97,92,69,24,22
2031,10,22,18,16,14,55,40,126,57,79,49,29
2032,16,14,25,16,23,37,81,107,41,53,63,33
2033,29,10,14,14,15,29,71,101,50,31,43,29
2034,17,34,28,23,20,40,86,54,65,42,35,32
2035,21,22,32,29,24,73,95,123,85,57,17,46
2036,24,21,28,20,21,21,64,137,48,58,42,31
2037,32,26,19,14,17,25,38,109,59,45,46,29
2038,17,16,24,10,18,32,54,58,83,23,45,32
2039,43,34,25,20,26,25,29,132,55,37,41,41
2040,25,22,39,15,6,42,73,70,75,48,26,27
2041,28,11,22,28,14,41,62,61,44,55,23,19
2042,20,14,22,15,16,36,71,70,80,35,29,21
2043,11,17,33,22,45,45,131,61,84,39,37,20
2044,13,14,13,17,47,19,76,134,70,34,38,24
2045,29,11,24,20,39,57,104,126,31,25,22,26
2046,25,41,30,23,44,80,105,88,43,38,19,5
2047,27,16,23,24,22,18,44,121,101,73,39,33
2048,18,11,12,10,15,41,59,82,61,37,40,31
2049,26,19,18,13,32,31,48,117,107,18,29,24
2050,14,18,19,10,15,60,94,164,55,32,36,28
2051,24,21,20,17,35,41,82,83,58,55,37,43
2052,18,22,24,25,40,26,38,86,79,51,29,22
2053,27,18,24,27,17,33,77,116,91,43,29,14
2054,37,31,31,18,11,25,107,125,96,31,18,29
2055,35,24,29,17,13,44,25,69,52,47,26,26
2056,28,17,18,16,12,31,35,68,93,28,37,33
2057,35,15,35,17,9,54,81,152,87,30,35,27
2058,17,25,20,30,55,30,144,49,70,49,38,39
2059,17,19,23,18,43,51,112,64,57,58,21,30
2060,34,33,25,17,25,73,76,103,37,19,38,26
2061,29,17,18,13,8,36,110,153,72,31,25,47
2062,32,27,23,22,39,17,43,133,68,40,30,26
2063,27,35,26,22,39,27,104,164,65,75,47,40
2064,27,17,22,26,16,58,86,86,68,55,36,22
2065,32,28,25,14,27,28,44,123,94,46,39,25
2066,30,24,26,13,26,15,67,116,58,54,49,31
2067,40,26,33,28,27,35,124,112,35,39,56,39
2068,23,27,18,11,15,17,39,70,75,58,39,46
2069,25,17,27,15,11,37,34,119,55,58,39,44
2070,33,20,25,13,12,37,147,77,71,44,44,46
2071,33,17,15,16,27,32,45,147,53,35,49,18
2072,29,22,22,21,22,18,65,154,102,36,23,36
2073,35,14,25,24,26,40,57,130,85,67,55,34
2074,23,12,22,31,12,17,131,114,90,75,57,30
2075,24,21,10,17,20,45,26,98,51,32,39,30
2076,30,12,27,15,26,33,19,103,66,42,39,28
2077,35,10,27,21,34,18,79,141,58,67,78,55
2078,24,20,16,30,17,17,80,139,69,53,63,22
2079,26,14,11,23,46,51,46,114,51,49,37,41
2080,18,21,23,10,25,34,106,99,74,62,42,40
2081,23,16,21,29,33,81,118,123,101,38,57,20
2082,17,19,19,25,39,32,102,127,42,72,43,17
2083,23,19,23,31,36,57,162,153,55,79,42,33
2084,32,11,16,30,42,53,151,145,69,60,66,32
2085,20,26,26,12,22,49,151,140,60,55,48,33
2086,25,40,21,36,14,29,41,96,62,67,40,25
2087,23,17,34,16,27,42,61,82,57,60,47,40
2088,30,32,33,16,36,30,136,89,74,87,73,35
2089,33,47,49,32,54,78,25,95,90,20,45,35
2090,30,29,22,32,36,34,174,98,105,83,40,22
2091,14,18,26,32,48,90,117,139,75,27,41,35
2092,42,20,33,19,22,33,102,85,90,60,47,28
2093,29,18,17,19,22,37,55,112,82,45,46,43
2094,28,13,14,22,44,40,64,125,108,48,48,38
2095,30,17,10,31,28,41,51,136,93,57,39,34
2096,18,26,19,19,37,41,58,110,122,45,49,34
2097,14,10,26,28,12,33,39,102,57,59,62,49
2098,49,28,19,38,16,20,38,86,72,36,47,49
2099,24,21,25,29,12,34,133,156,56,45,24,45
2100,28,26,12,27,9,54,85,63,62,85,30,33
