"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,17,13,13,15,17,35,23,38,60,39,22,33
2007,23,8,8,18,18,10,39,40,61,50,30,11
2008,18,14,11,17,6,20,53,56,33,61,22,26
2009,8,24,10,18,19,28,24,89,52,46,18,21
2010,14,13,15,24,25,82,56,87,33,35,26,25
2011,18,9,31,17,16,17,36,56,54,61,44,24
2012,27,22,18,27,20,23,28,53,50,66,17,23
2013,29,22,19,11,8,13,34,69,60,21,43,46
2014,17,27,6,20,30,30,47,50,65,52,32,25
2015,20,19,26,20,8,20,37,19,56,46,43,18
2016,26,30,22,14,27,47,59,57,53,45,21,20
2017,26,16,5,9,7,27,31,93,54,54,27,20
2018,40,8,15,12,10,41,46,64,39,48,23,19
2019,18,16,14,14,18,29,51,69,62,37,50,47
2020,23,19,10,17,18,21,45,26,17,39,28,29
2021,25,10,14,13,14,30,91,97,35,50,29,25
2022,28,8,21,20,11,19,28,37,54,40,33,13
2023,26,22,20,27,15,14,29,81,47,25,30,27
2024,23,20,15,14,29,67,16,33,56,26,30,28
2025,23,12,18,10,25,40,34,74,49,66,35,17
2026,23,22,19,13,11,35,33,60,23,41,16,29
2027,25,13,11,9,12,9,40,63,48,34,18,35
2028,10,15,17,15,18,26,31,69,49,40,26,25
2029,25,23,16,11,19,48,41,123,54,50,32,33
2030,29,21,19,18,14,15,32,85,71,64,20,20
2031,8,19,15,13,10,53,36,108,42,72,39,25
2032,14,13,20,13,15,36,69,95,32,37,52,35
2033,27,11,11,15,15,26,58,89,38,32,36,25
2034,15,28,22,19,15,37,85,45,51,35,27,30
2035,17,21,28,32,21,68,79,107,63,46,16,43
2036,22,20,25,17,14,17,50,101,37,52,40,31
2037,28,22,16,14,15,20,31,94,41,45,37,20
2038,12,13,23,11,12,31,44,37,62,20,36,26
2039,36,30,19,19,21,19,28,113,43,32,30,31
2040,20,18,27,12,6,43,63,64,65,44,23,26
2041,25,8,17,23,11,37,57,59,36,49,18,18
2042,17,12,19,14,12,38,60,59,61,30,21,18
2043,10,14,32,18,26,44,107,62,66,32,32,17
2044,10,12,11,17,39,19,58,103,55,30,35,22
2045,23,12,18,17,39,67,81,112,25,28,21,22
2046,24,36,24,20,28,63,90,68,36,36,13,6
2047,21,16,18,21,21,18,35,103,78,66,27,30
2048,16,9,10,9,9,32,50,65,63,33,35,29
2049,24,16,15,13,23,31,40,94,85,21,28,25
2050,12,16,19,10,15,64,65,146,55,30,32,27
2051,21,17,19,14,26,38,76,67,46,44,30,36
2052,15,21,20,20,30,24,28,74,53,52,23,21
2053,24,16,21,23,15,30,76,110,80,43,29,11
2054,32,24,25,14,10,22,89,119,74,29,19,31
2055,28,20,22,19,9,38,26,62,52,39,24,24
2056,24,17,15,14,10,26,31,53,86,28,28,31
2057,30,13,31,14,6,53,68,138,68,26,28,25
2058,15,21,17,30,31,30,109,43,46,46,37,38
2059,14,18,20,17,28,39,111,63,42,43,15,24
2060,32,27,18,17,13,60,57,89,31,18,25,22
2061,26,14,15,12,8,33,91,135,58,29,25,42
2062,30,23,17,17,28,16,35,116,51,35,23,20
2063,23,27,18,19,31,24,78,131,55,64,34,35
2064,24,11,20,23,13,48,68,81,56,50,34,19
2065,32,26,22,14,24,27,38,119,68,36,27,26
2066,29,24,21,13,19,11,49,110,45,41,36,29
2067,35,25,24,22,20,28,107,87,30,34,49,35
2068,18,22,15,13,10,16,30,59,65,48,30,38
2069,22,13,22,15,7,39,29,107,44,47,37,40
2070,28,18,24,12,9,39,114,53,58,35,38,50
2071,25,15,13,13,17,28,33,114,38,33,40,16
2072,26,24,21,23,16,16,48,132,81,31,20,33
2073,34,12,18,24,24,35,49,108,68,68,48,35
2074,19,12,21,24,11,16,117,87,77,66,50,29
2075,19,16,9,14,18,46,20,90,39,32,35,30
2076,25,11,26,13,23,34,14,95,49,38,29,25
2077,28,9,24,17,21,19,63,121,48,61,57,49
2078,17,19,14,25,12,13,61,114,49,39,60,17
2079,24,13,8,17,29,52,44,96,46,41,28,36
2080,16,19,21,10,20,32,76,72,62,55,39,32
2081,21,13,17,26,26,75,90,97,73,41,48,17
2082,13,16,21,19,29,27,89,88,32,63,36,15
2083,18,18,14,24,23,46,157,135,41,73,38,33
2084,30,11,14,23,28,53,123,135,47,49,54,27
2085,19,23,19,13,18,51,119,124,49,54,43,26
2086,23,38,14,37,13,22,39,98,46,58,37,26
2087,16,16,23,16,16,36,50,76,44,56,46,35
2088,21,25,27,13,21,20,122,76,69,82,54,25
2089,26,51,47,30,37,69,20,71,80,19,31,34
2090,27,27,20,26,23,32,139,73,83,69,33,21
2091,11,15,26,28,38,64,92,131,64,32,31,28
2092,32,17,23,17,16,25,88,75,82,56,40,24
2093,29,16,14,16,15,36,51,103,62,40,43,39
2094,25,11,11,23,37,42,55,121,86,42,45,35
2095,27,16,10,27,20,42,37,124,78,45,36,30
2096,15,24,17,14,33,36,47,88,104,41,42,31
2097,11,9,21,22,8,28,32,83,42,48,46,45
2098,45,22,15,33,13,14,38,68,58,31,38,46
2099,15,17,24,21,9,23,117,120,42,43,22,44
2100,24,22,7,24,6,49,85,46,54,70,27,34
