"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,14,14,13,18,12,42,26,38,77,40,23,31
2007,17,6,6,17,18,9,48,49,62,45,27,12
2008,15,13,11,14,5,22,59,47,27,53,18,21
2009,8,23,9,16,20,25,31,77,78,43,16,20
2010,12,12,16,23,23,85,60,78,30,32,30,24
2011,16,10,30,18,21,16,43,44,59,59,43,25
2012,22,16,17,27,19,28,30,68,51,58,14,21
2013,23,18,18,11,7,12,41,84,67,15,35,39
2014,16,24,6,20,36,34,44,53,74,42,32,24
2015,20,14,19,14,8,19,44,19,60,37,37,19
2016,22,26,23,13,33,42,46,69,70,47,18,17
2017,21,12,5,7,9,17,27,119,64,51,23,17
2018,33,11,14,9,7,44,40,66,48,47,24,13
2019,11,15,12,10,15,29,58,81,63,30,46,41
2020,19,18,12,15,17,15,30,28,19,37,31,25
2021,20,9,14,11,17,25,98,92,37,56,32,28
2022,24,5,20,16,7,17,33,43,64,32,32,15
2023,21,21,18,23,16,13,40,65,53,28,32,26
2024,18,20,12,15,32,66,14,38,71,25,24,30
2025,22,11,18,10,30,43,35,78,44,59,33,13
2026,18,20,15,9,9,32,40,64,25,46,17,22
2027,25,10,11,7,11,8,42,63,48,33,17,26
2028,7,16,15,11,23,21,37,72,54,39,21,24
2029,20,23,16,8,20,37,36,128,58,45,38,25
2030,23,17,18,15,8,11,41,77,77,53,18,17
2031,7,18,14,12,10,48,35,104,49,57,37,20
2032,13,11,21,13,18,28,65,84,34,44,49,23
2033,19,7,10,10,10,18,55,88,38,21,32,24
2034,13,24,21,17,15,38,69,45,55,34,27,25
2035,16,15,26,20,18,65,83,101,72,45,13,36
2036,17,15,20,15,17,15,55,123,39,42,33,24
2037,24,19,14,10,13,19,29,80,52,28,36,24
2038,12,12,17,8,10,22,49,53,76,18,34,26
2039,32,24,20,16,19,20,21,122,45,30,32,34
2040,18,16,29,12,4,36,65,60,60,38,21,21
2041,20,9,17,23,11,32,52,49,38,40,21,15
2042,15,10,17,11,11,27,59,56,61,28,24,19
2043,7,12,25,17,38,40,113,58,73,32,28,16
2044,10,10,10,14,34,12,71,107,64,28,30,19
2045,22,8,18,17,31,42,98,103,27,19,18,22
2046,18,28,23,20,33,77,91,83,36,27,17,4
2047,18,11,19,19,17,10,44,106,92,55,32,26
2048,14,9,9,7,13,36,56,69,49,30,29,24
2049,19,11,14,10,21,26,46,96,85,14,21,17
2050,11,13,15,7,11,50,88,138,43,24,28,22
2051,18,15,14,12,28,36,66,69,47,45,29,37
2052,13,14,19,19,32,19,35,84,73,40,23,17
2053,20,13,19,22,13,32,63,102,67,34,20,9
2054,27,24,23,15,7,20,94,99,81,24,14,20
2055,24,20,23,12,8,35,21,57,40,40,21,20
2056,19,12,15,12,8,22,23,65,72,23,29,25
2057,24,11,27,12,7,40,72,124,69,24,28,23
2058,12,19,15,23,40,20,132,46,64,41,32,30
2059,12,14,19,14,35,52,92,52,52,51,15,26
2060,22,23,19,10,18,62,73,82,32,17,35,22
2061,21,14,14,11,6,27,93,124,58,27,18,38
2062,23,19,19,18,30,14,39,110,56,30,25,21
2063,20,26,21,15,28,25,101,151,52,51,39,32
2064,19,12,15,21,12,49,71,76,63,43,28,19
2065,24,21,20,10,18,23,30,97,83,38,31,18
2066,20,17,21,10,20,12,56,89,48,45,42,26
2067,29,19,24,24,20,34,107,99,26,32,45,31
2068,18,19,13,7,12,14,32,66,62,45,34,39
2069,18,12,23,11,9,31,27,96,48,47,31,34
2070,23,14,19,10,8,27,140,64,59,35,31,31
2071,23,12,12,13,19,27,35,122,49,28,35,16
2072,20,16,16,15,18,18,61,128,87,31,19,28
2073,26,11,19,17,19,35,46,113,67,50,43,24
2074,17,8,15,23,8,14,108,93,69,58,43,25
2075,17,16,7,13,14,31,20,85,47,26,30,23
2076,22,9,19,12,19,31,18,89,58,34,31,23
2077,25,8,21,18,27,14,72,107,51,49,63,46
2078,18,14,13,25,11,15,71,129,62,43,48,20
2079,19,9,9,18,35,45,35,94,40,38,28,33
2080,13,16,17,7,17,26,96,89,52,46,32,33
2081,18,12,16,21,24,70,112,107,88,26,44,17
2082,13,14,14,21,29,15,88,111,35,56,35,15
2083,18,14,21,25,28,46,126,128,49,62,33,24
2084,23,8,12,26,36,46,128,114,55,46,53,25
2085,14,19,21,9,16,47,148,114,45,41,35,28
2086,19,29,16,25,10,27,35,80,54,53,29,18
2087,16,12,26,12,19,36,54,65,47,45,33,33
2088,22,22,27,12,29,26,110,80,54,73,59,30
2089,25,33,39,25,42,72,23,81,70,16,36,27
2090,21,21,16,23,31,29,164,78,88,69,33,17
2091,12,14,20,24,36,80,100,101,57,21,32,29
2092,29,14,27,16,15,29,81,75,70,45,37,25
2093,21,14,14,15,15,34,39,92,77,36,34,33
2094,20,10,11,17,34,31,55,105,94,35,36,30
2095,21,14,9,25,20,37,46,122,75,45,28,27
2096,13,18,16,17,27,35,49,90,95,33,38,27
2097,11,8,21,23,10,31,36,82,52,47,50,41
2098,37,19,15,31,14,18,26,71,55,29,38,37
2099,18,16,20,23,9,33,110,127,47,34,18,33
2100,20,18,10,22,7,40,74,58,51,68,23,24
