"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-19.5,-25.6,-15.1,-6.7,-0.6,6.5,12.4,11.1,5.8,-4.7,-17.8,-18.8
2007,-23.1,-27.6,-23.5,-10.4,-1.7,10.2,12.9,11.8,7.5,-2.1,-7.9,-17
2008,-20.4,-15.8,-20.7,-9.1,3,9.7,12.9,11.5,4.4,-5.3,-17.8,-25.5
2009,-25.8,-19.2,-18.7,-11.3,0.9,7.8,12.6,10.5,3.8,-2.1,-15.8,-21.3
2010,-23.9,-17.4,-19.8,-8.8,0.2,6.4,9.8,11.6,4.3,-5.8,-12.2,-19.5
2011,-28.4,-24,-13.5,-6.3,1.1,11.4,14.9,11.6,4.4,-4,-14.9,-17.8
2012,-20.4,-21.3,-18.4,-12.2,1,11.1,14.6,13.5,5.9,-3.9,-15.2,-21.1
2013,-14.4,-17.6,-12.1,-8.8,2.7,11.5,15.3,11.2,4.4,-7.1,-11,-15.1
2014,-23.1,-15.2,-17.9,-10.5,-2.2,8.5,14.9,13.2,7.5,-0.8,-9.9,-18.2
2015,-19.2,-17.5,-15.1,-8.6,1.6,10.4,14.7,14.3,8.1,-6.2,-6.7,-13.3
2016,-19.4,-14,-14.3,-13.1,1.5,7.7,12.1,13.8,7,-8.5,-16.5,-21.6
2017,-17,-26.2,-21.7,-12.8,2.7,9.6,14,8.6,4.1,-3.8,-7.7,-23.7
2018,-15.9,-15.1,-14.8,-8.1,2.6,10.2,13.9,11.7,7.5,-2.8,-9.6,-20.6
2019,-26,-23.9,-19.6,-12,0.8,7.6,11.7,9,4.1,-8.7,-12.5,-14.8
2020,-23.5,-19.6,-17.7,-9.5,-0.3,11,13.7,11.9,5.5,-7.8,-10.4,-17.7
2021,-15.1,-18.4,-11.8,-11.6,0.9,11.2,11.7,10.9,5.7,-3.6,-9.1,-15.1
2022,-15.6,-21.4,-15.5,-7.3,3.9,12.7,16.6,13.5,7.4,-5.2,-8,-20.9
2023,-18.4,-13.5,-17.1,-12.2,-0.4,9.1,13.9,12.3,5.9,-5.2,-7.3,-17.3
2024,-16,-16.5,-12.8,-10,-0.5,6.2,15,14.3,6.8,-5,-9.3,-11.3
2025,-20.3,-19,-14.8,-9,1.6,9.8,16,12.7,7.1,-2.2,-11.2,-25.2
2026,-23.1,-15.4,-14.4,-6.2,2.5,9.6,16.3,14,6.2,-3.1,-14.1,-13.8
2027,-16.5,-21.2,-15.5,-4.1,4,12.1,16.2,15.4,4.6,-4.2,-7.3,-18.2
2028,-26.2,-21.6,-12.1,-9.9,1.2,9.8,14.2,11.6,4.7,-0.5,-14.3,-16.7
2029,-23.7,-17,-14.2,-8.1,1.2,8.7,14.3,11.3,4.5,-4.4,-11.9,-14.3
2030,-15.6,-17.3,-11,-5,0.2,10.7,15.8,11.5,4.4,-4.8,-12.5,-17.4
2031,-24.6,-18.9,-18.3,-13.5,0.6,10,15.9,11.5,7.5,-2.8,-8.2,-13.4
2032,-18.6,-15.5,-10.7,-4.6,5,13,15.7,12.2,6,-0.6,-5.8,-13.5
2033,-18.6,-18.8,-18.8,-5.1,4.7,14,15.9,11.9,6.2,-2.5,-8.2,-13.1
2034,-14.2,-9.8,-15.8,-7,4,11,13.7,14.9,8.1,-3.9,-8.8,-13.9
2035,-16.8,-14.1,-12.9,-5.4,0.8,10,13.9,14,7.9,-0.4,-8.5,-12.4
2036,-15.7,-13.1,-13.5,-6.4,4.2,11.5,15.2,11.9,6,-3.5,-11.5,-17.5
2037,-15.1,-17.2,-10.9,-9,1.9,11,15.6,14,6.5,-5.8,-9.8,-20.5
2038,-10.2,-17.2,-12,-6.4,1,11.7,15.8,16.7,8.1,-5.4,-10.1,-17.4
2039,-14.5,-13.1,-17.3,-7,1.4,10.1,15.6,10.8,5.1,-4.6,-7.4,-12.8
2040,-9.8,-17,-12.3,-3.4,6.1,11.3,15.3,13.7,7.7,-3.2,-10.7,-15.8
2041,-22.3,-20.7,-13.1,-7.6,1.8,9.9,15.1,15,7.3,-3.8,-14.2,-19.2
2042,-15.9,-17.5,-12.3,-12.1,2.7,11.4,14.8,11.7,6.7,-5.5,-7.8,-17.6
