"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-16.8,-22,-12,-4,1.2,6.9,12.4,11.8,6.5,-3.7,-15.7,-17.2
2007,-21.2,-24.8,-20.3,-7.9,0.1,10.2,12.8,11.8,8.1,-0.9,-6,-15.5
2008,-18.5,-12.5,-16.7,-5.9,5.4,10.3,13.3,12,5.3,-4.1,-15.9,-23.4
2009,-23.4,-16.4,-16.2,-8.3,2.4,8.9,12.9,10.6,5,-1.1,-14.5,-18.9
2010,-22.1,-14.4,-16.6,-6.1,1.7,7.3,10,11.6,5.1,-4.8,-10.2,-17.3
2011,-25.8,-21.3,-10.5,-4.2,2.4,12.1,15.2,11.8,5,-3.1,-12.9,-15.6
2012,-17.5,-18.9,-15.5,-9.4,2.8,12.2,14.9,13.4,6.3,-2.8,-13.3,-18.8
2013,-12.1,-14.6,-8.9,-5.5,4.6,12.8,14.9,10.6,5,-6.8,-9.4,-12.9
2014,-21.6,-12.7,-15.1,-7.6,-0.7,9.2,14.8,13,8.1,0.1,-8.6,-14.9
2015,-16.6,-14,-11.5,-6,3.9,11.4,14.4,14.6,8.5,-5.6,-5.3,-11.3
2016,-16.2,-11.5,-10.7,-9.6,3,8.6,12.8,13.9,7.8,-7.8,-15,-19.2
2017,-14.7,-23.8,-18.9,-9.6,4.6,10.5,14.5,8.8,4.7,-2.7,-6.2,-21.7
2018,-13.2,-12.7,-11.9,-5.2,4.6,10.5,13.8,11.4,8,-2.1,-8.2,-19.6
2019,-23.7,-20.7,-16.7,-9.6,2.5,8.8,12.1,9.6,5.1,-6.9,-10.9,-13.2
2020,-22.1,-17,-14.7,-7,1.6,12.5,14,12.3,5.9,-6.5,-9.2,-15.4
2021,-13.1,-15.9,-8.6,-7.5,2.7,12,11.6,11,6.2,-2.4,-7.7,-13.5
2022,-13.5,-18.7,-12.7,-4.7,5.8,14,16.1,13.8,8.3,-4.2,-6.3,-19.1
2023,-16.8,-11,-13.7,-9.6,1.9,10.4,14.3,12.2,6.6,-4.4,-6.1,-14.7
2024,-13.7,-13.5,-10,-7.5,1.2,6.8,15.1,14.5,7.7,-4.1,-8.4,-9.4
2025,-18.3,-16.2,-11.5,-6.4,3.2,10.1,15.9,12.5,7.6,-1.4,-9.6,-23.1
2026,-21.2,-12,-11.7,-3.5,4.7,10.5,16.4,13.7,6.9,-2,-12.8,-12.2
2027,-13.2,-18.6,-11.6,-1.3,6.3,13.4,16.4,14.8,5,-3.3,-5.6,-16
2028,-23.8,-18.1,-8.6,-6.4,2.9,10.5,14.1,11.6,5.2,0.6,-12.5,-15
2029,-21.4,-13.7,-10.9,-4.9,2.9,9.4,14.6,11.1,5.4,-3.6,-9.8,-12.4
2030,-12.8,-14,-8,-2.5,2.4,11.8,16,11.9,5.4,-4,-10.7,-14.8
2031,-22.8,-15.9,-14.5,-10.5,2.8,11,15.4,11.1,8,-1.9,-7,-11.6
2032,-16.5,-12.9,-7.6,-1.9,6.6,13.7,14.8,11.8,6.5,0,-4.4,-12.5
2033,-17.1,-17,-15.8,-2.4,7,15.2,16.3,12,6.9,-1.6,-7,-11.4
2034,-12.8,-7.2,-12.1,-4.4,5.8,12,13.6,15.1,8.5,-3.1,-8,-12.1
2035,-15.1,-11.4,-9.9,-3.1,2.7,10.3,13.7,13.9,8.6,0.6,-7.8,-10.6
2036,-14.3,-10.8,-9.8,-3.5,6,12.8,14.9,11.2,6.3,-2.9,-10.8,-14.7
2037,-13.3,-15,-7.7,-5.5,4.2,11.8,15.3,13.7,7.1,-5.4,-8,-18.6
2038,-8.8,-13.8,-9.1,-3.2,3.4,12.5,15.6,16.3,8.4,-5,-8.5,-15.6
2039,-12.6,-10.4,-14.6,-4.8,3.5,11,16.2,11.1,6,-3.2,-5.3,-10.4
2040,-8.3,-13.6,-9,-0.8,8.1,12.4,15,14,7.9,-2.8,-10.5,-14.1
2041,-19.9,-18.6,-10.4,-5,3.8,10.8,15.2,15.5,7.8,-2.7,-13,-17.1
2042,-14.3,-14.8,-9.2,-8.5,4.8,12.6,14.5,11.4,7.4,-4.8,-6.7,-16.1
2043,-23.8,-16.6,-8.4,-5.6,3.8,11.1,12.4,13.7,7.9,-1.2,-4,-11.8
2044,-24.2,-16.1,-11,-5.1,1.9,12.9,13.9,10.5,7.1,-6.1,-12.3,-16.5
2045,-16.4,-19.8,-14.6,-3.6,3.6,11.9,13.2,10.1,6.2,-7.6,-15.4,-14.6
2046,-17.4,-12.9,-6.4,-7.9,1.1,7.7,11.3,11.3,6.6,-4,-10.3,-23.5
2047,-19.2,-19.6,-17.5,-8.2,1.5,12.1,15.1,12.6,6.8,-1.3,-3,-10.8
2048,-12.9,-11.1,-7,-0.9,7.8,12.4,16.1,14.9,7.3,-0.1,-10.8,-10.2
