"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,30,27,25,26,15,43,60,118,115,68,58,59
2007,50,20,20,31,45,61,97,72,90,63,52,37
2008,32,25,29,9,35,67,80,54,42,71,34,70
2009,34,20,32,20,38,72,94,108,65,50,44,51
2010,41,31,46,28,21,106,72,117,93,67,32,46
2011,42,21,29,26,30,34,51,76,85,92,33,27
2012,30,17,18,14,57,62,73,136,75,53,49,34
2013,35,30,23,17,39,60,98,116,80,51,50,31
2014,27,22,11,29,32,40,74,78,75,56,40,62
2015,51,28,29,27,23,73,54,96,49,36,40,69
2016,31,16,29,18,34,67,70,112,74,77,49,33
2017,39,29,33,17,23,58,68,92,67,71,24,51
2018,42,32,22,21,50,74,71,53,40,62,63,71
2019,49,20,25,23,27,40,72,80,75,53,22,51
2020,28,15,35,21,39,84,81,77,37,88,44,66
2021,36,38,26,21,30,57,77,95,94,78,28,54
2022,54,32,39,39,19,52,80,100,85,44,26,39
2023,22,47,28,27,47,69,76,56,73,54,29,44
2024,36,33,34,24,28,75,83,93,90,64,37,43
2025,32,12,22,23,26,53,79,67,59,61,84,66
2026,31,23,34,16,46,78,92,100,89,40,62,58
2027,30,19,14,30,34,58,82,105,101,51,17,85
2028,37,20,24,25,37,88,76,93,78,81,66,41
2029,29,27,37,20,20,70,92,86,85,122,58,55
2030,45,30,15,33,37,65,110,127,70,41,26,38
2031,55,40,22,16,37,54,81,89,72,45,50,40
2032,24,24,49,33,27,37,84,97,74,56,34,27
2033,18,19,20,35,30,30,73,85,70,62,82,49
2034,35,22,20,49,37,77,85,48,119,36,49,31
2035,25,17,21,33,42,46,92,73,87,118,35,46
2036,27,16,37,15,50,76,94,96,39,69,60,24
2037,20,35,29,24,20,81,75,131,114,79,27,42
2038,58,31,14,19,32,66,89,103,60,43,53,42
2039,27,14,14,17,32,71,97,113,61,58,43,50
2040,30,24,21,24,25,70,54,79,53,46,17,50
2041,43,19,21,28,40,64,71,86,52,67,83,76
2042,56,22,32,20,22,66,84,114,58,46,54,68
2043,78,19,25,30,17,90,84,88,53,70,50,18
2044,33,22,25,27,54,58,90,102,89,75,65,28
2045,33,35,27,27,58,68,61,74,80,37,40,45
2046,22,25,21,25,42,92,102,133,83,55,29,30
2047,33,20,23,22,31,63,98,124,95,62,41,63
2048,48,15,33,31,27,88,90,85,64,46,55,40
2049,40,19,28,31,39,78,86,118,108,26,53,43
2050,32,15,26,16,51,77,60,88,150,55,59,49
2051,41,43,33,31,53,85,110,56,85,53,45,81
2052,22,29,13,23,30,76,100,66,72,33,56,21
2053,37,21,55,40,27,56,113,87,84,59,64,25
2054,40,14,40,19,30,55,49,113,53,55,57,56
2055,53,28,23,21,35,85,82,71,78,102,81,50
2056,18,17,16,54,52,99,86,103,84,43,56,59
2057,23,22,16,14,42,71,86,62,87,63,58,43
2058,26,29,23,38,30,82,67,108,118,52,48,62
2059,24,30,35,35,39,70,104,104,95,44,68,41
2060,27,24,40,32,51,82,111,155,92,42,72,49
2061,25,19,36,25,34,66,109,71,47,37,28,39
2062,60,37,21,11,37,44,114,93,75,28,29,48
2063,44,20,20,20,40,59,71,103,67,95,51,30
2064,21,14,19,27,67,76,109,62,72,63,80,43
2065,26,45,51,49,32,94,101,124,89,75,33,53
2066,32,42,39,49,38,89,108,105,70,49,25,53
2067,47,25,43,29,27,80,117,68,94,50,43,56
2068,28,28,22,25,30,91,76,116,77,53,58,64
2069,55,10,27,39,49,54,103,147,70,93,48,93
2070,27,36,29,34,40,109,71,118,95,60,36,62
2071,53,24,25,19,47,76,71,87,45,53,38,27
2072,50,27,17,31,34,55,114,119,91,73,36,55
2073,35,53,38,26,43,88,106,87,74,51,70,50
2074,23,24,26,16,41,93,90,135,73,71,40,47
2075,25,24,31,53,63,81,84,80,49,58,75,53
2076,27,37,35,26,42,69,117,65,103,70,26,25
2077,28,14,37,25,42,98,93,138,70,75,73,54
2078,31,16,27,51,64,85,67,68,99,58,64,39
2079,38,25,40,35,41,105,85,114,75,52,50,46
2080,42,12,34,29,54,96,103,62,95,72,34,68
2081,38,28,32,30,28,79,132,146,120,54,52,63
2082,40,16,24,32,60,63,78,98,115,51,42,38
2083,15,26,19,30,33,68,80,114,93,67,60,48
2084,33,36,37,10,51,76,75,93,60,51,43,66
2085,52,44,21,31,61,88,96,77,94,42,63,42
2086,34,12,33,31,52,77,106,113,120,36,58,52
2087,32,22,29,31,56,80,110,98,105,89,47,72
2088,38,38,22,21,54,117,116,98,69,68,54,83
2089,64,28,22,37,56,86,106,57,61,73,76,68
2090,30,21,37,27,36,96,98,118,90,70,121,71
2091,30,28,30,33,54,99,92,98,93,68,62,44
2092,35,18,28,49,54,82,92,115,54,80,60,39
2093,32,41,29,24,39,96,84,162,131,91,73,48
2094,60,22,42,18,63,107,110,110,107,60,74,85
2095,81,18,23,29,33,85,92,150,78,96,49,58
2096,24,30,27,14,27,99,89,150,70,51,62,67
2097,38,29,36,45,56,88,82,93,76,59,46,44
2098,25,43,69,47,63,92,81,117,64,47,51,54
2099,37,26,19,38,40,126,85,113,99,99,54,51
2100,28,13,23,25,31,99,66,107,88,58,79,39
