"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,18,21,16,17,6,22,63,92,74,52,29,32
2007,28,12,15,17,22,19,59,69,46,42,25,17
2008,14,10,21,2,18,36,36,35,42,45,33,75
2009,27,12,19,9,12,29,53,53,34,34,19,28
2010,24,17,27,21,14,23,52,107,54,44,15,18
2011,28,15,17,7,18,29,46,51,43,46,22,10
2012,25,10,14,8,35,39,31,93,53,23,35,15
2013,26,22,11,13,26,27,46,93,39,32,23,22
2014,15,13,11,19,15,32,53,69,48,22,19,30
2015,29,17,16,18,9,31,35,53,29,27,21,41
2016,10,11,13,18,8,26,40,73,44,39,20,20
2017,20,17,19,7,10,28,40,76,50,33,21,31
2018,23,17,23,17,20,39,58,55,29,32,31,27
2019,27,9,12,13,7,16,35,56,46,15,7,19
2020,16,8,25,13,16,38,48,39,17,51,23,40
2021,17,20,17,23,12,19,26,61,55,51,29,43
2022,30,19,30,22,5,10,36,89,58,29,14,11
2023,13,18,15,13,24,33,50,39,72,31,14,33
2024,17,15,21,13,15,28,36,98,61,44,30,23
2025,14,7,23,11,15,17,49,43,38,32,54,40
2026,18,7,19,8,29,41,62,56,36,28,24,32
2027,17,11,11,19,23,14,48,72,70,53,23,46
2028,21,12,17,30,32,45,59,69,51,34,29,24
2029,14,15,21,17,7,40,65,91,69,55,34,23
2030,45,22,6,19,17,32,57,75,38,36,15,15
2031,35,28,16,13,11,21,30,86,57,24,32,27
2032,12,12,32,22,16,18,78,81,36,27,21,11
2033,11,14,15,19,12,12,55,69,34,21,49,29
2034,24,13,11,19,24,27,66,33,52,26,49,18
2035,11,5,15,12,19,14,54,40,42,62,22,22
2036,12,7,24,7,28,22,50,71,31,36,29,11
2037,12,24,23,24,8,28,32,99,43,39,25,21
2038,32,22,10,13,10,21,55,75,27,31,30,31
2039,22,12,8,7,12,22,75,65,23,39,20,23
2040,18,12,20,21,7,36,24,39,32,48,25,22
2041,23,9,9,27,21,36,46,65,19,43,46,39
2042,48,9,22,8,7,19,43,82,44,47,27,37
2043,38,10,14,14,17,39,29,53,45,34,36,7
2044,20,6,12,9,28,20,29,82,53,31,44,17
2045,16,14,21,20,34,20,24,64,40,15,23,27
2046,10,15,10,10,20,35,61,117,26,25,37,22
2047,25,7,13,16,17,37,53,94,70,24,21,31
2048,31,10,18,12,16,39,63,87,31,25,29,25
2049,25,10,16,16,15,22,42,99,95,30,38,24
2050,18,7,9,6,16,41,42,65,68,27,38,28
2051,25,23,16,12,26,29,70,45,70,29,34,55
2052,16,12,10,19,14,17,44,58,50,28,37,8
2053,21,10,31,10,17,25,64,81,35,28,54,37
2054,26,10,20,9,17,21,20,87,41,37,36,29
2055,41,13,12,13,14,27,44,83,61,59,39,29
2056,11,10,11,23,21,46,58,95,52,27,28,47
2057,20,15,7,11,23,33,57,60,47,32,36,22
2058,17,12,24,19,15,23,35,64,54,26,46,24
2059,15,11,20,27,13,29,60,95,78,23,28,23
2060,15,15,19,24,18,22,62,106,67,32,50,38
2061,15,8,24,15,17,21,55,68,42,26,30,20
2062,27,20,18,10,18,23,69,86,40,14,27,29
2063,37,7,21,16,19,12,38,67,40,54,35,15
2064,15,9,11,23,19,29,61,69,48,33,43,24
2065,25,22,25,32,30,27,48,116,54,52,18,33
2066,30,23,24,32,21,29,63,46,66,41,21,47
2067,31,22,27,35,17,23,56,87,86,32,18,40
2068,19,19,12,17,11,39,71,77,33,35,37,48
2069,32,11,16,26,31,21,81,76,40,60,38,59
2070,21,21,21,21,22,47,40,90,71,34,33,28
2071,45,11,15,16,23,41,40,44,32,36,34,19
2072,52,16,12,41,18,25,60,115,56,37,27,28
2073,18,32,19,10,17,27,69,69,39,40,44,27
2074,14,14,14,8,16,44,59,82,45,45,20,20
2075,12,16,17,26,24,32,35,58,48,32,53,40
2076,15,22,35,21,36,42,50,46,61,56,22,12
2077,18,8,25,25,11,36,49,93,34,41,74,32
2078,20,15,18,40,32,45,55,55,51,27,42,19
2079,25,14,30,21,14,33,59,83,43,29,33,33
2080,31,10,26,20,28,48,99,59,50,50,24,37
2081,22,16,26,18,18,37,78,95,76,26,24,44
2082,36,5,19,23,30,35,65,87,85,37,48,30
2083,11,13,13,16,16,34,58,68,53,32,36,25
2084,21,20,20,5,31,40,52,114,41,44,39,47
2085,27,29,21,14,23,44,58,71,47,47,43,27
2086,18,9,17,25,25,21,83,77,88,26,37,18
2087,20,11,17,17,32,36,63,100,74,54,32,34
2088,24,21,17,24,21,43,77,97,56,45,38,43
2089,44,15,19,19,32,27,40,77,34,61,48,38
2090,12,11,26,13,20,38,53,85,73,37,67,33
2091,17,12,18,30,25,33,51,105,65,36,47,21
2092,28,10,11,22,46,41,54,68,37,55,28,25
2093,23,17,17,24,11,36,67,130,80,61,44,20
2094,28,18,28,20,33,33,93,90,63,36,36,69
2095,51,12,28,23,15,41,38,125,49,59,36,25
2096,10,8,14,9,27,50,72,109,30,40,45,35
2097,21,18,21,21,20,35,51,74,48,39,32,35
2098,11,22,34,29,38,16,50,90,33,27,30,30
2099,21,11,8,22,20,37,92,96,47,50,35,44
2100,19,9,15,17,11,28,53,80,41,31,44,42
